d,o,h,l,c,v
2024-07-25,239.020000,245.595000,239.020000,243.270000,1632125
2024-07-26,239.410000,240.270000,227.110000,229.410000,2302156
2024-07-29,229.600000,229.820000,224.300000,224.780000,1452293
2024-07-30,225.880000,229.250000,223.380000,227.740000,1558596
2024-07-31,227.900000,228.936000,224.570000,226.890000,1437087
2024-08-01,227.530000,230.000000,225.260100,229.220000,1014741
2024-08-02,229.220000,233.160000,226.350000,230.190000,1080734
2024-08-05,229.390000,231.500000,224.350000,227.100000,1126474
2024-08-06,227.500000,229.840000,225.760000,225.960000,829156
2024-08-07,226.750000,230.240000,226.330000,226.830000,730197
2024-08-08,226.660000,230.780000,226.590000,230.620000,765465
2024-08-09,230.510000,230.950000,226.930000,228.330000,505853
2024-08-12,228.680000,230.300000,227.300000,228.830000,532173
2024-08-13,229.120000,229.693100,226.300000,227.880000,837746
2024-08-14,226.460000,228.300000,225.540000,226.060000,860367
2024-08-15,226.510000,227.010000,225.060000,226.490000,693537
2024-08-16,227.070000,228.729900,225.920000,228.500000,642098
2024-08-19,228.060000,230.580000,228.060000,230.480000,413419
2024-08-20,230.370000,230.370000,228.720100,229.640000,396582
2024-08-21,230.270000,230.510000,228.080000,230.050000,372937
2024-08-22,230.350000,231.587300,228.940000,231.210000,564522
2024-08-23,231.520000,233.480000,229.400000,230.680000,662526
2024-08-26,231.260000,231.900000,228.350000,228.950000,607171
2024-08-27,228.760000,230.440000,226.220000,230.060000,597639
2024-08-28,230.550000,233.310000,230.367000,231.950000,551342
2024-08-29,233.040000,235.350000,230.000000,233.680000,602905
2024-08-30,233.750000,236.940000,233.210000,236.670000,698437
2024-09-03,236.680000,237.820000,233.860000,235.280000,754123
2024-09-04,235.810000,238.235000,235.810000,236.500000,718913
2024-09-05,237.320000,237.320000,230.350000,232.520000,684401
2024-09-06,231.110000,232.960000,226.300000,227.230000,640257
2024-09-09,228.150000,229.785000,227.640000,229.270000,818736
2024-09-10,230.000000,230.500000,226.510000,227.890000,570303
2024-09-11,226.550000,227.310000,222.020000,227.010000,727745
2024-09-12,226.330000,228.700000,225.620000,228.170000,780343
2024-09-13,228.440000,231.020000,227.790000,229.770000,652617
2024-09-16,231.990000,234.280000,229.610000,231.710000,503210
2024-09-17,229.940000,230.810000,227.430000,229.710000,544492
2024-09-18,230.470000,232.030000,228.452700,229.710000,563052
2024-09-19,231.280000,231.740000,228.880000,230.460000,689704
2024-09-20,229.750000,233.570000,229.230000,233.210000,1265889
2024-09-23,233.420000,238.070000,233.170000,237.730000,687589
2024-09-24,237.360000,237.633300,233.750400,234.740000,752365
2024-09-25,235.520000,235.640000,232.500000,233.320000,754569
2024-09-26,232.350000,234.930000,231.380000,231.560000,565775
2024-09-27,232.040000,235.360000,231.495000,234.990000,777480
2024-09-30,236.000000,238.490000,234.126000,237.870000,879534
2024-10-01,237.470000,247.330000,235.740000,245.290000,1250263
2024-10-02,245.290000,246.760000,244.101000,244.660000,686407
2024-10-03,244.680000,245.940000,242.620000,243.110000,691935
2024-10-04,242.740000,243.780000,241.340000,243.660000,372741
2024-10-07,244.080000,244.140000,241.120000,241.760000,412167
2024-10-08,243.000000,243.649900,239.580000,241.280000,462062
2024-10-09,240.890000,243.387200,240.890000,242.220000,378778
2024-10-10,245.880000,245.880000,241.010000,242.350000,651927
2024-10-11,243.120000,246.340000,242.660000,246.040000,692261
2024-10-14,246.800000,248.450000,245.250000,248.230000,461638
2024-10-15,249.000000,249.000000,244.250000,245.300000,573715
2024-10-16,244.820000,248.360000,244.820000,248.140000,491486
2024-10-17,248.610000,248.980000,246.745000,248.280000,699347
2024-10-18,249.000000,249.160000,246.964800,248.780000,481946
2024-10-21,250.000000,250.880000,247.460000,248.150000,703395
2024-10-22,247.850000,247.850000,242.740000,244.930000,534722
2024-10-23,246.770000,247.800000,244.710000,245.820000,460005
2024-10-24,246.000000,246.490000,243.400000,244.170000,845319
2024-10-25,257.805000,258.889900,252.000000,252.810000,1622126
2024-10-28,253.160000,253.450000,247.960000,248.030000,1033481
2024-10-29,249.450000,249.950000,245.070000,245.070000,689491
2024-10-30,245.020000,247.060000,244.730000,245.410000,714282
2024-10-31,246.210000,249.270000,244.950000,247.470000,1254021
2024-11-01,248.570000,251.720000,247.280000,247.480000,852189
2024-11-04,247.930000,248.610000,244.865000,247.070000,791503
2024-11-05,247.410000,251.210000,247.070000,250.950000,593342
2024-11-06,260.000000,260.000000,253.512700,256.450000,893518
2024-11-07,257.020000,257.340000,254.118800,254.810000,649272
2024-11-08,256.000000,261.749900,255.563900,260.600000,868479
2024-11-11,262.840000,265.740000,262.310000,264.220000,694968
2024-11-12,265.000000,265.650000,261.000000,261.720000,949456
2024-11-13,262.570000,265.610000,261.180000,261.650000,610312
2024-11-14,261.200000,261.775000,247.270000,248.160000,1299771
2024-11-15,247.520000,250.290000,245.500000,247.000000,1910720
2024-11-18,246.470000,247.550000,243.835000,244.270000,741615
2024-11-19,246.100000,246.590000,242.580100,243.580000,784167
2024-11-20,242.540000,244.442500,241.100000,244.360000,806848
2024-11-21,244.410000,248.470000,243.510100,246.600000,858941
2024-11-22,247.160000,248.560000,246.445000,248.160000,655762
2024-11-25,247.800000,248.430000,239.415000,240.600000,1268436
2024-11-26,243.270000,246.080000,241.520000,245.580000,765882
2024-11-27,246.280000,247.479900,244.920000,245.330000,551533
2024-11-29,247.290000,247.812500,244.930000,246.250000,441995
2024-12-02,246.250000,246.250000,241.500000,242.820000,970783
2024-12-03,243.340000,243.340000,239.690000,239.860000,731046
2024-12-04,239.080000,242.235000,238.450000,240.480000,928611
2024-12-05,239.510000,239.700000,236.280000,238.140000,901120
2024-12-06,238.290000,239.100000,234.100000,234.640000,1470153
2024-12-09,233.750000,234.050000,228.850000,229.760000,1260769
2024-12-10,229.580000,232.580000,227.360000,230.680000,912234
2024-12-11,231.090000,231.837000,228.150000,228.870000,666899
2024-12-12,227.610000,228.770000,223.320500,224.350000,1421295
2024-12-13,223.850000,224.839900,222.010000,223.160000,967686
2024-12-16,223.620000,225.310000,221.410000,222.040000,1420726
2024-12-17,220.970000,221.900000,217.810000,218.450000,2287047
2024-12-18,218.710000,219.695000,213.220000,213.420000,1146650
2024-12-19,212.310000,216.090000,210.250000,210.640000,1016878
2024-12-20,210.640000,215.220000,209.840000,213.550000,1664806
2024-12-23,213.650000,214.018600,211.540000,213.030000,861248
2024-12-24,212.200000,213.420000,211.650000,213.320000,324838
2024-12-26,213.080000,214.250000,212.250000,213.590000,720326
2024-12-27,212.000000,214.205000,210.690000,212.370000,655533
2024-12-30,210.060000,211.220000,208.351800,208.940000,811710
2024-12-31,209.620000,210.780000,208.370000,210.280000,840314
2025-01-02,210.250000,210.780000,207.180000,207.360000,969711
2025-01-03,207.000000,210.150000,207.000000,209.750000,902210
2025-01-06,208.710000,209.309700,203.395000,204.290000,1369693
2025-01-07,204.820000,206.600000,202.760000,203.000000,1414110
2025-01-08,205.120000,207.435000,203.850000,207.150000,1413830
2025-01-10,207.580000,208.800000,205.200000,208.280000,1745252
2025-01-13,207.720000,214.390000,207.720000,213.920000,1150657
2025-01-14,215.030000,215.990000,213.250000,214.890000,953467
2025-01-15,215.990000,216.140000,213.105000,214.140000,981433
2025-01-16,213.600000,218.520000,213.575000,218.480000,1057995
