d,o,h,l,c,v
2025-08-01,420.760000,423.960000,417.000000,421.010000,2006314
2025-08-04,420.000000,424.600000,419.000000,423.700000,1548178
2025-08-05,423.330000,430.070000,421.860000,428.240000,1643922
2025-08-06,427.765000,436.620000,427.660100,434.850000,2032345
2025-08-07,430.430000,434.850000,428.050000,430.750000,1490332
2025-08-08,431.190000,433.590000,423.910000,425.630000,1478047
2025-08-11,426.000000,427.820000,424.120000,426.260000,1462070
2025-08-12,425.920000,431.590000,425.000000,431.560000,1493389
2025-08-13,432.520000,443.450000,431.420000,442.570000,1890577
2025-08-14,436.040000,443.900000,434.840000,437.320000,1733619
2025-08-15,437.840000,441.425000,436.460000,437.560000,1501663
2025-08-18,440.550000,443.770000,439.120000,440.640000,1154395
2025-08-19,439.860000,444.500000,438.600000,441.100000,1248122
2025-08-20,440.140000,447.080000,440.140000,446.000000,1282792
2025-08-21,444.990000,448.490000,444.700000,447.200000,1026288
2025-08-22,449.990000,452.560000,444.860100,446.200000,1890334
2025-08-25,447.070000,448.750000,445.100000,447.720000,985189
2025-08-26,450.520000,456.370000,447.000000,455.460000,2051502
2025-08-27,456.870000,459.470000,454.000000,454.470000,1294214
2025-08-28,453.870000,456.550000,450.360000,456.180000,1386030
2025-08-29,457.520000,459.900000,454.875000,455.630000,1373187
2025-09-02,453.800000,455.770000,447.590100,452.500000,1645554
2025-09-03,451.070000,452.000000,446.690000,449.060000,1541829
2025-09-04,450.960000,457.170000,449.500000,456.850000,1449229
2025-09-05,456.765000,463.980000,456.765000,463.900000,1465197
2025-09-08,462.925000,462.925000,452.765000,459.110000,1477595
2025-09-09,457.610000,457.870000,452.420000,457.060000,1008428
2025-09-10,456.210000,464.380000,455.710000,463.870000,1076857
2025-09-11,463.850000,472.400000,462.990000,470.730000,1623736
2025-09-12,468.930000,472.980000,467.170000,471.310000,1041423
2025-09-15,471.470000,474.290000,468.990000,473.250000,1148734
2025-09-16,473.590000,478.440000,471.665000,474.320000,1156857
2025-09-17,474.930000,477.188500,472.635000,473.120000,1016718
2025-09-18,471.120000,474.360000,467.990000,473.620000,1108002
2025-09-19,474.230000,477.000000,471.380000,472.940000,2839217
2025-09-22,473.670000,482.074500,473.010000,480.390000,1410218
2025-09-23,480.900000,486.780000,479.340000,486.670000,1135459
2025-09-24,487.150000,495.240000,485.510000,486.250000,1424205
2025-09-25,489.580000,490.744800,484.060000,484.340000,1205694
2025-09-26,487.910000,490.749900,484.570000,487.440000,914275
2025-09-29,497.000000,498.986000,489.220000,491.980000,1391134
2025-09-30,492.580000,499.890000,491.140000,499.210000,1312722
2025-10-01,496.170000,504.070000,495.000000,499.000000,1187448
2025-10-02,499.240000,503.600000,497.010000,499.360000,915832
2025-10-03,499.420000,506.810000,499.245000,504.490000,1006534
2025-10-06,506.630000,515.430000,506.630000,514.240000,1389696
2025-10-07,514.200000,515.980000,509.135000,511.070000,922414
2025-10-08,515.250000,516.000000,511.220000,514.020000,798430
2025-10-09,513.890000,515.191200,503.810000,507.760000,1185975
2025-10-10,508.830000,513.450000,500.540000,505.050000,1313768
2025-10-13,502.300000,507.430000,500.000100,503.830000,926722
2025-10-14,501.250000,506.999900,499.000000,505.180000,1078265
2025-10-15,503.000000,505.000000,485.480000,499.410000,1678496
2025-10-16,500.740000,501.310000,492.000000,493.250000,1099659
2025-10-17,490.480000,496.680000,488.100000,495.150000,1915507
2025-10-20,496.430000,505.900000,496.430000,505.900000,1433308
2025-10-21,482.710000,506.600000,482.710000,489.500000,2869991
2025-10-22,491.470000,492.410800,482.540000,487.140000,1726057
2025-10-23,488.120000,493.980000,486.520000,488.050000,1446086
2025-10-24,490.280000,491.820000,484.075000,485.410000,1368445
2025-10-27,484.080000,487.310000,479.870000,486.910000,1423236
