d,o,h,l,c,v
2024-07-25,260.980000,262.000000,245.590000,247.320000,9370496
2024-07-26,250.000000,257.260000,246.990000,253.500000,4121392
2024-07-29,256.390000,260.460000,251.950000,259.030000,2308488
2024-07-30,258.300000,259.390000,253.700000,256.000000,1563921
2024-07-31,256.000000,262.495000,256.000000,258.660000,2048769
2024-08-01,258.670000,260.120000,246.120100,249.050000,2119366
2024-08-02,240.000000,243.250000,234.690100,236.000000,3097868
2024-08-05,228.080000,236.350000,226.010000,233.400000,2857377
2024-08-06,235.000000,240.360000,234.000100,236.900000,1848439
2024-08-07,239.960000,244.650000,232.955000,233.440000,1545129
2024-08-08,238.140000,243.149900,235.930000,241.750000,1762405
2024-08-09,240.750000,240.870000,237.280000,238.720000,1289980
2024-08-12,239.925000,240.820000,236.550000,239.700000,1411997
2024-08-13,241.340000,245.730000,238.905000,241.950000,1860924
2024-08-14,243.000000,244.500000,240.360000,240.490000,1157698
2024-08-15,250.820000,258.340000,250.130000,256.550000,3213494
2024-08-16,258.200000,259.900000,254.010000,258.100000,2090234
2024-08-19,259.600000,263.000000,258.420000,259.120000,2061041
2024-08-20,259.000000,261.320000,257.310000,260.600000,1411013
2024-08-21,265.880000,270.550000,263.590000,265.630000,1898141
2024-08-22,265.640000,267.300000,262.500000,263.450000,1613394
2024-08-23,265.110000,268.954700,264.640000,268.550000,1605403
2024-08-26,272.150000,275.040000,269.260000,271.660000,2507213
2024-08-27,270.790000,272.329900,268.250000,271.180000,1955864
2024-08-28,266.680000,267.830000,255.290000,258.830000,2882023
2024-08-29,261.860000,263.350000,258.280000,259.010000,4753215
2024-08-30,269.060000,270.000000,249.100000,259.470000,7373333
2024-09-03,258.260000,261.770000,251.750000,258.080000,3071986
2024-09-04,254.240000,257.489900,251.760000,255.510000,2415272
2024-09-05,255.840000,257.770000,252.500000,253.700000,1938966
2024-09-06,262.125000,265.900000,250.650700,253.840000,2589521
2024-09-09,253.890000,258.180000,247.100000,248.585000,2031718
2024-09-10,249.000000,249.375000,244.880000,247.180000,1440652
2024-09-11,248.050000,255.690000,243.366000,255.200000,1862959
2024-09-12,254.020000,260.390000,253.970000,260.140000,1819860
2024-09-13,261.010000,268.780000,260.910000,266.760000,1783227
2024-09-16,266.990000,267.450000,260.260000,265.300000,1368872
2024-09-17,266.900000,270.440000,264.640000,268.410000,1553892
2024-09-18,269.580000,274.640000,266.550000,270.200000,2109426
2024-09-19,275.980000,281.180000,269.440000,270.760000,2463590
2024-09-20,270.750000,270.760000,261.050000,262.610000,2866920
2024-09-23,263.000000,264.110000,259.530000,259.800000,1716982
2024-09-24,266.690000,271.760000,262.780000,263.550000,2224028
2024-09-25,263.000000,264.027300,257.610000,259.740000,1741395
2024-09-26,269.000000,270.730000,265.730300,268.820000,2187880
2024-09-27,273.220000,283.660000,272.010000,280.010000,2936177
2024-09-30,278.000000,281.330000,271.100000,271.350000,1979254
2024-10-01,267.670000,269.612000,261.750000,266.450000,1983482
2024-10-02,264.800000,265.680000,259.750000,260.530000,1712019
2024-10-03,258.480000,262.815000,256.500000,262.560000,1715282
2024-10-04,267.770000,274.660000,267.120000,270.380000,2176344
2024-10-07,270.650000,273.570000,264.200000,272.480000,2328712
2024-10-08,271.090000,279.000000,268.000000,276.590000,1952411
2024-10-09,277.840000,278.573600,272.100000,274.120000,1404646
2024-10-10,273.670000,274.490000,268.160000,273.580000,1564911
2024-10-11,272.900000,279.050000,272.000000,278.245000,1486340
2024-10-14,278.500000,287.190000,272.900000,286.760000,2125749
2024-10-15,286.415000,292.450000,285.270000,287.480000,1948604
2024-10-16,287.340000,295.360000,286.715000,294.210000,2343971
2024-10-17,294.410000,295.640000,283.620000,283.710000,2670513
2024-10-18,283.550000,291.790000,282.150000,291.630000,1693173
2024-10-21,291.430000,299.159900,291.307300,297.740000,2482003
2024-10-22,298.240000,304.490000,296.000000,298.880000,2030963
2024-10-23,297.135000,297.530000,290.710000,293.140000,1179438
2024-10-24,295.400000,299.220000,294.620000,298.990000,1165743
2024-10-25,302.810000,313.085500,302.510100,304.150000,2594186
2024-10-28,306.000000,310.157400,304.590000,307.540000,1619492
2024-10-29,307.490000,307.490000,303.850000,304.820000,1605106
2024-10-30,303.460000,308.800000,301.500000,303.850000,1528885
2024-10-31,302.700000,303.708900,294.200000,297.900000,1761121
2024-11-01,299.850000,322.360000,297.760000,321.170000,3874657
2024-11-04,320.250000,322.425200,316.705700,318.130000,2251044
2024-11-05,317.000000,320.240000,316.190000,319.230000,1401568
2024-11-06,320.000000,321.690000,310.300000,313.140000,2206096
2024-11-07,316.540000,323.010000,312.310000,315.300000,1567210
2024-11-08,315.020000,316.000000,308.440000,308.530000,1957866
2024-11-11,310.625000,320.700000,308.620000,318.460000,2063977
2024-11-12,317.000000,322.250000,314.120000,320.900000,1159533
2024-11-13,323.710000,334.350000,321.740000,328.300000,2000971
2024-11-14,328.675000,334.575000,324.530000,330.260000,1579592
2024-11-15,330.620000,331.320000,319.759500,320.010000,1264651
2024-11-18,322.000000,322.430000,307.890000,309.530000,1896867
2024-11-19,305.170000,307.791000,298.200000,301.850000,2090269
2024-11-20,298.740000,309.170000,298.670000,308.310000,1403984
2024-11-21,306.190000,316.490000,304.440000,315.140000,1521574
2024-11-22,315.140000,327.670000,315.140000,317.110000,1873197
2024-11-25,319.460000,328.710000,318.860300,326.720000,2150293
2024-11-26,325.395000,326.220000,318.240000,318.840000,1209476
2024-11-27,319.820000,322.852100,316.412300,319.520000,1126435
2024-11-29,321.930000,324.160000,318.470000,320.660000,839228
2024-12-02,322.910000,337.300000,321.830000,334.400000,2330076
2024-12-03,333.560000,341.420000,329.740000,340.660000,1924772
2024-12-04,338.840000,342.940000,337.145000,342.270000,2036420
2024-12-05,345.480000,351.380000,340.690000,344.810000,4435434
2024-12-06,377.000000,409.700000,377.000000,399.600000,10951951
2024-12-09,398.680000,420.210000,396.450000,404.790000,3708250
2024-12-10,404.000000,407.550000,393.000000,397.100000,2263272
2024-12-11,399.470000,405.160000,398.080000,399.750000,1359486
2024-12-12,396.730000,398.240000,389.170000,389.330000,1572398
2024-12-13,387.010000,392.600000,385.000000,391.630000,1442506
2024-12-16,390.910000,397.660000,389.010000,389.740000,1494366
2024-12-17,386.110000,391.490000,382.000000,390.590000,1394566
2024-12-18,387.000000,389.670000,371.880000,372.070000,2096893
2024-12-19,375.000000,377.500000,368.660000,373.540000,2022030
2024-12-20,367.990000,384.159900,366.950000,379.420000,3167304
2024-12-23,379.900000,388.404800,376.790000,383.490000,1900052
2024-12-24,385.205000,386.880000,383.210000,385.690000,496441
2024-12-26,384.860000,389.860000,384.010100,385.820000,1013024
2024-12-27,382.000000,387.480000,380.320000,386.670000,1075795
2024-12-30,380.030000,389.190000,377.540000,384.050000,1254672
2024-12-31,384.060000,386.360000,380.260000,382.410000,1027697
2025-01-02,381.500000,385.280000,371.480000,372.310000,1350690
2025-01-03,375.520000,382.030000,373.765000,378.180000,1032678
2025-01-06,381.420000,396.590000,381.420000,395.310000,1729661
2025-01-07,403.870000,414.820000,393.150000,393.460000,1845211
2025-01-08,390.000000,393.220000,386.180000,392.920000,973724
2025-01-10,391.760000,397.350000,388.671000,395.470000,1322082
2025-01-13,401.920000,404.750000,389.484000,398.860000,2086783
2025-01-14,400.000000,401.949900,384.060000,388.740000,2531450
2025-01-15,391.540000,393.350000,374.400000,376.660000,2195750
2025-01-16,377.670000,377.855000,367.150000,370.990000,1805301
2025-01-17,378.265000,378.530000,373.040000,373.700000,1344060
2025-01-21,375.940000,377.730000,367.200100,372.810000,2115492
2025-01-22,371.990000,383.380000,370.000000,382.820000,1838456
2025-01-23,383.450000,389.500000,379.310000,387.850000,1445175
2025-01-24,390.120000,400.790000,385.730000,400.030000,1969629
2025-01-27,395.480000,408.121500,394.500000,402.900000,2337863
2025-01-28,404.390000,416.000000,403.235000,409.420000,1660797
2025-01-29,410.380000,413.550000,407.600000,411.160000,976799
2025-01-30,415.000000,423.320000,413.510000,421.160000,1519732
2025-01-31,419.110000,422.870000,412.000000,414.200000,1297961
2025-02-03,404.500000,413.139900,399.480400,410.290000,1752573
2025-02-04,409.240000,417.910000,408.430000,415.900000,1088367
2025-02-05,415.980000,417.000000,411.067400,412.800000,1186709
2025-02-06,416.250000,417.115000,407.740000,411.830000,1236545
2025-02-07,414.140000,414.140000,396.735000,398.100000,1487987
2025-02-10,398.100000,401.070000,387.280000,399.710000,1341692
2025-02-11,398.170000,403.210000,397.133900,397.630000,866275
2025-02-12,392.945000,399.780000,390.300000,395.160000,1169522
