d,o,h,l,c,v
2024-07-25,433.940000,437.702200,429.560000,429.600000,2384325
2024-07-26,432.280000,440.782500,432.110000,438.180000,2039595
2024-07-29,438.800000,442.920000,435.420000,441.300000,2248633
2024-07-30,443.770000,448.730000,443.010000,447.450000,2266899
2024-07-31,462.000000,474.000000,457.540000,463.710000,4313637
2024-08-01,465.460000,467.500000,459.190000,462.410000,2590132
2024-08-02,460.220000,466.750000,458.610000,462.020000,3808080
2024-08-05,455.000000,461.295000,439.590100,442.000000,4496726
2024-08-06,443.220000,455.450000,442.110000,448.300000,2759051
2024-08-07,450.530000,456.920000,449.040000,449.840000,2059829
2024-08-08,452.240000,456.270000,451.030000,455.580000,1585584
2024-08-09,455.580000,458.800000,453.460000,456.780000,1760295
2024-08-12,457.770000,458.460000,453.890000,455.690000,1760046
2024-08-13,458.140000,459.640000,454.890000,459.360000,1816206
2024-08-14,459.260000,460.540000,456.070000,460.160000,1654140
2024-08-15,465.100000,469.000000,464.000000,468.710000,2130571
2024-08-16,468.000000,470.260000,466.040000,468.880000,1922047
2024-08-19,469.000000,470.150000,465.520000,466.980000,1690880
2024-08-20,468.130000,469.670000,465.510000,469.120000,1763383
2024-08-21,468.540000,469.090000,464.520000,468.000000,2105889
2024-08-22,469.490000,470.910000,466.700000,468.820000,1538288
2024-08-23,470.300000,470.340000,461.900000,466.440000,1986348
2024-08-26,468.100000,470.530000,467.000000,468.640000,1434397
2024-08-27,471.080000,475.500000,468.220000,474.990000,1635908
2024-08-28,475.000000,476.410000,468.865000,471.800000,1445425
2024-08-29,474.470000,481.920000,474.470000,480.800000,1893601
2024-08-30,481.840000,485.740000,479.650000,483.340000,2982115
2024-09-03,482.470000,486.690000,480.040000,482.120000,2063707
2024-09-04,482.090000,486.170000,481.180000,483.140000,2156342
2024-09-05,483.140000,484.160000,473.110100,477.360000,2293539
2024-09-06,477.110000,480.440000,474.710000,476.120000,2116234
2024-09-09,480.500000,489.210000,479.565000,487.090000,2343553
2024-09-10,487.100000,488.330000,482.330000,488.020000,2234088
2024-09-11,486.520000,489.110000,477.840000,488.180000,2479988
2024-09-12,486.950000,492.880000,483.000000,492.110000,2299485
2024-09-13,493.100000,496.850000,491.450000,493.360000,2204789
2024-09-16,495.300000,498.320000,493.390000,497.710000,1589320
2024-09-17,498.600000,501.740000,497.850000,500.990000,2202852
2024-09-18,501.280000,501.800000,494.040000,494.760000,2193838
2024-09-19,500.000000,501.130000,486.250000,493.010000,3517228
2024-09-20,489.650000,493.530000,487.740000,492.740000,3470313
2024-09-23,493.160000,497.690000,491.300000,497.140000,2191256
2024-09-24,492.680000,493.245000,484.420000,487.410000,4143654
2024-09-25,484.760000,489.900000,483.540000,489.450000,3483193
2024-09-26,491.000000,493.625000,489.000000,491.270000,3073747
2024-09-27,491.030000,496.000000,490.390000,493.640000,2177336
2024-09-30,491.780000,494.990000,490.110000,493.800000,2862475
2024-10-01,497.260000,498.030000,493.110000,496.380000,3748206
2024-10-02,492.940000,495.910000,489.680000,495.570000,1736490
2024-10-03,495.550000,497.087500,493.000000,494.970000,1382289
2024-10-04,495.560000,499.050000,492.470000,497.700000,1935893
2024-10-07,497.330000,498.530000,490.750000,491.300000,1990708
2024-10-08,492.500000,497.530000,491.530000,497.060000,1750066
2024-10-09,498.380000,500.749900,495.590000,499.950000,1707580
2024-10-10,500.000000,500.723400,495.840000,498.020000,1491085
2024-10-11,496.510000,502.920000,496.465000,502.260000,1920085
2024-10-14,504.360000,508.790000,502.050000,506.660000,2127041
2024-10-15,505.620000,509.880000,504.000000,507.230000,2885897
2024-10-16,506.350000,515.402500,506.000000,514.070000,2956878
2024-10-17,516.290000,517.045000,511.520000,513.760000,2227465
2024-10-18,514.540000,518.000000,512.580000,516.340000,2604684
2024-10-21,516.990000,518.820000,513.940100,515.010000,2217572
2024-10-22,511.150000,514.550000,510.500000,513.020000,1855981
2024-10-23,512.660000,514.719900,511.900000,513.730000,1759887
2024-10-24,511.900000,513.340000,509.460000,510.620000,1912122
2024-10-25,512.500000,514.730000,505.620000,507.360000,1582222
2024-10-28,507.400000,510.859900,506.140000,508.210000,2186574
2024-10-29,507.540000,511.390000,505.700000,506.280000,2066616
2024-10-30,512.520000,516.450000,507.000000,513.690000,3120968
2024-10-31,521.250000,527.899900,499.030000,499.590000,5523340
2024-11-01,500.440000,510.550000,498.530000,508.080000,3753713
2024-11-04,509.140000,510.000000,503.030000,505.580000,2165122
2024-11-05,505.580000,508.150000,503.610000,505.560000,2132859
2024-11-06,520.860000,523.000000,515.940000,521.130000,3674066
2024-11-07,523.990000,524.030000,516.590100,517.880000,2382508
2024-11-08,520.340000,528.840000,519.530000,524.760000,2215681
2024-11-11,528.850000,534.025000,528.515000,530.120000,2213822
2024-11-12,529.100000,530.900000,527.300000,529.170000,2577628
2024-11-13,530.010000,530.500000,516.415000,521.880000,2681881
2024-11-14,520.620000,522.360000,517.650000,520.400000,2480583
2024-11-15,518.525000,523.390000,518.000000,521.890000,2408193
2024-11-18,518.590000,523.490000,517.000000,521.630000,2493483
2024-11-19,518.780000,522.650000,516.756000,519.460000,2716216
2024-11-20,521.530000,522.500000,511.000000,512.540000,2409527
2024-11-21,513.230000,520.120000,511.580000,515.100000,3077464
2024-11-22,516.930000,521.705000,516.180000,520.860000,3130470
2024-11-25,521.640000,528.250000,521.020000,526.600000,4503914
2024-11-26,527.900000,530.649900,525.060000,528.480000,2326797
2024-11-27,529.050000,533.620000,526.580000,532.380000,2086434
2024-11-29,533.010000,535.769900,530.025000,532.940000,1760566
2024-12-02,532.930000,534.820000,526.230000,531.360000,2355191
2024-12-03,534.670000,534.820000,525.960000,526.180000,2319746
2024-12-04,523.640000,526.275000,518.170000,521.140000,2630030
2024-12-05,524.600000,527.470000,522.170000,524.770000,2538695
