d,o,h,l,c,v
2025-08-01,65.370000,66.290000,63.920000,63.930000,10650513
2025-08-04,63.970000,64.280000,63.330000,63.530000,8291677
2025-08-05,63.565000,63.690000,62.170000,62.300000,9070016
2025-08-06,62.700000,62.800000,61.990000,62.070000,7728146
2025-08-07,62.080000,62.640000,61.830000,62.400000,6067266
2025-08-08,62.390000,62.580000,61.490000,61.830000,6419826
2025-08-11,62.080000,62.280000,60.260000,61.560000,13278903
2025-08-12,61.550000,61.810000,61.150000,61.390000,7373563
2025-08-13,61.440000,62.295000,61.190000,62.190000,7656716
2025-08-14,62.060000,62.200000,61.360000,61.460000,5695786
2025-08-15,61.680000,62.345000,61.320000,62.080000,5849773
2025-08-18,62.030000,62.345000,61.640000,61.840000,5063952
2025-08-19,61.915000,62.707400,61.765000,62.660000,5990263
2025-08-20,63.230000,64.090500,62.700000,63.170000,6805464
2025-08-21,62.920000,63.010000,62.310000,62.940000,5687260
2025-08-22,63.350000,63.920000,62.910000,63.410000,6390640
2025-08-25,63.190000,63.225000,61.880000,61.960000,5852138
2025-08-26,61.820000,62.110000,61.460100,62.050000,8457057
2025-08-27,61.690000,61.845000,61.310000,61.760000,6464175
2025-08-28,61.760000,61.970000,61.020000,61.280000,7242515
2025-08-29,61.280000,61.650000,61.010000,61.440000,5866856
2025-09-02,61.580000,62.060000,61.200000,61.790000,7815343
2025-09-03,61.360000,61.770000,59.370000,61.300000,10566651
2025-09-04,61.400000,61.550000,60.885000,60.900000,4612686
2025-09-05,61.030000,62.510000,60.950000,61.740000,6149823
2025-09-08,61.590000,61.970000,61.000000,61.940000,6540893
2025-09-09,61.840000,62.858700,61.720000,62.570000,5784966
2025-09-10,62.290000,62.470000,61.370000,62.270000,6679167
2025-09-11,62.325000,63.200000,62.000000,62.050000,6423925
2025-09-12,61.975000,62.470000,61.685000,61.980000,4853627
2025-09-15,62.000000,62.680000,61.565000,61.600000,6760463
2025-09-16,61.620000,62.945000,61.460100,62.700000,8403643
2025-09-17,62.690000,63.600000,62.620000,62.830000,7039878
2025-09-18,62.270000,63.360000,62.110000,63.250000,6596217
2025-09-19,63.600000,64.030000,62.983200,63.710000,17133906
2025-09-22,63.310000,63.660000,62.982800,63.500000,7358095
2025-09-23,63.390000,63.865000,63.230000,63.820000,6698348
2025-09-24,63.820000,64.698900,63.780000,64.390000,6188838
2025-09-25,64.680000,64.950000,62.540000,62.560000,8679576
2025-09-26,62.560000,63.455000,62.270000,63.360000,5295155
2025-09-29,63.430000,63.565000,61.220000,62.630000,10956714
2025-09-30,62.450000,62.865000,62.150000,62.470000,6604230
2025-10-01,62.550000,63.330000,62.120100,63.170000,6259498
2025-10-02,62.140000,62.700000,61.620000,61.780000,5529805
2025-10-03,61.660000,63.380000,61.520100,62.670000,6205944
2025-10-06,62.545000,62.545000,61.435000,61.780000,7883259
2025-10-07,61.705000,63.240000,61.610000,62.600000,6638657
2025-10-08,62.140000,62.420000,61.420000,61.660000,6881492
2025-10-09,61.640000,61.810000,60.880000,61.000000,6642873
2025-10-10,61.200000,62.340000,60.870000,61.450000,7697779
2025-10-13,60.790000,61.290000,60.410000,61.170000,6417576
2025-10-14,61.310000,62.190000,60.840000,62.130000,5631971
2025-10-15,61.640000,62.370000,61.270000,61.660000,5712093
2025-10-16,62.200000,62.740000,61.310000,61.600000,7346452
2025-10-17,61.970000,62.700000,61.560000,62.460000,5991845
2025-10-20,62.820000,62.960000,62.500000,62.810000,4069063
2025-10-21,62.880000,63.240000,61.542000,61.750000,9149843
2025-10-22,61.840000,62.540000,60.940000,61.970000,7148597
2025-10-23,61.830000,61.895000,60.980000,61.010000,5212549
2025-10-24,61.250000,61.370000,60.554515,60.770000,5401464
2025-10-27,60.655000,61.715000,60.440000,61.660000,7063658
2025-10-28,61.600000,62.430000,60.210000,60.210000,15035018
2025-10-29,58.470000,59.270000,56.985000,57.850000,20841563
2025-10-30,58.240000,59.260000,57.630000,57.775000,12884304
2025-10-31,56.970000,57.940000,56.630000,57.460000,13262978
2025-11-03,57.440000,57.840000,56.540000,56.650000,8849881
2025-11-04,56.890000,56.970000,55.470000,56.080000,12649107
2025-11-05,56.135000,56.260000,55.440000,56.020000,12718876
2025-11-06,55.510000,56.850000,55.510000,56.190000,8879731
2025-11-07,56.535000,57.820000,56.195000,57.180000,8717329
2025-11-10,57.000000,57.060000,56.200000,56.250000,9205161
2025-11-11,56.600000,57.495000,56.220000,57.120000,10048340
2025-11-12,57.105000,57.550000,56.830000,57.010000,7818963
2025-11-13,57.020000,57.720000,56.750000,56.970000,8720102
2025-11-14,57.240000,57.660000,56.516600,56.860000,6854396
2025-11-17,56.780000,56.865000,55.525000,55.570000,6549246
2025-11-18,55.825000,55.890000,55.231300,55.780000,9659989
2025-11-19,55.730000,56.210000,55.030000,56.080000,10779283
2025-11-20,55.980000,56.560000,55.190000,55.750000,9746770
2025-11-21,55.730000,57.090000,55.450000,57.000000,11209146
2025-11-24,57.000000,57.090000,55.885000,56.190000,10859958
2025-11-25,55.740000,56.730000,55.700100,56.530000,9101091
2025-11-26,56.580000,57.420000,56.370000,57.210000,6893375
2025-11-28,57.060000,57.625000,56.860000,57.570000,3645186
2025-12-01,57.200000,57.350000,56.055000,56.400000,12849800
2025-12-02,56.400000,56.450000,55.385000,55.990000,8644010
2025-12-03,55.975000,56.690000,55.645000,56.030000,10060426
2025-12-04,56.170000,56.310000,55.330000,55.800000,9805484
2025-12-05,55.710000,56.330000,54.750000,54.905000,10435556
2025-12-08,54.620000,55.300000,54.500000,54.760000,9884586
2025-12-09,54.830000,55.120000,54.040000,54.110000,10113988
2025-12-10,54.170000,54.210000,53.134200,53.890000,17184613
2025-12-11,54.100000,54.410000,53.410000,53.790000,16302807
2025-12-12,53.965000,54.650000,53.880000,54.040000,9289233
2025-12-15,54.500000,54.920000,54.000000,54.260000,17381366
2025-12-16,54.720000,54.950000,53.890000,53.970000,12564971
2025-12-17,54.200000,54.330000,53.440000,53.820000,17839659
2025-12-18,53.750000,54.840000,53.680000,54.780000,19270418
2025-12-19,54.520000,55.255000,54.320000,54.500000,29240226
2025-12-22,54.150000,54.910000,54.080000,54.310000,8781774
2025-12-23,54.310000,54.420000,53.510000,54.150000,8644597
2025-12-24,54.210000,54.645000,54.130000,54.620000,3833493
2025-12-26,54.600000,54.720000,54.315000,54.640000,4689258
2025-12-29,54.730000,55.065000,54.570000,55.040000,7405839
2025-12-30,54.960000,55.250000,54.745000,54.810000,6088455
2025-12-31,54.500000,54.500000,53.790000,53.830000,6660607
2026-01-02,53.940000,54.280000,53.411300,53.650000,10842211
2026-01-05,53.360000,53.870000,52.790000,53.740000,15822033
2026-01-06,53.480000,53.645000,52.700000,52.730000,11217525
