d,o,h,l,c,v
2025-08-01,74.460000,74.965000,73.010000,74.010000,4383281
2025-08-04,74.420000,74.920000,73.940000,74.830000,3797091
2025-08-05,74.820000,75.430000,74.145000,74.890000,4335017
2025-08-06,75.080000,76.210000,74.850000,75.950000,4475289
2025-08-07,72.100000,74.940000,72.100000,73.820000,5631265
2025-08-08,74.190000,76.640000,74.190000,76.270000,4351960
2025-08-11,76.360000,77.060000,74.990000,75.300000,4414757
2025-08-12,75.780000,76.890000,75.620000,76.560000,4008342
2025-08-13,76.740000,77.750000,76.715000,77.360000,3158995
2025-08-14,76.910000,77.975000,76.480000,77.920000,2314261
2025-08-15,78.330000,78.330000,77.175000,77.330000,2660701
2025-08-18,76.900000,77.850000,76.579000,77.740000,2721835
2025-08-19,77.750000,79.070000,77.590000,78.720000,2511656
2025-08-20,78.880000,79.400000,78.570000,79.030000,2666674
2025-08-21,78.940000,79.480000,78.460000,79.240000,1960170
2025-08-22,79.930000,81.910000,79.750000,81.490000,3502892
2025-08-25,81.290000,81.680000,80.650000,80.830000,2585302
2025-08-26,80.530000,81.105000,80.320000,81.010000,2905918
2025-08-27,80.650000,81.580000,80.630000,81.110000,2556701
2025-08-28,81.280000,81.280000,80.520000,80.800000,2225124
2025-08-29,81.070000,81.680000,80.800000,81.360000,2759912
2025-09-02,80.680000,80.960000,79.370000,80.560000,3836453
2025-09-03,80.310000,80.940000,79.910000,80.570000,2364083
2025-09-04,80.980000,81.860000,80.620000,81.750000,2434537
2025-09-05,81.620000,82.310000,78.290000,79.510000,4830136
2025-09-08,79.210000,79.700000,77.860000,79.600000,3048318
2025-09-09,79.880000,80.329900,79.270000,79.290000,2536631
2025-09-10,79.120000,79.950000,78.955000,79.230000,2113478
2025-09-11,79.420000,80.500000,79.230000,80.340000,2633129
2025-09-12,80.260000,81.110000,80.165000,80.820000,2314218
2025-09-15,80.900000,81.300000,80.200000,80.460000,3083815
2025-09-16,80.990000,80.990000,78.580000,78.730000,5022955
2025-09-17,78.870000,79.712500,78.310000,78.680000,5561485
2025-09-18,78.720000,79.735000,78.605000,79.070000,4484416
2025-09-19,78.920000,79.435000,77.885000,79.160000,8848968
2025-09-22,78.555000,81.355000,78.205000,80.980000,6659017
2025-09-23,80.980000,81.652900,79.930000,80.320000,4797815
2025-09-24,80.370000,80.885000,80.100000,80.640000,2927804
2025-09-25,80.740000,81.230000,79.840000,80.280000,2600687
2025-09-26,80.870000,81.880000,80.710000,81.620000,2351614
2025-09-29,81.670000,82.130000,81.180000,82.070000,2955910
2025-09-30,82.000000,82.470000,81.220000,82.370000,2788996
2025-10-01,81.760000,83.075000,81.690000,81.930000,3854434
2025-10-02,81.730000,82.630000,80.820000,81.330000,3564886
2025-10-03,81.480000,82.590000,81.120000,82.370000,2993289
2025-10-06,82.620000,83.220000,81.790000,82.350000,2547333
2025-10-07,82.780000,83.335000,82.470000,82.750000,2477798
2025-10-08,83.380000,83.640000,81.680000,82.030000,2736843
2025-10-09,82.240000,83.260000,81.520000,81.980000,2266181
2025-10-10,82.430000,82.820000,79.760000,79.770000,2407034
2025-10-13,80.730000,81.060000,79.965000,80.820000,2111169
2025-10-14,80.200000,83.200000,80.095000,82.890000,2651967
2025-10-15,82.750000,83.495000,81.145000,81.620000,2784656
2025-10-16,81.060000,81.150000,77.785000,77.840000,4169148
2025-10-17,78.090000,78.915000,77.720000,78.460000,3487720
2025-10-20,78.590000,79.220000,78.230000,78.740000,2582910
2025-10-21,78.780000,79.570000,78.485000,79.020000,2888151
2025-10-22,79.260000,79.500000,78.250000,78.560000,2376286
2025-10-23,78.910000,79.220000,78.040000,78.170000,2182041
2025-10-24,78.590000,78.935000,78.170000,78.680000,2444996
2025-10-27,79.310000,79.540000,78.670000,78.870000,2584285
2025-10-28,78.800000,79.240000,78.160000,78.750000,2948774
2025-10-29,78.300000,79.320000,78.040000,78.320000,3214418
2025-10-30,78.570000,80.020000,78.270000,79.160000,2774922
2025-10-31,78.660000,80.000000,78.570000,79.820000,4380645
2025-11-03,79.490000,79.790000,78.670000,79.210000,2890990
2025-11-04,78.280000,79.745000,78.060000,79.460000,3731713
2025-11-05,79.610000,80.250000,78.675000,78.680000,3779531
2025-11-06,79.500000,80.750000,74.650000,75.970000,8562653
2025-11-07,75.390000,76.170000,74.405000,76.150000,6229061
2025-11-10,76.480000,77.830000,76.030000,77.180000,4511200
2025-11-11,77.410000,77.850000,77.250000,77.790000,3929675
2025-11-12,77.830000,80.470000,77.830000,80.210000,4218899
2025-11-13,79.950000,80.650000,79.060000,79.470000,4523762
2025-11-14,78.890000,79.330000,78.035000,78.640000,3275670
2025-11-17,78.630000,78.630000,74.790000,75.530000,5028938
2025-11-18,74.900000,75.940000,74.600000,75.370000,3583531
2025-11-19,75.270000,75.500000,74.045000,74.760000,3001552
2025-11-20,75.500000,76.370000,73.810000,73.920000,3430537
2025-11-21,74.250000,75.760000,73.555000,75.070000,4018944
2025-11-24,74.850000,75.270000,73.970000,75.190000,4590559
2025-11-25,75.690000,76.290400,75.120000,75.740000,3305739
2025-11-26,76.050000,76.680000,75.905000,76.330000,2552663
2025-11-28,76.310000,76.920000,76.150000,76.560000,1121089
2025-12-01,76.300000,77.200000,76.190000,76.310000,2442287
2025-12-02,76.570000,76.680000,75.690000,76.270000,3202678
2025-12-03,76.480000,77.565800,76.140000,77.510000,3419121
2025-12-04,77.720000,78.230000,77.410000,78.030000,4200726
2025-12-05,78.030000,78.720000,77.770800,78.660000,3557746
2025-12-08,78.400000,78.660000,77.950000,78.080000,3222171
2025-12-09,78.690000,78.870000,77.690000,77.820000,2897043
2025-12-10,77.750000,79.870000,77.600000,79.820000,3076374
2025-12-11,79.810000,82.630000,79.615000,82.250000,3896394
2025-12-12,82.670000,83.000000,81.800000,82.160000,3379475
2025-12-15,82.940000,83.430000,82.190000,82.610000,4541693
2025-12-16,83.270000,83.850000,81.940000,82.280000,4657391
2025-12-17,82.660000,82.880000,81.880000,82.530000,5432740
2025-12-18,82.470000,82.520000,80.900000,81.710000,5528027
2025-12-19,81.630000,82.330000,81.070000,81.570000,6552772
2025-12-22,81.420000,82.105000,81.100000,81.350000,2377992
2025-12-23,81.340000,81.610000,80.870000,80.910000,2135466
2025-12-24,80.940000,81.570000,80.775000,81.050000,1169056
2025-12-26,80.900000,80.900000,80.150000,80.300000,1675161
2025-12-29,80.350000,80.626200,79.785000,79.990000,2014589
2025-12-30,80.140000,80.317600,79.640000,79.780000,1812461
2025-12-31,79.970000,79.970000,78.900000,78.940000,2153641
2026-01-02,78.940000,80.505000,78.110000,80.320000,3335755
2026-01-05,79.770000,83.000000,79.470100,81.770000,3864893
2026-01-06,80.780000,81.500000,79.880000,81.180000,3435174
2026-01-07,80.570000,81.180000,78.150000,78.270000,4538307
2026-01-08,78.390000,80.050000,78.390000,79.780000,2932066
2026-01-09,79.650000,80.070000,78.995000,79.410000,2532289
2026-01-12,78.700000,79.100000,78.017500,78.320000,3609053
2026-01-13,78.180000,79.000000,76.635000,77.080000,2645453
2026-01-14,77.140000,78.820000,76.970000,78.650000,3240668
2026-01-15,78.620000,79.330000,77.730000,77.900000,3413386
2026-01-16,77.500000,77.855000,76.590000,76.770000,4719365
2026-01-20,75.710000,76.880000,75.250000,75.570000,3318964
2026-01-21,75.990000,77.420000,75.710000,76.600000,4010107
2026-01-22,76.620000,77.270000,76.202000,76.920000,2681236
2026-01-23,76.370000,76.775000,74.880000,75.810000,3597755
2026-01-26,75.750000,77.250000,75.750000,77.170000,4647675
2026-01-27,77.290000,77.380000,76.210000,76.690000,3261257
2026-01-28,76.450000,77.340000,76.025000,76.260000,2911290
2026-01-29,77.000000,78.250000,76.770000,78.230000,3726307
2026-01-30,77.850000,78.890000,77.700000,78.880000,3979274
2026-02-02,78.830000,79.929100,78.470000,79.830000,3302458
2026-02-03,78.850000,80.200000,76.800000,76.900000,5465224
2026-02-04,77.760000,78.790000,76.910000,78.010000,5974517
2026-02-05,79.500000,81.670000,74.885000,75.320000,8818083
2026-02-06,75.840000,76.870000,75.630000,76.380000,4433057
2026-02-09,75.950000,77.370000,75.950000,76.280000,3109943
2026-02-10,75.710000,78.060000,75.700000,77.920000,4333756
2026-02-11,77.950000,79.200000,77.363500,78.890000,4388055
2026-02-12,79.040000,79.600000,76.247700,77.360000,4376139
2026-02-13,76.740000,77.580000,76.140000,77.310000,3113777
2026-02-17,78.060000,78.720000,76.790000,78.580000,2950380
2026-02-18,78.880000,79.680000,78.713500,79.220000,2891203
2026-02-19,78.660000,79.360000,77.555000,78.100000,2752999
2026-02-20,78.290000,79.140000,77.230000,79.100000,2726428
2026-02-23,78.790000,79.300000,74.131000,75.240000,5574870
2026-02-24,75.100000,76.095000,73.240000,75.340000,3735839
2026-02-25,75.800000,75.990000,74.225000,75.310000,4443818
2026-02-26,75.750000,77.100000,74.830000,75.940000,4335131
2026-02-27,75.070000,75.205000,71.610000,72.070000,8909007
2026-03-02,71.570000,73.730000,70.930000,73.240000,4054763
2026-03-03,71.980000,72.820000,69.580000,72.670000,6436197
2026-03-04,72.790000,73.810000,72.300000,73.320000,3292466
2026-03-05,72.490000,73.050000,71.650000,72.940000,4740751
2026-03-06,71.300000,71.900000,69.550000,71.830000,3844280
2026-03-09,70.690000,71.040000,68.840000,70.770000,5285416
2026-03-10,71.030000,71.980000,69.720000,70.600000,3324708
2026-03-11,70.730000,70.885000,69.255000,69.960000,4169213
2026-03-12,68.900000,69.641800,68.130000,68.790000,5062778
2026-03-13,69.320000,69.545000,67.850000,67.970000,3210677
2026-03-16,68.600000,69.635000,68.490000,69.160000,2972125
2026-03-17,70.140000,71.130000,69.300000,69.300000,3583057
2026-03-18,68.880000,69.600000,68.510000,68.600000,3813799
2026-03-19,68.430000,69.060000,67.580000,68.610000,4306179
2026-03-20,68.485000,69.000000,67.800000,68.560000,6671923
2026-03-23,70.320000,70.465000,68.940000,69.180000,3298092
2026-03-24,68.050000,70.270000,67.860000,69.890000,3083941
2026-03-25,70.580000,71.180000,69.480000,70.390000,2512188
2026-03-26,70.230000,71.100000,69.350000,69.740000,3172419
2026-03-27,69.400000,69.400000,67.330000,67.700000,4402424
2026-03-30,68.340000,69.110000,67.610000,68.270000,3346034
2026-03-31,69.720000,70.885000,68.520000,70.720000,4989609
2026-04-01,71.100000,72.125000,70.425000,71.170000,3306020
2026-04-02,70.130000,71.460000,69.500000,70.720000,2559060
2026-04-06,70.530000,71.220000,70.460000,71.040000,2267441
2026-04-07,70.620000,71.640000,70.620000,71.200000,3606123
2026-04-08,73.200000,74.500000,72.915000,74.340000,4344232
2026-04-09,73.780000,75.390000,73.587500,74.650000,3697659
2026-04-10,74.610000,74.610000,73.410000,73.880000,2340379
2026-04-13,73.220000,75.560000,73.220000,75.360000,3913390
2026-04-14,75.410000,76.580000,75.030000,76.040000,3509148
2026-04-15,76.140000,77.900000,76.140000,77.520000,4056034
2026-04-16,77.690000,78.130000,76.900000,77.090000,3584116
2026-04-17,77.440000,78.610000,77.335000,78.080000,4789267
2026-04-20,77.800000,78.410000,77.241000,77.700000,2401284
2026-04-21,77.630000,78.360000,77.351000,77.480000,2316901
2026-04-22,77.530000,77.869900,76.440000,76.970000,2951391
2026-04-23,76.840000,77.090000,75.405000,76.060000,3216545
2026-04-24,76.320000,77.790000,75.790100,77.700000,3533459
2026-04-27,78.000000,78.300000,77.260000,77.670000,2927414
2026-04-28,78.280000,79.120000,77.800000,78.280000,2978688
2026-04-29,78.680000,79.260000,78.250000,78.960000,3065359
2026-04-30,78.550000,80.400000,78.070000,80.100000,3670190
2026-05-01,80.250000,81.080700,79.440000,80.230000,3211079
2026-05-04,79.680000,80.245100,78.720000,78.950000,2269307
2026-05-05,79.150000,80.635000,78.970000,79.900000,2757265
2026-05-06,81.000000,81.590000,80.040000,80.160000,3283065
2026-05-07,80.560000,81.190000,78.015000,78.820000,4476055
2026-05-08,79.050000,79.450000,77.610000,78.080000,3051008
2026-05-11,78.350000,78.850000,77.225000,77.980000,3137181
2026-05-12,77.510000,78.820000,76.640000,78.640000,2830982
2026-05-13,78.410000,78.830000,77.925000,78.080000,4316513
2026-05-14,78.590000,79.750000,78.550000,79.180000,2611985
2026-05-15,79.030000,79.850000,78.250000,79.780000,3070967
2026-05-18,79.700000,81.490000,79.475000,81.410000,3878013
2026-05-19,81.600000,81.980000,80.290000,81.070000,3017309
2026-05-20,81.620000,82.860000,80.555000,82.510000,3006043
2026-05-21,82.910000,84.380000,82.190000,84.300000,4190171
2026-05-22,84.370000,85.290000,83.890000,84.060000,3779306
2026-05-26,83.820000,84.520000,82.820000,83.270000,3380960
2026-05-27,83.600000,84.220000,83.010000,83.200000,2669294
2026-05-28,82.820000,83.170000,81.820000,81.960000,2838578
2026-05-29,81.860000,83.650000,81.660100,82.690000,6938693
2026-06-01,81.570000,82.890000,81.360000,81.840000,3065789
2026-06-02,81.550000,83.725000,81.510000,82.820000,3230234
2026-06-03,82.070000,82.355000,80.510100,80.960000,3427815
