d,o,h,l,c,v
2024-07-25,74.350000,76.440000,74.280000,74.770000,1785166
2024-07-26,74.920000,76.220000,74.900000,75.790000,2667739
2024-07-29,75.790000,76.815000,75.460000,76.120000,1620988
2024-07-30,75.780000,77.210000,75.780000,76.870000,1701566
2024-07-31,76.910000,77.900000,76.375000,77.010000,2291046
2024-08-01,77.130000,78.145000,76.330000,78.060000,1434608
2024-08-02,78.590000,79.310000,76.860000,78.820000,2183204
2024-08-05,78.770000,79.370000,75.970000,76.290000,2940445
2024-08-06,76.600000,78.110000,76.600000,76.890000,2682862
2024-08-07,76.970000,78.690000,76.650000,77.610000,1567999
2024-08-08,77.140000,78.050000,76.980000,77.870000,1398050
2024-08-09,77.920000,77.970000,76.840000,77.630000,1158556
2024-08-12,77.490000,77.490000,76.390000,76.480000,1098110
2024-08-13,76.670000,77.430000,76.400000,77.320000,761806
2024-08-14,77.780000,78.780000,77.300000,77.960000,1422484
2024-08-15,78.180000,78.180000,76.530000,76.840000,1419408
2024-08-16,76.810000,77.470000,76.580000,77.180000,1566137
2024-08-19,77.310000,78.580000,77.180000,78.160000,1540503
2024-08-20,77.980000,78.340000,77.720000,78.100000,978277
2024-08-21,78.340000,79.260000,77.950000,78.790000,987713
2024-08-22,78.960000,79.180000,78.150000,78.710000,844250
2024-08-23,78.890000,79.380000,78.590000,79.300000,1014178
2024-08-26,79.360000,80.100000,79.140000,79.170000,948952
2024-08-27,79.220000,79.800000,78.662000,79.260000,1044391
2024-08-28,79.050000,80.150000,78.750000,79.700000,1521278
2024-08-29,79.990000,80.090000,78.740000,79.030000,974848
2024-08-30,79.240000,80.110000,79.240000,80.030000,1902919
2024-09-03,80.040000,81.880000,79.981800,81.200000,2563007
2024-09-04,81.220000,82.680000,80.950000,82.070000,3501069
2024-09-05,82.610000,83.480000,82.205000,83.040000,2531765
2024-09-06,83.080000,83.580000,82.650000,82.880000,1444960
2024-09-09,83.040000,83.835000,82.320000,83.240000,2787876
2024-09-10,83.510000,84.495000,83.275000,83.790000,1781163
2024-09-11,83.560000,83.560000,82.200000,82.590000,1160326
2024-09-12,82.350000,83.270000,81.870000,83.170000,1408425
2024-09-13,83.210000,83.970000,83.010000,83.760000,1210860
2024-09-16,84.500000,85.490000,84.200000,84.760000,1148911
2024-09-17,84.730000,85.240000,84.380000,84.500000,1251499
2024-09-18,84.250000,84.710000,83.530000,83.920000,1355457
2024-09-19,83.980000,84.000000,82.540000,83.340000,1735356
2024-09-20,83.220000,83.290000,82.560000,82.990000,4289009
2024-09-23,82.920000,83.755000,82.658000,83.190000,1554312
2024-09-24,83.040000,83.810000,82.730000,83.760000,1938994
2024-09-25,84.040000,84.040000,83.120000,83.380000,1246806
2024-09-26,83.100000,83.600000,82.780000,83.250000,1613006
2024-09-27,83.600000,84.290000,83.060000,83.240000,2037412
2024-09-30,83.150000,83.220000,81.920000,82.300000,3215630
2024-10-01,83.320000,84.810000,81.590000,84.090000,4415884
