d,o,h,l,c,v
2024-07-25,540.530000,559.360000,539.450000,547.040000,647339
2024-07-26,554.300000,572.980000,547.100000,565.620000,379202
2024-07-29,566.760000,579.530000,562.815000,576.850000,509470
2024-07-30,589.500000,595.790000,579.730000,585.020000,479761
2024-07-31,590.000000,603.320000,582.220000,593.350000,563945
2024-08-01,593.070000,594.950000,579.350000,584.890000,463186
2024-08-02,576.960000,578.000000,560.480000,568.250000,402907
2024-08-05,552.000000,562.850000,541.800000,552.360000,469956
2024-08-06,538.530000,555.180000,531.790000,544.840000,653321
2024-08-07,550.920000,554.897500,537.550000,538.290000,588006
2024-08-08,540.370000,549.730000,527.740000,538.980000,829668
2024-08-09,536.610000,541.130000,523.280000,533.550000,666034
2024-08-12,532.500000,533.762500,521.990000,525.110000,613892
2024-08-13,528.360000,533.040000,522.710000,527.050000,453256
2024-08-14,531.300000,535.289300,523.830000,525.450000,386072
2024-08-15,533.710000,542.790000,526.520000,539.800000,435619
2024-08-16,542.010000,542.220000,533.060000,534.930000,537194
2024-08-19,536.190000,536.310000,528.195000,534.510000,340076
2024-08-20,536.700000,540.150000,533.500000,536.400000,327948
2024-08-21,541.000000,544.347000,537.720000,539.700000,277002
2024-08-22,541.020000,545.450000,535.760000,542.230000,333935
2024-08-23,546.540000,563.550000,544.990000,556.920000,444695
2024-08-26,560.000000,564.210000,541.710000,543.440000,442141
2024-08-27,540.200000,540.200000,513.520000,518.570000,773966
2024-08-28,520.000000,522.210000,513.000000,514.230000,542182
2024-08-29,516.380000,527.370000,516.380000,523.990000,462156
2024-08-30,526.460000,536.355000,523.090000,534.160000,538800
2024-09-03,528.500000,531.860000,517.450000,519.450000,509999
2024-09-04,523.000000,523.290000,503.740000,511.260000,795845
2024-09-05,509.830000,512.544300,501.005000,506.070000,509935
2024-09-06,509.620000,514.710000,501.980000,502.480000,457801
2024-09-09,505.940000,509.950000,502.660000,506.180000,374237
2024-09-10,509.250000,511.530000,501.110000,507.200000,319547
2024-09-11,505.450000,508.910000,490.050000,507.790000,443368
2024-09-12,509.400000,517.250000,507.495600,515.330000,312166
2024-09-13,515.130000,523.335000,513.440000,520.680000,427578
2024-09-16,522.700000,532.220000,520.120000,529.780000,353591
2024-09-17,531.950000,537.060000,527.410000,534.040000,366146
2024-09-18,538.000000,543.270000,530.100000,534.010000,450324
2024-09-19,548.090000,550.520000,537.490000,548.710000,395522
2024-09-20,553.900000,555.875000,543.870000,546.290000,916041
2024-09-23,545.700000,548.090000,536.440000,545.400000,402672
2024-09-24,545.750000,548.200000,530.850000,535.920000,469020
2024-09-25,540.880000,543.690000,532.370000,536.010000,401361
2024-09-26,545.310000,555.840000,538.390000,539.650000,491623
2024-09-27,538.260000,544.201500,533.530000,539.110000,416282
2024-09-30,536.350000,539.810000,529.200000,538.250000,549992
2024-10-01,536.300000,538.180000,527.320000,534.980000,426537
2024-10-02,529.860000,532.470000,518.270600,521.050000,624666
2024-10-03,522.100000,524.425000,515.695000,521.230000,427630
2024-10-04,526.360000,528.910000,518.795000,524.110000,303656
2024-10-07,520.000000,521.985000,515.900000,518.650000,363163
2024-10-08,521.740000,524.930000,516.280000,523.990000,345601
2024-10-09,523.990000,534.230000,521.000000,531.160000,281557
2024-10-10,526.170000,539.700000,523.000000,534.520000,291782
2024-10-11,532.780000,545.970000,532.780000,544.900000,270725
2024-10-14,543.990000,553.090000,542.000000,552.350000,330705
2024-10-15,554.710000,572.650000,554.710000,561.890000,414255
2024-10-16,562.060000,571.470000,558.240000,570.900000,439721
2024-10-17,574.470000,578.935000,569.800000,573.450000,435163
2024-10-18,575.540000,582.645000,567.410000,581.000000,354137
2024-10-21,580.120000,580.410000,573.270000,577.530000,363194
2024-10-22,575.360000,575.360000,560.640000,560.950000,307392
2024-10-23,559.840000,564.325400,556.310000,562.790000,313495
2024-10-24,562.580000,571.945000,559.510100,570.650000,381817
2024-10-25,577.750000,580.280000,567.640000,570.210000,248678
2024-10-28,574.470000,579.909900,573.320000,578.270000,430342
2024-10-29,574.230000,584.260000,571.130000,583.880000,647917
2024-10-30,583.000000,610.335000,575.210000,604.850000,917533
2024-10-31,596.630000,601.530000,592.280000,592.340000,629279
2024-11-01,594.570000,596.420000,580.050000,580.140000,496750
2024-11-04,580.980000,582.820000,577.520000,581.980000,326340
2024-11-05,580.110000,587.130000,580.110000,582.520000,569653
2024-11-06,610.250000,633.230000,610.250000,617.310000,1163559
2024-11-07,622.450000,622.450000,614.640000,617.160000,516969
2024-11-08,618.690000,624.110000,617.150000,619.580000,402853
2024-11-11,624.590000,626.110000,615.345000,616.050000,379414
2024-11-12,613.610000,614.020000,605.640100,606.790000,312325
2024-11-13,607.000000,610.250000,603.330000,605.260000,507122
2024-11-14,604.330000,606.970000,586.640000,587.960000,469835
