d,o,h,l,c,v
2025-08-01,35.760000,35.800000,34.730000,35.320000,4253138
2025-08-04,35.415000,35.775000,35.200000,35.520000,3599643
2025-08-05,35.640000,35.980000,35.170000,35.680000,4535732
2025-08-06,31.950000,32.920000,30.090000,30.930000,17983851
2025-08-07,31.190000,31.870000,30.710000,31.680000,8215777
2025-08-08,31.960000,32.290000,31.560000,31.980000,5400005
2025-08-11,32.040000,32.650000,32.032500,32.500000,5291496
2025-08-12,32.470000,32.500000,31.130000,31.190000,8979498
2025-08-13,31.390000,32.240000,31.210000,32.210000,4027014
2025-08-14,32.040000,32.120000,31.740000,32.100000,3417026
2025-08-15,32.180000,32.595000,32.050000,32.470000,3387203
2025-08-18,32.430000,32.520000,31.900000,32.300000,6547139
2025-08-19,32.270000,32.760000,32.145000,32.240000,3892328
2025-08-20,32.430000,32.720000,32.040000,32.450000,3590801
2025-08-21,32.300000,32.690000,32.245000,32.610000,3496378
2025-08-22,32.730000,32.840000,32.265000,32.550000,3294804
2025-08-25,32.680000,34.010000,32.380000,33.130000,7378286
2025-08-26,33.060000,33.330000,32.800000,33.300000,5166741
2025-08-27,33.070000,33.740000,33.000000,33.490000,3639668
2025-08-28,33.600000,33.970000,33.065000,33.950000,3125523
2025-08-29,33.890000,34.080000,33.140000,33.400000,2972281
2025-09-02,33.160000,33.400000,32.970000,33.250000,3177539
2025-09-03,32.970000,33.030000,32.610000,32.690000,3390588
2025-09-04,32.420000,32.650000,32.130000,32.620000,4285471
2025-09-05,32.880000,33.060000,32.214600,32.450000,4273310
2025-09-08,32.440000,33.020000,32.350000,32.580000,4959867
2025-09-09,32.710000,32.740000,32.085000,32.160000,3232688
2025-09-10,32.210000,33.550000,32.170000,33.410000,4756757
2025-09-11,33.340000,33.810000,33.260000,33.680000,5408540
2025-09-12,33.600000,33.800000,33.490000,33.650000,3338871
2025-09-15,33.720000,34.585000,33.545000,34.050000,4556427
2025-09-16,34.010000,34.240000,33.450000,33.820000,3834629
2025-09-17,34.050000,34.507400,33.820000,34.160000,3969803
2025-09-18,34.020000,34.360000,33.430000,34.220000,3572970
2025-09-19,34.150000,34.320000,33.860000,33.980000,4302217
2025-09-22,33.860000,33.875000,33.251000,33.430000,3230613
2025-09-23,33.670000,34.120000,33.420000,33.970000,2864312
2025-09-24,34.170000,36.035000,34.050000,35.930000,5158347
2025-09-25,36.140000,36.995000,34.200000,34.790000,9841195
2025-09-26,34.790000,35.518500,34.310000,35.320000,3606382
2025-09-29,35.310000,35.590000,34.380000,34.700000,3427135
2025-09-30,34.680000,34.899900,34.435000,34.680000,3493573
2025-10-01,34.710000,34.810000,33.745000,33.820000,3234206
2025-10-02,33.960000,35.220000,33.910000,34.760000,4140954
2025-10-03,34.850000,35.350000,34.430000,34.530000,2767776
2025-10-06,34.450000,35.620000,34.450000,35.340000,4669504
2025-10-07,35.510000,35.800000,34.980000,35.410000,4018039
2025-10-08,35.860000,36.000000,34.262500,34.790000,4484832
2025-10-09,34.890000,35.180000,33.250000,33.440000,4730182
2025-10-10,30.600000,31.240000,29.635000,30.350000,11969362
2025-10-13,30.620000,31.550000,30.510000,30.990000,4916353
2025-10-14,30.520000,30.760000,29.850000,29.950000,5723997
2025-10-15,30.200000,30.390000,29.670000,29.790000,4914697
2025-10-16,29.950000,30.720000,29.360000,29.430000,8602893
2025-10-17,29.200000,29.730000,28.932500,29.320000,4533557
2025-10-20,29.380000,29.630000,29.080000,29.580000,5475129
2025-10-21,29.340000,29.460300,28.920000,29.190000,4461542
2025-10-22,29.250000,29.830000,28.945000,29.650000,8983045
2025-10-23,30.280000,30.280000,29.600000,29.650000,3900449
2025-10-24,29.970000,30.040000,29.625000,29.980000,3889986
2025-10-27,30.360000,30.610000,29.445000,29.560000,3654060
2025-10-28,29.270000,29.700000,29.080000,29.380000,3012978
2025-10-29,29.230000,29.397000,28.500000,28.650000,4070459
2025-10-30,28.440000,28.465000,27.350000,27.710000,6039024
2025-10-31,27.710000,28.060000,27.350000,27.450000,7273754
2025-11-03,27.350000,27.430000,26.800000,27.260000,8334606
2025-11-04,26.750000,26.830000,26.240100,26.550000,9709826
2025-11-05,27.800000,27.847500,25.800000,26.220000,11955933
2025-11-06,26.135000,26.359900,24.850000,24.920000,12181648
2025-11-07,25.115000,25.715000,24.985000,25.580000,8226651
2025-11-10,25.840000,26.070000,25.240000,25.890000,8265463
2025-11-11,25.500000,25.895000,25.030000,25.710000,6901484
2025-11-12,25.490000,25.890000,25.375000,25.460000,5818204
2025-11-13,25.630000,25.990000,25.485000,25.550000,5211906
2025-11-14,25.375000,26.230000,25.375000,26.050000,6154098
2025-11-17,25.920000,26.010000,24.480000,24.520000,7404165
2025-11-18,24.520000,24.750000,24.310000,24.680000,6248615
2025-11-19,24.540000,24.709000,24.180000,24.500000,5993825
2025-11-20,24.580000,24.790000,23.880000,23.930000,9073914
2025-11-21,24.000000,24.440000,23.815000,24.170000,5659191
2025-11-24,24.020000,24.140000,23.350000,23.600000,7784805
2025-11-25,23.720000,24.420000,23.695000,24.160000,7904022
2025-11-26,24.210000,24.410000,24.020000,24.260000,6621922
2025-11-28,24.350000,24.585000,24.300000,24.490000,6883746
2025-12-01,24.480000,25.370000,24.410000,24.960000,7366445
2025-12-02,24.960000,24.960000,24.124500,24.380000,6447371
2025-12-03,24.350000,24.600000,24.170000,24.210000,4830050
2025-12-04,24.030000,24.320000,23.885000,24.100000,4790269
2025-12-05,24.240000,24.555000,23.600000,23.610000,7299407
2025-12-08,23.630000,23.900000,23.360000,23.640000,9176824
2025-12-09,23.430000,23.885000,23.330000,23.810000,6688783
2025-12-10,23.650000,23.760000,23.318600,23.750000,7369309
2025-12-11,23.790000,25.740000,23.790000,25.190000,14195777
2025-12-12,25.580000,26.280000,25.540000,26.210000,9825811
2025-12-15,25.740000,25.990000,24.735000,24.860000,13114197
2025-12-16,24.850000,24.850000,23.440000,23.460000,13532639
2025-12-17,23.560000,24.320000,23.560000,24.030000,7517851
2025-12-18,24.450000,24.630000,23.915000,23.960000,5813859
2025-12-19,23.980000,24.270000,23.685000,23.800000,12486626
2025-12-22,24.030000,24.439200,24.000000,24.320000,6352093
2025-12-23,24.260000,24.580000,24.070000,24.290000,4728724
2025-12-24,24.350000,24.380000,24.160000,24.240000,1619321
2025-12-26,24.280000,24.390000,24.030000,24.310000,3919463
2025-12-29,24.100000,24.265000,23.845000,24.060000,5222772
2025-12-30,24.140000,24.375000,24.130000,24.150000,4049954
2025-12-31,24.130000,24.305000,24.030000,24.090000,4509429
2026-01-02,24.100000,25.365000,23.990000,25.020000,6577363
2026-01-05,25.210000,25.420000,24.480000,24.870000,6452625
2026-01-06,24.960000,25.235000,24.700000,25.160000,6406801
2026-01-07,25.220000,25.560000,24.690000,25.300000,6069328
2026-01-08,25.410000,26.827300,25.340000,26.480000,10001416
2026-01-09,26.720000,27.250000,25.765000,25.980000,8657204
2026-01-12,26.010000,26.200000,25.420000,25.720000,6785451
2026-01-13,26.440000,26.760000,26.060000,26.210000,7252517
2026-01-14,27.050000,28.170000,27.030000,27.640000,12120908
2026-01-15,27.840000,28.150000,27.110000,27.580000,6496279
2026-01-16,26.480000,26.880000,25.850000,26.350000,14229346
2026-01-20,26.330000,27.140000,26.320000,27.030000,7108684
2026-01-21,27.430000,27.875000,27.130000,27.650000,7147270
2026-01-22,27.820000,28.785000,27.700000,28.160000,10595707
2026-01-23,28.240000,29.130000,28.200000,28.790000,6428554
2026-01-26,29.090000,29.120000,28.220000,28.330000,5731670
2026-01-27,28.290000,28.850000,28.075000,28.440000,4263994
2026-01-28,28.770000,29.070000,27.780000,28.140000,5322825
2026-01-29,28.550000,29.040000,27.750000,28.040000,4743393
2026-01-30,27.500000,28.080000,27.160000,27.500000,8286016
2026-02-02,27.390000,27.680000,26.670000,27.270000,8003173
2026-02-03,27.300000,28.370000,27.300000,28.310000,6098265
2026-02-04,28.300000,28.957800,28.210000,28.820000,7078344
2026-02-05,28.550000,28.880000,27.350000,27.760000,6604025
2026-02-06,28.000000,28.700000,27.900000,28.600000,4542036
2026-02-09,28.580000,29.700000,28.531400,29.560000,5069353
2026-02-10,29.740000,30.205000,29.590000,30.120000,5484752
2026-02-11,30.510000,31.280000,30.415000,31.140000,6303120
2026-02-12,31.000000,31.100000,29.630000,29.770000,6101727
2026-02-13,29.370000,29.910000,29.120000,29.650000,4223971
2026-02-17,29.580000,29.830000,28.755000,29.080000,4438077
2026-02-18,29.080000,29.610000,28.840000,29.440000,4375524
2026-02-19,29.665000,30.410000,29.510000,30.160000,5271103
2026-02-20,30.150000,30.565000,29.340000,29.430000,5194058
2026-02-23,29.060000,29.240000,28.090000,28.730000,6846994
2026-02-24,28.980000,29.185000,28.300000,28.490000,6727416
2026-02-25,27.560000,27.940000,26.520000,26.980000,13635996
2026-02-26,26.340000,27.540000,26.310000,27.160000,8802355
2026-02-27,27.360000,27.910000,26.850000,27.840000,6439802
2026-03-02,29.000000,29.020000,27.170000,27.510000,8420877
2026-03-03,26.750000,27.320000,25.990000,26.780000,7900753
2026-03-04,26.700000,26.908300,25.621000,26.010000,10268500
2026-03-05,26.000000,27.410000,25.780100,26.280000,10690192
2026-03-06,26.620000,27.139900,26.005000,26.310000,9676657
2026-03-09,26.250000,27.260000,25.380000,26.920000,11434775
2026-03-10,26.730000,26.920000,26.050000,26.480000,8100155
2026-03-11,27.260000,29.230000,27.220000,29.150000,14473197
2026-03-12,31.050000,32.250000,30.280000,31.360000,28170224
2026-03-13,31.250000,31.342500,29.110000,29.310000,18706901
2026-03-16,28.620000,28.719400,27.660000,27.670000,15738859
2026-03-17,27.730000,29.325000,27.520000,28.830000,12108713
2026-03-18,29.310000,29.390000,27.750000,27.780000,9419202
2026-03-19,27.790000,28.243000,26.130000,26.200000,14169624
2026-03-20,25.830000,26.030000,23.590000,23.590000,21772081
2026-03-23,23.430000,24.290000,23.060000,24.080000,13761342
2026-03-24,24.330000,25.480000,24.180000,25.200000,12814677
2026-03-25,25.140000,26.220000,24.780000,26.190000,12333768
2026-03-26,25.400000,26.190000,24.420000,25.000000,11879838
2026-03-27,25.000000,25.450000,24.760000,25.000000,9436820
2026-03-30,25.275000,25.730000,24.755000,25.000000,9735365
2026-03-31,24.960000,25.680000,24.750000,25.500000,10775032
2026-04-01,25.500000,26.580000,25.120000,26.540000,11277244
2026-04-02,26.950000,26.950000,25.885000,26.170000,7987669
2026-04-06,26.370000,26.770000,26.150000,26.510000,4213127
2026-04-07,26.620000,27.130000,26.210000,26.370000,6016047
2026-04-08,25.650000,26.680000,25.175000,26.620000,9285874
2026-04-09,26.610000,27.150000,25.195000,25.270000,7483240
2026-04-10,25.380000,25.620000,24.490000,24.760000,6863095
2026-04-13,25.130000,25.539900,24.480000,24.540000,10224427
2026-04-14,24.510000,24.592200,23.910000,23.940000,10716476
2026-04-15,23.860000,24.310000,23.545000,23.730000,10006475
2026-04-16,24.110000,24.840000,23.770000,24.730000,10021645
2026-04-17,24.230000,24.660000,24.070000,24.570000,11529857
2026-04-20,24.260000,24.349900,23.910000,24.110000,9927643
2026-04-21,24.170000,24.600000,24.040000,24.200000,5423173
2026-04-22,24.440000,24.945000,24.220000,24.520000,6504070
2026-04-23,24.440000,24.670000,24.035000,24.280000,6356809
2026-04-24,24.200000,24.279900,23.490000,24.000000,8078496
2026-04-27,24.200000,24.500000,22.940000,23.220000,12511177
2026-04-28,23.490000,23.600000,22.740000,23.190000,9589471
2026-04-29,23.240000,23.270000,22.745000,23.030000,6486894
2026-04-30,22.950000,23.590000,22.900000,23.270000,7750312
2026-05-01,23.370000,23.510000,22.922000,23.150000,5394807
2026-05-04,23.110000,23.335000,22.890000,22.970000,6329841
2026-05-05,22.890000,23.319900,22.740000,23.260000,6779738
2026-05-06,23.250000,23.870000,22.980000,23.560000,7914744
2026-05-07,23.550000,23.595400,22.880000,22.910000,6838448
2026-05-08,22.970000,23.270000,22.170000,22.190000,9629272
2026-05-11,21.890000,22.420000,21.170100,21.790000,17351443
2026-05-12,21.850000,22.550000,21.310000,22.390000,11121360
2026-05-13,22.670000,23.585000,22.500000,22.780000,12140463
2026-05-14,22.780000,22.867800,22.190000,22.680000,7647835
2026-05-15,22.260000,22.445000,21.720000,21.760000,8650029
2026-05-18,21.720000,21.900000,21.110000,21.410000,8860071
2026-05-19,21.290000,21.690000,20.890000,21.400000,8792031
2026-05-20,21.250000,21.965000,21.150000,21.860000,7990115
2026-05-21,21.600000,22.160000,21.370000,21.940000,6668096
