d,o,h,l,c,v
2024-07-25,535.290000,545.542500,529.610000,538.210000,586390
2024-07-26,539.000000,545.370000,532.240000,540.550000,439620
2024-07-29,540.580000,542.770000,536.170000,542.630000,351969
2024-07-30,545.200000,547.670000,540.000000,546.260000,383847
2024-07-31,548.430000,549.716000,538.550000,540.760000,407941
2024-08-01,542.120000,555.330000,542.120000,547.900000,599451
2024-08-02,543.200000,545.840000,530.420000,539.850000,635048
2024-08-05,530.000000,531.470000,517.275000,517.430000,581925
2024-08-06,520.200000,532.210000,520.200000,526.110000,465551
2024-08-07,530.570000,537.980000,523.570000,524.390000,336481
2024-08-08,527.200000,534.430000,524.410000,530.740000,288098
2024-08-09,531.420000,537.185000,530.880000,533.830000,250101
2024-08-12,532.690000,535.840000,529.970000,532.410000,536260
2024-08-13,534.760000,548.380000,534.660000,546.450000,384962
2024-08-14,546.290000,558.860000,545.375000,554.330000,867834
2024-08-15,555.350000,566.295000,553.780000,563.140000,841250
2024-08-16,560.850000,565.020000,556.545000,561.660000,365234
2024-08-19,562.400000,565.060000,557.860000,560.530000,390424
2024-08-20,561.960000,571.600000,557.700000,563.000000,359123
2024-08-21,561.890000,563.545000,556.600100,561.640000,477122
2024-08-22,562.390000,566.770000,562.390000,564.730000,373045
2024-08-23,567.220000,573.290000,566.090000,571.190000,380658
2024-08-26,574.290000,579.290000,572.240000,575.630000,382541
2024-08-27,575.430000,585.750000,572.430900,584.910000,477482
2024-08-28,583.240000,585.930000,573.960000,580.150000,510932
2024-08-29,581.090000,588.670000,578.120000,582.090000,391409
2024-08-30,582.720000,585.155000,573.215000,580.590000,325424
2024-09-03,581.530000,583.395000,570.260000,573.470000,343453
2024-09-04,573.500000,578.130000,568.390000,572.940000,304385
2024-09-05,574.440000,574.440000,561.875000,570.660000,362374
2024-09-06,567.220000,572.415000,557.800000,559.850000,429718
2024-09-09,565.290000,567.539900,557.130000,558.340000,524654
2024-09-10,560.150000,565.270000,555.275000,562.350000,404999
