d,o,h,l,c,v
2024-07-25,171.480000,176.440000,171.430000,173.510000,1057265
2024-07-26,173.780000,175.400000,173.300000,174.900000,980508
2024-07-29,174.880000,175.095000,171.790000,172.180000,828972
2024-07-30,173.450000,174.990000,172.825000,173.610000,793222
2024-07-31,172.900000,175.180000,172.000000,172.170000,912751
2024-08-01,172.150000,173.440000,165.910000,166.850000,968702
2024-08-02,163.510000,164.170000,159.140000,162.290000,1311270
2024-08-05,157.930000,161.720000,155.100000,159.970000,1354412
2024-08-06,161.590000,163.400000,159.575000,160.310000,959839
2024-08-07,163.000000,164.420000,159.470500,159.760000,735991
2024-08-08,160.960000,162.940000,160.500000,162.170000,764572
2024-08-09,161.780000,163.100000,161.330000,162.230000,460201
2024-08-12,163.230000,164.880000,159.230000,160.010000,526881
2024-08-13,161.000000,161.000000,158.185000,160.330000,764077
2024-08-14,160.750000,160.810000,159.210000,160.160000,926152
2024-08-15,160.860000,163.130000,160.750000,161.550000,1131365
2024-08-16,161.020000,163.580000,161.020000,163.090000,862080
2024-08-19,163.090000,164.820000,163.050000,164.400000,643586
2024-08-20,163.490000,163.673600,162.010000,162.260000,677310
2024-08-21,162.880000,163.010000,161.145000,162.910000,673487
2024-08-22,163.420000,165.310000,163.065000,164.630000,664362
2024-08-23,165.840000,170.880000,165.465000,168.680000,890995
2024-08-26,169.790000,169.950000,166.810000,167.150000,923782
2024-08-27,166.900000,167.902400,166.070000,167.400000,587222
2024-08-28,167.380000,170.910000,167.160000,170.430000,1010805
2024-08-29,170.850000,171.530000,168.780000,169.990000,542079
2024-08-30,170.800000,172.380000,169.950000,172.110000,753895
2024-09-03,172.170000,173.285000,170.450000,171.320000,919836
2024-09-04,170.800000,171.350000,167.890000,168.960000,994745
2024-09-05,170.600000,171.040000,168.140000,168.800000,919612
2024-09-06,168.440000,170.860000,165.150000,166.510000,1021386
2024-09-09,166.660000,169.670000,166.580000,168.780000,799632
2024-09-10,169.150000,169.150000,163.600000,167.150000,813605
2024-09-11,166.655000,166.720000,161.400000,165.890000,1053823
2024-09-12,165.950000,167.670000,163.940000,165.680000,740882
2024-09-13,166.680000,169.340000,166.680000,168.880000,1096470
2024-09-16,169.610000,173.450000,168.970100,173.080000,1308231
2024-09-17,173.940000,175.980000,172.720000,173.820000,1097673
2024-09-18,173.840000,177.610000,172.820000,174.050000,1119170
2024-09-19,176.860000,180.190000,174.910000,179.860000,1512521
2024-09-20,178.900000,180.250000,177.350000,179.560000,2520086
2024-09-23,179.210000,180.635000,176.460000,177.620000,1272881
