d,o,h,l,c,v
2025-08-01,71.430000,71.790000,70.340000,70.400000,6628715
2025-08-04,70.500000,71.205000,70.180000,70.530000,6543554
2025-08-05,70.860000,71.935000,70.655000,71.180000,7178889
2025-08-06,71.440000,71.510000,70.490000,70.540000,7720218
2025-08-07,70.670000,72.660000,70.670000,72.580000,7418564
2025-08-08,72.660000,73.000000,72.230200,72.410000,5575995
2025-08-11,72.800000,73.015000,71.120000,72.450000,8420031
2025-08-12,72.690000,72.780000,71.140000,71.860000,8671482
2025-08-13,71.900000,72.310000,71.200000,72.300000,8122597
2025-08-14,71.800000,72.510000,71.350100,72.240000,6780960
2025-08-15,72.240000,76.695000,71.780000,75.410000,23398404
2025-08-18,76.110000,77.310000,75.310000,75.720000,12568355
2025-08-19,75.800000,76.575000,75.450000,76.510000,8047317
2025-08-20,76.720000,77.260000,75.830000,76.180000,11012036
2025-08-21,76.470000,77.420000,75.585000,76.080000,8637112
2025-08-22,76.650000,77.090000,75.425000,76.320000,13129288
2025-08-25,75.810000,76.200000,75.110000,75.320000,6338079
2025-08-26,75.440000,75.750000,74.430000,74.840000,7162661
2025-08-27,74.910000,75.010000,73.400000,73.890000,10119019
2025-08-28,73.260000,73.480000,71.900000,72.090000,10917220
2025-08-29,72.400000,72.830000,71.820000,72.050000,11280520
2025-09-02,72.270000,72.660000,71.490000,72.650000,8661508
2025-09-03,72.120000,72.627700,71.355700,71.630000,7722299
2025-09-04,72.050000,72.500000,70.160000,70.870000,14596843
2025-09-05,71.250000,71.730000,70.255000,70.900000,10067583
2025-09-08,70.830000,70.840000,69.240000,69.770000,12596529
2025-09-09,69.660000,70.315000,69.540000,70.070000,7294486
2025-09-10,70.000000,71.330000,69.620000,71.040000,9254413
2025-09-11,70.975000,71.440000,70.510000,71.320000,7418268
2025-09-12,71.150000,72.490000,70.810000,71.640000,9345589
2025-09-15,71.580000,72.200000,71.300000,71.500000,10399059
2025-09-16,71.290000,71.540000,69.765000,69.830000,7930212
2025-09-17,70.280000,71.010000,70.100000,70.310000,10799593
2025-09-18,70.000000,71.085100,69.365200,70.790000,8488453
2025-09-19,70.980000,71.400000,70.370000,71.080000,14819314
2025-09-22,71.400000,72.540000,71.270000,72.350000,9856721
2025-09-23,72.100000,72.620000,71.725000,72.320000,7795855
2025-09-24,72.190000,73.880000,72.050800,73.830000,11281752
2025-09-25,74.060000,74.910000,73.590000,74.650000,12916529
2025-09-26,74.730000,75.860000,74.630000,75.850000,8271468
2025-09-29,75.680000,76.290000,75.270000,76.210000,10365967
2025-09-30,76.460000,76.700000,75.120000,75.490000,9392710
2025-10-01,76.325000,78.700000,76.220000,78.670000,15044766
2025-10-02,78.640000,78.890000,77.535000,78.180000,9266552
2025-10-03,78.450000,81.365000,77.650000,80.060000,12116576
2025-10-06,80.145000,82.365000,80.145000,82.110000,15767639
2025-10-07,83.130000,84.610000,82.410000,83.210000,16109689
2025-10-08,83.700000,84.390000,82.870700,84.040000,13775573
2025-10-09,84.460000,84.820000,83.450000,83.710000,7486115
2025-10-10,83.900000,84.830000,83.195000,83.350000,10285599
2025-10-13,83.125000,85.030000,83.009500,84.300000,8424314
2025-10-14,84.170000,84.840000,83.430000,84.640000,8912866
2025-10-15,85.070000,86.490000,84.830000,85.790000,9268628
2025-10-16,86.220000,86.740000,84.975000,85.050000,8333744
2025-10-17,85.450000,85.820000,84.170000,84.530000,9142163
2025-10-20,85.190000,85.340000,84.310000,84.770000,5225666
2025-10-21,85.000000,85.110000,83.030000,83.990000,7282198
2025-10-22,84.070000,84.220000,82.470000,82.840000,9208885
2025-10-23,83.890000,83.890000,82.570000,83.250000,5630797
2025-10-24,83.580000,84.775800,83.360000,84.410000,6249998
2025-10-27,83.985000,87.290000,83.790000,86.030000,18741036
2025-10-28,87.520000,87.530000,82.910000,83.570000,13998070
2025-10-29,83.300000,83.791200,81.045000,81.760000,11681472
2025-10-30,81.815000,82.580800,81.440000,81.640000,7620145
2025-10-31,81.340000,82.025000,80.861700,81.400000,9407303
2025-11-03,81.300000,82.095000,80.600000,81.780000,8508152
2025-11-04,81.780000,82.205000,80.800000,81.690000,6474545
2025-11-05,81.420000,82.630000,81.110000,82.140000,7290988
2025-11-06,82.120000,82.965000,81.990000,82.000000,6212724
2025-11-07,81.910000,84.000000,81.620000,83.930000,9167105
2025-11-10,84.180000,85.465000,83.690000,84.770000,11701677
2025-11-11,84.690000,85.830000,84.550000,85.760000,11733862
2025-11-12,85.430000,86.255000,85.010000,85.890000,7604779
2025-11-13,85.780000,85.930000,83.930000,83.990000,11859265
2025-11-14,83.510000,84.490000,82.530100,83.880000,8352489
2025-11-17,83.690000,85.770000,83.690000,85.750000,11607949
2025-11-18,86.120000,86.690000,84.620000,84.640000,11061206
2025-11-19,85.120000,85.340000,83.920000,84.270000,11138730
2025-11-20,84.790000,86.490000,84.200000,84.300000,10966990
2025-11-21,84.180000,84.670000,81.640500,83.480000,13930126
2025-11-24,83.770000,84.790000,83.010000,84.230000,13291482
2025-11-25,84.690000,85.340000,84.180000,84.830000,7916846
2025-11-26,85.250000,85.690000,84.690000,85.540000,6550698
2025-11-28,85.435000,86.470000,85.150000,86.290000,4123323
2025-12-01,85.590000,85.670000,84.390000,84.650000,7987007
2025-12-02,84.910000,85.280000,84.253500,84.580000,7086954
2025-12-03,84.660000,85.970000,84.500000,84.950000,9615114
2025-12-04,84.520000,84.810000,82.740000,83.390000,12489644
2025-12-05,83.510000,84.195000,83.060000,83.130000,8194564
2025-12-08,83.140000,83.160000,80.410000,80.550000,18136593
2025-12-09,80.800000,81.135000,79.500000,79.640000,13760424
2025-12-10,80.050000,81.920000,79.640000,81.270000,13341138
2025-12-11,81.250000,82.410000,81.065000,81.210000,9494052
2025-12-12,81.840000,82.270000,81.325000,81.650000,7783135
2025-12-15,82.010000,82.240000,80.530000,81.650000,9489842
2025-12-16,81.640000,81.846200,80.190000,81.320000,6616573
2025-12-17,80.970000,81.310000,79.650000,80.290000,10212040
2025-12-18,80.400000,81.175000,80.000000,80.850000,9201309
2025-12-19,80.570000,81.140000,79.530000,79.540000,30492276
2025-12-22,79.020000,80.175100,78.720000,80.040000,7136210
2025-12-23,80.030000,80.700000,79.750000,79.790000,7874966
2025-12-24,80.140000,80.470000,79.690100,80.450000,3011338
2025-12-26,80.480000,80.640000,80.050100,80.410000,3636427
2025-12-29,80.420000,81.250000,80.220000,80.270000,5854642
2025-12-30,80.200000,80.669000,80.150000,80.530000,4075907
2025-12-31,80.685000,80.685000,80.205000,80.280000,5036195
2026-01-02,80.450000,81.020000,79.585000,80.930000,8852857
2026-01-05,81.160000,81.340000,79.250000,81.320000,8301902
2026-01-06,81.250000,81.590000,80.504600,81.050000,7254482
2026-01-07,80.670000,80.790000,78.360000,78.370000,9859907
2026-01-08,78.450000,79.960000,78.380000,79.490000,8696735
2026-01-09,80.200000,80.920000,79.870000,79.890000,5842230
2026-01-12,79.845000,81.150000,79.520000,81.120000,11088091
2026-01-13,81.160000,81.930000,80.415000,81.640000,8542992
2026-01-14,80.940000,82.630000,80.940000,81.980000,10282419
2026-01-15,81.980000,82.670000,81.540000,82.190000,7419269
2026-01-16,83.000000,84.050000,82.140000,83.630000,12874871
2026-01-20,83.010000,83.930000,82.520000,83.510000,10054790
2026-01-21,84.040000,84.390000,83.201200,83.850000,8296598
2026-01-22,84.580000,85.510000,83.670000,85.070000,9802319
2026-01-23,85.250000,85.250000,84.200000,84.810000,13302140
2026-01-26,85.270000,86.280000,84.840000,85.470000,10990605
2026-01-27,84.500000,88.960000,83.795000,87.150000,15472297
2026-01-28,87.720000,88.620000,87.060000,87.570000,8200027
2026-01-29,88.580000,89.190000,87.640000,88.180000,11202426
2026-01-30,87.900000,88.290000,86.160000,87.900000,10205296
2026-02-02,88.140000,88.750000,86.320000,86.330000,9423138
2026-02-03,86.680000,88.890000,86.680000,88.820000,9600167
2026-02-04,89.730000,90.690000,88.960000,89.970000,12182745
2026-02-05,90.000000,90.490000,88.090000,89.210000,9799393
2026-02-06,90.530000,90.990000,88.390000,89.470000,8225154
2026-02-09,89.340000,89.780000,88.750000,89.480000,6529158
2026-02-10,89.730000,91.960000,89.270400,90.830000,7213672
2026-02-11,91.360000,91.590000,90.460000,91.360000,7304978
2026-02-12,91.380000,93.585000,91.230000,91.930000,9181583
2026-02-13,91.520000,94.940000,91.080100,93.800000,10402772
2026-02-17,94.910000,95.560000,92.280000,92.710000,9455448
2026-02-18,93.000000,93.005300,90.590000,91.220000,9064757
2026-02-19,91.060000,92.175000,91.030000,91.640000,8483548
2026-02-20,92.190000,92.450000,91.310000,92.180000,7175568
2026-02-23,92.935000,94.190000,92.590000,94.060000,8433555
2026-02-24,94.400000,95.835000,93.920000,95.680000,11597575
2026-02-25,95.695000,95.910000,93.810000,95.110000,9025534
2026-02-26,94.620000,95.000000,91.850000,91.990000,20015713
2026-02-27,90.900000,94.140000,90.650000,93.770000,25138536
2026-03-02,93.400000,93.650000,91.750000,92.710000,10147783
2026-03-03,91.350000,93.100000,90.330000,92.590000,11307700
2026-03-04,92.560000,93.100000,91.630000,92.600000,9384334
2026-03-05,92.300000,92.380000,89.901500,91.130000,12093630
2026-03-06,90.550000,91.630000,90.010000,91.020000,9745149
2026-03-09,90.270000,92.190000,89.650000,92.010000,9563640
2026-03-10,91.710000,92.140000,91.060000,91.540000,7485901
