d,o,h,l,c,v
2024-07-25,64.100000,64.998000,62.170010,63.409000,45545390
2024-07-26,64.500000,64.698990,62.977000,63.137000,31206590
2024-07-29,63.461000,63.461000,62.393000,62.696000,24005370
2024-07-30,63.017000,63.469000,61.700010,62.258000,34966090
2024-07-31,62.657000,63.359990,62.258000,62.835000,31348770
2024-08-01,62.925000,64.670990,61.761000,62.485000,37205730
2024-08-02,62.098000,62.527000,60.835000,61.364000,35230030
2024-08-05,58.704000,60.456270,58.704000,59.855000,40442350
2024-08-06,60.062000,62.245000,60.062000,60.957000,43190570
2024-08-07,61.606500,63.200000,61.064000,61.148000,31877910
2024-08-08,62.199000,63.229000,61.602000,63.035000,32835420
2024-08-09,62.299000,63.662000,62.299000,63.394000,19808360
2024-08-12,63.100000,63.900000,62.707000,63.314000,23317120
2024-08-13,63.856000,65.097000,63.550000,64.802000,26395710
2024-08-14,64.870000,66.357000,64.870000,66.168000,40143440
2024-08-15,66.849000,67.319000,65.980000,66.322000,32101730
2024-08-16,66.943000,68.023000,66.536000,67.407000,35110140
2024-08-19,67.407000,68.884000,67.291000,68.853000,30162270
2024-08-20,68.886000,71.133000,68.824500,69.854000,48131180
2024-08-21,69.700000,70.100000,69.138000,69.712000,22353430
2024-08-22,69.100000,70.150000,68.624000,68.896000,27293890
2024-08-23,69.413000,69.607000,67.863000,68.673000,23544500
2024-08-26,68.726000,69.059000,68.163760,68.844000,13541540
2024-08-27,68.853000,70.789000,68.692000,69.572000,31648780
2024-08-28,69.583000,69.667000,67.710000,68.384000,24305830
2024-08-29,69.000000,69.980000,68.607000,69.248000,21869740
2024-08-30,70.036000,70.186000,68.816000,70.135000,32667230
2024-09-03,70.010000,70.386000,67.101000,67.532000,31609640
2024-09-04,67.331000,68.465000,67.306000,67.968000,17853370
2024-09-05,67.314000,68.731000,67.186000,68.362000,18100720
2024-09-06,68.186000,68.315180,66.234000,66.577000,29912650
2024-09-09,67.400000,68.350000,67.214000,67.542000,26831110
2024-09-10,67.687000,68.058990,66.580500,67.362000,20791820
2024-09-11,67.746000,68.297000,66.080000,68.147000,23919240
2024-09-12,68.492000,69.488000,68.220000,68.680000,25884370
2024-09-13,68.001000,69.964000,68.000000,69.706000,22764820
2024-09-16,70.000000,70.302000,68.863160,69.650000,18437450
2024-09-17,70.082000,70.763000,69.837000,70.691000,22986300
2024-09-18,70.755000,70.755000,68.800000,69.047000,29844110
2024-09-19,70.500000,71.566000,69.537000,70.432000,42284800
2024-09-20,70.555000,70.667320,69.631000,70.103000,39980620
2024-09-23,70.239000,71.224990,69.916000,70.537000,32243440
2024-09-24,70.662500,72.244000,70.445000,72.226000,35657310
2024-09-25,72.100000,72.512000,71.621000,72.156000,22597750
2024-09-26,72.473000,72.526000,70.172000,71.143000,28329620
2024-09-27,70.836000,71.071000,70.125090,70.735000,23956130
2024-09-30,70.700000,71.121000,70.281920,70.927000,17115080
2024-10-01,71.364000,71.776000,69.859000,70.613000,28134820
2024-10-02,70.613000,71.621000,70.468780,71.109000,17581670
2024-10-03,70.426000,70.881000,70.000000,70.680000,22564490
2024-10-04,71.332000,72.101000,70.882000,71.970000,22301390
2024-10-07,71.475500,71.588000,69.643000,70.192000,33605200
2024-10-08,70.388000,72.506000,70.354570,72.176000,31874020
2024-10-09,71.925000,72.859000,71.887000,72.743000,19810700
2024-10-10,72.329000,73.385000,72.250000,73.029000,27678620
2024-10-11,73.490000,73.600000,72.122000,72.279000,22995250
2024-10-14,72.500000,72.661960,71.131090,71.300000,27970710
2024-10-15,71.251000,71.340000,69.978060,70.598000,29327520
2024-10-16,70.343000,70.559000,69.782000,70.200000,24942760
2024-10-17,70.435000,70.441240,67.788000,68.765000,89266720
2024-10-18,73.764000,76.628100,73.623000,76.389000,159741190
2024-10-21,76.576000,77.300000,75.660000,77.207000,60570930
2024-10-22,76.527000,76.970000,76.112000,76.424000,29872520
2024-10-23,76.283000,76.378990,74.426000,74.929000,37490070
2024-10-24,75.197000,75.582000,74.625000,75.455000,26429620
2024-10-25,75.617000,76.850000,75.353000,75.468000,28194730
2024-10-28,75.868000,75.868000,74.788000,74.912000,28624050
2024-10-29,75.113000,76.388000,74.801000,75.944000,36604330
2024-10-30,75.808000,75.979000,75.227750,75.374000,17220020
2024-10-31,75.393000,76.078990,75.223000,75.603000,30577090
2024-11-01,75.348000,76.379990,74.777000,75.610000,29968290
2024-11-04,75.314000,76.248000,74.969000,75.551000,19021940
2024-11-05,75.735000,76.752990,75.627000,76.391000,22006450
2024-11-06,77.150000,78.149000,75.738000,78.021000,36908170
2024-11-07,78.137000,79.822000,77.994000,79.654000,32950740
2024-11-08,79.736000,79.906000,78.865000,79.504000,19106260
2024-11-11,79.590000,80.682300,79.556500,80.544000,23991500
2024-11-12,80.750000,82.036970,80.375000,81.950000,28140640
2024-11-13,82.261500,83.698990,82.053680,83.047000,27677720
2024-11-14,83.367000,84.099970,83.002000,83.726000,30382310
2024-11-15,83.204000,83.204000,81.649000,82.396000,36737200
2024-11-18,81.550000,84.845000,80.933010,84.705000,40840810
2024-11-19,83.975000,87.449000,83.916000,87.132000,38142270
2024-11-20,87.998000,89.060000,86.840000,88.385000,40938430
2024-11-21,88.393000,90.800000,87.724000,89.748000,45112630
2024-11-22,89.600000,90.600000,89.300000,89.779000,32140200
2024-11-25,90.205000,90.205000,86.422000,86.559000,60142030
2024-11-26,86.749000,88.636000,86.725010,87.260000,31382590
2024-11-27,87.206000,88.095000,85.891000,87.734000,25782220
2024-11-29,88.217000,89.241000,87.668000,88.681000,20272370
2024-12-02,88.751000,90.234000,88.412000,89.774000,23889660
2024-12-03,89.436000,90.269000,88.802500,90.217000,24016340
2024-12-04,89.805000,91.596990,89.805000,91.106000,26896290
2024-12-05,91.785000,92.700000,91.110750,91.787000,28353070
2024-12-06,91.523000,93.527000,91.271000,93.474000,29553830
2024-12-09,92.800000,93.029990,90.259000,91.369000,33500820
2024-12-10,91.376000,92.288000,90.958000,91.335000,23885750
2024-12-11,92.471000,94.175000,92.308000,93.656000,35016910
2024-12-12,93.335000,93.408860,92.260000,92.555000,24861970
2024-12-13,91.681000,92.555000,90.961000,91.887000,24858290
2024-12-16,92.394000,92.894000,91.950000,92.108000,26748920
2024-12-17,92.154000,92.845000,91.642000,91.913000,24594560
2024-12-18,91.913000,92.244000,88.656000,88.955000,29381940
2024-12-19,90.818000,91.262150,89.900000,90.204000,28155120
2024-12-20,89.321000,91.992380,89.048721,90.905000,45305190
2024-12-23,91.342000,91.500000,89.910010,91.145000,23393750
2024-12-24,91.500000,93.585000,91.170000,93.212000,23202930
2024-12-26,92.840000,93.049000,91.530000,92.414000,23424180
2024-12-27,91.601000,91.813000,89.450000,90.755000,32261580
2024-12-30,89.451000,90.822990,88.971000,90.043000,22029700
2024-12-31,90.180000,90.268000,88.947000,89.132000,18758970
2025-01-02,89.550000,89.858000,87.700000,88.673000,23156850
2025-01-03,89.313000,89.883000,87.989010,88.105000,29700190
2025-01-06,88.876000,89.283000,87.169000,88.179000,34576560
2025-01-07,87.938000,88.800000,86.911000,87.919000,26498230
2025-01-08,88.000000,88.621500,87.300000,87.500000,23479490
2025-01-10,86.640000,86.641000,83.440000,83.769000,48033120
2025-01-13,83.152500,84.707000,82.914000,84.029000,30245170
2025-01-14,84.320000,84.489250,82.351900,82.840000,30376500
2025-01-15,83.644000,85.084000,83.041000,84.826000,31813830
2025-01-16,86.096000,86.898000,84.202000,84.237000,40285370
2025-01-17,85.979000,86.500000,85.213000,85.810000,36175650
2025-01-21,86.353000,91.640000,85.474500,86.968000,98513510
2025-01-22,99.802500,99.900000,95.076000,95.399000,142732050
2025-01-23,95.781000,98.500000,95.390000,98.486000,77521370
2025-01-24,98.441000,98.628000,96.768000,97.759000,45503970
2025-01-27,97.110000,98.227000,96.026000,97.189000,46342040
2025-01-28,96.671000,97.793400,95.730000,97.183000,34339720
2025-01-29,98.000000,98.764000,96.823450,97.815000,29307280
2025-01-30,98.675000,99.459000,97.001010,97.324000,38678250
2025-01-31,97.400000,99.028920,97.400000,97.676000,36187180
2025-02-03,97.300000,98.768910,96.437500,97.894000,37241970
2025-02-04,98.047000,100.800000,97.851000,99.487000,60001370
2025-02-05,98.773000,101.182500,98.668000,101.111000,39977330
2025-02-06,100.787000,101.635000,100.261000,101.568000,31342930
2025-02-07,101.700000,102.776000,100.567010,101.393000,32128530
2025-02-10,102.305000,103.285000,101.588000,102.760000,32965660
2025-02-11,102.079000,102.269000,100.295000,100.808000,33317970
2025-02-12,100.549000,102.774000,99.834730,102.731000,33889660
2025-02-13,102.662500,104.598990,102.510000,104.369000,34760680
2025-02-14,104.495000,106.450000,104.169000,105.860000,31454300
2025-02-18,106.000000,106.200000,102.374900,103.585000,42293390
2025-02-19,103.518000,104.499990,102.451000,104.333000,26000480
2025-02-20,104.346000,104.500000,101.559410,102.454000,31118310
2025-02-21,102.942000,103.238000,99.939000,100.315000,37387100
2025-02-24,100.800000,101.517000,98.448000,98.847000,44262270
2025-02-25,98.940000,99.439990,95.500000,97.724000,47383040
2025-02-26,97.760000,100.089000,97.690000,99.006000,33972050
