d,o,h,l,c,v
2025-08-01,42.450000,42.850000,42.120000,42.590000,3261810
2025-08-04,42.750000,43.510000,42.735000,43.330000,5148905
2025-08-05,43.330000,43.465000,42.760000,42.900000,6429476
2025-08-06,43.080000,43.120000,41.760000,41.840000,7779963
2025-08-07,41.590000,42.370000,41.312000,42.370000,5635481
2025-08-08,42.500000,42.655000,41.910000,42.280000,3851052
2025-08-11,42.340000,42.530000,42.100000,42.150000,3323351
2025-08-12,42.200000,42.400000,41.610000,42.360000,3799261
2025-08-13,42.520000,42.685000,42.290000,42.680000,3331202
2025-08-14,42.710000,42.830000,42.421000,42.550000,4033726
2025-08-15,42.560000,42.660000,41.800000,41.950000,3727167
2025-08-18,41.880000,42.100000,41.615000,41.710000,2796496
2025-08-19,41.720000,42.360000,41.720000,42.280000,2576506
2025-08-20,42.500000,42.810000,42.300000,42.540000,2644735
2025-08-21,42.530000,42.690000,42.224500,42.290000,2614592
2025-08-22,42.460000,42.965000,42.325000,42.940000,3793711
2025-08-25,42.630000,43.000000,42.520000,42.670000,3016705
2025-08-26,42.700000,42.700000,42.100000,42.380000,4133758
2025-08-27,42.280000,42.630000,42.260000,42.440000,2491928
2025-08-28,42.330000,42.440000,42.075000,42.140000,2184910
2025-08-29,42.210000,42.360000,42.080000,42.270000,1756597
2025-09-02,42.020000,42.388200,41.634100,42.110000,2362144
2025-09-03,41.910000,42.230000,41.615000,41.800000,2808096
2025-09-04,41.910000,41.910000,38.450000,39.830000,15860542
2025-09-05,39.475000,40.585000,39.400000,40.330000,10085283
2025-09-08,40.330000,40.520000,40.020000,40.230000,4587720
2025-09-09,40.240000,40.670000,39.990000,40.490000,2642939
2025-09-10,40.560000,40.830000,40.380000,40.730000,2721967
2025-09-11,40.720000,41.200000,40.450000,41.130000,4422746
2025-09-12,40.830000,41.200000,40.750000,41.010000,2379918
2025-09-15,41.040000,41.140000,40.540000,40.540000,4361245
2025-09-16,40.410000,40.560000,39.295000,39.370000,5385431
2025-09-17,39.580000,40.080000,39.440000,39.610000,4378217
2025-09-18,39.500000,40.310000,39.330000,40.160000,6090767
2025-09-19,40.250000,40.570000,40.100000,40.320000,5497375
2025-09-22,40.580000,41.740000,40.520000,41.300000,8966192
2025-09-23,41.150000,41.670000,41.080000,41.570000,5469627
2025-09-24,41.650000,42.500000,41.575000,42.380000,6496007
2025-09-25,42.400000,42.538600,41.730000,41.820000,4781907
2025-09-26,42.100000,42.580000,41.870000,42.570000,4257037
2025-09-29,42.625000,43.270000,42.435000,43.210000,4978071
2025-09-30,43.290000,43.500000,42.965000,43.300000,3803323
2025-10-01,43.240000,43.705000,43.040000,43.070000,3361211
2025-10-02,42.960000,43.140000,42.600000,43.100000,3344506
2025-10-03,43.060000,44.175000,42.995000,43.830000,4196386
2025-10-06,43.960000,44.515000,43.780000,44.170000,4278016
2025-10-07,44.130000,44.287000,43.450000,43.590000,5162545
2025-10-08,43.830000,43.925000,43.305000,43.900000,2813895
2025-10-09,44.110000,44.230000,42.910000,42.940000,4575043
2025-10-10,43.090000,43.510000,42.825000,42.860000,3125673
2025-10-13,43.000000,43.430000,42.675000,42.730000,3552743
2025-10-14,42.670000,43.225000,42.620000,42.930000,3922973
2025-10-15,43.010000,43.610000,42.750000,43.550000,3337134
2025-10-16,43.660000,44.048000,43.050000,43.220000,4101886
2025-10-17,43.270000,43.450000,42.945000,43.250000,2065076
2025-10-20,43.990000,44.050000,43.570000,43.850000,3402628
2025-10-21,43.950000,44.115000,43.435000,43.710000,4002868
2025-10-22,43.970000,44.270000,43.650000,44.130000,5448206
2025-10-23,44.370000,44.450000,43.350000,43.870000,5265388
2025-10-24,44.060000,44.160000,43.485000,43.630000,2718061
2025-10-27,43.620000,43.760000,43.170000,43.730000,2931467
2025-10-28,44.000000,44.030000,43.140000,43.390000,5155650
2025-10-29,44.500000,44.880000,42.070000,42.460000,10825747
