d,o,h,l,c,v
2024-07-25,27.440000,27.645000,27.145000,27.150000,2145521
2024-07-26,27.340000,27.640000,27.050000,27.490000,2204904
2024-07-29,27.700000,27.800000,27.550000,27.690000,1628241
2024-07-30,27.800000,27.830000,27.260000,27.420000,2344976
2024-07-31,27.660000,27.750000,27.470000,27.580000,3497392
2024-08-01,27.730000,27.805000,26.945000,27.170000,2663740
2024-08-02,26.760000,26.965000,25.990000,26.300000,3073722
2024-08-05,25.950000,25.950000,25.135000,25.410000,3575732
2024-08-06,25.530000,26.160000,25.410000,26.060000,5465482
2024-08-07,26.420000,26.480000,25.920000,26.040000,4195332
2024-08-08,26.130000,26.935000,26.000000,26.780000,4232541
2024-08-09,27.100000,27.955000,26.900000,27.740000,5104490
2024-08-12,27.630000,27.830000,27.060000,27.110000,2996975
2024-08-13,27.170000,27.665000,27.080000,27.540000,2644071
2024-08-14,27.490000,27.600000,27.290000,27.320000,1640902
2024-08-15,27.340000,27.680000,27.290000,27.580000,3741812
2024-08-16,27.450000,27.630000,27.350000,27.400000,2712265
2024-08-19,27.450000,27.820000,27.380000,27.820000,1597115
2024-08-20,27.820000,27.930000,27.250000,27.390000,1964808
2024-08-21,27.570000,27.790000,27.390000,27.770000,1443365
2024-08-22,27.920000,27.930000,27.690000,27.840000,1735809
2024-08-23,28.080000,28.265000,27.930000,28.140000,1350331
2024-08-26,28.210000,28.460000,27.990000,28.020000,1193105
2024-08-27,28.020000,28.140000,27.775000,27.980000,1304462
2024-08-28,27.980000,28.480000,27.970000,28.080000,1355740
2024-08-29,28.110000,28.290000,27.720000,27.850000,2895083
2024-08-30,27.970000,28.360000,27.951000,28.330000,2306296
2024-09-03,28.080000,28.190000,26.820000,26.970000,4278881
2024-09-04,26.930000,27.600000,26.885000,27.140000,2653910
2024-09-05,27.170000,27.230000,26.660000,26.930000,2248529
2024-09-06,27.000000,27.180000,26.455000,26.570000,2962317
2024-09-09,26.630000,26.820000,26.545000,26.600000,2069287
2024-09-10,26.720000,26.775000,26.100000,26.380000,3489394
2024-09-11,26.240000,26.290000,25.715000,25.950000,2311937
2024-09-12,25.910000,26.045000,25.735000,25.960000,2373543
2024-09-13,26.100000,26.260000,26.050000,26.140000,2025002
2024-09-16,26.140000,26.180000,25.880000,26.090000,2392957
2024-09-17,26.200000,26.595000,26.100000,26.340000,2374354
2024-09-18,26.380000,26.870000,26.340000,26.450000,2442754
2024-09-19,26.870000,26.960000,26.520000,26.540000,1803673
2024-09-20,26.530000,26.600000,26.035000,26.340000,7065685
2024-09-23,26.320000,26.570000,26.230000,26.490000,2016889
2024-09-24,26.490000,26.710000,26.440000,26.710000,1425123
2024-09-25,26.690000,26.760000,26.205000,26.250000,1623686
2024-09-26,26.440000,26.540000,26.290000,26.380000,1650102
2024-09-27,26.570000,26.770000,26.420000,26.500000,1488720
2024-09-30,26.510000,26.720000,26.285000,26.630000,3560929
2024-10-01,26.610000,26.730000,26.155000,26.410000,2631555
2024-10-02,26.068000,26.485000,26.068000,26.190000,1285403
2024-10-03,26.070000,26.180000,25.890000,26.020000,1571938
2024-10-04,26.230000,26.445000,25.995000,26.140000,1128026
2024-10-07,26.000000,26.165000,25.935000,25.990000,1648424
2024-10-08,26.050000,26.080000,25.550000,25.910000,2675819
2024-10-09,25.940000,26.440000,25.930000,26.280000,2105462
2024-10-10,26.240000,26.320000,25.655000,25.680000,2039093
2024-10-11,25.660000,26.120000,25.660000,25.930000,1859516
2024-10-14,25.990000,26.105000,25.780000,26.040000,1494356
2024-10-15,26.180000,26.740000,26.050000,26.470000,2688135
2024-10-16,26.550000,26.620000,26.355000,26.370000,1692754
