d,o,h,l,c,v
2025-08-01,211.215000,212.000000,206.270000,209.920000,2554507
2025-08-04,210.640000,212.120000,209.345000,211.990000,2184003
2025-08-05,213.580000,215.085000,207.800000,208.470000,2756928
2025-08-06,207.450000,207.450000,203.240000,205.920000,2769588
2025-08-07,208.760000,210.540000,204.520000,205.910000,2196062
2025-08-08,206.470000,209.810000,204.590000,207.160000,1659771
2025-08-11,207.100000,210.580000,204.730000,205.160000,3902614
2025-08-12,207.720000,220.780000,206.920000,220.050000,4210460
2025-08-13,220.770000,231.010000,220.070000,230.520000,3582882
2025-08-14,226.290000,232.520000,224.080000,231.540000,2810223
2025-08-15,233.520000,233.520000,226.215000,228.780000,3336715
2025-08-18,228.990000,233.950000,227.725000,232.010000,2470377
2025-08-19,232.600000,233.990000,228.520000,229.270000,2217625
2025-08-20,231.490000,233.492400,223.000000,228.770000,3986764
2025-08-21,226.880000,227.810000,223.210000,223.930000,2003168
2025-08-22,225.660000,238.320000,224.090000,234.830000,2994052
2025-08-25,233.630000,237.810000,233.526400,236.670000,1261974
2025-08-26,235.840000,239.500000,235.280000,237.820000,2356758
2025-08-27,235.980000,238.100000,234.700000,237.670000,1054215
2025-08-28,239.760000,241.420000,238.540100,239.070000,1616316
2025-08-29,238.170000,239.100000,233.500000,234.850000,2250771
2025-09-02,227.940000,233.020000,226.160000,232.660000,2211647
2025-09-03,232.500000,234.110000,223.900000,228.200000,2826272
2025-09-04,224.770000,225.980000,218.945000,225.390000,3309048
2025-09-05,227.210000,230.880000,224.600000,226.740000,2006571
2025-09-08,227.400000,229.419500,224.620000,225.500000,1876695
2025-09-09,224.320000,225.010000,221.770000,223.690000,1569200
2025-09-10,224.120000,224.600000,219.130000,219.280000,3210360
2025-09-11,221.525000,224.380000,218.400000,223.210000,2999388
2025-09-12,222.660000,223.090000,218.600000,218.820000,2061856
2025-09-15,216.210000,223.535000,215.650100,219.270000,1828567
2025-09-16,220.310000,223.330000,217.932700,220.990000,2208925
2025-09-17,220.680000,226.650000,218.540000,221.890000,2337218
2025-09-18,225.780000,228.330000,223.690000,226.510000,3553228
2025-09-19,228.680000,229.108500,222.150000,224.050000,3420099
2025-09-22,224.100000,227.510000,222.370000,225.730000,1715586
2025-09-23,226.730000,229.900000,224.510000,225.620000,2096390
2025-09-24,225.930000,228.820000,224.960000,227.660000,1680073
2025-09-25,224.990000,227.425000,222.000000,226.810000,2116711
2025-09-26,223.480000,227.195000,223.100000,226.040000,1235188
2025-09-29,227.870000,227.955000,224.630000,226.110000,1352177
2025-09-30,225.560000,227.950000,222.875000,227.730000,1723558
2025-10-01,225.850000,227.850000,221.000000,224.910000,2079847
2025-10-02,226.000000,230.860000,225.010000,227.705000,1831499
2025-10-03,228.400000,232.065000,227.990000,228.890000,1537435
2025-10-06,232.060000,233.999900,227.095000,231.420000,1949575
2025-10-07,232.550000,232.990000,219.160000,219.580000,2492875
2025-10-08,219.890000,227.190000,219.500000,225.640000,2631196
2025-10-09,223.310000,225.760000,218.977500,221.420000,2615953
2025-10-10,221.070000,222.670000,205.140000,205.370000,3980761
2025-10-13,211.610000,217.400000,210.740000,216.700000,2806592
2025-10-14,211.680000,219.690000,210.800000,216.110000,2341774
2025-10-15,219.760000,220.000000,214.020000,217.230000,1939707
2025-10-16,219.370000,220.170000,213.105000,217.410000,2477662
2025-10-17,216.715000,218.050000,212.880000,214.350000,1950502
2025-10-20,216.720000,222.225000,215.600000,219.820000,2374840
2025-10-21,219.340000,224.270000,218.510000,222.340000,1935550
2025-10-22,217.070000,223.280000,215.000000,217.160000,3607824
2025-10-23,213.000000,221.400000,212.725000,220.730000,2517902
2025-10-24,223.960000,223.960000,218.120000,219.160000,2500773
2025-10-27,221.390000,221.890000,218.885000,221.560000,4076069
2025-10-28,218.160000,220.432500,207.990000,212.960000,4414713
2025-10-29,212.280000,213.020000,202.475000,204.710000,5104821
2025-10-30,204.650000,209.700000,203.380000,206.380000,3417113
2025-10-31,206.380000,212.219500,205.195000,209.120000,2506419
2025-11-03,211.070000,212.780000,207.940000,210.390000,1982860
2025-11-04,208.470000,209.960000,203.930000,204.420000,2904757
2025-11-05,205.170000,213.090000,205.040000,210.440000,2307041
2025-11-06,209.130000,210.370000,204.690000,206.450000,2037842
2025-11-07,204.420000,204.750000,198.500000,204.560000,2586456
2025-11-10,207.940000,208.500000,202.160000,205.130000,2160621
2025-11-11,204.050000,206.050000,202.090000,202.860000,1735408
2025-11-12,204.970000,206.950000,203.450000,204.080000,2046299
2025-11-13,202.920000,204.740000,199.020000,201.220000,2528613
2025-11-14,198.830000,199.810000,196.180000,197.100000,2111051
2025-11-17,195.180000,196.650000,188.490000,190.510000,2498886
2025-11-18,189.845000,190.850000,187.740000,188.590000,2777217
2025-11-19,189.440000,191.370000,188.360100,190.060000,2969245
2025-11-20,192.170000,194.170000,183.000000,184.190000,3426844
2025-11-21,184.650000,193.830000,183.200000,191.350000,3403063
2025-11-24,192.250000,193.680000,190.230000,191.560000,4513741
2025-11-25,190.470000,193.950000,188.425000,191.020000,3214026
2025-11-26,191.790000,195.720000,191.240000,193.760000,2836051
2025-11-28,193.900000,195.300000,193.370000,194.940000,1654132
2025-12-01,191.670000,200.190000,191.290000,199.490000,3394003
2025-12-02,200.530000,217.490000,199.490000,215.350000,6160036
2025-12-03,217.840000,228.800000,215.160100,227.560000,4594132
2025-12-04,226.780000,228.280000,224.070000,226.160000,3614786
2025-12-05,228.860000,231.000000,227.830000,227.950000,2208907
2025-12-08,229.630000,232.660000,227.260000,229.010000,2839972
2025-12-09,227.270000,230.610000,227.040000,228.050000,1845927
2025-12-10,227.560000,232.590000,225.460000,230.780000,2155296
2025-12-11,229.290000,232.910000,227.980000,231.830000,2350008
2025-12-12,232.170000,234.930000,227.410000,228.160000,3590950
2025-12-15,230.780000,233.790000,228.285000,231.830000,3077145
2025-12-16,232.170000,233.000000,227.960000,229.750000,2467157
2025-12-17,230.320000,231.830000,223.030000,223.230000,2685389
2025-12-18,227.270000,228.600000,222.030000,222.080000,2665352
2025-12-19,224.280000,229.120000,224.010000,226.270000,10501679
2025-12-22,229.740000,231.950000,227.530000,228.940000,1801157
2025-12-23,226.670000,227.900000,224.500000,225.980000,1871560
2025-12-24,226.470000,228.430000,224.580000,225.260000,1030963
2025-12-26,225.640000,225.640000,222.750000,222.870000,1439742
2025-12-29,222.460000,224.105000,219.135000,220.460000,2498446
2025-12-30,221.170000,223.390000,219.780000,219.980000,1746342
2025-12-31,219.620000,220.340000,216.880000,217.060000,1413047
2026-01-02,220.605000,223.605000,219.440000,221.280000,2896439
2026-01-05,221.850000,230.420000,221.850000,223.880000,2856273
2026-01-06,228.300000,246.890000,228.300000,245.950000,4418017
2026-01-07,241.610000,244.300000,236.170000,239.340000,2798289
2026-01-08,236.310000,239.430000,231.840000,237.890000,2168202
2026-01-09,237.360000,242.880000,236.400000,241.150000,2732475
2026-01-12,238.230000,240.399900,235.690000,238.330000,2333244
2026-01-13,238.330000,240.310000,237.200000,239.090000,1748868
2026-01-14,236.615000,240.910000,235.330000,240.810000,1986848
2026-01-15,242.390000,243.460000,236.550000,238.600000,2314378
2026-01-16,241.550000,242.105000,236.890000,237.110000,2676721
2026-01-20,231.000000,234.820000,228.760000,230.700000,2425486
2026-01-21,234.660000,237.000000,229.660000,233.720000,3497413
2026-01-22,238.130000,241.100000,235.220000,236.750000,2012386
2026-01-23,236.620000,236.620000,229.065000,232.475000,3257988
2026-01-26,232.340000,234.275000,229.890000,231.050000,2045068
2026-01-27,231.830000,234.205000,229.240000,229.420000,3202512
2026-01-28,233.705000,242.930000,233.010000,240.030000,2943702
2026-01-29,239.830000,240.000000,226.390100,233.500000,2872832
2026-01-30,229.000000,231.676100,224.870000,226.140000,3542719
2026-02-02,224.550000,234.090000,224.450000,231.080000,3698406
2026-02-03,219.765000,221.510000,207.010000,220.660000,8724530
2026-02-04,219.450000,228.470000,217.660000,226.860000,5830699
2026-02-05,224.590000,229.020000,219.610000,222.130000,2760230
2026-02-06,224.770000,226.430000,220.100000,224.320000,4588362
2026-02-09,221.410000,229.265000,221.300000,228.910000,2606848
2026-02-10,227.610000,239.495000,227.290000,236.620000,3013390
2026-02-11,240.830000,250.855000,239.240000,249.750000,4863389
2026-02-12,252.170000,256.360000,239.520000,242.190000,3628617
2026-02-13,239.950000,244.610000,237.695000,244.430000,2012775
2026-02-17,244.060000,246.535000,237.920000,245.090000,1727925
2026-02-18,248.080000,249.225000,235.460000,237.330000,2885466
2026-02-19,235.270000,238.650000,229.732800,232.110000,2451950
2026-02-20,229.900000,235.330000,229.030000,232.270000,2120205
2026-02-23,231.830000,233.490000,225.300000,231.160000,1703616
2026-02-24,232.110000,239.300000,232.105000,234.630000,1976129
2026-02-25,236.530000,237.275000,232.775000,235.070000,1597901
2026-02-26,235.770000,236.800000,228.070000,232.230000,3069000
2026-02-27,229.060000,229.930000,223.850000,227.010000,2951903
2026-03-02,221.830000,225.300000,218.210000,224.760000,1667586
2026-03-03,218.480000,219.570000,213.190000,215.250000,3168756
2026-03-04,217.890000,218.980000,215.145000,216.370000,2372355
2026-03-05,214.790000,215.760000,207.790000,210.580000,3310185
2026-03-06,202.560000,205.670000,201.110000,201.740000,3105279
2026-03-09,200.150000,206.250000,193.020000,205.250000,3696843
2026-03-10,204.210000,208.360000,201.860000,203.030000,2525924
2026-03-11,204.760000,207.000000,198.000000,199.870000,2483363
2026-03-12,196.150000,198.230000,190.170000,191.220000,3420140
2026-03-13,193.660000,195.500000,190.160000,190.860000,2882727
2026-03-16,194.580000,195.980000,191.250000,191.890000,2826663
2026-03-17,193.880000,197.240000,192.930000,194.020000,1578888
2026-03-18,193.880000,196.140000,191.950000,192.690000,2178812
2026-03-19,189.250000,193.920000,188.680000,192.350000,2107643
2026-03-20,192.390000,194.530000,188.830000,191.370000,4212031
2026-03-23,198.270000,198.910000,193.300000,193.390000,2325236
2026-03-24,190.640000,198.500000,190.360000,196.400000,1693919
2026-03-25,199.200000,202.000000,195.980000,197.610000,1601969
2026-03-26,196.630000,199.760000,195.000000,196.920000,3635265
2026-03-27,195.980000,196.130000,190.350000,191.660000,2037849
2026-03-30,193.450000,194.220000,184.680000,187.390000,3581882
2026-03-31,191.390000,198.060000,190.340000,196.860000,4560430
2026-04-01,197.440000,199.660000,195.130000,195.580000,3403690
2026-04-02,190.230000,195.250000,188.750000,194.550000,2486985
2026-04-06,196.410000,200.680000,194.505000,197.080000,2152482
2026-04-07,196.120000,196.880000,191.955000,195.120000,2352937
2026-04-08,205.950000,208.670000,201.483144,204.270000,3851965
2026-04-09,204.035000,206.710000,202.735000,205.670000,2706657
2026-04-10,207.310000,209.970000,203.400000,204.370000,2420626
2026-04-13,201.280000,208.130000,199.010000,208.000000,2372841
2026-04-14,210.000000,210.510000,207.090000,209.890000,2547814
2026-04-15,210.260000,210.760000,206.540000,209.390000,1542642
2026-04-16,209.480000,215.560000,209.480000,213.730000,2715724
2026-04-17,215.770000,218.960000,210.270000,216.030000,4289740
2026-04-20,215.010000,221.400000,213.595000,221.340000,2568244
2026-04-21,222.470000,226.610000,221.695000,224.500000,3362573
2026-04-22,228.500000,228.940000,224.790000,225.750000,2567324
2026-04-23,234.030000,244.720000,231.000000,241.160000,4580376
2026-04-24,244.340000,245.200000,240.660000,244.040000,3579369
2026-04-27,242.325000,243.550000,232.410000,236.870000,4010614
2026-04-28,232.890000,237.940000,228.410100,230.390000,4731163
2026-04-29,281.410000,292.850000,278.070000,289.250000,10710628
2026-04-30,289.440000,294.340000,279.770000,293.590000,5079934
2026-05-01,291.600000,296.000000,285.510000,295.240000,2830159
2026-05-04,293.495000,299.800000,288.285000,290.760000,2675225
2026-05-05,292.000000,296.390000,289.760000,292.350000,4332865
2026-05-06,291.555000,303.910000,291.205000,303.550000,4488515
2026-05-07,300.990000,302.990000,288.480000,290.220000,4957326
2026-05-08,295.400000,297.000000,290.240000,294.750000,6908850
2026-05-11,295.920000,306.620000,291.160000,305.990000,4975633
2026-05-12,300.680000,302.000000,291.010100,294.230000,4790602
2026-05-13,300.020000,302.410000,293.240000,298.410000,3250433
2026-05-14,298.020000,300.000000,291.265000,294.170000,2172470
2026-05-15,287.605000,295.270000,284.780000,291.500000,3390617
2026-05-18,298.005000,298.860000,287.355000,291.680000,3457054
2026-05-19,285.680000,298.630000,285.680000,294.280000,2904757
2026-05-20,298.000000,311.040000,294.610000,310.150000,4261861
2026-05-21,308.500000,309.370000,297.480000,299.380000,3492789
2026-05-22,300.800000,316.810000,300.620100,316.470000,2948747
2026-05-26,320.290000,334.900000,318.000000,332.670000,4619648
2026-05-27,337.080000,339.950000,326.600000,329.240000,3806814
2026-05-28,330.460000,338.290000,324.850000,330.280000,3216642
2026-05-29,333.580000,335.000000,320.300000,321.350000,3773450
2026-06-01,315.000000,318.545000,305.630000,311.380000,2880979
2026-06-02,320.090000,325.585000,317.000000,323.620000,3871333
2026-06-03,322.300000,327.480000,318.710000,321.880000,2844708
2026-06-04,321.715000,328.210000,315.010000,322.220000,3249416
2026-06-05,312.510000,314.235000,295.890000,295.960000,8438112
