d,o,h,l,c,v
2025-08-01,56.500000,57.000000,55.920000,56.570000,7981852
2025-08-04,56.560000,57.480000,56.530000,57.450000,5232192
2025-08-05,57.380000,57.575000,57.170000,57.200000,4204441
2025-08-06,57.230000,57.490000,56.889900,56.910000,4195512
2025-08-07,56.960000,57.210000,56.270000,57.090000,5058323
2025-08-08,57.160000,57.980000,57.130000,57.440000,4537967
2025-08-11,57.380000,57.920000,57.350000,57.390000,3609420
2025-08-12,57.450000,57.700000,57.010200,57.660000,4149222
2025-08-13,57.730000,58.020000,57.279800,57.890000,4666578
2025-08-14,57.785000,58.015000,57.614700,57.820000,4193695
2025-08-15,58.010000,58.690000,57.820000,58.480000,6242821
2025-08-18,58.480000,58.625000,57.850000,57.870000,4331113
2025-08-19,58.050000,59.030000,57.990000,59.010000,4600172
2025-08-20,59.230000,60.165000,59.150000,59.900000,6768023
2025-08-21,59.750000,59.860000,59.315000,59.580000,4920989
2025-08-22,59.860000,60.100000,58.835000,58.920000,7649971
2025-08-25,58.675000,58.890000,58.120100,58.210000,6828975
2025-08-26,58.295000,58.380000,57.720200,58.130000,7617747
2025-08-27,58.400000,58.770000,58.180000,58.550000,5703912
2025-08-28,58.625000,58.625000,57.860000,58.130000,5009829
2025-08-29,58.200000,58.780000,58.170000,58.760000,4370657
2025-09-02,58.020000,58.305000,57.455000,57.740000,5441984
2025-09-03,57.650000,57.985000,57.440000,57.950000,4102199
2025-09-04,58.070000,58.650000,57.925000,58.280000,4320260
2025-09-05,58.450000,59.290000,58.430000,59.290000,5321079
2025-09-08,59.020000,59.260000,58.630000,59.100000,5197790
2025-09-09,59.050000,59.530000,58.833800,59.490000,4083682
2025-09-10,59.530000,59.850000,59.170000,59.450000,4673340
2025-09-11,59.550000,60.250000,59.550000,60.160000,4690651
2025-09-12,60.090000,60.590000,60.030000,60.410000,3910085
2025-09-15,60.580000,61.085000,60.080000,60.220000,6098809
2025-09-16,60.240000,60.550000,59.790000,59.980000,6206323
2025-09-17,60.245000,60.490000,59.700000,59.710000,5236311
2025-09-18,59.440000,59.760000,58.955000,59.110000,6233981
2025-09-19,59.070000,59.696000,58.950000,59.160000,12684314
2025-09-22,59.310000,59.320000,58.710000,59.060000,5909860
2025-09-23,59.120000,59.635600,59.100000,59.550000,4571782
2025-09-24,59.670000,60.300000,59.460000,59.980000,5751310
2025-09-25,60.200000,60.360000,59.490000,59.790000,4799278
2025-09-26,59.870000,60.465000,59.870000,60.320000,5681779
2025-09-29,60.300000,60.550000,60.100000,60.550000,6067518
2025-09-30,60.550000,60.820000,60.300000,60.790000,6683992
2025-10-01,60.500000,60.740000,60.305000,60.460000,5639149
2025-10-02,60.280000,60.310000,59.820000,60.080000,4493276
2025-10-03,60.050000,60.740100,60.050000,60.400000,4124151
2025-10-06,60.250000,60.390000,59.900000,59.900000,4976757
2025-10-07,59.955000,60.085000,59.505000,59.630000,4613245
2025-10-08,59.485000,59.550000,58.960000,59.010000,4673467
2025-10-09,59.140000,59.300000,58.415000,58.660000,4040084
2025-10-10,58.760000,58.970000,58.220000,58.260000,4849447
2025-10-13,58.120000,58.870000,58.030100,58.730000,4231653
2025-10-14,58.730000,59.090000,58.560100,58.840000,5303493
2025-10-15,58.850000,59.545000,58.610000,59.460000,5143806
2025-10-16,59.560000,59.910000,59.240000,59.290000,4717781
2025-10-17,59.500000,59.990000,59.330000,59.940000,4241137
2025-10-20,60.010000,60.645000,59.990000,60.640000,3687642
2025-10-21,60.700000,60.900000,59.690000,60.030000,5307348
2025-10-22,60.050000,60.545000,59.855000,60.270000,4077429
2025-10-23,60.510000,60.580000,59.875000,60.220000,3455745
2025-10-24,60.375000,60.435000,59.980000,59.990000,3884242
2025-10-27,60.000000,60.410000,59.790000,60.400000,4946488
2025-10-28,60.270000,60.270000,59.160000,59.210000,5791030
2025-10-29,59.040000,59.305000,58.090000,58.360000,7192888
2025-10-30,58.520000,58.840000,57.875000,57.910000,7396353
2025-10-31,57.460000,58.190000,57.210000,57.980000,6794265
2025-11-03,57.690000,58.340000,57.315000,58.200000,7773547
2025-11-04,57.800000,57.940000,55.950000,56.140000,11474018
2025-11-05,56.500000,57.000000,56.100000,56.120000,7875126
2025-11-06,56.310000,56.650000,56.075000,56.330000,6114358
2025-11-07,56.510000,56.895000,56.390400,56.870000,5958483
2025-11-10,56.880000,57.030000,56.025000,56.380000,6427843
2025-11-11,56.680000,57.260000,56.620000,57.160000,5019122
2025-11-12,57.070000,57.200000,56.770000,56.930000,5497989
2025-11-13,56.960000,57.650000,56.550000,56.590000,6716357
2025-11-14,56.840000,57.120000,56.535000,56.800000,5630908
2025-11-17,56.840000,57.070000,56.655000,57.000000,5548004
2025-11-18,57.000000,57.460000,56.677400,57.340000,5440684
2025-11-19,57.320000,57.410000,56.540000,56.710000,4429108
2025-11-20,56.800000,57.030000,56.270000,56.300000,6060265
2025-11-21,56.490000,57.160000,56.310000,56.670000,7221735
2025-11-24,56.900000,57.030000,56.300000,56.490000,10444721
2025-11-25,56.700000,57.040000,56.465000,56.720000,7259967
2025-11-26,56.740000,57.400000,56.680000,57.140000,5129892
