d,o,h,l,c,v
2025-08-01,80.280000,80.315000,77.750000,78.990000,3671867
2025-08-04,79.050000,79.975000,78.833000,79.830000,3438818
2025-08-05,79.000000,79.260000,74.230000,75.700000,9328098
2025-08-06,76.740000,77.000000,74.870000,75.230000,4758457
2025-08-07,75.690000,76.960000,75.395000,75.480000,3414858
2025-08-08,75.500000,76.020000,74.420000,74.460000,3161197
2025-08-11,74.620000,75.010000,73.510000,73.650000,3681488
2025-08-12,73.500000,74.345000,73.020000,74.050000,3637781
2025-08-13,74.000000,75.350000,73.710000,75.330000,3504483
2025-08-14,74.850000,75.530000,74.070000,74.800000,3107208
2025-08-15,74.870000,75.435000,73.850000,73.930000,3670338
2025-08-18,73.590000,73.755700,72.750000,73.040000,2517508
2025-08-19,72.850000,73.690000,72.180000,73.500000,2382933
2025-08-20,73.450000,74.050000,72.980000,73.680000,2714988
2025-08-21,73.760000,74.560000,73.500000,74.020000,3340390
2025-08-22,74.260000,75.435000,74.210000,74.840000,2382572
2025-08-25,74.820000,75.649600,74.380000,74.430000,2757173
2025-08-26,74.100000,74.480000,73.410000,74.420000,7253926
2025-08-27,74.240000,75.545000,74.125000,75.080000,2302327
2025-08-28,75.370000,76.020000,74.712000,75.890000,2461198
2025-08-29,75.825000,76.440000,75.640000,76.380000,2652785
2025-09-02,75.920000,76.230000,73.630000,74.620000,4884963
2025-09-03,74.270000,74.530000,73.600000,73.870000,3395016
2025-09-04,74.050000,74.520000,73.585000,74.380000,2506233
2025-09-05,74.010000,74.140000,70.630000,72.630000,4956311
2025-09-08,73.190000,73.530000,71.070000,71.360000,3914102
2025-09-09,71.900000,72.600000,71.611000,71.840000,3491002
2025-09-10,71.840000,73.370000,71.730000,73.350000,3403126
2025-09-11,72.520000,73.490000,72.358200,73.300000,2436617
2025-09-12,73.780000,73.870200,73.050000,73.050000,2452308
2025-09-15,73.460000,73.490000,72.530000,72.610000,2887517
2025-09-16,73.060000,73.310000,72.310000,72.580000,2645399
2025-09-17,72.410000,73.770000,72.310000,72.860000,2723805
2025-09-18,73.700000,74.340000,73.300000,73.580000,3301530
2025-09-19,73.680000,73.730000,71.020000,71.550000,8657081
2025-09-22,71.280000,72.340000,70.940000,71.620000,3827906
2025-09-23,72.000000,73.425000,71.800000,72.600000,3920825
2025-09-24,73.040000,74.360000,72.810000,73.670000,3418816
2025-09-25,73.350000,74.009000,73.050000,73.440000,3329481
2025-09-26,73.610000,75.250000,73.560000,73.890000,3983367
2025-09-29,74.090000,74.125000,71.995000,73.100000,4411029
2025-09-30,72.140000,73.211000,71.795000,72.970000,6809332
2025-10-01,72.650000,73.090000,71.820000,72.980000,4859535
2025-10-02,72.990000,73.610000,72.150000,72.470000,3696659
2025-10-03,72.530000,73.415000,72.310000,72.890000,3141985
2025-10-06,73.140000,73.435500,72.410000,72.730000,3093402
2025-10-07,72.740000,72.910000,71.660000,72.450000,2926328
2025-10-08,72.300000,72.660000,71.050000,72.380000,3658486
2025-10-09,72.500000,73.260000,71.080000,71.250000,2888917
2025-10-10,71.000000,72.000000,69.080000,69.090000,3636275
2025-10-13,69.570000,70.035000,69.050000,69.570000,2887567
2025-10-14,68.650000,69.950000,68.250000,69.580000,3147456
2025-10-15,70.010000,70.639900,68.830000,68.920000,2970905
2025-10-16,69.030000,69.100000,67.090000,67.220000,4266885
2025-10-17,67.150000,68.110000,66.563200,68.090000,4025165
2025-10-20,68.410000,68.940000,67.860000,68.530000,2604167
2025-10-21,68.750000,69.270000,68.110000,68.950000,3041652
2025-10-22,69.480000,69.810000,68.440000,69.590000,3542946
2025-10-23,71.100000,71.175000,69.245000,69.760000,5126257
2025-10-24,70.160000,70.160000,68.400000,68.610000,3290428
2025-10-27,68.910000,69.350000,68.430000,69.290000,3320543
2025-10-28,69.080000,69.349900,68.050000,69.100000,4593598
2025-10-29,69.950000,70.410000,67.030000,67.200000,6515532
2025-10-30,67.170000,67.790000,66.350000,66.720000,4247875
2025-10-31,66.550000,67.640000,65.890000,67.000000,6249363
2025-11-03,66.000000,66.490000,64.280000,65.360000,5366718
2025-11-04,64.970000,65.040000,64.020000,64.310000,4355002
2025-11-05,64.320000,66.845000,64.140000,66.270000,6055575
2025-11-06,67.110000,68.110000,67.090000,67.810000,4284853
2025-11-07,68.000000,68.310000,67.170000,68.120000,2804514
2025-11-10,68.410000,68.845000,66.930100,67.900000,3272038
2025-11-11,68.360000,69.470000,68.102800,69.090000,3818324
2025-11-12,69.100000,69.780000,68.540000,68.900000,3879076
2025-11-13,69.110000,70.000000,68.890000,69.440000,4272312
2025-11-14,69.740000,70.880000,68.900000,70.490000,5543775
2025-11-17,70.020000,70.165000,68.415000,68.860000,5316826
2025-11-18,68.730000,70.456500,68.600000,69.430000,4401081
2025-11-19,68.800000,69.840000,68.200000,69.450000,3899322
2025-11-20,69.800000,70.900000,69.230000,69.720000,5422446
2025-11-21,70.210000,71.170000,69.860000,70.530000,4917232
2025-11-24,70.500000,70.670000,69.495000,70.230000,8520024
2025-11-25,69.950000,71.040000,69.816200,70.880000,3956347
2025-11-26,70.960000,72.110000,70.940000,71.510000,4007042
2025-11-28,71.640000,72.920000,71.575000,72.820000,2229213
2025-12-01,72.580000,74.135000,72.540000,73.680000,4820271
2025-12-02,73.540000,73.873300,73.030000,73.100000,4873265
2025-12-03,73.380000,75.175000,73.380000,74.890000,4663918
2025-12-04,75.050000,76.180000,75.020000,76.170000,3325174
2025-12-05,76.000000,76.850000,75.910000,76.340000,3288201
2025-12-08,76.190000,76.190000,74.615000,74.930000,4919662
2025-12-09,74.950000,75.950000,74.790000,74.960000,3556615
2025-12-10,75.030000,75.130000,73.280000,73.780000,4426938
2025-12-11,73.770000,74.630000,73.440000,73.620000,3023382
2025-12-12,74.000000,74.409500,73.040000,73.590000,2766632
2025-12-15,73.860000,74.000000,72.370000,72.830000,4256829
2025-12-16,72.500000,72.840000,70.930000,71.130000,6595014
2025-12-17,71.140000,73.220000,70.700000,73.050000,4992011
2025-12-18,73.050000,73.190000,71.467500,71.690000,3219719
2025-12-19,71.770000,72.770000,71.630000,71.670000,8401512
2025-12-22,72.290000,72.905000,71.850000,72.820000,2816059
2025-12-23,72.950000,73.500000,72.665000,73.460000,2357906
2025-12-24,73.580000,73.610000,72.920000,73.240000,1210307
2025-12-26,73.250000,73.350000,72.360000,72.850000,1599006
2025-12-29,73.300000,73.890000,73.130000,73.660000,2616144
2025-12-30,73.800000,74.117000,73.685000,73.820000,2164304
2025-12-31,73.660000,73.780000,73.230000,73.500000,2522707
2026-01-02,73.460000,74.980000,72.550000,74.340000,2261782
2026-01-05,75.380000,75.450000,71.360000,73.650000,5281159
2026-01-06,73.520000,73.540000,70.630000,70.870000,4661421
2026-01-07,71.000000,71.584100,70.580000,70.720000,4099128
2026-01-08,70.530000,72.990000,70.410000,72.330000,3287361
2026-01-09,73.000000,73.330000,72.270100,72.700000,2561753
2026-01-12,72.780000,73.340000,72.110000,72.490000,3844367
2026-01-13,72.980000,74.490700,72.970000,74.250000,3472323
2026-01-14,74.390000,76.725000,74.340000,75.850000,4926388
2026-01-15,74.870000,75.000000,73.200000,73.350000,4834042
2026-01-16,72.570000,74.630000,72.420000,74.400000,4680031
2026-01-20,74.410000,75.410000,73.710000,74.060000,3662040
2026-01-21,75.290000,76.310400,75.080000,75.820000,3306217
2026-01-22,76.260000,78.680000,75.940000,78.560000,7653302
2026-01-23,79.350000,80.025000,77.820000,78.000000,5347076
2026-01-26,78.540000,78.995000,76.640000,77.500000,4764426
2026-01-27,77.230000,78.249900,76.710000,77.740000,6048536
2026-01-28,78.000000,79.900000,77.500000,79.260000,4940303
2026-01-29,80.270000,81.430000,78.450000,78.560000,7729117
2026-01-30,78.400000,79.250000,77.240000,79.190000,5506586
2026-02-02,76.820000,77.120000,75.290000,75.320000,5096880
2026-02-03,75.580000,78.490000,75.561100,78.270000,5656113
2026-02-04,78.465000,80.810000,78.270000,80.340000,5422848
2026-02-05,80.300000,80.750000,78.527500,80.460000,5611336
2026-02-06,80.250000,82.030000,80.250000,81.840000,3846145
2026-02-09,81.560000,83.400000,81.140000,83.130000,4037282
2026-02-10,83.700000,84.020000,82.560000,83.460000,3225020
2026-02-11,84.000000,85.390000,83.795000,84.900000,3488189
2026-02-12,85.250000,86.260000,84.170000,84.600000,4604055
2026-02-13,84.600000,86.550000,84.380000,86.110000,3988290
2026-02-17,87.000000,87.470000,84.680000,85.610000,4795630
2026-02-18,86.610000,87.220000,85.875000,86.790000,6067964
2026-02-19,87.610000,88.660000,86.160000,86.880000,4137569
2026-02-20,86.800000,87.350000,86.000000,87.330000,4505326
2026-02-23,87.420000,89.000000,86.731000,87.330000,4744720
2026-02-24,86.990000,87.450000,81.310000,82.890000,8610224
2026-02-25,81.980000,84.010000,79.726500,82.280000,8864183
2026-02-26,82.440000,84.330000,81.590000,84.020000,5339637
2026-02-27,84.720000,84.860000,82.070000,82.770000,5880790
2026-03-02,84.490000,86.685000,82.780000,86.120000,6139443
2026-03-03,86.420000,87.130000,84.275000,84.780000,4376087
2026-03-04,84.280000,85.130000,83.720000,84.760000,3949078
2026-03-05,84.560000,86.820000,84.310000,85.600000,5703528
2026-03-06,86.300000,87.050000,84.740000,86.930000,5570965
2026-03-09,86.880000,87.700000,85.295000,85.960000,6132903
2026-03-10,85.760000,86.530000,84.240000,84.680000,4755800
2026-03-11,85.510000,85.930000,84.625000,85.760000,3154408
2026-03-12,85.950000,87.330000,84.930000,84.930000,4135741
2026-03-13,85.000000,85.930000,84.500000,85.360000,3426713
2026-03-16,85.570000,85.880000,84.660000,85.320000,3368575
2026-03-17,86.450000,87.385000,86.275000,86.560000,3276163
2026-03-18,86.600000,86.600000,84.890000,86.190000,4432453
2026-03-19,86.780000,89.290000,86.580000,88.390000,4901059
2026-03-20,89.470000,92.135000,89.104500,89.210000,19367297
2026-03-23,87.270000,90.310000,87.050000,89.920000,6466583
2026-03-24,90.440000,92.020000,90.290000,90.940000,4071699
2026-03-25,90.140000,92.890000,89.880000,92.120000,4923550
2026-03-26,91.850000,94.290000,91.800000,93.570000,3908043
2026-03-27,93.600000,95.300000,93.280000,93.960000,4820828
2026-03-30,94.580000,95.205000,92.495700,92.960000,4974031
2026-03-31,93.600000,93.770000,88.780000,90.390000,8704481
2026-04-01,89.200000,90.080000,86.070000,87.360000,5744411
2026-04-02,89.450000,89.960000,87.675000,88.300000,5134386
2026-04-06,87.860000,88.750000,87.770000,88.500000,2669503
2026-04-07,88.860000,91.340000,88.645000,90.630000,4281108
2026-04-08,85.450000,86.970000,84.100000,86.770000,7953694
2026-04-09,86.680000,88.870000,86.010000,86.180000,4138673
2026-04-10,85.510000,86.765000,85.090000,86.210000,3787941
2026-04-13,86.880000,87.145000,84.595000,85.330000,4269715
2026-04-14,84.540000,84.980000,82.810000,84.840000,3962417
2026-04-15,84.320000,85.160000,83.975000,84.100000,3250611
2026-04-16,84.290000,85.550000,84.000000,85.210000,2554363
2026-04-17,82.890000,83.880000,81.250000,83.510000,5344046
2026-04-20,83.200000,84.325000,82.780000,83.780000,3146730
2026-04-21,84.410000,84.910000,83.350000,84.690000,3593067
2026-04-22,85.350000,86.710000,85.350000,86.060000,4658187
2026-04-23,86.700000,87.330000,85.830000,87.210000,2839541
2026-04-24,87.200000,87.800000,86.500000,87.500000,3192231
2026-04-27,87.670000,88.520000,87.010000,87.750000,5471846
2026-04-28,89.000000,90.360000,88.170000,89.790000,4890719
2026-04-29,90.900000,91.270000,88.330000,89.320000,6307075
2026-04-30,88.870000,92.530000,88.540000,92.460000,5873781
2026-05-01,92.250000,92.430000,89.880000,90.360000,3583078
2026-05-04,89.480000,91.160000,88.500000,90.630000,2949840
2026-05-05,90.170000,90.940000,89.445000,90.020000,3240297
2026-05-06,86.870000,87.740000,84.775000,85.600000,5451704
2026-05-07,84.400000,86.075000,83.660000,85.870000,5861462
2026-05-08,85.720000,86.200000,84.490000,85.160000,4063742
2026-05-11,85.640000,87.920000,85.335000,87.790000,5718283
2026-05-12,88.480000,88.928500,87.885000,88.430000,3595443
2026-05-13,88.300000,88.940000,87.260000,88.790000,2944932
2026-05-14,88.810000,91.120000,88.725000,91.030000,3990600
2026-05-15,92.030000,92.660000,91.130000,92.320000,3151788
2026-05-18,92.230000,93.830000,91.250000,93.760000,2527742
2026-05-19,94.210000,95.650000,93.412500,95.240000,4539239
2026-05-20,95.100000,96.066100,91.920000,92.150000,4767689
2026-05-21,93.090000,93.780000,91.650000,92.620000,2844017
2026-05-22,92.810000,94.420000,92.405000,94.030000,3099779
2026-05-26,93.540000,93.840000,90.360000,90.440000,4571645
2026-05-27,89.280000,89.925000,88.050000,88.210000,3529925
2026-05-28,89.250000,89.510000,87.010000,87.020000,3681250
2026-05-29,86.000000,87.000000,83.570000,83.940000,8266053
2026-06-01,84.920000,86.720000,84.510000,84.950000,3093865
2026-06-02,84.950000,86.845000,84.950000,86.720000,2277177
2026-06-03,86.770000,88.690000,86.690000,86.750000,3678829
2026-06-04,86.990000,89.520000,86.525000,88.950000,3477960
2026-06-05,88.830000,89.650000,88.040000,88.250000,2631679
2026-06-08,88.520000,89.479900,87.850000,88.150000,2205472
2026-06-09,87.680000,88.378700,86.570000,87.790000,2580382
2026-06-10,88.440000,91.540000,88.365000,90.570000,2956081
2026-06-11,91.290000,92.139900,89.150000,89.200000,3656057
2026-06-12,88.900000,91.580000,88.490000,90.590000,3023034
2026-06-15,87.420000,88.980000,86.137800,87.450000,3945644
2026-06-16,86.490000,87.390000,85.485000,86.310000,3712473
2026-06-17,85.960000,86.540000,85.180000,85.580000,3225125
2026-06-18,84.680000,85.290000,83.080000,85.030000,9496831
2026-06-22,85.020000,86.410000,84.150000,86.290000,5010031
2026-06-23,86.360000,88.190000,85.650800,88.060000,3943662
2026-06-24,87.000000,87.660000,86.110000,87.310000,3307028
2026-06-25,86.870000,89.940000,86.820100,89.520000,2974633
2026-06-26,89.640000,90.490000,89.010000,89.220000,5990687
2026-06-29,89.890000,90.040000,88.320000,88.730000,3621938
2026-06-30,88.850000,89.620000,86.900000,86.940000,6651536
2026-07-01,86.530000,87.110000,85.450000,85.730000,3177474
2026-07-02,86.650000,88.030000,86.030000,87.830000,3061569
2026-07-06,87.750000,88.420000,86.800000,87.430000,3115729
2026-07-07,88.480000,91.385000,88.450000,90.670000,2653369
2026-07-08,91.130000,92.100000,89.941000,91.160000,3273832
2026-07-09,90.880000,91.140000,89.430000,89.500000,2725504
2026-07-10,90.310000,90.500000,88.330000,89.920000,2420543
2026-07-13,91.490000,93.075000,91.050000,92.190000,3589777
2026-07-14,92.050000,93.130900,90.600000,91.900000,3040996
2026-07-15,91.800000,92.335500,90.200000,91.030000,3190353
2026-07-16,91.330000,93.770000,90.890100,93.000000,3002208
2026-07-17,93.510000,94.000000,92.720000,93.520000,3366552
2026-07-20,93.570000,94.940000,93.310000,93.560000,3293225
2026-07-21,93.560000,93.981500,91.615000,91.830000,3812793
2026-07-22,93.010000,93.030000,91.560000,91.750000,3672965
2026-07-23,93.000000,93.535000,92.420000,93.230000,3118538
2026-07-24,93.470000,95.880000,93.070000,93.160000,4436364
2026-07-27,90.860000,91.719000,89.390000,89.460000,4016569
2026-07-28,89.520000,90.180000,87.640000,88.800000,3999606
2026-07-29,90.260000,91.310000,89.190000,90.000000,3002497
2026-07-30,89.025000,89.740000,88.185000,89.070000,3109988
2026-07-31,89.300000,90.936000,88.742500,90.810000,5142061
2026-08-03,88.440000,88.800000,87.450000,88.240000,4526530
2026-08-04,87.670000,87.730000,83.480000,87.650000,7156891
2026-08-05,87.850000,87.960000,85.280000,87.240000,3984372
2026-08-06,88.820000,89.010000,86.740000,87.930000,5208823
2026-08-07,86.870000,88.225000,86.200000,86.420000,2740974
2026-08-10,87.320000,90.370000,87.320000,90.340000,3091786
2026-08-11,90.280000,91.860000,89.925000,91.520000,3344458
2026-08-12,90.930000,92.490000,90.840000,92.470000,3418562
2026-08-13,91.960000,93.450000,91.660000,92.640000,3476484
2026-08-14,93.500000,95.050000,92.815000,94.990000,2479279
2026-08-17,95.170000,95.480000,94.320000,95.320000,3815786
2026-08-18,96.540000,97.900000,96.330000,97.070000,5335529
2026-08-19,97.680000,97.899400,95.330100,96.010000,3227600
2026-08-20,97.040000,97.550000,94.405000,94.600000,2740964
2026-08-21,95.050000,95.340000,92.910000,93.330000,3109105
2026-08-24,93.290000,93.950000,92.160000,93.020000,3117817
2026-08-25,91.960000,92.940000,91.660000,91.700000,2982843
2026-08-26,91.400000,95.030000,91.134000,94.900000,3350929
2026-08-27,94.390000,95.410000,92.900000,94.720000,2556668
