d,o,h,l,c,v
2025-07-01,219.300000,223.170000,216.307900,218.960000,16962196
2025-07-02,217.680000,231.900000,216.720000,229.980000,22326900
2025-07-03,233.220000,237.989900,231.200000,237.320000,18441376
2025-07-07,235.110000,235.250000,229.500000,232.260000,16584266
2025-07-08,237.130000,241.438500,233.190000,234.500000,20401777
2025-07-09,235.510000,236.510000,232.000000,235.810000,10871629
2025-07-10,239.940000,240.055000,233.500000,235.000000,11486345
2025-07-11,231.370000,234.000000,229.870000,230.560000,10208178
2025-07-14,229.450000,230.640000,225.120000,229.280000,11336967
2025-07-15,232.405000,235.600000,229.200000,234.960000,10728795
2025-07-16,235.500000,241.330000,233.190000,241.300000,12597452
2025-07-17,243.340000,251.599900,242.010000,248.750000,17631328
2025-07-18,248.500000,249.680000,245.000000,245.450000,9678072
2025-07-21,245.310000,246.800000,243.240000,243.540000,7348362
2025-07-22,241.980000,242.290000,235.410100,238.110000,11380866
2025-07-23,239.950000,243.420000,238.660000,241.900000,7255797
2025-07-24,242.410000,244.080000,240.560100,242.830000,8237851
2025-07-25,242.340000,245.470000,241.430000,245.120000,7149571
2025-07-28,246.000000,247.780000,243.420000,247.710000,6756775
2025-07-29,248.700000,253.070000,246.590000,249.980000,8415324
2025-07-30,248.640000,251.050000,245.600000,250.600000,8441378
2025-07-31,255.765000,260.870000,253.318000,253.770000,15548726
2025-08-01,247.830000,248.410000,242.000000,244.420000,12718218
2025-08-04,245.900000,252.910000,245.900000,252.530000,8614784
2025-08-05,255.410000,258.487200,251.370000,255.670000,11197287
2025-08-06,256.840000,256.840000,251.720000,256.430000,9930222
2025-08-07,257.710000,257.760000,246.520000,249.390000,11954223
2025-08-08,250.030000,250.893400,247.860000,250.050000,8313278
2025-08-11,248.400000,254.690000,245.560000,252.680000,9012112
2025-08-12,252.580000,257.870000,251.080000,253.860000,10001712
2025-08-13,257.170000,257.669900,242.635000,244.180000,14182078
2025-08-14,244.950000,248.920000,242.570000,244.960000,10285555
2025-08-15,246.920000,250.630000,242.925000,248.280000,11553988
2025-08-18,246.200000,249.160000,243.620000,249.070000,6759921
2025-08-19,249.250000,249.250000,232.230000,234.620000,16819250
2025-08-20,232.180000,235.880000,228.254300,235.060000,11256417
2025-08-21,233.045000,235.919900,232.430000,233.160000,7403128
2025-08-22,234.060000,238.500000,231.460000,236.370000,9343637
2025-08-25,237.350000,239.030000,235.270000,235.410000,6308625
2025-08-26,235.000000,236.905000,232.710000,234.210000,11805197
2025-08-27,234.995000,236.530000,232.680000,235.810000,5637590
2025-08-28,235.540000,241.950000,235.120000,240.320000,8691548
2025-08-29,237.610000,238.220000,223.110000,226.130000,16618641
2025-09-02,222.000000,225.450000,218.790000,225.300000,10461903
2025-09-03,225.900000,225.900000,221.750000,223.450000,8900813
2025-09-04,222.000000,223.570000,219.560100,223.000000,10303069
2025-09-05,232.550000,234.620000,225.885000,232.800000,15386096
2025-09-08,239.890000,242.420000,235.310000,238.480000,18803046
2025-09-09,239.940000,243.490000,234.560000,241.510000,41178697
2025-09-10,319.190000,345.720000,312.090000,328.330000,131618085
2025-09-11,330.340000,331.000000,304.600000,307.860000,69986027
2025-09-12,305.790000,307.970000,291.750000,292.180000,51781914
2025-09-15,306.450000,307.030000,297.290000,302.140000,40004004
2025-09-16,314.060000,319.970000,302.272400,306.650000,51923268
2025-09-17,307.690000,308.660000,295.030000,301.410000,27707949
2025-09-18,303.035000,303.820000,292.000000,296.620000,24673116
2025-09-19,299.000000,311.110000,297.320000,308.660000,40776201
2025-09-22,309.630000,329.500000,306.920000,328.150000,44437549
2025-09-23,324.000000,325.000000,310.050000,313.830000,35280199
2025-09-24,311.860000,312.470000,300.030000,308.460000,33765279
2025-09-25,295.270000,298.750000,288.550000,291.330000,39274883
2025-09-26,293.000000,294.000000,283.000000,283.460000,25990691
2025-09-29,284.600000,285.980000,279.610000,282.760000,25778508
2025-09-30,283.690000,284.000000,275.900000,281.240000,23880810
2025-10-01,278.800000,289.990000,277.880000,289.010000,23378324
2025-10-02,291.800000,294.970000,286.050000,288.780000,16215460
2025-10-03,289.600000,294.640000,284.000000,286.140000,13688407
2025-10-06,292.380000,296.680000,290.800000,291.590000,14076795
2025-10-07,293.220000,293.220000,271.000000,284.240000,31723384
2025-10-08,285.420000,291.530000,283.600000,288.630000,18982122
2025-10-09,291.550000,300.970000,287.260000,296.960000,26479833
2025-10-10,300.280000,307.720000,292.010000,292.960000,28895338
2025-10-13,298.700000,310.700000,297.740000,308.010000,21703725
2025-10-14,303.570000,304.420000,291.980000,299.000000,17346186
2025-10-15,304.900000,311.010000,298.920000,303.620000,13698938
2025-10-16,305.600000,322.540000,303.070000,313.000000,32500863
2025-10-17,303.750000,304.280000,287.500000,291.310000,37653000
2025-10-20,288.950000,289.240000,275.310000,277.180000,32810748
2025-10-21,278.110000,280.299900,272.260000,275.150000,18370806
2025-10-22,274.820000,277.200000,269.250000,272.660000,16474016
2025-10-23,272.960000,283.100000,272.385000,280.070000,16872158
2025-10-24,285.920000,287.190000,282.245000,283.330000,13194896
2025-10-27,286.570000,287.000000,279.810000,281.400000,13855836
2025-10-28,283.000000,285.460000,280.540000,280.830000,12448523
2025-10-29,281.460000,281.620000,271.350000,275.300000,18007149
2025-10-30,268.740000,269.760000,256.280000,256.890000,27954197
2025-10-31,259.510000,265.810000,256.709700,262.610000,16898693
2025-11-03,265.240000,265.620000,255.230000,257.850000,15709214
2025-11-04,249.980000,255.280000,245.185000,248.170000,19772593
2025-11-05,247.910000,252.400000,247.030000,250.310000,11991459
2025-11-06,247.940000,249.070000,239.290000,243.800000,18678269
2025-11-07,239.000000,240.400000,232.350000,239.260000,20969260
2025-11-10,245.950000,247.240000,237.070000,240.830000,16698716
2025-11-11,236.230000,237.450000,228.890000,236.150000,20686607
2025-11-12,236.740000,236.810000,226.170000,226.990000,24194992
2025-11-13,224.990000,225.160000,215.220000,217.570000,30008998
2025-11-14,210.830000,227.050000,210.770000,222.850000,36053807
2025-11-17,218.210000,222.800000,215.560000,219.860000,16143779
2025-11-18,216.205000,223.700000,214.500000,220.490000,21098291
2025-11-19,219.060000,228.149900,217.310000,225.530000,21679490
2025-11-20,231.160000,234.000000,210.300000,210.690000,27459600
2025-11-21,207.080000,208.310000,193.550000,198.760000,44834071
2025-11-24,196.855000,203.820000,194.300000,200.280000,31144706
2025-11-25,194.080000,199.410000,185.630000,197.030000,29594993
2025-11-26,209.500000,210.000000,202.240000,204.960000,26544148
2025-11-28,199.510000,202.339900,197.610000,201.950000,13848479
2025-12-01,200.500000,203.500000,196.700000,200.940000,13461204
2025-12-02,205.140000,209.700000,200.000000,201.100000,19664471
2025-12-03,200.330000,207.920000,199.400000,207.730000,19060528
2025-12-04,207.860000,215.410000,206.315000,214.330000,23316937
2025-12-05,219.000000,219.500000,213.620000,217.580000,24208687
2025-12-08,221.345000,224.750000,216.910000,220.540000,24711161
2025-12-09,220.030000,222.620000,218.280000,221.530000,17643643
2025-12-10,221.800000,225.320000,217.580000,223.010000,47927993
2025-12-11,190.620000,201.990000,186.230000,198.850000,100612691
2025-12-12,196.370000,197.850000,185.980000,189.970000,55201644
2025-12-15,188.290000,188.969700,181.400000,184.920000,43897509
2025-12-16,184.700000,189.800000,184.490000,188.650000,32433525
2025-12-17,183.310000,186.500000,177.070000,178.460000,50222018
2025-12-18,182.720000,184.760000,178.580000,180.030000,36297285
2025-12-19,188.385000,195.120000,188.120000,191.970000,77008550
2025-12-22,196.820000,198.800000,192.830000,198.380000,27148017
2025-12-23,196.430000,197.200000,192.190000,195.340000,18301588
2025-12-24,195.000000,198.280000,194.420000,197.490000,9282733
2025-12-26,198.060000,200.369900,196.110000,197.990000,11262030
2025-12-29,194.160000,198.510000,192.640000,195.380000,14748125
2025-12-30,196.060000,198.380000,195.710000,197.210000,14197359
2025-12-31,196.420000,197.200000,194.730000,194.910000,10341453
2026-01-02,197.470000,198.590000,194.210000,195.710000,14540657
2026-01-05,198.340000,201.690000,192.330000,192.590000,22635516
2026-01-06,192.560000,194.875000,190.700000,193.750000,16474464
2026-01-07,195.300000,195.670000,192.000000,192.840000,11171198
2026-01-08,190.880000,190.950000,186.150000,189.650000,19468504
2026-01-09,191.655000,200.180000,188.780000,198.520000,26152742
2026-01-12,197.600000,206.600000,197.010800,204.680000,25428545
2026-01-13,205.000000,207.800000,200.655000,202.290000,15857426
2026-01-14,201.680000,201.680000,190.810000,193.610000,22473159
2026-01-15,195.010000,195.010000,189.390000,189.850000,16418626
2026-01-16,189.910000,191.870000,186.530000,191.090000,19224705
2026-01-20,187.190000,187.190000,179.360000,179.920000,29129492
2026-01-21,179.680000,180.600000,170.600000,173.880000,38189995
2026-01-22,179.370000,180.160000,176.500000,178.180000,21141907
2026-01-23,172.620000,179.650000,172.000000,177.160000,23011338
2026-01-26,179.100000,185.310000,178.530000,182.440000,21100378
2026-01-27,179.190000,179.720000,173.680000,174.900000,27093664
2026-01-28,174.915000,181.680000,171.860000,172.800000,35882668
2026-01-29,170.150000,170.230000,161.520000,169.010000,37254511
2026-01-30,168.170000,168.900000,163.240000,164.580000,27362378
2026-02-02,170.920000,171.200000,160.000000,160.060000,47421032
2026-02-03,158.260000,159.380000,151.900000,154.670000,43260101
2026-02-04,153.890000,153.940000,144.432000,146.670000,42323390
2026-02-05,145.600000,146.550000,135.250000,136.480000,42788953
2026-02-06,139.750000,143.200000,138.910000,142.820000,29962414
2026-02-09,148.490000,159.750000,147.000000,156.590000,49936490
2026-02-10,160.000000,165.390000,156.960000,159.890000,40092248
2026-02-11,163.660000,163.660000,154.000000,157.160000,24538854
2026-02-12,157.930000,159.040000,152.500000,156.480000,23285399
2026-02-13,159.250000,162.300000,155.290000,160.140000,18596959
2026-02-17,157.980000,159.280000,152.880000,153.970000,19610800
2026-02-18,154.405000,157.300000,151.370000,156.170000,14801081
2026-02-19,157.190000,160.082700,155.770000,156.540000,14976323
2026-02-20,153.300000,153.990000,147.390000,148.080000,29621889
2026-02-23,145.690000,145.800000,138.585000,141.310000,31749782
2026-02-24,140.840000,146.760000,138.730000,146.140000,21336624
2026-02-25,149.160000,153.279400,147.335000,147.890000,27303928
2026-02-26,148.790000,152.500000,145.150000,150.310000,20652223
2026-02-27,143.880000,146.080000,142.100000,145.400000,36425195
2026-03-02,141.620000,150.170000,141.180000,149.250000,22418782
2026-03-03,144.750000,150.930000,143.050000,149.010000,20120790
2026-03-04,150.010000,153.610000,149.100000,152.370000,17585394
2026-03-05,152.590000,157.940000,150.120000,154.790000,24094779
2026-03-06,152.920000,159.190000,151.620000,152.960000,38000592
2026-03-09,150.700000,152.000000,146.434800,151.560000,31173468
2026-03-10,153.620000,154.140000,148.450000,149.400000,51544623
2026-03-11,166.380000,171.760000,160.580000,163.120000,83247484
2026-03-12,164.660000,167.830000,158.610000,159.160000,37133719
2026-03-13,159.050000,160.770000,154.150000,155.110000,26350375
2026-03-16,156.060000,158.740000,154.510400,155.970000,21607689
2026-03-17,155.440000,158.920000,153.500100,154.690000,23929463
2026-03-18,153.400000,154.965200,152.040000,152.900000,18051075
2026-03-19,150.460000,156.920000,148.890000,155.520000,22046113
2026-03-20,153.050000,153.250000,147.950000,149.680000,37551358
2026-03-23,151.420000,155.780000,150.710000,154.340000,19927945
2026-03-24,153.000000,153.900000,146.850000,147.090000,26122141
2026-03-25,149.225000,149.840000,144.600800,146.020000,20683774
2026-03-26,143.890000,146.470000,142.540000,142.810000,16961884
2026-03-27,140.930000,141.690000,138.301000,139.660000,17929588
2026-03-30,140.040000,141.200000,136.950000,138.800000,20125734
2026-03-31,140.300000,147.395000,139.850000,147.110000,24491953
2026-04-01,149.090000,149.650000,144.670000,145.230000,20495868
2026-04-02,142.780000,146.440000,140.300000,146.380000,14381866
2026-04-06,147.440000,148.550000,143.850000,145.540000,12556727
2026-04-07,143.780000,144.570000,139.940000,143.170000,17250445
2026-04-08,150.300000,151.460000,142.900000,143.660000,23527034
2026-04-09,142.200000,142.800000,136.000000,137.860000,30407824
2026-04-10,137.320000,140.165000,134.570000,138.090000,26171810
2026-04-13,139.770000,155.910000,139.720000,155.620000,49997735
2026-04-14,167.930000,169.400000,161.560000,163.000000,59779843
2026-04-15,166.890000,172.560000,166.210000,169.810000,43010821
2026-04-16,176.420000,180.270000,173.800000,178.340000,46997279
2026-04-17,182.930000,184.500000,173.360000,175.060000,45282649
2026-04-20,176.810000,177.760000,173.510000,177.580000,22330910
2026-04-21,178.350000,185.340000,176.012300,181.170000,39638047
2026-04-22,186.180000,189.180000,182.800000,187.500000,32448788
2026-04-23,180.400000,181.890000,174.080000,176.280000,37084241
