d,o,h,l,c,v
2025-08-01,173.130000,176.030000,168.360000,172.880000,16242929
2025-08-04,174.475000,174.480000,170.050000,171.000000,11191556
2025-08-05,171.500000,171.680000,168.180000,169.090000,8645701
2025-08-06,169.250000,173.625000,168.400000,172.890000,9890871
2025-08-07,173.500000,173.500000,165.210000,168.100000,14553490
2025-08-08,168.890000,170.458400,166.560000,167.060000,9842196
2025-08-11,167.200000,170.899400,166.210000,168.170000,10219730
2025-08-12,171.220000,175.580000,170.250000,175.400000,11539922
2025-08-13,180.150000,180.390000,175.780000,176.860000,11947487
2025-08-14,177.000000,177.850000,173.455000,173.550000,8784615
2025-08-15,174.360000,177.360000,173.500000,177.090000,9548581
2025-08-18,178.055000,178.190000,174.690000,176.170000,17895451
2025-08-19,187.810000,189.000000,180.710000,181.560000,27834466
2025-08-20,181.930000,187.645000,181.470000,184.430000,13637507
2025-08-21,184.120000,184.350000,180.020000,183.320000,8181331
2025-08-22,183.650000,187.109900,182.935000,185.880000,6861721
2025-08-25,185.180000,186.070000,181.910000,184.550000,5801233
2025-08-26,184.220000,186.657800,183.990000,184.230000,8319130
2025-08-27,185.000000,188.210000,184.690000,187.610000,5990604
2025-08-28,187.440000,191.570000,187.200000,191.020000,6031842
2025-08-29,191.370000,192.785000,190.030000,190.520000,5195150
2025-09-02,187.255000,191.590000,186.350000,190.520000,7066889
2025-09-03,188.950000,192.350000,188.050000,191.530000,5482571
2025-09-04,191.530000,194.480000,188.750000,192.350000,5996127
2025-09-05,193.600000,196.340000,191.850000,194.460000,5670399
2025-09-08,195.185000,197.900000,194.790000,197.380000,5503798
2025-09-09,197.690000,198.130000,195.770000,197.550000,4073968
2025-09-10,197.840000,202.720000,195.700000,197.330000,6342409
2025-09-11,198.000000,200.800000,197.718100,198.330000,4327456
2025-09-12,197.180000,199.950000,196.155000,196.290000,4431574
2025-09-15,198.045000,202.110000,197.370100,201.280000,6076902
2025-09-16,201.500000,202.120000,198.760000,201.340000,5365532
2025-09-17,203.000000,204.505000,200.325000,203.120000,4916139
2025-09-18,204.600000,207.029900,204.265000,205.680000,5446388
2025-09-19,206.405000,209.020000,205.520000,208.190000,8925326
2025-09-22,206.890000,209.510000,205.670000,208.180000,5468050
2025-09-23,207.160000,208.490000,202.250000,203.250000,7125741
2025-09-24,202.670000,205.000000,200.220000,200.700000,5159961
2025-09-25,200.000000,203.840000,197.690000,202.210000,7326395
2025-09-26,201.480000,203.549900,200.620000,202.370000,5244253
2025-09-29,203.000000,204.740000,202.600000,203.960000,5333718
2025-09-30,203.620000,206.070000,201.920000,203.620000,4396128
2025-10-01,202.160000,207.190000,200.880000,206.800000,5623781
2025-10-02,208.490000,209.900000,205.440000,209.300000,4951605
2025-10-03,210.100000,212.099900,206.900100,207.190000,4963007
2025-10-06,209.365000,213.850000,209.130000,212.580000,7286921
2025-10-07,213.230000,214.020000,208.320000,211.040000,4982825
2025-10-08,212.600000,217.940000,212.260000,217.790000,5122939
2025-10-09,217.000000,217.750000,214.190000,215.170000,4548755
2025-10-10,216.000000,217.290000,208.310000,208.550000,5425045
2025-10-13,213.420000,214.720000,211.690000,213.280000,4449204
2025-10-14,209.765000,210.800000,206.700000,207.560000,4381695
2025-10-15,208.080000,210.600000,203.380100,206.700000,4992297
2025-10-16,208.000000,210.440000,204.630000,205.510000,3675599
2025-10-17,204.090000,208.980000,203.620000,207.890000,4626840
2025-10-20,209.555000,212.605000,209.530000,211.820000,4086411
2025-10-21,212.040000,215.090000,211.190000,214.400000,3835806
2025-10-22,214.000000,215.170000,210.990000,212.420000,4591459
2025-10-23,212.050000,216.506900,211.620000,215.020000,4001693
2025-10-24,217.000000,218.225000,215.866100,217.110000,3437151
2025-10-27,219.790000,221.090000,218.000000,220.290000,5439642
2025-10-28,221.180000,223.610000,219.680000,221.380000,4608883
2025-10-29,219.310000,219.813500,216.000000,217.160000,4607680
2025-10-30,217.540000,221.270000,216.610000,218.270000,3759931
2025-10-31,219.940000,221.170000,217.750000,220.240000,3958720
2025-11-03,219.970000,220.470000,215.330000,219.230000,5011550
2025-11-04,215.720000,218.000000,212.350000,214.520000,6361809
2025-11-05,215.200000,215.599900,212.420000,213.180000,4309348
2025-11-06,209.870000,213.410000,207.350000,211.370000,5444794
2025-11-07,208.230000,212.635000,207.830000,212.285000,5046792
2025-11-10,214.220000,216.820000,212.720000,216.540000,4917095
2025-11-11,216.940000,218.749900,215.790100,218.270000,3581103
2025-11-12,218.140000,220.030000,209.720000,210.040000,4535075
2025-11-13,209.800000,211.990000,203.181200,204.770000,5361219
2025-11-14,201.990000,206.930000,198.400000,205.250000,5371730
2025-11-17,205.000000,207.185000,202.160000,202.900000,4860717
2025-11-18,202.500000,203.990000,199.810000,201.000000,5373225
2025-11-19,199.360000,202.600000,199.240000,199.900000,7529051
2025-11-20,198.125000,199.690000,183.200000,185.070000,16078962
2025-11-21,185.010000,186.750000,180.050000,182.900000,8201446
2025-11-24,185.420000,186.580000,181.920000,183.890000,16207034
2025-11-25,183.530000,186.690000,181.160000,186.270000,6035647
2025-11-26,187.145000,187.145000,183.830000,185.350000,5915205
2025-11-28,187.230000,190.920000,186.950000,190.130000,4808313
2025-12-01,189.540000,189.870000,185.620100,187.730000,6692006
2025-12-02,189.490000,192.075000,188.150000,189.880000,5874307
2025-12-03,190.080000,194.000000,186.770000,193.630000,5489767
2025-12-04,194.060000,196.000000,192.432000,195.680000,4164795
2025-12-05,195.640000,199.735000,195.000000,198.840000,4611842
2025-12-08,199.370000,199.900000,193.685000,195.350000,4425273
2025-12-09,195.020000,196.664500,194.200000,195.000000,3193486
2025-12-10,194.460000,195.000000,192.110000,192.960000,4715844
2025-12-11,191.380000,192.840000,188.500000,190.360000,5776098
2025-12-12,191.055000,193.660000,188.550000,191.690000,5352724
2025-12-15,191.340000,191.340000,185.709300,185.880000,6660313
2025-12-16,185.100000,188.330000,184.635000,187.090000,5757246
2025-12-17,187.530000,188.331600,183.280000,183.440000,5758294
2025-12-18,185.710000,186.920000,183.190100,185.880000,7224299
2025-12-19,187.850000,188.270000,186.140000,186.880000,19050253
2025-12-22,188.485000,190.520000,186.650100,189.490000,4982468
2025-12-23,189.070000,189.720000,187.290000,188.120000,3371298
2025-12-24,187.430000,187.840000,184.790100,187.220000,1829308
2025-12-26,187.340000,188.580000,186.510000,188.450000,2527618
2025-12-29,188.130000,189.030000,186.210000,186.850000,2659990
2025-12-30,186.250000,187.750000,185.900000,186.850000,2847620
2025-12-31,186.700000,186.860000,184.100000,184.200000,3253149
2026-01-02,184.810000,184.810000,177.230000,179.370000,6909587
2026-01-05,183.000000,185.840000,181.010000,182.120000,6582930
2026-01-06,181.730000,186.050000,181.450000,185.860000,5959267
2026-01-07,188.090000,196.190000,187.770000,193.900000,7613585
2026-01-08,193.690000,193.890000,189.050000,190.800000,6451293
2026-01-09,191.930000,192.419900,187.320000,189.020000,5306460
2026-01-12,188.340000,189.749900,187.292900,188.880000,4281434
2026-01-13,188.000000,193.200000,187.990000,190.850000,5419617
2026-01-14,190.710000,192.585000,187.950000,190.930000,5658085
2026-01-15,190.660000,194.069900,186.548500,187.730000,6530304
2026-01-16,187.630000,189.499900,184.675000,187.660000,7053068
2026-01-20,184.240000,188.520000,182.270000,184.060000,7287948
2026-01-21,184.460000,185.080000,178.780000,181.470000,6300966
2026-01-22,182.475000,183.095000,180.780000,182.270000,7018027
2026-01-23,183.060000,184.720000,179.700000,180.180000,5790965
2026-01-26,181.370000,185.619900,180.685000,184.220000,5356744
2026-01-27,187.375000,189.390000,182.530000,183.500000,5539985
2026-01-28,184.530000,186.680000,183.350000,183.740000,4159810
2026-01-29,181.080000,182.205000,171.251000,176.200000,12925323
2026-01-30,174.720000,178.099900,172.990000,176.970000,7628145
2026-02-02,177.450000,177.730000,173.800000,175.420000,4978106
2026-02-03,174.120000,174.550000,163.330000,166.240000,9945882
2026-02-04,164.870000,167.560000,159.440000,166.720000,10470840
2026-02-05,163.680000,166.190000,154.050000,154.770000,12780496
2026-02-06,157.610000,159.545000,151.710000,159.320000,9902493
2026-02-09,159.795000,166.749900,156.370000,166.000000,20917735
2026-02-10,166.390000,168.280000,164.300000,165.510000,30141622
2026-02-11,167.195000,168.280000,163.490000,165.300000,43667315
2026-02-12,166.290000,167.951400,157.810000,162.810000,19646464
2026-02-13,165.030000,170.490000,163.100000,166.950000,12576988
2026-02-17,165.680000,166.010000,160.080000,163.500000,16586505
2026-02-18,149.550000,155.278000,147.150000,152.350000,26756814
2026-02-19,152.480000,152.679700,148.150100,150.990000,13545796
2026-02-20,150.355000,158.170000,148.400000,148.700000,25857844
2026-02-23,147.720000,148.630000,143.300000,144.140000,20861538
2026-02-24,142.930000,147.520000,139.570600,141.670000,23692183
2026-02-25,142.725000,145.360000,140.300000,144.840000,11157854
2026-02-26,146.910000,151.290000,144.810000,149.400000,12124941
2026-02-27,147.165000,148.990000,143.670100,148.920000,9430627
2026-03-02,147.900000,151.860000,146.010000,150.150000,8281324
2026-03-03,149.070000,156.830000,147.860000,156.090000,10319535
2026-03-04,156.060000,160.295000,154.750000,158.560000,9541859
2026-03-05,159.130000,164.700000,158.480000,163.160000,9220461
2026-03-06,162.320000,165.359900,161.310000,165.050000,7202500
2026-03-09,164.080000,167.760000,163.490000,165.100000,9194273
2026-03-10,165.500000,167.000000,160.831600,165.580000,6846981
2026-03-11,166.650000,169.080000,163.380000,164.930000,5487235
2026-03-12,166.280000,168.740000,165.430000,168.120000,7961542
2026-03-13,168.900000,171.170000,165.802800,167.015000,6258637
2026-03-16,167.740000,168.280000,166.150000,167.450000,5985123
2026-03-17,167.900000,172.025000,167.550000,169.190000,5520394
2026-03-18,168.050000,171.805000,167.500000,168.910000,5789554
2026-03-19,168.860000,171.700000,168.000000,169.740000,6558167
2026-03-20,169.190000,169.190000,161.890000,162.950000,16455409
