d,o,h,l,c,v
2025-08-01,143.120000,143.580000,138.370000,139.340000,4235396
2025-08-04,139.440000,140.250000,138.620000,139.430000,2389409
2025-08-05,139.670000,139.950000,138.760000,139.180000,1976870
2025-08-06,139.600000,139.693400,138.220000,139.080000,2018116
2025-08-07,140.050000,141.060000,139.420000,140.520000,1885186
2025-08-08,140.300000,141.890000,140.255000,141.190000,1367957
2025-08-11,141.100000,141.585000,138.390000,138.600000,2521943
2025-08-12,138.590000,138.730000,134.810000,134.990000,3123502
2025-08-13,135.040000,138.810000,134.830000,138.610000,2584225
2025-08-14,138.380000,138.890000,137.250000,137.490000,1425034
2025-08-15,138.000000,138.940000,136.917300,138.250000,2672233
2025-08-18,138.330000,139.070000,137.230000,137.570000,1966136
2025-08-19,137.760000,139.600000,137.480100,139.010000,2117005
2025-08-20,139.880000,140.770000,138.440000,138.880000,2274355
2025-08-21,138.280000,138.710000,137.665000,138.410000,1609648
2025-08-22,139.170000,141.186800,138.835000,140.810000,2066288
2025-08-25,140.410000,140.560000,138.240000,138.500000,1707802
2025-08-26,138.180000,139.000000,137.600000,138.040000,3317549
2025-08-27,138.210000,139.340000,137.730000,138.650000,1852741
2025-08-28,138.750000,139.210000,137.880000,138.720000,1681427
2025-08-29,138.860000,139.530000,138.380000,139.455000,1715897
2025-09-02,138.690000,139.060000,135.210000,135.960000,2059180
2025-09-03,135.220000,136.040000,134.340000,135.630000,1549203
2025-09-04,135.530000,137.385000,134.785000,137.320000,1995637
2025-09-05,137.720000,138.190000,133.721300,135.440000,1898288
2025-09-08,135.630000,136.050000,134.580000,135.430000,2097715
2025-09-09,135.100000,135.785700,134.070000,134.410000,1388162
2025-09-10,133.900000,135.050000,132.440000,133.070000,1860546
2025-09-11,132.880000,135.760000,132.660000,135.460000,1699037
2025-09-12,135.090000,135.970000,134.681400,135.110000,1305369
2025-09-15,135.340000,135.780000,131.767700,131.970000,2195109
2025-09-16,131.960000,132.400000,130.235000,131.620000,2991647
2025-09-17,132.280000,134.140000,132.150000,132.460000,3784668
2025-09-18,131.840000,132.870000,130.940000,131.110000,3656243
2025-09-19,131.770000,131.960000,129.330000,130.000000,7782937
2025-09-22,128.600000,130.880000,128.230000,130.400000,4327344
2025-09-23,129.720000,130.640000,128.800000,129.300000,3847358
2025-09-24,128.940000,130.030000,128.180000,128.270000,3547405
2025-09-25,128.910000,129.300000,126.130000,126.690000,3168925
