d,o,h,l,c,v
2024-07-25,99.840000,100.660000,97.245000,97.600000,5215453
2024-07-26,97.880000,100.260000,97.404600,99.240000,3091675
2024-07-29,99.230000,99.260000,97.845000,98.320000,2135152
2024-07-30,98.590000,99.260000,96.980000,97.050000,3219432
2024-07-31,97.900000,99.430000,97.437100,98.660000,2878371
2024-08-01,98.250000,99.470000,95.090000,96.300000,4128227
2024-08-02,95.420000,95.790000,93.200000,94.360000,4074093
2024-08-05,92.990000,92.990000,90.040000,91.930000,4398417
2024-08-06,91.950000,93.910000,91.400000,92.280000,3397167
2024-08-07,92.980000,93.570000,91.435000,91.640000,2223505
2024-08-08,92.000000,93.540000,91.460000,93.280000,2338469
2024-08-09,92.900000,93.755000,91.850000,92.860000,2217460
2024-08-12,92.500000,92.870000,91.370000,92.170000,3263747
2024-08-13,92.620000,92.895000,91.525000,92.680000,2002599
2024-08-14,92.660000,95.040000,92.575000,93.690000,3174759
2024-08-15,93.770000,95.670000,93.730000,95.010000,2260417
2024-08-16,94.630000,95.190000,93.825000,95.170000,3222503
2024-08-19,95.270000,96.100000,95.100000,95.970000,1507266
2024-08-20,95.580000,96.075000,95.360000,95.690000,1601672
2024-08-21,95.970000,96.160000,94.870000,96.020000,1255289
2024-08-22,96.390000,96.395500,94.960000,95.280000,1590562
2024-08-23,95.980000,97.150000,95.700000,96.460000,1771613
2024-08-26,96.650000,97.280000,95.490000,95.870000,2244659
2024-08-27,95.590000,95.620000,94.090000,94.360000,2186631
2024-08-28,94.520000,95.640000,94.100000,94.530000,3514481
2024-08-29,95.150000,95.495000,93.680000,94.650000,2131106
2024-08-30,95.130000,96.260000,94.390000,96.180000,2352432
2024-09-03,95.510000,95.860000,94.000200,95.560000,4013506
2024-09-04,95.010000,96.280000,94.600000,95.000000,2302236
2024-09-05,94.430000,94.470000,91.720000,92.570000,2555681
2024-09-06,92.920000,94.470000,91.850000,93.250000,3980613
2024-09-09,93.970000,95.120000,93.450000,94.970000,2815522
2024-09-10,95.230000,95.230000,93.890000,94.570000,1894243
2024-09-11,94.450000,94.450000,91.480000,94.250000,3011118
2024-09-12,94.290000,95.130000,93.360000,95.070000,2120335
2024-09-13,95.410000,95.845000,94.590000,95.120000,1552371
2024-09-16,95.620000,96.115000,94.980000,95.700000,2087755
2024-09-17,96.190000,99.348900,96.075000,97.990000,2777875
2024-09-18,98.000000,98.420000,96.080000,96.320000,1767618
2024-09-19,98.620000,99.590000,97.770000,99.520000,2755991
2024-09-20,98.870000,99.170000,98.380000,98.910000,4183120
2024-09-23,99.520000,99.780000,98.485000,98.790000,1832157
2024-09-24,98.850000,99.680000,98.290000,99.170000,1592744
2024-09-25,99.530000,99.530000,97.120000,98.120000,3085657
2024-09-26,99.140000,100.350000,97.490000,97.810000,3107098
2024-09-27,97.880000,99.750000,97.410000,98.130000,2107687
2024-09-30,97.800000,98.760000,97.050000,98.680000,2489490
2024-10-01,98.430000,98.680000,97.400000,98.050000,1519968
2024-10-02,97.730000,98.640000,97.000000,97.920000,1735309
2024-10-03,98.175000,102.450000,98.175000,101.250000,4045649
2024-10-04,102.240000,103.860000,101.793800,103.410000,2796414
2024-10-07,102.460000,103.940000,102.310000,102.980000,2117998
2024-10-08,102.920000,103.460000,102.240000,102.800000,1690857
2024-10-09,103.070000,103.970000,102.590000,103.770000,1781172
2024-10-10,103.230000,103.910000,102.810000,103.620000,2403638
2024-10-11,103.460000,107.490000,102.780000,106.800000,3358855
2024-10-14,106.550000,108.370000,106.127700,108.220000,2721219
2024-10-15,107.790000,108.350000,106.320000,106.410000,2574300
2024-10-16,107.000000,107.100000,106.260000,107.030000,2903232
2024-10-17,107.570000,108.010000,106.940000,107.560000,2440802
2024-10-18,110.000000,110.420000,108.941000,110.090000,2997492
2024-10-21,109.910000,110.660000,109.220000,109.610000,2674701
2024-10-22,106.215000,107.000000,100.010000,104.790000,7366841
2024-10-23,104.000000,106.820000,103.720000,103.800000,3243265
2024-10-24,104.460000,105.310000,103.345000,104.840000,2007661
2024-10-25,105.960000,107.455000,105.660000,105.900000,2989720
2024-10-28,107.170000,107.395000,106.400000,107.070000,1579931
2024-10-29,106.840000,107.280000,106.215000,106.670000,1993229
2024-10-30,105.620000,106.660000,104.830000,104.900000,2343455
2024-10-31,104.830000,105.420000,103.060100,104.280000,2413287
2024-11-01,103.990000,104.660000,102.940000,103.350000,1845568
2024-11-04,103.470000,105.230000,103.425400,104.820000,2753326
2024-11-05,104.750000,108.631000,104.350000,108.070000,3414015
2024-11-06,113.580000,117.830000,112.140000,116.010000,4622494
2024-11-07,116.000000,116.190000,112.380000,112.720000,2386671
2024-11-08,112.690000,115.120000,112.270000,114.380000,2451397
2024-11-11,115.280000,116.940000,115.000000,116.430000,1927157
2024-11-12,116.000000,117.210000,115.460000,116.790000,3690002
2024-11-13,117.490000,117.680000,116.000000,116.800000,2628870
2024-11-14,116.680000,117.220000,114.840000,115.060000,1713683
2024-11-15,114.780000,115.290000,111.910000,112.260000,2528677
2024-11-18,112.920000,113.250000,111.815000,111.880000,1912951
2024-11-19,110.640000,111.320000,110.180000,110.380000,1636881
2024-11-20,110.180000,110.968700,109.140000,109.990000,1457026
2024-11-21,111.440000,114.520000,110.830000,114.050000,1620633
2024-11-22,113.670000,115.030000,113.260000,114.750000,1802041
2024-11-25,115.610000,116.670000,115.400000,116.540000,2976619
2024-11-26,115.830000,116.290000,114.590000,115.820000,2131315
2024-11-27,115.620000,116.370000,115.000000,116.180000,1685692
2024-11-29,116.640000,117.460000,116.200000,117.000000,1069530
2024-12-02,117.000000,117.135000,115.680000,116.240000,1651765
2024-12-03,116.750000,117.530000,116.380000,116.850000,1862133
2024-12-04,118.090000,118.810000,117.190000,118.410000,2046320
2024-12-05,117.770000,118.190000,116.600000,117.620000,2029364
2024-12-06,116.710000,117.000000,115.058900,115.880000,1916392
2024-12-09,115.870000,116.460000,114.690000,114.830000,1870023
2024-12-10,114.840000,116.640000,113.470000,115.370000,1875702
2024-12-11,116.290000,116.860000,115.670000,115.850000,2218369
2024-12-12,115.780000,115.910000,111.710000,112.800000,2166247
2024-12-13,112.590000,113.550000,111.730000,113.010000,1484895
2024-12-16,113.320000,113.460000,111.630000,112.330000,1971216
2024-12-17,112.130000,113.885000,111.480000,111.660000,2955600
2024-12-18,111.720000,112.180000,107.720000,107.780000,2809007
2024-12-19,108.650000,109.550000,106.760000,107.510000,3183623
2024-12-20,104.770000,106.750000,103.770000,105.320000,6356602
2024-12-23,105.020000,105.320000,104.010000,104.700000,1897811
2024-12-24,104.700000,105.250000,103.770000,105.180000,978912
2024-12-26,105.180000,105.730000,104.360000,105.430000,940817
2024-12-27,104.540000,105.750000,103.390000,104.570000,1640105
2024-12-30,104.120000,104.130000,102.640000,103.610000,1608671
2024-12-31,104.230000,104.480000,103.400000,104.020000,1311385
2025-01-02,104.970000,105.600000,102.930000,103.420000,1371448
2025-01-03,104.280000,105.150000,102.755000,104.900000,1937160
2025-01-06,105.630000,108.655000,105.135700,107.240000,2227286
2025-01-07,107.770000,111.065000,107.700000,109.560000,3220177
2025-01-08,109.300000,110.530000,107.960000,108.500000,2512821
2025-01-10,106.860000,107.390000,105.190000,106.580000,2561241
2025-01-13,106.690000,108.520000,106.000000,108.160000,2169302
2025-01-14,110.250000,111.426800,109.440000,110.200000,1836012
2025-01-15,111.570000,111.930000,109.580000,109.630000,2063002
2025-01-16,109.450000,110.010000,108.420000,109.480000,1891399
