d,o,h,l,c,v
2025-08-01,139.105000,139.810000,138.290000,139.280000,7630810
2025-08-04,139.285000,140.320000,138.750000,139.560000,8384672
2025-08-05,139.600000,140.345000,139.260000,139.450000,5535084
2025-08-06,139.900000,141.580000,139.360000,140.800000,6747448
2025-08-07,141.240000,144.310000,140.480000,143.920000,7674642
2025-08-08,143.920000,145.365000,143.800000,145.210000,5315087
2025-08-11,145.320000,145.600000,143.745000,144.870000,5773384
2025-08-12,145.550000,147.010000,144.715000,146.870000,7670149
2025-08-13,146.885000,149.540000,146.850000,149.350000,6147005
2025-08-14,149.035000,149.500000,148.050000,148.620000,6892466
2025-08-15,149.390000,151.100000,148.490000,150.400000,9162178
2025-08-18,150.550000,150.550000,148.920000,149.550000,9900999
2025-08-19,150.000000,152.325000,149.860000,152.160000,8596943
2025-08-20,153.210000,154.610000,148.690000,150.730000,10023466
2025-08-21,150.325000,150.325000,148.595000,148.980000,8153618
2025-08-22,149.650000,151.180000,149.090000,149.640000,5218019
2025-08-25,148.425000,148.820000,147.580000,148.200000,6624298
2025-08-26,147.500000,148.250000,145.810000,147.000000,11208146
2025-08-27,147.000000,147.790000,146.310000,147.640000,8092909
2025-08-28,147.960000,148.035000,146.233000,146.980000,9265077
2025-08-29,147.100000,149.220000,146.870000,148.650000,7760710
2025-09-02,157.440000,157.800000,150.210000,150.280000,17348611
2025-09-03,149.950000,150.460000,147.110000,148.640000,11259203
2025-09-04,149.020000,149.470000,146.450000,146.890000,6342232
2025-09-05,146.000000,147.880000,145.280000,146.390000,7186260
2025-09-08,145.720000,145.720000,140.345000,141.710000,11127619
2025-09-09,141.180000,143.630000,141.100000,143.100000,5866442
2025-09-10,142.230000,143.110000,141.420000,142.660000,6015122
2025-09-11,142.890000,144.750000,142.500000,144.230000,6144363
2025-09-12,144.070000,144.245000,142.900000,143.530000,5714114
2025-09-15,143.395000,143.530000,140.531200,140.640000,7279639
2025-09-16,140.690000,141.310000,139.910000,140.030000,9283480
2025-09-17,140.170000,142.045000,140.150000,141.230000,6092884
2025-09-18,140.635000,141.630000,140.390100,140.730000,6106557
2025-09-19,141.460000,142.080000,140.460000,141.760000,12365531
2025-09-22,141.080000,141.520000,139.939500,141.030000,5797558
2025-09-23,141.035000,142.230000,139.960000,141.900000,6356489
