d,o,h,l,c,v
2025-08-01,23.300000,23.520000,23.110000,23.490000,51332709
2025-08-04,23.440000,23.680000,23.400000,23.530000,57010739
2025-08-05,24.270000,24.890000,24.270000,24.750000,113955063
2025-08-06,24.680000,24.710000,23.860000,23.930000,65689179
2025-08-07,24.170000,24.470000,23.940000,24.230000,45494359
2025-08-08,24.289900,24.610000,24.160000,24.580000,36376966
2025-08-11,24.600000,24.920000,24.530000,24.580000,38115712
2025-08-12,24.655000,24.768400,24.470000,24.650000,34412629
2025-08-13,24.745000,25.195000,24.743000,25.160000,40176493
2025-08-14,25.090000,25.180000,24.815000,25.110000,32513972
2025-08-15,25.220000,25.300000,24.970000,25.140000,31844848
2025-08-18,25.140000,25.230000,25.010000,25.070000,35623337
2025-08-19,25.140000,25.430000,25.100000,25.320000,29170504
2025-08-20,25.390000,25.690000,25.340000,25.380000,38111023
2025-08-21,25.410000,25.885000,25.370000,25.740000,37068082
2025-08-22,25.900000,26.110000,25.760000,25.880000,34560471
2025-08-25,25.880000,25.890000,25.110000,25.140000,32684212
2025-08-26,25.140000,25.240000,24.870000,24.920000,43938721
2025-08-27,25.010000,25.170000,24.850000,25.070000,31840305
2025-08-28,25.070000,25.070000,24.510000,24.600000,44306845
2025-08-29,24.680000,24.880000,24.511000,24.760000,37029976
2025-09-02,24.730000,25.065000,24.710000,24.980000,44724976
2025-09-03,24.880000,25.120000,24.720000,24.790000,30957575
2025-09-04,24.780000,24.780000,24.350000,24.540000,41695505
2025-09-05,24.570000,24.890000,24.505000,24.880000,34613225
2025-09-08,24.900000,24.965000,24.310000,24.550000,49242866
2025-09-09,24.550000,24.790000,24.510000,24.710000,32751305
2025-09-10,24.640000,24.650000,24.450000,24.570000,32975897
2025-09-11,24.600000,24.860000,24.540000,24.860000,36784139
2025-09-12,24.810000,24.840000,23.840000,23.870000,81378229
2025-09-15,23.990000,24.120000,23.680000,23.970000,50760174
2025-09-16,23.960000,24.220000,23.870000,23.900000,57010792
2025-09-17,23.980000,24.390000,23.900000,24.050000,46351613
2025-09-18,24.050000,24.240000,23.955000,24.150000,34418976
2025-09-19,24.250000,24.250000,23.815000,24.030000,86577634
2025-09-22,24.280000,24.800000,24.030000,24.040000,67863310
2025-09-23,24.100000,24.360000,24.050000,24.130000,38955246
2025-09-24,24.170000,24.180000,23.980000,24.090000,39669358
2025-09-25,24.090000,24.150000,23.580000,23.600000,56738262
2025-09-26,23.730000,23.810000,23.610000,23.760000,33374526
2025-09-29,23.790000,23.860000,23.640000,23.850000,39184348
2025-09-30,23.850000,25.630000,23.810000,25.480000,164867295
2025-10-01,25.970000,27.450000,25.580000,27.210000,150879897
2025-10-02,26.930000,27.170000,26.620000,27.080000,69684073
2025-10-03,27.200000,27.690000,27.035000,27.370000,70524014
2025-10-06,27.270000,27.360000,26.391348,26.430000,62945613
2025-10-07,26.420000,26.580000,26.050000,26.270000,47744194
2025-10-08,26.420000,26.500000,25.630000,25.680000,48693344
2025-10-09,25.780000,25.900000,25.210000,25.240000,47278671
2025-10-10,25.260000,25.420000,24.620000,24.780000,64963949
2025-10-13,24.840000,24.950000,24.610000,24.730000,45356617
2025-10-14,24.650000,24.790000,24.480000,24.520000,42277035
2025-10-15,24.490000,24.580000,24.210000,24.390000,47729799
2025-10-16,24.440000,24.605000,24.210000,24.230000,44389991
2025-10-17,24.200000,24.530000,24.160000,24.510000,40101861
2025-10-20,24.570000,24.730000,24.510000,24.690000,35856842
2025-10-21,24.720000,24.960000,24.600000,24.850000,40726922
2025-10-22,24.790000,24.930000,24.620000,24.720000,48662938
2025-10-23,24.760000,24.780000,24.510000,24.670000,34219939
2025-10-24,24.695000,24.829000,24.680000,24.760000,27429169
2025-10-27,24.740000,24.795000,24.630000,24.770000,34974859
2025-10-28,24.780000,24.780000,24.380000,24.500000,50152370
2025-10-29,24.530000,24.625000,24.230000,24.290000,65438433
2025-10-30,24.310000,24.700000,24.150000,24.290000,157478009
2025-10-31,24.280000,24.730000,24.160000,24.650000,132697441
2025-11-03,24.590000,24.750000,24.405000,24.660000,140871289
2025-11-04,24.390000,25.200000,24.200000,24.300000,166161967
2025-11-05,24.380000,24.670000,24.160000,24.610000,107240924
2025-11-06,24.750000,25.130000,24.543200,24.850000,124137172
2025-11-07,24.330000,24.630000,24.110900,24.430000,117794498
2025-11-10,24.660000,24.885000,23.910000,24.390000,148958624
2025-11-11,24.490000,25.510000,24.443800,25.510000,139673794
2025-11-12,25.395000,25.945000,25.250000,25.870000,96008033
2025-11-13,25.940000,26.475000,25.670000,25.790000,123083106
2025-11-14,25.670000,25.770000,24.970000,25.060000,96507648
2025-11-17,25.110000,25.570000,24.950000,25.080000,88042246
2025-11-18,25.050000,25.510000,24.980000,25.450000,66511756
2025-11-19,25.350000,25.500000,24.720000,24.880000,62000199
2025-11-20,24.890000,25.000000,24.280000,24.400000,51983224
2025-11-21,24.585000,25.520000,24.585000,25.040000,73079369
2025-11-24,25.110000,25.470000,25.045000,25.220000,63074949
2025-11-25,25.370000,25.970000,25.360000,25.720000,39130262
2025-11-26,25.700000,25.806600,25.580000,25.710000,33461046
2025-11-28,25.850000,25.860000,25.660000,25.740000,22627577
2025-12-01,25.760000,25.940000,25.234400,25.270000,53198560
2025-12-02,25.315000,25.315000,25.040000,25.150000,43826986
2025-12-03,25.320000,25.890000,25.300000,25.570000,56121174
2025-12-04,25.630000,25.740000,25.350000,25.700000,35453966
2025-12-05,25.770000,26.120000,25.640000,26.030000,47443701
2025-12-08,26.040000,26.190000,25.760000,25.770000,45209347
2025-12-09,26.000000,26.130000,25.130000,25.330000,43483806
2025-12-10,25.490000,25.790000,25.220000,25.780000,43635410
2025-12-11,25.800000,26.040000,25.610000,25.800000,35570246
2025-12-12,25.835000,26.040000,25.720000,25.850000,51599710
2025-12-15,25.820000,26.650000,25.810000,26.430000,60360028
2025-12-16,26.440000,26.505000,24.920000,25.530000,111695467
2025-12-17,25.400000,25.490000,25.030000,25.040000,61255280
2025-12-18,25.010000,25.225000,24.980000,25.040000,47062505
2025-12-19,25.010000,25.520000,24.980000,25.190000,87589966
2025-12-22,25.200000,25.400000,25.130000,25.210000,38758872
2025-12-23,25.260000,25.340000,24.830000,24.880000,43692855
2025-12-24,24.920000,25.140000,24.905000,25.030000,19328545
2025-12-26,25.015000,25.110000,24.920000,25.090000,21617814
2025-12-29,25.050000,25.200000,24.970000,25.000000,33067670
2025-12-30,25.010000,25.047500,24.920000,24.990000,28821740
2025-12-31,24.965000,25.020000,24.880000,24.900000,29409238
2026-01-02,24.980000,25.300000,24.830000,25.180000,35976669
2026-01-05,25.200000,25.400000,24.950000,25.170000,52620900
2026-01-06,25.185000,26.005000,25.185000,25.430000,50977282
2026-01-07,25.590000,25.810000,25.140000,25.280000,51395756
2026-01-08,25.180000,25.560000,25.120000,25.290000,42977333
2026-01-09,25.340000,25.550000,25.230000,25.480000,34190182
2026-01-12,25.575000,25.770000,25.085000,25.270000,50256307
2026-01-13,25.320000,25.390000,24.974600,25.150000,47656110
2026-01-14,25.230000,25.710000,25.203500,25.580000,53738090
2026-01-15,25.550000,25.890000,25.250000,25.890000,55263211
2026-01-16,25.890000,25.890000,25.550000,25.650000,59470570
2026-01-20,25.430000,25.650000,25.089000,25.520000,55425394
2026-01-21,25.470000,25.920000,25.380000,25.890000,47264124
2026-01-22,25.900000,26.310000,25.750000,26.100000,49883920
2026-01-23,25.580000,25.685000,25.510000,25.650000,45402334
2026-01-26,25.630000,25.920000,25.595000,25.880000,41441866
2026-01-27,25.940000,26.830000,25.900000,26.500000,75575387
2026-01-28,26.265000,26.390000,25.755000,25.860000,44976694
2026-01-29,25.900000,26.230000,25.880000,26.100000,44373803
2026-01-30,26.130000,26.470000,25.900000,26.440000,51599439
2026-02-02,26.420000,26.685000,26.353400,26.660000,52129516
2026-02-03,25.360000,26.105000,25.260000,25.770000,91964912
2026-02-04,25.880000,26.980000,25.860000,26.780000,83025839
2026-02-05,26.760000,27.190000,26.460000,26.490000,72650731
2026-02-06,26.670000,27.370000,26.520000,27.220000,50691575
2026-02-09,27.180000,27.365000,26.790000,27.050000,49288175
2026-02-10,27.175000,27.730000,27.090000,27.610000,43760600
2026-02-11,27.550000,27.940000,27.310000,27.730000,41699330
2026-02-12,27.650000,27.890000,27.410000,27.470000,58805105
2026-02-13,27.600000,27.940000,27.550000,27.580000,36986727
2026-02-17,27.840000,27.870000,27.200000,27.370000,32119860
2026-02-18,27.440000,27.480000,27.205000,27.370000,24779774
