d,o,h,l,c,v
2025-08-01,192.470000,192.570000,189.030000,191.410000,615941
2025-08-04,191.680000,194.395000,191.460000,193.080000,576256
2025-08-05,193.080000,193.925000,191.790000,193.510000,505569
2025-08-06,193.120000,193.120000,191.130000,192.220000,624543
2025-08-07,193.820000,195.615000,192.430000,194.860000,455492
2025-08-08,195.360000,197.250000,194.500000,196.430000,440978
2025-08-11,196.670000,198.210000,194.625000,196.620000,482216
2025-08-12,196.770000,199.145000,196.290000,198.960000,520625
2025-08-13,199.050000,200.880000,198.320000,200.790000,483907
2025-08-14,198.790000,198.790000,195.270000,196.520000,410587
2025-08-15,197.160000,197.160000,193.170000,193.420000,797525
2025-08-18,193.320000,195.050000,192.555000,194.110000,670938
2025-08-19,195.060000,198.285000,194.680000,198.250000,560220
2025-08-20,198.600000,198.710000,196.910000,198.120000,563956
2025-08-21,198.910000,212.090000,198.200000,210.350000,2555321
2025-08-22,211.360000,216.780000,210.010000,212.740000,1435450
2025-08-25,212.160000,212.550000,209.770000,212.230000,594962
2025-08-26,211.380000,212.190000,210.160000,211.620000,1234305
2025-08-27,210.680000,212.660000,209.410000,210.690000,624275
2025-08-28,212.300000,217.240000,211.060000,216.650000,1184624
2025-08-29,217.440000,219.365000,216.700000,217.960000,937970
2025-09-02,214.810000,216.960000,213.610000,216.450000,687279
2025-09-03,215.530000,216.840000,212.800000,212.930000,622980
2025-09-04,212.540000,216.800000,211.050000,216.720000,725387
2025-09-05,217.320000,220.310000,217.020000,220.250000,873545
2025-09-08,219.630000,220.140000,214.840000,215.930000,1008567
2025-09-09,215.950000,216.670000,212.860100,214.070000,747982
2025-09-10,213.050000,215.730000,212.690000,213.050000,616608
2025-09-11,212.910000,217.510000,212.520000,217.030000,620055
2025-09-12,215.740000,216.850000,214.910000,215.150000,471235
2025-09-15,214.530000,215.275000,211.520000,211.810000,786382
2025-09-16,210.930000,212.190000,209.930000,211.470000,636154
2025-09-17,213.940000,217.010000,211.840000,212.080000,577305
2025-09-18,212.160000,214.660000,210.610000,213.960000,570953
2025-09-19,213.780000,213.780000,210.520000,211.280000,1157983
2025-09-22,212.040000,213.440000,210.170000,212.710000,464101
2025-09-23,212.540000,214.910000,212.540000,213.710000,422702
2025-09-24,216.780000,217.900000,213.875000,215.320000,509971
2025-09-25,214.090000,215.120000,212.365000,213.140000,599964
2025-09-26,213.530000,216.060000,211.520000,215.950000,576774
2025-09-29,216.590000,216.590000,214.730000,216.270000,506670
2025-09-30,215.550000,218.325000,215.055000,217.930000,591793
2025-10-01,216.930000,218.560000,214.670000,214.850000,663864
2025-10-02,214.850000,216.300000,213.040000,215.640000,569175
2025-10-03,215.340000,216.950000,214.510000,214.540000,332141
2025-10-06,214.110000,214.250000,211.870000,212.930000,590306
2025-10-07,213.330000,215.150000,210.080000,210.550000,413864
2025-10-08,210.850000,214.255000,209.480000,213.280000,596249
2025-10-09,214.760000,214.760000,210.400000,211.390000,624508
2025-10-10,212.480000,212.975000,206.580000,206.750000,645274
2025-10-13,208.670000,209.805000,206.185000,207.750000,486277
2025-10-14,206.280000,212.295000,204.880000,210.760000,685390
2025-10-15,211.120000,211.420000,207.245000,209.650000,659695
2025-10-16,209.940000,210.380000,205.230000,205.340000,583682
2025-10-17,205.950000,207.020000,202.370000,203.330000,772277
2025-10-20,203.970000,206.010000,201.890000,205.880000,820785
2025-10-21,206.230000,208.620000,204.750000,208.130000,692817
2025-10-22,208.990000,212.520000,207.800000,208.740000,1446295
2025-10-23,199.350000,213.430000,198.270000,213.260000,1904342
2025-10-24,212.170000,215.770000,204.230000,204.830000,1351356
2025-10-27,205.480000,208.835000,204.840000,206.610000,733676
2025-10-28,205.880000,208.610000,205.260000,206.160000,468027
2025-10-29,204.780000,204.780000,195.790000,196.650000,996376
2025-10-30,195.570000,199.010000,194.830000,196.160000,825554
2025-10-31,194.980000,196.680000,193.070000,195.760000,835168
2025-11-03,194.460000,195.800000,192.820000,195.590000,862897
2025-11-04,195.160000,198.140000,194.680000,197.160000,840993
2025-11-05,197.330000,199.600000,196.170000,199.120000,1337158
2025-11-06,198.180000,200.620000,196.670000,198.090000,842301
2025-11-07,198.000000,200.830000,195.750000,200.550000,573114
2025-11-10,200.550000,201.690000,198.475000,200.720000,709182
2025-11-11,201.740000,203.335000,200.880000,203.020000,585841
2025-11-12,203.050000,204.110000,200.420000,200.440000,789367
2025-11-13,200.990000,202.930000,198.880000,199.090000,735430
2025-11-14,198.170000,198.655000,195.260000,197.220000,835017
2025-11-17,197.210000,197.530000,194.850000,196.670000,896074
2025-11-18,196.220000,197.930000,194.490000,196.630000,608014
2025-11-19,196.380000,196.690000,192.750000,194.310000,939803
2025-11-20,195.170000,196.370000,191.500000,191.680000,914617
2025-11-21,192.710000,198.495000,192.580000,197.310000,707434
2025-11-24,196.350000,198.165000,195.620000,197.320000,749615
2025-11-25,198.880000,201.699900,197.725000,201.260000,545631
2025-11-26,200.680000,204.370000,200.630000,203.490000,498934
2025-11-28,203.070000,205.680000,201.660000,204.070000,292410
2025-12-01,203.490000,205.450000,202.882500,203.240000,590010
2025-12-02,203.240000,203.240000,191.650000,192.550000,1313994
2025-12-03,193.260000,198.410000,192.660000,197.950000,968024
2025-12-04,197.970000,199.540000,196.325000,196.630000,732273
2025-12-05,196.350000,200.250000,195.730000,198.480000,890869
2025-12-08,197.820000,199.660000,195.900000,196.790000,861587
2025-12-09,196.010000,197.297500,193.010000,193.400000,605065
2025-12-10,195.310000,204.160000,194.650000,202.620000,952648
2025-12-11,203.040000,206.165000,201.450000,205.300000,705921
2025-12-12,205.670000,205.925000,204.310000,205.070000,884171
2025-12-15,204.890000,205.305000,203.090000,204.480000,879681
2025-12-16,205.300000,205.880000,201.490000,203.660000,1681450
2025-12-17,203.060000,203.590000,200.170000,202.330000,837938
2025-12-18,202.140000,204.930000,200.090000,204.030000,975272
2025-12-19,203.690000,204.185000,202.105000,202.820000,1793577
2025-12-22,204.010000,207.460000,199.910000,206.550000,812809
2025-12-23,206.540000,207.560000,205.130000,206.830000,563258
2025-12-24,206.080000,208.520000,205.240000,207.330000,285355
2025-12-26,207.950000,209.020000,205.472100,208.910000,380833
2025-12-29,207.820000,209.130000,207.200000,208.770000,399245
2025-12-30,208.450000,209.770000,207.254500,208.260000,394990
2025-12-31,207.840000,208.935000,206.190000,206.230000,365568
2026-01-02,205.950000,211.419000,204.580000,211.120000,584194
2026-01-05,210.210000,211.810000,207.790000,211.130000,759538
2026-01-06,213.800000,213.890000,211.620000,211.720000,970555
2026-01-07,211.730000,213.900000,204.700000,206.810000,839678
2026-01-08,206.150000,214.840000,206.150000,213.880000,850476
2026-01-09,215.260000,219.520000,214.100000,219.350000,637138
2026-01-12,218.430000,218.430000,215.370000,217.220000,846728
2026-01-13,217.210000,219.080000,214.990000,218.650000,691714
2026-01-14,219.190000,221.800000,217.510000,219.960000,753201
2026-01-15,220.810000,223.900000,219.012500,221.960000,738041
2026-01-16,221.040000,222.265000,219.495000,221.330000,570822
2026-01-20,219.870000,220.320000,216.660000,217.110000,751358
2026-01-21,219.850000,222.215000,217.610000,220.000000,965113
2026-01-22,221.030000,222.690000,217.634400,218.760000,760266
2026-01-23,218.060000,227.610000,216.285000,225.390000,1838900
2026-01-26,225.950000,226.340000,221.750000,221.830000,1708345
2026-01-27,220.500000,224.460000,216.514000,223.620000,1806754
2026-01-28,220.010000,231.120000,215.470000,217.610000,2395664
2026-01-29,218.860000,223.050000,217.720000,220.210000,1654058
2026-01-30,218.730000,224.690000,217.900000,222.550000,1699681
2026-02-02,221.520000,224.755000,220.145000,223.720000,1021746
2026-02-03,223.140000,228.200000,222.135000,224.420000,983383
2026-02-04,225.990000,234.200000,224.440000,232.450000,1311922
2026-02-05,232.320000,232.805000,227.960000,231.910000,1137026
2026-02-06,233.820000,239.750000,230.630000,238.860000,844602
2026-02-09,237.420000,240.790000,235.945000,238.710000,786436
2026-02-10,239.760000,241.920000,236.941000,241.780000,755012
2026-02-11,243.890000,246.540000,241.780000,244.550000,973039
2026-02-12,245.460000,249.510000,243.495000,245.080000,1216218
2026-02-13,244.630000,248.185000,243.570000,246.310000,1068882
2026-02-17,245.770000,246.095000,240.240000,240.370000,1181360
2026-02-18,239.350000,242.260000,237.170000,239.030000,1527323
2026-02-19,239.290000,241.190000,235.920000,238.950000,788189
2026-02-20,239.520000,241.315000,235.340000,237.210000,993851
2026-02-23,222.500000,225.610000,218.530000,225.550000,1448985
2026-02-24,227.510000,229.580000,225.290000,228.890000,1166176
2026-02-25,229.060000,231.460000,223.655000,230.920000,987666
2026-02-26,232.380000,234.270000,228.600000,231.830000,938997
2026-02-27,230.010000,232.200000,226.705000,232.140000,1037091
2026-03-02,229.200000,232.530000,225.975000,231.210000,630790
2026-03-03,226.910000,233.140000,224.050000,231.420000,665747
2026-03-04,231.230000,233.810000,228.875000,232.550000,766337
2026-03-05,229.960000,231.170000,224.180100,226.220000,763293
2026-03-06,223.800000,224.785000,219.730000,222.520000,1030478
2026-03-09,219.340000,223.775000,214.520000,222.800000,1134985
2026-03-10,222.640000,225.350000,220.200000,221.320000,951135
2026-03-11,221.080000,223.770000,217.440000,222.580000,916809
2026-03-12,221.900000,222.070000,211.470000,214.040000,1415833
2026-03-13,216.000000,218.650000,213.655000,214.500000,1154942
2026-03-16,216.490000,217.525000,213.590000,214.950000,1089208
2026-03-17,217.440000,217.675000,215.030000,215.970000,816982
2026-03-18,214.100000,216.395000,209.330000,209.420000,1128774
2026-03-19,207.820000,207.820000,201.480000,204.390000,1513520
2026-03-20,205.260000,205.655000,201.250000,202.730000,5391911
2026-03-23,208.750000,213.320000,207.060000,209.060000,1255387
2026-03-24,207.120000,215.280000,207.055000,213.500000,765821
2026-03-25,215.170000,216.030000,212.100000,213.360000,536557
2026-03-26,211.460000,215.160000,210.350000,212.600000,807797
2026-03-27,211.670000,213.020000,210.830000,212.250000,630328
