d,o,h,l,c,v
2025-08-01,107.180000,107.270000,104.095000,104.910000,6122826
2025-08-04,105.330000,105.890000,104.410000,105.210000,4631784
2025-08-05,105.700000,107.580000,105.300000,107.040000,3556675
2025-08-06,106.930000,107.433600,105.630000,105.730000,3706201
2025-08-07,106.960000,107.480000,105.310000,106.290000,2214896
2025-08-08,106.220000,106.770000,105.620000,105.680000,1841670
2025-08-11,105.410000,105.860000,103.940000,104.080000,3181454
2025-08-12,104.300000,104.940000,103.410000,104.810000,2847141
2025-08-13,105.120000,106.540000,104.540000,106.190000,2679177
2025-08-14,105.300000,106.320000,104.070000,105.850000,2267969
2025-08-15,106.320000,106.800000,105.979800,106.590000,1924224
2025-08-18,106.570000,106.610000,105.420000,105.440000,2035631
2025-08-19,107.470000,110.870000,107.025000,110.760000,3985492
2025-08-20,111.430000,112.120000,109.740000,110.180000,3227340
2025-08-21,109.050000,109.610000,107.840000,108.390000,3045791
2025-08-22,109.230000,113.149900,109.140000,112.280000,3554089
2025-08-25,112.020000,112.745000,111.300000,111.620000,2022828
2025-08-26,111.580000,112.810000,111.050000,111.350000,4839126
2025-08-27,112.780000,114.200000,112.120000,112.680000,3451484
2025-08-28,112.790000,112.935800,111.400000,112.640000,2559125
2025-08-29,112.410000,113.960000,112.190000,113.780000,2827664
2025-09-02,112.250000,112.580000,111.010000,111.300000,3396279
2025-09-03,111.000000,112.250000,110.865000,110.950000,3333730
2025-09-04,111.250000,112.810000,110.510000,112.610000,2499597
2025-09-05,113.590000,114.950000,112.980000,113.650000,2595759
2025-09-08,112.170000,113.760000,111.660000,113.560000,2791255
2025-09-09,113.280000,113.980000,111.545000,111.970000,5307176
2025-09-10,111.910000,112.290000,110.600000,110.980000,3118964
2025-09-11,111.310000,115.670000,111.000000,114.820000,5039907
2025-09-12,114.860000,115.905000,114.170000,115.350000,3552224
2025-09-15,115.290000,116.000000,113.685000,114.270000,2717854
2025-09-16,113.870000,114.880000,112.880000,114.030000,2989901
2025-09-17,114.980000,116.410000,113.380000,113.890000,2870011
2025-09-18,114.300000,115.795000,113.880000,115.160000,3936089
2025-09-19,115.180000,115.310000,113.250000,113.510000,8647820
2025-09-22,113.160000,114.460000,112.000000,113.930000,2798722
2025-09-23,113.980000,114.650000,113.100000,114.440000,2319214
2025-09-24,113.800000,114.340000,112.580000,112.860000,3274374
2025-09-25,112.920000,113.760000,112.600000,113.210000,2596444
2025-09-26,113.460000,114.600000,112.850000,114.190000,3021604
2025-09-29,114.600000,114.865000,113.615000,114.240000,2470930
2025-09-30,114.220000,114.540000,113.105000,114.520000,3617407
2025-10-01,114.310000,116.520000,113.800000,116.480000,2980922
2025-10-02,116.220000,116.475000,114.540000,116.120000,2935743
2025-10-03,116.400000,118.200000,116.010000,117.060000,3136929
2025-10-06,117.000000,117.790000,116.365000,117.130000,2540250
2025-10-07,117.480000,117.615000,114.150000,115.970000,2969135
2025-10-08,116.020000,116.750000,114.740000,115.990000,2324478
2025-10-09,115.860000,116.040000,114.045000,114.450000,2276316
2025-10-10,114.760000,115.240000,111.030000,111.230000,2924144
2025-10-13,112.020000,113.040000,111.380000,112.720000,2624502
2025-10-14,112.550000,115.710000,111.810000,115.450000,3150791
2025-10-15,116.670000,123.280000,116.514200,122.760000,7999864
2025-10-16,123.860000,125.045000,120.251100,121.170000,6320164
2025-10-17,121.280000,124.355000,121.170000,124.080000,5377022
2025-10-20,125.200000,127.470000,124.080000,127.180000,4180970
2025-10-21,126.940000,127.500000,125.641500,125.990000,2975608
2025-10-22,126.230000,127.020600,124.560000,125.950000,2727532
2025-10-23,125.920000,126.720000,124.960000,125.770000,2647892
2025-10-24,126.560000,127.350000,125.790000,126.430000,2965935
2025-10-27,126.810000,127.120000,125.840000,127.080000,2941227
2025-10-28,126.430000,126.940000,125.150000,125.720000,2922944
2025-10-29,124.780000,125.600000,122.970000,123.470000,3329842
2025-10-30,122.820000,124.660000,122.550000,124.230000,2367110
2025-10-31,123.700000,124.920000,122.985000,124.090000,3892788
2025-11-03,123.140000,124.470000,121.750000,124.220000,3336438
2025-11-04,124.000000,125.650000,123.195000,124.000000,3087339
2025-11-05,124.620000,125.050000,123.560100,123.820000,4179384
2025-11-06,124.190000,125.380000,123.200000,124.000000,3575302
2025-11-07,124.110000,125.630000,123.470000,125.600000,2322451
2025-11-10,125.430000,125.970000,123.660000,124.900000,2101301
2025-11-11,125.220000,126.405000,124.680000,126.260000,2068254
2025-11-12,125.720000,126.400000,124.790000,124.840000,2687051
2025-11-13,124.090000,124.830000,123.295300,124.000000,3761191
2025-11-14,124.000000,125.022500,122.670000,122.830000,3651816
2025-11-17,123.530000,124.690000,122.400000,123.520000,3111015
2025-11-18,123.300000,124.245000,122.310000,123.800000,6382621
2025-11-19,123.800000,124.265000,121.400000,122.400000,5119192
2025-11-20,123.650000,125.550000,122.895000,123.120000,3087264
2025-11-21,123.760000,126.500000,122.610000,125.790000,3708997
2025-11-24,126.460000,127.560000,125.355000,126.450000,10057881
2025-11-25,126.450000,128.440000,126.270000,127.390000,3158078
2025-11-26,127.510000,129.280000,125.980000,128.160000,2183037
2025-11-28,128.000000,129.330000,127.900000,128.530000,1343766
2025-12-01,127.600000,129.770000,127.160000,128.930000,2706334
2025-12-02,129.870000,129.870000,128.225000,128.930000,3458278
2025-12-03,128.820000,129.525000,128.030000,129.190000,3294273
2025-12-04,129.150000,130.450000,128.025000,128.180000,3902472
2025-12-05,128.180000,128.830000,127.774600,127.980000,3242202
2025-12-08,127.500000,127.970000,126.610000,126.670000,2927925
2025-12-09,127.400000,128.225000,126.850000,127.450000,4358423
2025-12-10,127.750000,130.560000,127.320000,129.710000,3480017
2025-12-11,130.120000,131.335000,129.970000,130.560000,3702682
