d,o,h,l,c,v
2024-07-25,111.830000,113.680000,111.410000,113.200000,6976925
2024-07-26,113.200000,113.500000,112.560000,113.360000,5381717
2024-07-29,113.320000,114.473000,112.430000,114.400000,4835028
2024-07-30,114.090000,114.830000,113.620000,114.700000,5122843
2024-07-31,114.200000,116.270000,113.990000,115.160000,5519642
2024-08-01,115.780000,117.830000,114.910000,117.460000,7088736
2024-08-02,118.090000,119.060000,115.160000,117.820000,7405946
2024-08-05,116.920000,117.960000,113.150000,113.560000,10890810
2024-08-06,113.560000,115.415000,113.200000,114.200000,6275497
2024-08-07,114.400000,116.425000,114.200000,115.740000,3645019
2024-08-08,115.170000,116.870000,114.940000,116.290000,3548525
2024-08-09,116.290000,116.580000,115.620000,116.010000,3814669
2024-08-12,116.100000,116.770000,115.720000,116.090000,4860454
2024-08-13,116.130000,118.070000,115.870000,117.910000,5328216
2024-08-14,117.320000,118.080000,117.090000,117.200000,4067977
2024-08-15,117.190000,117.950000,116.610000,117.890000,4422255
2024-08-16,118.110000,118.400000,117.230000,118.060000,3707409
2024-08-19,118.140000,118.840000,117.950000,118.450000,3701451
2024-08-20,118.460000,119.100000,118.090000,118.980000,3837898
2024-08-21,119.170000,120.090000,118.960000,120.000000,4159668
2024-08-22,120.010000,120.210000,119.100000,120.100000,4156337
2024-08-23,120.100000,120.270000,119.570000,120.150000,2896459
2024-08-26,120.030000,121.600000,120.030000,121.250000,3061832
2024-08-27,121.760000,122.545000,121.290000,122.410000,3511787
2024-08-28,122.650000,123.050000,121.950000,122.570000,4430029
2024-08-29,122.860000,122.860000,121.760000,122.550000,3619544
2024-08-30,122.730000,123.450000,122.320000,123.290000,5602949
2024-09-03,123.570000,126.185000,123.210000,125.710000,6352596
2024-09-04,126.000000,127.410000,125.290000,126.610000,5340838
2024-09-05,126.880000,127.450000,125.030000,125.180000,5638231
2024-09-06,125.060000,126.445000,125.000000,125.810000,8412610
2024-09-09,125.720000,128.220000,125.720000,127.450000,4497526
2024-09-10,127.360000,127.910000,125.630000,126.750000,4922075
2024-09-11,126.500000,126.500000,124.220000,125.260000,4506307
2024-09-12,125.000000,125.500000,123.300000,124.650000,6055795
2024-09-13,124.920000,125.870000,124.460000,125.620000,3779628
2024-09-16,126.150000,126.990000,125.340000,125.970000,5549552
2024-09-17,124.800000,125.080000,122.070000,123.230000,6344954
2024-09-18,122.910000,123.000000,120.390000,120.960000,9398566
2024-09-19,120.600000,120.755000,119.400000,119.740000,7688559
2024-09-20,119.500000,120.850000,119.160000,120.790000,18374398
2024-09-23,120.930000,121.600000,120.420000,121.090000,4638986
2024-09-24,120.420000,121.570000,120.130000,121.210000,4056879
2024-09-25,121.900000,122.760000,121.040000,121.690000,6473964
