d,o,h,l,c,v
2024-07-25,123.780000,125.310000,123.030000,123.090000,1140985
2024-07-26,123.800000,124.980000,123.440000,124.140000,1315951
2024-07-29,124.300000,124.590000,123.500000,124.340000,855779
2024-07-30,124.930000,126.550000,124.930000,125.960000,1073587
2024-07-31,126.000000,126.780000,125.190000,125.320000,1708971
2024-08-01,126.480000,127.340000,121.740000,122.490000,2740647
2024-08-02,118.320000,120.880000,108.490000,110.260000,5436589
2024-08-05,108.170000,108.170000,104.445000,105.530000,4022730
2024-08-06,105.700000,108.280000,105.700000,107.050000,2098391
2024-08-07,108.820000,109.780000,106.690000,106.760000,1802873
2024-08-08,107.690000,109.190000,107.540700,108.720000,1673166
2024-08-09,108.790000,109.700000,108.250000,109.460000,1150485
2024-08-12,110.480000,110.810000,108.172000,108.400000,1375788
2024-08-13,109.130000,109.680000,107.660100,109.500000,1444554
2024-08-14,109.570000,111.760000,109.500000,111.400000,1781498
2024-08-15,113.070000,114.130000,111.970000,113.560000,2023315
2024-08-16,113.930000,115.000000,113.700000,114.890000,3366205
2024-08-19,114.630000,115.900000,114.630000,115.770000,1288352
2024-08-20,114.500000,114.810000,113.060000,113.260000,1311517
2024-08-21,113.460000,114.470000,113.000000,114.350000,1022994
2024-08-22,114.400000,115.340000,114.170000,115.240000,1056481
2024-08-23,115.790000,117.700000,115.500000,117.410000,1091052
2024-08-26,118.000000,119.170000,117.500000,118.010000,1299849
2024-08-27,118.110000,118.225000,117.345000,117.920000,1069391
2024-08-28,117.810000,119.320000,117.790000,118.780000,1056610
2024-08-29,119.440000,120.560000,118.070100,119.800000,1294645
2024-08-30,120.060000,121.450000,119.690000,121.160000,2141459
2024-09-03,120.090000,121.450000,119.670000,120.700000,1351552
2024-09-04,121.040000,122.025000,118.590000,119.550000,1405708
2024-09-05,120.300000,120.480000,117.000000,117.780000,1472722
2024-09-06,117.810000,118.490000,112.600000,113.250000,2979272
2024-09-09,114.500000,115.690000,113.310000,114.950000,1666339
2024-09-10,115.230000,115.230000,112.760000,114.680000,1278045
2024-09-11,114.030000,114.830000,111.550000,114.720000,1724261
2024-09-12,115.210000,115.850000,113.090000,115.840000,1512892
2024-09-13,116.460000,117.100000,116.020000,116.260000,1219857
2024-09-16,117.060000,118.360000,116.700000,117.730000,1318382
2024-09-17,118.000000,119.510000,118.000000,118.680000,1079893
2024-09-18,119.170000,120.540000,118.390000,119.440000,1298551
2024-09-19,121.700000,122.190000,120.260000,121.800000,1501497
2024-09-20,121.170000,121.560000,120.411000,121.360000,2966283
2024-09-23,121.610000,122.300000,120.521000,120.790000,1180663
2024-09-24,121.130000,121.367500,119.620000,119.810000,1294972
2024-09-25,120.160000,120.445000,119.345000,119.570000,1460982
2024-09-26,120.180000,121.250000,119.720000,120.540000,1086314
2024-09-27,120.870000,121.830000,120.250000,120.810000,893288
2024-09-30,120.730000,121.250000,119.420000,121.100000,1301517
2024-10-01,120.470000,120.485000,117.950000,119.360000,1291477
