d,o,h,l,c,v
2024-07-25,138.060000,143.010000,137.240000,142.510000,2014812
2024-07-26,142.630000,143.080000,141.090000,142.210000,1813784
2024-07-29,141.290000,142.215000,139.410000,140.410000,2124013
2024-07-30,143.670000,148.369900,143.010000,147.170000,3978374
2024-07-31,149.030000,150.120000,145.430000,145.480000,2273919
2024-08-01,145.570000,147.140000,140.060000,140.950000,3315833
2024-08-02,139.080000,139.400000,133.020000,133.760000,4078997
2024-08-05,130.950000,132.950000,128.360000,131.640000,2323705
2024-08-06,132.000000,135.060000,131.915000,133.080000,2082803
2024-08-07,134.590000,135.870000,132.820000,132.900000,2146863
2024-08-08,133.050000,135.850000,133.050000,135.420000,2546719
2024-08-09,135.550000,136.750000,134.640000,135.410000,2056891
2024-08-12,136.410000,137.580000,135.600000,135.880000,1576588
2024-08-13,134.720000,135.405000,134.000000,134.660000,2463341
2024-08-14,135.270000,138.130000,134.960000,137.700000,2134527
2024-08-15,138.750000,140.025000,138.040000,138.680000,1935102
2024-08-16,137.980000,139.960000,137.630000,138.920000,1644456
2024-08-19,139.000000,140.305000,138.550000,139.340000,1833946
2024-08-20,138.190000,138.340000,132.220000,132.390000,3026487
2024-08-21,133.410000,135.400000,132.950000,133.880000,3332333
2024-08-22,133.950000,134.830000,132.860000,133.160000,1813468
2024-08-23,134.170000,135.470000,133.440000,135.370000,1911904
2024-08-26,136.100000,136.940000,134.210000,135.230000,1923589
2024-08-27,134.980000,135.540000,134.090000,134.380000,1505354
2024-08-28,133.830000,136.550000,133.500000,134.970000,2070944
2024-08-29,135.500000,136.745000,133.920000,136.500000,1594193
2024-08-30,135.660000,140.850000,135.640000,140.310000,3981538
2024-09-03,138.070000,138.700000,133.290000,135.000000,2845478
2024-09-04,135.000000,136.310000,131.561000,132.290000,1984375
2024-09-05,133.060000,133.070000,128.670000,128.890000,3864573
2024-09-06,128.910000,130.180000,127.270000,128.140000,4244613
2024-09-09,128.330000,129.330000,127.730000,127.970000,4074618
2024-09-10,127.670000,127.770000,125.140000,126.880000,4468959
2024-09-11,126.390000,127.250000,123.770000,125.000000,4052789
2024-09-12,125.510000,126.550000,124.750100,125.720000,3040951
2024-09-13,126.700000,127.900000,126.120000,126.700000,2614579
2024-09-16,126.980000,128.756000,125.780000,127.340000,2908868
2024-09-17,127.820000,128.670000,127.190000,128.300000,3693587
2024-09-18,129.000000,131.860000,128.430000,130.310000,2884270
