d,o,h,l,c,v
2025-08-01,212.200000,213.880000,207.300000,212.110000,1598374
2025-08-04,212.970000,218.000000,211.390000,216.410000,975783
2025-08-05,217.190000,217.200000,213.650000,214.790000,1054906
2025-08-06,215.680000,217.200000,214.800000,215.710000,710566
2025-08-07,216.850000,217.300000,203.970000,206.150000,1279454
2025-08-08,207.000000,208.050000,205.010000,205.420000,756388
2025-08-11,205.590000,208.510000,202.390000,203.290000,729340
2025-08-12,203.820000,205.040000,201.460000,204.550000,628657
2025-08-13,205.800000,208.935000,205.425000,208.370000,601073
2025-08-14,208.220000,208.770000,206.945000,208.010000,609573
2025-08-15,208.750000,208.990000,205.500000,205.840000,1366154
2025-08-18,205.820000,208.825000,205.000000,208.310000,941040
2025-08-19,209.160000,210.620000,208.110000,209.870000,606443
2025-08-20,209.030000,211.250000,208.843500,210.890000,824283
2025-08-21,210.250000,213.009600,208.170000,211.950000,863581
2025-08-22,212.430000,217.000000,211.550000,215.050000,668613
2025-08-25,215.100000,216.480000,213.700000,214.350000,873446
2025-08-26,213.610000,215.350000,212.120000,212.580000,737167
2025-08-27,212.890000,217.080000,210.000000,216.530000,705953
2025-08-28,216.520000,217.640000,214.930000,215.030000,526324
2025-08-29,215.520000,215.810000,213.030000,213.500000,1098684
2025-09-02,210.390000,213.000000,208.850000,212.640000,809570
2025-09-03,212.130000,213.540000,211.290000,212.240000,506944
2025-09-04,211.270000,213.590000,210.289500,213.250000,639174
2025-09-05,213.500000,215.490000,211.420000,213.900000,632646
2025-09-08,215.220000,215.220000,209.900000,212.730000,1279789
2025-09-09,213.480000,213.480000,202.260000,204.030000,1474639
2025-09-10,204.160000,206.390000,202.400000,204.500000,1136035
2025-09-11,205.770000,207.260000,204.480000,207.030000,778822
2025-09-12,206.100000,206.730000,204.340000,205.110000,520517
2025-09-15,205.120000,208.560000,204.020000,204.150000,630347
2025-09-16,204.150000,205.870000,202.925000,204.950000,955997
2025-09-17,206.020000,206.640000,202.550000,203.980000,738259
2025-09-18,205.010000,207.280000,205.010000,206.190000,917085
2025-09-19,207.870000,208.000000,205.120000,205.950000,1638298
2025-09-22,204.770000,206.395000,204.300000,205.930000,920305
2025-09-23,206.270000,207.490000,203.160000,204.030000,838368
2025-09-24,204.320000,204.560000,202.340000,203.600000,764561
2025-09-25,202.400000,202.930000,200.320000,202.710000,490817
2025-09-26,202.460000,204.090000,202.340000,202.960000,529331
2025-09-29,203.650000,204.505000,200.825000,203.840000,569373
2025-09-30,203.630000,204.290000,201.810000,203.020000,1167404
2025-10-01,201.890000,204.000000,199.160000,202.420000,775578
2025-10-02,202.490000,203.605000,201.450000,203.020000,587009
2025-10-03,203.200000,204.540000,202.570000,203.000000,588401
2025-10-06,204.040000,205.510000,203.140000,205.000000,811045
2025-10-07,205.310000,206.299900,200.690000,202.260000,566018
2025-10-08,202.560000,204.155000,202.040000,203.430000,569751
2025-10-09,203.440000,203.440000,200.390000,201.720000,627280
2025-10-10,201.720000,203.000000,196.605000,196.900000,585166
2025-10-13,200.370000,203.045000,198.545000,202.480000,687158
2025-10-14,199.810000,203.080000,199.670000,202.060000,534708
2025-10-15,202.820000,204.610000,199.870000,202.800000,861606
2025-10-16,203.610000,203.630000,200.090000,201.990000,589989
2025-10-17,201.850000,203.920000,201.492700,202.860000,673136
2025-10-20,204.680000,206.780000,201.890000,205.870000,667491
2025-10-21,204.840000,206.820000,203.587500,204.550000,623675
2025-10-22,205.830000,205.830000,202.140000,203.030000,628597
2025-10-23,204.100000,204.860000,202.880000,204.670000,638618
2025-10-24,206.150000,206.565000,204.605000,204.810000,534074
2025-10-27,206.490000,206.670000,202.960000,203.280000,593815
2025-10-28,203.260000,203.910000,201.860000,202.460000,546217
2025-10-29,201.490000,201.915000,197.520000,197.860000,540013
2025-10-30,196.780000,200.125000,196.025000,197.380000,770621
2025-10-31,197.860000,199.510000,196.945000,198.540000,882825
2025-11-03,198.560000,198.755000,194.700000,196.360000,1251293
2025-11-04,195.020000,195.360000,190.045000,192.030000,1117155
2025-11-05,192.070000,192.315000,188.670000,189.970000,1390404
2025-11-06,184.830000,184.955000,170.965000,173.930000,2327579
2025-11-07,173.210000,176.770000,172.030000,176.110000,1198208
2025-11-10,177.210000,178.680000,175.210000,177.490000,719662
2025-11-11,177.270000,179.419100,176.400000,178.000000,995342
2025-11-12,177.970000,180.170000,177.430000,178.160000,1038696
2025-11-13,177.010000,179.215000,174.160000,174.570000,1113040
2025-11-14,174.000000,180.190000,173.950000,179.610000,1406403
2025-11-17,179.010000,179.010000,173.627500,174.210000,847726
2025-11-18,174.210000,175.660000,172.100000,173.070000,927635
2025-11-19,172.560000,173.410000,170.520000,171.940000,701042
2025-11-20,174.840000,175.480000,170.010000,170.430000,770976
2025-11-21,170.500000,174.165000,169.760000,172.120000,865495
2025-11-24,173.260000,173.260000,169.390000,170.160000,1595825
2025-11-25,170.990000,174.130000,170.010000,173.440000,761272
2025-11-26,174.250000,174.380000,172.845000,173.460000,739170
2025-11-28,173.460000,176.610000,172.650000,175.430000,479409
2025-12-01,173.570000,177.380000,173.140000,174.880000,831693
2025-12-02,175.520000,177.710000,174.630000,176.480000,626695
2025-12-03,176.010000,177.740000,175.100000,177.370000,507760
2025-12-04,177.770000,179.320000,176.860000,178.500000,753528
2025-12-05,176.020000,176.550000,171.310000,173.520000,1367289
2025-12-08,173.870000,175.775000,173.300000,174.410000,763148
2025-12-09,174.100000,175.000000,172.401000,173.170000,915091
2025-12-10,173.200000,176.230000,172.610000,175.660000,1001538
2025-12-11,175.260000,180.660000,173.830000,178.000000,848126
2025-12-12,179.000000,179.000000,174.995000,176.000000,1177414
2025-12-15,177.340000,177.340000,173.860000,175.070000,1558568
2025-12-16,174.460000,175.720000,173.615000,174.280000,1129738
2025-12-17,174.240000,176.985000,173.610000,175.310000,959467
2025-12-18,176.270000,176.890000,174.650000,175.900000,556973
2025-12-19,175.400000,178.710000,174.575000,178.170000,2331323
2025-12-22,178.020000,180.250000,175.550000,179.060000,622441
2025-12-23,178.080000,178.610000,174.380000,176.020000,569815
2025-12-24,175.750000,176.700000,174.980000,176.470000,146629
2025-12-26,176.830000,176.975000,175.505000,176.590000,239738
2025-12-29,176.400000,176.880000,175.200000,175.590000,383106
2025-12-30,174.890000,175.465000,174.355000,175.410000,445651
2025-12-31,175.420000,175.548800,173.650000,174.210000,742346
2026-01-02,174.340000,174.340000,168.090000,170.100000,1008547
2026-01-05,170.110000,173.940000,169.700000,173.110000,746401
2026-01-06,171.710000,176.200000,171.355000,175.010000,586799
2026-01-07,174.730000,175.600000,173.750000,174.570000,651965
2026-01-08,172.700000,173.930000,171.500000,173.570000,627640
2026-01-09,173.700000,174.320000,171.295000,171.520000,787270
2026-01-12,171.330000,172.030000,170.250000,171.430000,938129
2026-01-13,171.240000,171.695000,168.080000,169.370000,867815
2026-01-14,169.110000,170.540000,165.600000,166.530000,1205342
2026-01-15,168.930000,169.480000,166.490000,166.890000,947523
2026-01-16,166.600000,168.060000,164.150000,166.750000,1087185
2026-01-20,163.020000,165.532200,160.370000,161.110000,858288
2026-01-21,161.630000,163.140000,160.000000,161.320000,785831
2026-01-22,162.700000,164.740000,162.265000,164.710000,686521
2026-01-23,164.270000,165.000000,161.205000,162.140000,607035
2026-01-26,162.590000,165.940000,162.590000,165.770000,898350
2026-01-27,165.350000,165.575000,163.020000,164.630000,788696
2026-01-28,165.180000,165.180000,160.760000,161.910000,771739
2026-01-29,160.280000,160.690000,151.710000,153.480000,1697876
2026-01-30,152.690000,156.550000,152.070000,156.130000,1126399
2026-02-02,154.050000,158.335000,153.262000,156.920000,1210900
2026-02-03,154.370000,155.760000,148.950000,149.250000,1800136
2026-02-04,147.560000,154.930000,146.720000,151.340000,2254741
2026-02-05,153.100000,158.250000,150.650000,153.940000,2727213
2026-02-06,156.220000,159.460000,151.590000,155.720000,1494842
2026-02-09,155.230000,160.320000,154.240000,159.740000,1292000
2026-02-10,159.320000,162.925000,159.320000,162.720000,1420293
2026-02-11,162.230000,162.320000,154.890000,155.600000,1631139
2026-02-12,155.600000,157.460000,147.140000,150.790000,1897457
2026-02-13,152.050000,157.000000,151.770000,156.770000,1518846
2026-02-17,154.510000,156.520000,150.750000,153.070000,2079674
2026-02-18,153.830000,156.050000,152.810000,155.500000,986157
2026-02-19,154.750000,155.000000,151.690000,154.395000,644626
2026-02-20,153.400000,158.270000,153.400000,155.160000,900757
