d,o,h,l,c,v
2024-07-25,163.500000,163.745000,151.930000,152.020000,6499228
2024-07-26,154.650000,156.650000,152.050000,153.560000,3435885
2024-07-29,154.800000,156.470000,151.660000,155.140000,2939108
2024-07-30,156.240000,157.870000,155.060000,156.940000,2431080
2024-07-31,159.280000,161.860000,155.670000,156.720000,3728068
2024-08-01,157.810000,157.930000,145.500000,148.090000,4464092
2024-08-02,143.500000,143.715000,136.830800,138.850000,4926693
2024-08-05,132.730000,140.150000,130.080000,139.770000,4038440
2024-08-06,145.900000,153.700000,145.585000,150.260000,5832914
2024-08-07,152.800000,155.900000,147.050100,147.530000,4281039
2024-08-08,149.700000,156.170000,149.500000,155.900000,3313338
2024-08-09,155.530000,159.080000,155.020000,155.750000,3638727
2024-08-12,155.750000,157.980000,153.400900,153.860000,2958579
2024-08-13,155.010000,155.509000,151.850000,154.580000,1647997
2024-08-14,154.690000,155.900000,150.330000,152.710000,1719972
2024-08-15,155.460000,160.605000,154.290000,160.260000,2303171
2024-08-16,159.930000,160.160000,157.490000,157.800000,1637377
2024-08-19,158.400000,161.820000,157.800000,161.430000,1654120
2024-08-20,160.800000,161.250000,157.610000,158.840000,2012605
2024-08-21,159.430000,159.750000,156.210000,158.120000,2178246
2024-08-22,158.970000,159.410000,156.510000,157.890000,1405949
2024-08-23,158.490000,163.470000,158.000000,163.080000,1794756
2024-08-26,163.090000,163.090000,161.430000,162.050000,1192983
2024-08-27,162.000000,169.470000,161.170000,169.020000,2078254
2024-08-28,166.650000,168.110000,165.190000,166.940000,1409019
2024-08-29,168.710000,169.060000,166.460000,166.840000,974403
2024-08-30,168.200000,168.920000,161.100000,164.620000,2604784
2024-09-03,162.390000,163.740000,158.720000,159.650000,2209283
2024-09-04,159.000000,160.876600,157.350000,158.770000,1299688
2024-09-05,158.650000,161.610000,157.610000,158.020000,1167696
2024-09-06,159.200000,161.390000,155.200000,156.550000,1747229
2024-09-09,158.320000,161.765000,158.320000,160.260000,1905493
2024-09-10,160.310000,160.520000,154.080000,158.300000,2146695
2024-09-11,158.380000,162.850000,156.010000,162.150000,1752589
2024-09-12,164.850000,166.880000,162.485000,165.570000,1807053
2024-09-13,166.460000,169.630000,165.700000,167.960000,1379820
2024-09-16,170.000000,173.400000,168.815000,169.740000,2078337
2024-09-17,171.280000,171.750000,167.860000,168.400000,1507633
2024-09-18,168.600000,171.500000,168.000000,168.550000,1308012
2024-09-19,172.000000,173.000000,168.940000,171.560000,1882881
2024-09-20,171.010000,174.480000,170.960000,174.050000,2649406
2024-09-23,173.700000,176.135000,172.660000,175.900000,1590158
2024-09-24,177.000000,179.750000,174.510000,179.630000,2050817
2024-09-25,178.890000,179.140000,176.270100,177.410000,1582676
