d,o,h,l,c,v
2024-07-25,22.030000,22.855000,22.030000,22.550000,7900702
2024-07-26,22.610000,22.800000,22.485000,22.760000,7329041
2024-07-29,22.810000,22.880000,22.360000,22.430000,6610774
2024-07-30,22.640000,22.840000,22.470000,22.730000,5419236
2024-07-31,22.620000,22.740000,22.325000,22.370000,8303212
2024-08-01,22.380000,22.435000,21.430000,21.540000,8660859
2024-08-02,21.060000,21.110000,20.410000,20.880000,8259515
2024-08-05,20.280000,20.630000,19.880000,20.410000,8178241
2024-08-06,20.360000,20.970000,20.240000,20.690000,5878793
2024-08-07,21.060000,21.240000,20.480000,20.490000,5303596
2024-08-08,20.790000,20.935000,20.620000,20.830000,4973068
2024-08-09,20.820000,20.890000,20.660000,20.730000,6177579
2024-08-12,20.960000,21.245000,20.520000,20.750000,9194238
2024-08-13,20.900000,20.915000,20.600000,20.890000,5943014
2024-08-14,20.990000,21.060000,20.810000,20.890000,5678998
2024-08-15,21.280000,21.525000,21.040000,21.130000,7098915
2024-08-16,21.110000,21.530000,21.020000,21.500000,5037660
2024-08-19,21.510000,21.790000,21.500000,21.760000,4141527
2024-08-20,21.640000,21.920000,21.640000,21.840000,7250277
2024-08-21,21.920000,21.960000,21.505000,21.790000,5965316
2024-08-22,21.760000,22.275000,21.760000,22.160000,6464279
2024-08-23,22.310000,22.990000,22.250000,22.810000,10817689
2024-08-26,23.000000,23.090000,22.625000,22.790000,6183499
2024-08-27,22.680000,22.830000,22.580000,22.760000,4990420
2024-08-28,22.740000,23.150000,22.650000,22.980000,4592216
2024-08-29,23.070000,23.385000,22.770000,23.210000,5318374
2024-08-30,23.260000,23.470000,23.180000,23.420000,13068445
2024-09-03,23.080000,23.385000,22.955000,23.000000,6637859
2024-09-04,22.930000,23.110000,22.595000,22.830000,6410920
2024-09-05,23.000000,23.090000,22.490000,22.610000,7210880
2024-09-06,22.640000,22.830000,22.070000,22.170000,8837397
2024-09-09,22.300000,22.755000,22.290000,22.550000,5794194
2024-09-10,22.580000,22.635000,21.870000,22.320000,8460193
2024-09-11,21.990000,22.140000,21.330000,22.000000,9847544
2024-09-12,22.030000,22.220000,21.750000,21.930000,7586192
2024-09-13,22.000000,22.250000,21.645000,21.970000,6943462
2024-09-16,22.020000,22.340000,22.020000,22.300000,6602396
2024-09-17,22.420000,22.820000,22.370000,22.530000,5077296
2024-09-18,22.610000,23.150000,22.440000,22.720000,6598462
2024-09-19,22.970000,23.430000,22.900000,23.360000,9119435
2024-09-20,23.280000,23.290000,23.010000,23.110000,15208985
2024-09-23,23.180000,23.310000,22.770000,22.910000,5168629
2024-09-24,23.040000,23.240000,22.770000,22.920000,7821656
2024-09-25,22.900000,22.910000,22.490000,22.540000,5024560
2024-09-26,22.780000,22.930000,22.590000,22.900000,5894545
2024-09-27,22.960000,23.255000,22.830000,23.030000,4541059
2024-09-30,23.010000,23.370000,22.860000,23.330000,7454836
2024-10-01,23.140000,23.236600,22.340000,22.540000,9990228
2024-10-02,22.540000,23.135000,22.460000,22.560000,8778661
2024-10-03,22.500000,22.560000,22.240000,22.430000,7960881
2024-10-04,22.800000,22.975000,22.535000,22.840000,7376486
2024-10-07,22.830000,22.920000,22.580000,22.810000,4426248
2024-10-08,22.860000,23.030000,22.710000,22.740000,4379201
2024-10-09,22.730000,23.215000,22.620000,23.080000,6084663
2024-10-10,23.050000,23.300000,22.935000,23.040000,4967936
2024-10-11,23.300000,23.820000,23.275000,23.690000,7084266
2024-10-14,23.740000,23.970000,23.490000,23.850000,5191098
2024-10-15,23.970000,24.330000,23.740000,23.760000,10042972
2024-10-16,23.960000,24.295000,23.860000,23.980000,7567249
2024-10-17,24.040000,24.260000,23.820000,23.980000,12409702
2024-10-18,24.320000,24.470000,23.675000,23.820000,11191479
