d,o,h,l,c,v
2024-07-25,263.360000,275.000000,260.000000,271.000000,1222420
2024-07-26,275.000000,278.630000,273.480000,277.040000,689228
2024-07-29,276.500000,278.000000,270.020000,272.210000,578866
2024-07-30,274.160000,276.650000,271.390000,275.430000,527246
2024-07-31,278.900000,282.200000,276.340000,278.650000,522222
2024-08-01,274.760000,276.900000,259.930000,264.620000,1046856
2024-08-02,259.250000,259.985000,250.450000,253.470000,831550
2024-08-05,243.030000,252.250000,242.810000,248.270000,887225
2024-08-06,249.650000,254.710000,247.050000,250.770000,796945
2024-08-07,254.990000,265.245000,246.060000,249.160000,1554452
2024-08-08,248.840000,261.080000,248.410000,259.140000,879198
2024-08-09,258.200000,261.110000,255.355000,258.150000,625371
2024-08-12,256.100000,258.440000,251.620000,253.010000,544311
2024-08-13,255.510000,261.000000,253.130000,260.250000,940168
2024-08-14,261.000000,262.810000,258.870000,261.170000,860084
2024-08-15,265.500000,268.030000,263.100000,263.820000,597857
2024-08-16,263.490000,267.310000,260.600000,262.690000,547393
2024-08-19,263.450000,266.550000,262.280000,265.200000,380657
2024-08-20,264.650000,267.340000,263.969300,265.410000,449926
2024-08-21,267.000000,267.960000,262.620000,265.550000,849791
2024-08-22,266.580000,267.110000,262.160000,263.030000,489411
2024-08-23,264.750000,271.440000,263.910000,270.980000,512920
2024-08-26,272.170000,273.640000,267.140000,268.100000,377682
2024-08-27,267.250000,267.250000,262.760000,263.320000,518143
2024-08-28,263.820000,263.915000,260.140000,261.930000,586246
2024-08-29,264.030000,269.260000,262.280000,266.520000,548199
2024-08-30,268.430000,272.320000,265.695000,272.030000,962045
2024-09-03,269.490000,270.365000,259.910000,261.480000,632600
2024-09-04,260.570000,262.140000,255.883500,256.660000,657457
2024-09-05,255.860000,258.680000,253.195000,256.920000,560835
2024-09-06,260.260000,261.880000,253.910000,255.680000,609244
2024-09-09,259.230000,262.198900,257.860000,259.250000,579278
2024-09-10,260.500000,262.270000,257.050000,261.990000,552808
2024-09-11,258.270000,258.600000,249.315000,256.850000,1189401
2024-09-12,257.680000,258.460000,252.190000,258.000000,646402
2024-09-13,259.480000,264.490000,258.070000,262.920000,535038
2024-09-16,264.950000,266.190000,261.870000,262.080000,547662
2024-09-17,262.790000,265.210000,260.980000,263.200000,724390
2024-09-18,265.780000,268.577500,261.915000,262.740000,691312
2024-09-19,270.000000,270.315000,264.600000,268.230000,801018
2024-09-20,265.350000,265.930000,260.010000,261.600000,1304857
2024-09-23,262.070000,262.550000,258.650000,261.060000,641521
2024-09-24,261.830000,263.580000,259.195000,261.980000,808015
2024-09-25,261.690000,261.780000,257.140000,258.040000,738043
2024-09-26,262.385000,271.880000,262.385000,271.160000,980727
2024-09-27,274.350000,277.940000,270.470000,270.610000,900180
2024-09-30,270.500000,270.500000,265.510000,268.460000,595456
2024-10-01,268.240000,269.230000,263.150100,265.260000,523805
2024-10-02,263.880000,266.530000,260.310000,266.280000,682084
2024-10-03,264.740000,265.000000,261.000000,264.970000,569819
2024-10-04,269.130000,269.890000,264.250000,267.010000,415821
2024-10-07,264.680000,267.610000,264.680000,267.220000,368414
2024-10-08,267.760000,267.760000,261.750000,266.160000,434508
2024-10-09,266.870000,271.102500,265.290000,269.810000,417639
2024-10-10,267.020000,269.600000,265.740000,268.150000,440395
2024-10-11,268.480000,273.840000,268.325000,271.160000,597917
2024-10-14,271.920000,275.840000,269.950000,275.270000,389518
2024-10-15,275.180000,277.050000,271.420000,272.220000,494938
2024-10-16,273.680000,276.389900,272.990000,274.240000,535184
2024-10-17,272.660000,274.007000,270.480000,272.630000,554701
2024-10-18,275.800000,275.800000,272.720000,272.820000,528946
2024-10-21,271.940000,273.329200,268.910000,269.940000,465942
2024-10-22,269.220000,269.900000,266.700000,268.790000,305888
2024-10-23,268.170000,269.785000,263.620100,266.440000,473157
2024-10-24,267.420000,268.680000,264.384200,267.680000,480889
2024-10-25,270.290000,271.215000,267.900000,269.860000,380817
2024-10-28,272.000000,273.608500,271.180000,271.330000,588939
2024-10-29,270.890000,271.770000,267.850000,268.430000,481001
2024-10-30,267.990000,270.683800,266.270000,266.630000,631784
2024-10-31,265.510000,268.120000,265.510000,266.710000,706164
2024-11-01,268.000000,270.290000,265.815000,268.720000,718395
2024-11-04,266.030000,267.930000,262.680000,264.650000,733805
2024-11-05,263.830000,269.675000,263.200000,269.200000,792840
2024-11-06,283.000000,294.940000,280.170000,294.000000,2203417
2024-11-07,292.350000,292.670000,275.920000,277.090000,2023665
2024-11-08,275.510000,276.320000,271.768500,272.140000,1067395
