d,o,h,l,c,v
2024-07-25,49.390000,49.405000,46.640000,46.730000,3335657
2024-07-26,46.730000,46.760000,45.580000,45.930000,2683808
2024-07-29,46.130000,47.750000,46.060000,47.580000,1984485
2024-07-30,47.570000,48.100000,47.410100,47.970000,2327535
2024-07-31,48.330000,48.890000,47.845000,47.910000,2318143
2024-08-01,47.890000,48.215000,47.390000,47.400000,2205966
2024-08-02,47.230000,48.280000,46.950000,48.010000,1614863
2024-08-05,48.220000,48.600000,47.440000,47.630000,2009402
2024-08-06,47.730000,48.550000,47.570000,47.850000,1611634
2024-08-07,48.140000,48.535000,47.390000,47.390000,2399457
2024-08-08,47.350000,47.670000,46.865000,47.610000,1017840
2024-08-09,47.610000,48.070000,47.430000,47.790000,1512735
2024-08-12,47.700000,48.270000,47.590000,47.780000,1734134
2024-08-13,48.330000,48.690000,47.510000,48.480000,1955341
2024-08-14,48.370000,48.640000,48.350000,48.500000,1190191
2024-08-15,48.710000,49.080000,48.500000,49.050000,1169925
2024-08-16,49.120000,49.150000,48.130000,48.180000,1742127
2024-08-19,48.180000,49.140000,48.064000,49.130000,852367
2024-08-20,49.080000,49.590000,48.750000,49.500000,1548837
2024-08-21,49.710000,50.390000,49.380000,50.050000,1471890
2024-08-22,50.140000,50.420000,50.010000,50.250000,985723
2024-08-23,50.350000,50.450000,49.870000,50.140000,1070940
2024-08-26,50.220000,50.500000,49.660000,49.700000,1220684
2024-08-27,49.640000,49.930000,49.190000,49.560000,1949922
2024-08-28,49.700000,50.420000,49.505000,50.250000,1250245
2024-08-29,50.320000,50.860000,50.030000,50.100000,1004022
2024-08-30,50.100000,50.399700,49.700000,50.180000,1340019
2024-09-03,50.410000,51.280000,50.245000,50.490000,1589486
2024-09-04,50.550000,50.940000,50.350000,50.730000,885869
2024-09-05,50.620000,50.940000,50.010000,50.310000,1323754
2024-09-06,50.400000,50.750000,49.460000,49.590000,1137454
2024-09-09,49.950000,49.950000,49.430000,49.660000,1725092
2024-09-10,49.710000,51.150000,49.710000,51.130000,1301319
2024-09-11,49.990000,50.500000,48.660000,49.630000,2971974
2024-09-12,49.610000,50.230000,49.020000,50.150000,1617333
2024-09-13,50.110000,50.720000,50.040000,50.470000,1644786
2024-09-16,50.720000,51.050000,50.590000,50.910000,815318
2024-09-17,50.890000,51.900000,50.890000,51.400000,1294298
2024-09-18,51.400000,51.960000,50.200000,50.250000,1240974
2024-09-19,50.860000,50.860000,49.905000,50.100000,1226560
2024-09-20,49.770000,50.430000,49.510000,50.150000,3254321
2024-09-23,50.270000,50.720000,49.906400,50.500000,852876
2024-09-24,50.480000,50.795000,50.280000,50.730000,1014649
2024-09-25,50.930000,51.100000,50.400000,50.760000,1586906
2024-09-26,50.770000,51.000000,49.970000,50.050000,948966
2024-09-27,50.200000,50.420000,49.715000,49.950000,1588120
2024-09-30,50.020000,50.720000,49.905000,50.580000,1949096
2024-10-01,50.620000,51.080000,50.184600,50.510000,1900112
2024-10-02,50.300000,50.450000,49.900000,50.370000,775109
2024-10-03,50.210000,50.320000,49.590000,49.730000,1514012
2024-10-04,49.650000,50.000000,49.210000,49.820000,1031158
2024-10-07,49.440000,49.490000,48.650000,48.700000,1073776
2024-10-08,49.300000,49.570000,49.140000,49.300000,1335954
2024-10-09,49.380000,49.930000,49.260000,49.830000,1068119
2024-10-10,49.760000,49.910000,49.210000,49.250000,979109
2024-10-11,49.380000,49.665000,49.190000,49.660000,1363750
2024-10-14,49.860000,50.299000,49.780000,50.160000,752606
2024-10-15,50.520000,50.700000,49.833000,49.970000,1166007
2024-10-16,49.920000,50.240000,49.110000,49.150000,1648327
2024-10-17,49.520000,49.570000,48.860000,49.460000,1217533
2024-10-18,49.650000,50.190000,49.330000,50.140000,1145736
2024-10-21,50.110000,50.415000,49.800000,49.840000,1374413
2024-10-22,49.620000,49.780000,48.830000,49.530000,809639
2024-10-23,49.640000,49.940000,49.390000,49.750000,1462126
2024-10-24,47.605000,48.140000,45.950000,46.480000,3481251
2024-10-25,47.060000,47.560000,46.340000,46.540000,1660706
2024-10-28,46.860000,47.290000,46.540000,47.260000,2341163
2024-10-29,47.260000,47.800000,47.200000,47.320000,1635489
2024-10-30,47.100000,47.380000,46.730000,46.810000,1491719
2024-10-31,46.750000,47.270000,46.540000,47.140000,2469815
2024-11-01,47.250000,47.620000,46.980000,47.330000,3123061
