d,o,h,l,c,v
2025-08-01,156.290000,157.475000,153.750000,156.810000,4420724
2025-08-04,157.130000,158.410000,156.740000,157.380000,3961895
2025-08-05,157.270000,158.045000,155.760000,156.330000,4993941
2025-08-06,156.650000,157.730000,155.640000,155.750000,4112067
2025-08-07,154.650000,155.760000,153.240000,155.760000,5105835
2025-08-08,156.600000,156.920000,154.720000,154.860000,3667307
2025-08-11,154.725000,155.670000,154.140000,154.800000,3572882
2025-08-12,154.970000,155.930000,154.562800,155.490000,2963338
2025-08-13,156.000000,156.340000,152.660000,155.710000,5012527
2025-08-14,155.600000,156.330000,154.645000,155.080000,2766794
2025-08-15,154.260000,154.870000,153.330000,154.090000,4594161
2025-08-18,154.430000,156.180000,154.400000,155.500000,3679313
2025-08-19,154.570000,155.125000,153.210000,153.660000,3008612
2025-08-20,153.770000,157.110000,153.090000,156.590000,3766527
2025-08-21,156.790000,157.750000,156.220000,156.320000,3179913
2025-08-22,157.050000,157.944400,156.210000,156.240000,4252735
2025-08-25,156.630000,157.640000,156.000000,156.270000,2431067
2025-08-26,156.755000,159.700000,156.375000,159.570000,5096073
2025-08-27,159.970000,160.210000,159.000000,159.840000,2992312
2025-08-28,160.150000,161.260000,159.250100,160.660000,3117675
2025-08-29,161.055000,161.095000,158.430000,158.600000,3774903
2025-09-02,158.200000,158.630000,156.370000,158.010000,3260070
2025-09-03,157.950000,158.340000,156.450000,158.110000,2739254
2025-09-04,158.230000,159.170000,157.550000,158.680000,3218791
2025-09-05,158.600000,159.000000,155.560000,157.520000,4046261
2025-09-08,156.920000,157.000000,153.656700,154.220000,5522839
2025-09-09,153.640000,153.700000,150.612800,151.750000,5461342
2025-09-10,152.000000,155.040000,151.650000,155.000000,4520436
2025-09-11,155.030000,158.010000,154.360000,157.650000,4289881
2025-09-12,157.750000,158.140000,155.820000,155.850000,3194530
2025-09-15,155.925000,158.480000,155.710000,158.370000,3891839
2025-09-16,159.850000,159.950000,157.640000,158.580000,6525539
2025-09-17,158.570000,159.319900,157.620000,158.310000,3999375
2025-09-18,157.310000,158.290000,156.500000,158.190000,3696121
2025-09-19,158.700000,158.700000,156.690000,158.240000,7083681
2025-09-22,158.070000,159.800000,157.670000,159.430000,3296701
2025-09-23,159.745000,161.395000,158.950000,160.540000,3287068
2025-09-24,161.150000,163.028422,160.700000,161.380000,4269813
2025-09-25,162.140000,162.300000,159.687300,160.510000,3917666
2025-09-26,162.000000,165.350000,161.690000,163.350000,3962049
2025-09-29,167.430000,168.280000,162.790000,163.630000,6216112
