d,o,h,l,c,v
2025-08-01,88.390000,88.495000,85.490000,86.860000,16221314
2025-08-04,87.075000,90.109300,86.940000,89.780000,12500416
2025-08-05,89.650000,90.560000,89.310000,90.200000,6994419
2025-08-06,90.210000,90.360000,88.820100,88.990000,7869144
2025-08-07,89.730000,91.355000,89.490000,91.020000,9891846
2025-08-08,90.770000,92.205000,90.750000,92.120000,8035260
2025-08-11,92.040000,92.440000,90.490000,91.740000,9504432
2025-08-12,93.438000,94.850000,93.080000,93.370000,9674537
2025-08-13,93.180000,94.685000,92.740300,94.180000,6493412
2025-08-14,93.610000,93.610000,92.082200,93.060000,9803502
2025-08-15,92.545000,92.730000,90.370000,90.600000,8059740
2025-08-18,90.305000,93.578600,89.900000,92.540000,7376166
2025-08-19,92.540000,92.970000,90.730000,90.930000,6815840
2025-08-20,90.960000,91.320000,89.450000,89.510000,5813990
2025-08-21,89.030000,89.187600,88.110000,88.560000,5669196
2025-08-22,89.125000,89.850000,88.305000,88.380000,7625496
2025-08-25,88.220000,88.316300,85.710000,85.810000,11013472
2025-08-26,85.885000,87.200000,85.570000,86.630000,9315246
2025-08-27,86.630000,88.310000,86.500000,87.660000,7677919
2025-08-28,88.220000,88.460000,87.600000,88.020000,7905597
2025-08-29,88.000000,88.570000,87.400000,88.190000,6315238
2025-09-02,87.835000,89.990000,87.180000,89.780000,10466189
2025-09-03,89.400000,89.480000,86.290000,87.250000,10201030
2025-09-04,87.170000,87.770000,86.390000,87.010000,6799210
2025-09-05,86.860000,87.350000,85.060000,85.430000,9047219
2025-09-08,85.500000,85.500000,83.680000,84.170000,9213687
2025-09-09,84.195000,84.680000,83.270000,83.810000,8635773
2025-09-10,83.865000,84.000000,82.770000,82.880000,8108045
2025-09-11,83.290000,83.930000,82.130000,82.360000,12046575
2025-09-12,82.370000,82.542800,81.200000,81.900000,9996157
2025-09-15,82.080000,83.870000,81.980000,82.680000,9685897
2025-09-16,83.030000,84.730000,83.000000,84.370000,10244263
2025-09-17,84.475000,84.855000,82.960100,83.220000,6632238
2025-09-18,83.140000,83.600000,82.630000,83.420000,7163732
2025-09-19,84.130000,85.220000,83.382700,84.560000,15315904
2025-09-22,84.230000,85.395000,83.690000,85.290000,7881720
2025-09-23,85.150000,86.180000,84.850000,85.690000,8765503
2025-09-24,85.580000,85.645000,84.130000,84.270000,9663999
2025-09-25,84.535000,84.670000,82.890000,83.830000,8670515
2025-09-26,83.850000,84.620000,82.900000,83.390000,6955543
2025-09-29,83.650000,85.840000,83.550000,85.640000,11222757
2025-09-30,85.230000,85.250000,84.175000,84.600000,7574244
2025-10-01,84.460000,85.140000,83.960000,84.400000,8155190
