d,o,h,l,c,v
2025-08-01,96.230000,96.500000,94.410000,95.530000,9792482
2025-08-04,96.100000,97.260000,95.840100,97.100000,9032121
2025-08-05,97.350000,97.820000,95.830000,96.440000,6236511
2025-08-06,96.790000,97.220000,96.200000,96.710000,5712222
2025-08-07,97.130000,97.300000,94.690000,95.990000,7313402
2025-08-08,96.260000,97.230000,95.950000,97.080000,5032085
2025-08-11,97.155000,97.909000,96.905000,97.630000,7338033
2025-08-12,98.160000,99.240000,97.943500,98.690000,7549659
2025-08-13,98.970000,99.415000,95.280000,95.590000,12456331
2025-08-14,97.360000,98.210000,95.600000,97.780000,11310695
2025-08-15,97.150000,97.170000,95.890000,96.110000,9538111
2025-08-18,96.090000,96.695000,95.705000,96.170000,6803297
2025-08-19,96.000000,96.730000,95.535000,95.760000,6778383
2025-08-20,95.910000,96.150000,94.381300,95.510000,9435534
2025-08-21,95.380000,96.080700,95.175000,95.820000,5162809
2025-08-22,96.170000,97.040000,94.350000,95.830000,12859796
2025-08-25,95.890000,96.530000,95.340000,96.190000,5962011
2025-08-26,96.100000,97.480000,95.930000,97.240000,7721658
2025-08-27,97.290000,97.530000,96.830000,96.870000,5072886
2025-08-28,96.950000,97.375000,96.520000,97.090000,6611910
2025-08-29,97.080000,97.400000,94.990000,95.840000,8829500
2025-09-02,95.350000,96.120000,94.040000,96.120000,7741445
2025-09-03,96.210000,96.615000,95.260000,96.220000,7261540
2025-09-04,96.870000,97.740000,96.210000,97.630000,7504608
2025-09-05,97.230000,97.600000,91.520000,92.050000,18240712
2025-09-08,92.180000,93.645000,91.850000,93.450000,12681466
2025-09-09,93.570000,94.050000,91.430000,93.670000,10773567
2025-09-10,93.150000,93.360000,91.860000,92.240000,12544095
2025-09-11,92.280000,94.080000,91.830000,93.940000,8724435
2025-09-12,93.930000,94.500000,93.360000,93.540000,7702138
2025-09-15,93.760000,94.100000,91.680000,92.100000,9645980
2025-09-16,92.330000,92.400000,90.500000,91.030000,13613809
2025-09-17,91.070000,92.185000,90.550000,92.090000,14496982
2025-09-18,91.920000,93.740000,91.900000,93.280000,10439877
2025-09-19,93.360000,94.560000,92.800000,94.330000,15163090
2025-09-22,93.670000,94.480000,93.335000,94.430000,11076324
2025-09-23,94.010000,94.927800,93.360000,93.910000,6915082
2025-09-24,94.060000,94.125000,91.700000,92.370000,10336356
2025-09-25,92.390000,94.800000,92.000000,94.780000,9203695
2025-09-26,95.130000,95.975000,94.740000,95.460000,5288525
2025-09-29,95.760000,96.975000,95.445000,96.890000,8356066
2025-09-30,96.850000,97.300000,94.460000,95.470000,8609052
2025-10-01,94.600000,94.720000,92.165000,92.250000,11649239
2025-10-02,92.490000,93.070000,92.130000,92.700000,6881592
2025-10-03,92.700000,94.360000,92.600000,94.080000,6762178
2025-10-06,94.430000,95.085000,93.420000,94.000000,6283972
2025-10-07,94.650000,94.730000,93.370000,94.010000,7582170
2025-10-08,94.130000,94.415000,92.670000,93.790000,6115985
2025-10-09,94.100000,94.360000,92.775000,94.020000,8584332
2025-10-10,94.300000,94.860000,91.960000,91.960000,8023645
2025-10-13,92.380000,93.775000,91.980000,93.490000,8773726
2025-10-14,93.130000,94.980000,93.030000,93.390000,8934325
2025-10-15,94.310000,94.950000,93.180000,94.330000,15688785
2025-10-16,94.770000,97.159900,93.210000,93.410000,17319215
2025-10-17,94.720000,94.860000,92.832000,94.140000,9199748
2025-10-20,94.200000,95.680000,94.200000,94.950000,7380920
2025-10-21,94.570000,95.409000,93.800000,95.090000,7451219
2025-10-22,95.300000,95.760000,93.625000,94.310000,10388468
2025-10-23,94.810000,95.150000,93.940000,94.600000,7708001
2025-10-24,95.000000,95.420000,94.310000,94.420000,7124317
2025-10-27,95.000000,95.280000,94.540000,94.840000,7577872
2025-10-28,94.970000,94.996500,93.510200,93.850000,7090285
2025-10-29,93.490000,95.110000,93.250000,94.610000,11773907
2025-10-30,94.690000,95.530000,93.540000,94.410000,5753544
2025-10-31,94.020000,94.830000,93.110000,94.520000,6275269
2025-11-03,94.890000,95.040000,92.610000,93.150000,6980327
2025-11-04,92.800000,94.120000,92.133500,93.840000,7719790
2025-11-05,93.540000,94.070000,92.780000,93.680000,8338836
2025-11-06,94.000000,94.750000,93.530000,94.200000,6350590
2025-11-07,94.510000,95.490000,93.320000,95.240000,6744120
2025-11-10,94.900000,96.020000,94.720000,95.580000,8498912
2025-11-11,95.000000,97.125000,94.920000,96.120000,5641893
2025-11-12,96.280000,98.500000,96.130000,97.710000,10610484
2025-11-13,97.870000,98.260000,94.921500,95.360000,8347618
2025-11-14,94.930000,95.630000,93.340900,94.390000,9357033
2025-11-17,94.560000,94.580000,91.590000,91.910000,9141637
2025-11-18,91.600000,93.350000,91.260000,92.280000,8505819
2025-11-19,92.020000,93.390000,91.600000,92.640000,6193996
2025-11-20,93.590000,94.390000,90.460000,90.490000,14227627
2025-11-21,90.985000,91.200000,89.345000,90.510000,8270231
2025-11-24,90.650000,90.895000,89.640000,90.520000,9966463
2025-11-25,90.290000,91.140000,89.500000,90.740000,8979630
2025-11-26,91.000000,92.370000,90.945000,91.800000,6697413
2025-11-28,91.850000,93.240000,91.575000,92.730000,6707777
2025-12-01,92.030000,93.205000,91.820000,92.690000,7974749
2025-12-02,92.800000,93.115000,92.025000,92.070000,10610606
2025-12-03,92.020000,94.020000,91.600000,93.990000,9688422
2025-12-04,94.120000,95.405000,93.960000,95.030000,8367642
2025-12-05,94.700000,95.615000,93.790000,93.820000,9043199
2025-12-08,93.640000,94.420000,92.750000,94.280000,8371144
2025-12-09,94.080000,95.770000,94.010000,94.160000,6479738
2025-12-10,94.360000,96.380000,94.070000,95.810000,8522089
2025-12-11,95.560000,97.090000,94.860000,97.050000,10564871
2025-12-12,96.990000,97.400000,94.375000,96.650000,13406804
2025-12-15,96.730000,97.160000,94.510000,95.280000,9842825
2025-12-16,95.300000,96.440000,95.030000,96.000000,9624500
2025-12-17,96.570000,97.200000,95.820000,96.610000,10929773
2025-12-18,96.900000,97.377000,95.920000,97.230000,9627525
2025-12-19,97.400000,99.529700,97.223200,98.820000,23213359
2025-12-22,99.560000,101.739000,99.050000,101.410000,9307852
2025-12-23,101.520000,102.050000,100.900000,101.180000,5727504
2025-12-24,101.350000,102.110000,100.890000,101.850000,2859495
2025-12-26,101.870000,102.280000,101.535000,101.890000,2778050
2025-12-29,101.710000,101.800000,101.220000,101.310000,7958179
2025-12-30,101.580000,101.650000,100.320000,100.550000,3943358
2025-12-31,100.800000,100.910000,99.890000,99.910000,4380624
2026-01-02,99.770000,101.830000,99.410000,101.570000,8409449
2026-01-05,101.740000,104.440000,101.740000,103.740000,9206456
2026-01-06,104.340000,104.760000,103.520000,103.570000,7285768
2026-01-07,103.870000,103.950000,101.840000,101.930000,7352322
2026-01-08,102.280000,102.490000,101.140000,101.340000,6500650
2026-01-09,101.340000,101.619900,100.140000,100.170000,6839943
2026-01-12,100.240000,102.280000,100.050000,101.900000,8849833
2026-01-13,101.990000,102.260000,100.390000,101.180000,7029369
2026-01-14,100.860000,101.940000,99.600000,101.920000,6642980
2026-01-15,102.200000,103.595000,102.005000,102.760000,8317687
2026-01-16,102.640000,104.980000,102.640000,103.820000,10868163
2026-01-20,102.310000,103.450000,100.900000,100.990000,12978278
2026-01-21,101.330000,104.829900,99.690000,101.790000,17879526
2026-01-22,103.070000,105.810000,103.010000,104.050000,13539541
2026-01-23,103.670000,104.080000,101.240000,102.180000,8712678
2026-01-26,102.520000,103.685000,102.465000,102.940000,7357490
2026-01-27,102.570000,104.100000,102.245000,103.720000,8837896
2026-01-28,103.570000,103.785000,102.745000,103.470000,7531046
2026-01-29,104.180000,104.980000,102.685000,103.470000,10033918
2026-01-30,103.350000,104.855000,102.880000,103.920000,11335562
2026-02-02,103.730000,105.190000,103.090000,105.170000,9897222
2026-02-03,105.220000,105.720000,102.435000,103.730000,13372725
2026-02-04,103.755000,105.040000,102.960000,103.880000,10779784
2026-02-05,103.930000,103.930000,101.571000,102.000000,9683409
2026-02-06,103.250000,105.280000,103.000000,105.080000,7527617
2026-02-09,104.840000,107.270000,104.780000,107.210000,10178066
2026-02-10,107.000000,107.500000,97.010000,99.250000,40420215
2026-02-11,100.910000,101.150000,95.090000,95.450000,25148857
2026-02-12,96.000000,96.467600,92.800000,95.080000,24881847
2026-02-13,94.060000,94.520000,93.010000,93.720000,12653698
2026-02-17,94.230000,94.470000,92.300000,93.080000,11250945
2026-02-18,93.910000,95.860000,93.500000,95.380000,16285165
2026-02-19,94.860000,94.885000,93.060000,93.870000,13403161
2026-02-20,93.370000,94.233100,92.730000,94.030000,8491813
2026-02-23,93.510000,93.920000,91.280000,92.750000,11226893
2026-02-24,92.190000,94.550000,91.860000,93.120000,13635300
2026-02-25,93.870000,95.800000,93.515000,95.350000,8788892
2026-02-26,95.480000,97.610000,95.480000,97.520000,9896081
2026-02-27,96.490000,96.990000,93.620000,95.200000,13146063
2026-03-02,94.230000,96.600000,93.932000,95.490000,11412285
2026-03-03,94.000000,95.990000,93.500500,95.240000,8257847
2026-03-04,96.220000,96.800000,95.375000,96.040000,8268138
2026-03-05,95.470000,96.840000,94.160000,95.410000,12034937
2026-03-06,93.880000,95.270000,92.550000,95.230000,9745277
2026-03-09,94.100000,94.860000,92.271500,94.380000,8517400
2026-03-10,94.400000,94.620000,92.590000,93.170000,7017485
2026-03-11,92.950000,93.490000,91.210000,92.670000,6462329
2026-03-12,91.820000,92.040000,90.505000,91.240000,9215097
2026-03-13,92.000000,93.800000,91.930000,93.060000,11043554
2026-03-16,94.130000,95.240000,93.260000,93.630000,8835700
2026-03-17,94.270000,95.390000,93.770000,93.930000,5972074
2026-03-18,93.800000,94.220000,92.870000,93.280000,8175430
2026-03-19,93.370000,94.150000,92.790000,93.990000,8001366
2026-03-20,94.110000,94.870000,93.500000,94.660000,13145384
2026-03-23,95.590000,96.449600,93.990000,95.300000,8933360
2026-03-24,95.580000,96.740000,95.200000,95.680000,6456172
2026-03-25,95.950000,96.650000,94.390000,94.990000,6454692
2026-03-26,94.680000,95.160000,93.840000,94.470000,6984154
2026-03-27,93.870000,93.960000,91.970000,92.360000,7252391
2026-03-30,92.990000,93.730000,92.370000,93.060000,6406649
2026-03-31,94.000000,94.130000,92.170000,93.980000,9731183
2026-04-01,95.010000,95.435000,90.000000,92.360000,15988655
2026-04-02,91.100000,94.020000,90.890000,93.770000,7970545
2026-04-06,93.900000,94.750000,92.040000,92.990000,10968053
2026-04-07,92.210000,93.730000,91.300000,93.340000,11971822
2026-04-08,94.890000,96.780000,94.500000,96.700000,10783075
2026-04-09,96.280000,97.975000,95.830000,97.270000,5794463
2026-04-10,97.185000,97.245000,94.150000,94.800000,9347157
2026-04-13,94.720000,96.850000,94.200000,96.790000,7449681
2026-04-14,97.280000,99.060000,96.890000,98.380000,12167570
2026-04-15,99.400000,100.759000,99.090000,100.270000,10983430
2026-04-16,95.760000,98.750000,91.920000,92.620000,27859520
2026-04-17,93.350000,93.930000,90.565000,92.280000,20191285
2026-04-20,91.980000,93.590000,91.650000,93.150000,11271633
2026-04-21,93.260000,94.155000,91.830000,91.970000,12842755
2026-04-22,92.190000,93.000000,91.150000,91.710000,10798334
2026-04-23,91.140000,91.600000,87.840000,88.920000,17899611
2026-04-24,88.920000,89.860000,88.290000,88.500000,11670547
2026-04-27,88.260000,91.120000,88.150000,90.760000,8399216
2026-04-28,91.300000,91.900000,90.175000,90.830000,9259149
2026-04-29,90.330000,91.490000,89.442500,91.160000,8328332
2026-04-30,90.350000,92.530000,89.875000,91.640000,12560277
2026-05-01,92.030000,92.858600,91.265000,91.540000,8532643
2026-05-04,91.370000,92.720000,90.950000,91.480000,7005948
2026-05-05,91.760000,92.890000,91.500000,92.400000,5784332
2026-05-06,92.360000,92.750000,91.585000,92.150000,6883560
2026-05-07,91.810000,92.430000,88.660100,89.500000,14791981
2026-05-08,89.290000,89.700000,88.310000,88.610000,9953964
2026-05-11,88.620000,88.865000,87.610000,87.830000,9542668
2026-05-12,88.020000,90.390000,87.640000,90.180000,9490161
2026-05-13,89.450000,91.780000,89.260000,91.170000,9299812
2026-05-14,91.650000,92.170300,89.130000,89.440000,14178789
2026-05-15,90.480000,92.870000,89.760000,90.880000,14261986
2026-05-18,91.000000,93.430000,90.775000,92.390000,8266512
2026-05-19,92.200000,92.930000,91.460000,91.810000,8681790
2026-05-20,92.320000,92.560000,89.730000,90.110000,12827816
2026-05-21,90.180000,90.700000,89.280000,90.410000,8077912
2026-05-22,90.360000,91.390000,90.110000,90.150000,7067503
2026-05-26,89.700000,90.420000,89.365000,89.400000,8361078
2026-05-27,89.000000,89.260000,84.720000,85.610000,21854900
2026-05-28,85.120000,85.620000,83.960000,85.350000,16768483
2026-05-29,86.000000,87.480000,85.930000,87.350000,20461629
2026-06-01,86.810000,89.195000,86.017400,88.740000,13961593
2026-06-02,87.940000,88.620000,86.220000,87.610000,11612043
2026-06-03,87.000000,87.555000,85.580000,86.590000,11339420
2026-06-04,87.510000,88.500000,86.700000,88.000000,11790233
2026-06-05,88.460000,88.940000,87.675000,88.840000,9213892
2026-06-08,88.280000,88.920000,87.770000,88.080000,7473601
2026-06-09,88.250000,88.915000,87.180000,88.770000,10830638
2026-06-10,88.450000,90.250000,87.860000,89.270000,11177391
2026-06-11,89.260000,89.940000,88.540000,88.700000,11380710
2026-06-12,89.530000,92.210000,89.250000,91.100000,11399437
2026-06-15,91.610000,92.390000,90.760000,90.950000,11480191
2026-06-16,92.000000,93.700000,91.440000,93.670000,12346448
2026-06-17,93.550000,94.830000,92.460000,94.510000,12107284
2026-06-18,94.580000,94.790000,90.860000,91.700000,27430151
2026-06-22,92.500000,92.690000,91.360000,92.030000,11599414
2026-06-23,92.390000,93.300000,92.030000,93.170000,11700801
2026-06-24,92.810000,92.895000,91.020000,91.390000,12928562
2026-06-25,91.390000,92.600000,89.260000,89.440000,10918783
2026-06-26,89.600000,90.670000,87.630000,90.670000,17567421
2026-06-29,90.350000,91.600000,90.200000,90.550000,9170706
2026-06-30,91.490000,94.165000,91.285000,92.270000,9834921
2026-07-01,92.760000,96.070000,92.310000,95.780000,10685420
