d,o,h,l,c,v
2024-07-25,117.310000,119.540000,115.790000,116.060000,731666
2024-07-26,116.010000,118.390000,116.010000,118.190000,754998
2024-07-29,117.710000,118.910000,116.950000,118.040000,874041
2024-07-30,116.800000,119.650000,116.800000,118.960000,1119807
2024-07-31,118.390000,119.090000,117.010000,117.950000,3586476
2024-08-01,118.200000,120.130000,117.475000,119.990000,766955
2024-08-02,121.330000,122.620000,119.300000,122.400000,1723212
2024-08-05,123.520000,124.310000,119.600000,120.880000,1439619
2024-08-06,121.180000,122.350000,118.830000,118.910000,881790
2024-08-07,118.950000,121.330000,118.080000,119.480000,1383436
2024-08-08,118.770000,120.715000,117.950000,118.150000,644537
2024-08-09,117.940000,118.650000,116.650000,118.460000,616408
2024-08-12,118.330000,118.425000,116.552200,117.380000,1730323
2024-08-13,117.380000,118.990000,116.860000,118.340000,900376
2024-08-14,118.840000,120.310000,118.420000,119.710000,664280
2024-08-15,120.230000,120.690000,118.850000,119.490000,754451
2024-08-16,118.330000,119.340000,117.580000,118.810000,929352
2024-08-19,119.120000,121.515000,119.120000,120.930000,880129
2024-08-20,120.790000,122.140000,120.790000,121.580000,641395
2024-08-21,121.950000,123.220000,120.521000,120.970000,624342
2024-08-22,121.440000,121.560000,119.900000,121.050000,696108
2024-08-23,121.310000,122.120000,121.000000,122.040000,579966
2024-08-26,122.320000,122.590000,120.660000,121.360000,974170
2024-08-27,121.360000,122.190000,120.070000,120.700000,1686374
2024-08-28,112.930000,116.130000,112.700000,114.730000,3063959
2024-08-29,114.500000,114.670000,112.820000,113.790000,1466813
2024-08-30,113.890000,115.500000,113.650000,114.680000,1143032
2024-09-03,114.500000,119.050000,114.500000,118.740000,1557870
2024-09-04,119.070000,121.460000,118.850000,120.530000,1353336
2024-09-05,121.420000,121.842387,120.480000,121.190000,984877
2024-09-06,121.010000,122.350000,120.190000,120.270000,1110894
2024-09-09,120.290000,121.310000,119.555000,120.180000,728583
2024-09-10,120.280000,121.100000,118.420000,118.970000,856881
2024-09-11,118.800000,119.270000,116.920000,117.490000,1459669
2024-09-12,117.260000,118.055000,116.550000,117.980000,778919
2024-09-13,117.920000,120.920000,117.550000,120.740000,648364
2024-09-16,121.700000,122.745000,120.530000,120.880000,696101
2024-09-17,120.500000,121.780000,119.540000,119.710000,871900
2024-09-18,119.190000,121.650000,119.190000,120.480000,990091
2024-09-19,119.990000,120.610000,119.170000,119.300000,896129
2024-09-20,119.610000,119.900000,118.110000,118.740000,2338097
2024-09-23,118.570000,119.290000,117.830000,118.980000,1027438
2024-09-24,118.970000,119.660000,117.130000,117.430000,993009
2024-09-25,118.260000,119.320000,118.040000,118.240000,746140
2024-09-26,117.840000,120.339900,117.840000,119.870000,625426
2024-09-27,120.340000,122.640000,119.460000,121.150000,772735
2024-09-30,122.050000,122.155000,120.020000,121.100000,773070
2024-10-01,121.170000,121.742100,120.010000,121.210000,769516
2024-10-02,120.400000,120.600000,118.580000,119.130000,633960
2024-10-03,118.400000,118.740000,116.220000,117.280000,741153
2024-10-04,116.650000,117.490000,115.940000,117.390000,733326
2024-10-07,117.220000,117.620000,115.985000,116.180000,805843
2024-10-08,116.250000,117.030000,115.350000,116.780000,733685
2024-10-09,117.170000,117.870000,116.324800,117.210000,404174
2024-10-10,117.680000,118.000000,116.390000,117.020000,495950
2024-10-11,117.380000,117.820000,116.560000,116.820000,606588
2024-10-14,117.100000,118.510000,116.620000,118.210000,571901
2024-10-15,118.800000,122.080000,118.380000,120.540000,797614
2024-10-16,119.860000,121.810000,119.540000,121.610000,693624
2024-10-17,121.230000,121.390000,120.080000,121.250000,695232
2024-10-18,121.250000,121.940000,120.360000,121.730000,920624
2024-10-21,121.690000,121.800000,119.830000,119.930000,595539
2024-10-22,120.000000,120.000000,116.400000,117.700000,958754
2024-10-23,117.020000,117.970000,116.250000,117.700000,471193
2024-10-24,118.030000,118.816800,117.000000,117.040000,577145
2024-10-25,116.500000,117.400000,116.030000,116.070000,418527
2024-10-28,116.880000,117.550000,115.370000,115.460000,643160
2024-10-29,114.730000,115.945000,113.750000,113.790000,738544
2024-10-30,113.450000,114.030000,112.755000,113.920000,875173
2024-10-31,113.990000,115.140000,113.212500,113.510000,1286470
2024-11-01,114.150000,114.150000,112.500000,112.920000,767001
2024-11-04,112.930000,114.960000,112.760000,113.690000,1012017
2024-11-05,113.500000,116.400000,113.500000,116.390000,955317
2024-11-06,117.570000,118.100000,115.510000,115.620000,1314454
2024-11-07,115.380000,116.250000,114.340100,115.260000,995249
2024-11-08,115.500000,115.690000,114.380000,115.450000,894336
2024-11-11,115.670000,116.230000,113.190000,113.650000,1145091
2024-11-12,114.100000,114.580000,111.800000,111.980000,1115262
2024-11-13,112.000000,112.230000,109.940000,111.020000,1833738
2024-11-14,111.370000,112.770000,110.680000,110.750000,1131888
2024-11-15,109.530000,109.865000,106.190000,106.920000,1901303
2024-11-18,107.220000,110.850000,107.220000,110.470000,1572439
2024-11-19,110.600000,112.410000,109.785000,111.910000,1092134
2024-11-20,111.810000,113.275000,111.340000,112.080000,888332
2024-11-21,112.060000,113.950000,110.850000,113.890000,1050199
2024-11-22,113.950000,114.530000,112.770000,113.300000,1263063
2024-11-25,114.210000,114.825000,112.880000,113.620000,3044289
2024-11-26,120.000000,125.415000,118.560000,120.090000,3914188
2024-11-27,120.300000,120.760000,117.680000,118.000000,1710750
2024-11-29,118.030000,118.650000,117.620000,117.790000,1000903
2024-12-02,117.910000,120.480000,117.330000,119.580000,1364556
2024-12-03,119.610000,119.640000,116.840000,117.290000,1279521
2024-12-04,116.500000,117.460000,113.900000,115.440000,1439291
2024-12-05,115.250000,116.844300,115.250000,116.670000,853353
2024-12-06,116.800000,117.180000,116.210000,116.460000,1103569
2024-12-09,116.450000,119.490000,116.450000,117.830000,1428029
2024-12-10,118.330000,118.330000,114.815000,115.000000,1193591
2024-12-11,114.580000,115.090000,113.200000,113.250000,1449072
2024-12-12,113.570000,114.655000,112.765000,113.520000,1260572
2024-12-13,114.020000,114.570000,113.175000,113.530000,1083608
2024-12-16,113.540000,114.750000,112.770000,112.780000,1773900
2024-12-17,112.000000,115.010000,111.830000,114.560000,1517029
2024-12-18,112.970000,113.607000,110.150000,110.230000,1212750
2024-12-19,109.470000,110.616000,108.560000,108.970000,1111377
2024-12-20,108.550000,110.530000,108.550000,109.890000,1989452
2024-12-23,109.330000,111.380000,109.330000,111.200000,1066806
2024-12-24,110.960000,111.820000,110.260000,111.530000,370643
2024-12-26,111.000000,112.020000,110.640000,110.920000,705203
2024-12-27,110.120000,111.640000,110.120000,110.620000,513727
2024-12-30,110.260000,110.500000,109.000000,109.880000,775937
2024-12-31,109.770000,110.690000,109.400000,110.120000,574161
2025-01-02,110.610000,112.310000,110.050000,111.370000,1059892
2025-01-03,111.490000,112.345000,110.630000,111.530000,689766
2025-01-06,111.040000,111.610000,108.850000,109.160000,1350809
2025-01-07,109.570000,110.015000,107.360000,107.470000,833644
2025-01-08,106.650000,107.140000,104.268000,105.430000,1309711
2025-01-10,104.600000,105.100000,100.772000,100.900000,1405559
2025-01-13,101.580000,102.660000,100.890000,102.170000,989620
