d,o,h,l,c,v
2024-07-25,47.730000,48.895000,47.690000,48.230000,9608106
2024-07-26,48.790000,49.310000,48.160000,48.830000,8231538
2024-07-29,48.180000,48.810000,47.655000,47.860000,9104446
2024-07-30,47.540000,47.950000,47.150000,47.610000,9880369
2024-07-31,48.130000,48.570000,47.940000,48.290000,6599755
2024-08-01,48.280000,48.330000,46.245000,46.660000,8952085
2024-08-02,45.980000,46.010000,44.560000,44.930000,11848368
2024-08-05,43.480000,44.300000,43.320000,43.770000,13010755
2024-08-06,43.800000,44.165000,43.330000,43.400000,8364003
2024-08-07,43.990000,44.420000,42.810000,42.860000,9258997
2024-08-08,42.980000,43.750000,42.910000,43.690000,6697408
2024-08-09,43.480000,43.810000,43.320000,43.550000,5418010
2024-08-12,43.840000,44.125000,43.500000,43.900000,6599215
2024-08-13,43.600000,43.965000,43.390000,43.770000,5253394
2024-08-14,44.000000,44.070000,43.500000,43.780000,6305307
2024-08-15,44.470000,45.120000,44.335000,45.040000,7940187
2024-08-16,44.570000,45.040000,44.545000,44.780000,6013015
2024-08-19,45.140000,45.780000,45.010000,45.360000,8046509
2024-08-20,45.220000,45.340000,44.010000,44.030000,7409020
2024-08-21,44.540000,44.680000,44.110000,44.200000,5529940
2024-08-22,44.250000,44.435000,43.980000,44.120000,7164342
2024-08-23,44.500000,45.300000,44.385000,45.120000,6244495
2024-08-26,46.000000,46.160000,45.240000,45.600000,6222096
2024-08-27,45.450000,45.540000,44.780000,45.040000,5199381
2024-08-28,43.960000,44.155000,43.505000,43.740000,9866391
2024-08-29,44.240000,44.415000,43.410000,44.180000,8000835
2024-08-30,43.820000,44.040000,43.390000,43.990000,10174701
2024-09-03,43.160000,43.190000,42.000000,42.290000,12684998
2024-09-04,42.040000,42.390000,41.265000,41.320000,10048573
2024-09-05,41.690000,41.800000,40.960000,41.220000,10621912
2024-09-06,41.200000,41.630000,40.370800,40.620000,9864106
2024-09-09,40.800000,41.170000,40.351200,40.410000,11082493
2024-09-10,40.480000,40.480000,39.120000,39.590000,10782668
2024-09-11,39.560000,39.770000,38.660000,39.570000,15568313
2024-09-12,39.750000,40.220000,39.365000,39.800000,15405455
2024-09-13,40.110000,40.500000,39.505000,39.960000,17481687
2024-09-16,40.800000,41.160000,40.030000,40.400000,24556093
2024-09-17,40.530000,41.680000,40.440000,41.500000,18400323
2024-09-18,41.520000,42.090000,41.180000,41.420000,12663559
2024-09-19,42.700000,43.269900,42.030000,42.750000,17113276
2024-09-20,42.890000,42.890000,42.000000,42.410000,22881596
2024-09-23,42.550000,43.210000,42.380000,42.900000,12921061
2024-09-24,43.835000,44.040000,42.950000,42.980000,12006214
2024-09-25,42.800000,43.010000,41.660000,41.810000,12552376
2024-09-26,41.080000,41.510000,40.535000,41.170000,20933289
2024-09-27,41.700000,42.320000,41.600000,42.290000,14875752
2024-09-30,41.970000,42.474500,41.560000,41.950000,12220867
2024-10-01,41.745000,43.590000,41.740000,43.140000,14716531
2024-10-02,43.460000,44.175000,43.285000,43.940000,14614601
2024-10-03,43.940000,44.940000,43.540000,44.890000,13775415
2024-10-04,45.530000,45.710000,44.902300,45.460000,11296550
2024-10-07,45.600000,46.155000,45.380000,45.590000,8963646
2024-10-08,44.950000,45.170000,43.970000,44.140000,13404657
2024-10-09,43.780000,44.425000,43.630000,44.210000,9980713
2024-10-10,44.580000,45.115000,44.250000,44.600000,9707420
2024-10-11,44.320000,44.960000,44.280000,44.780000,8892291
2024-10-14,44.390000,44.720000,44.220000,44.700000,7048069
2024-10-15,43.570000,43.910000,42.890000,42.950000,10230881
2024-10-16,43.390000,43.690000,43.110000,43.680000,8692885
2024-10-17,43.500000,44.050000,43.290000,43.990000,14481312
2024-10-18,43.990000,44.090000,41.890000,41.920000,21355938
2024-10-21,42.080000,42.940000,42.080000,42.430000,13839414
2024-10-22,42.730000,42.740000,41.790000,41.930000,11377911
2024-10-23,41.880000,42.330000,41.640000,42.130000,11117909
2024-10-24,41.900000,42.130000,41.200000,41.250000,13897113
2024-10-25,41.550000,42.160000,41.360000,41.740000,15345710
2024-10-28,40.620000,41.620000,40.400000,41.390000,10589894
2024-10-29,41.310000,41.310000,40.220000,40.430000,15895646
2024-10-30,40.550000,40.850000,40.120000,40.150000,12252088
2024-10-31,40.400000,40.585000,40.005000,40.070000,14264857
2024-11-01,40.160000,40.389900,39.690000,39.760000,12605858
2024-11-04,39.910000,40.595000,39.860000,40.320000,11102954
2024-11-05,40.400000,40.750000,40.155000,40.550000,10810852
2024-11-06,42.520000,44.328000,41.750000,43.770000,25379253
2024-11-07,43.750000,43.910000,42.740000,43.240000,15426716
2024-11-08,42.990000,43.510000,42.525000,43.180000,13598067
2024-11-11,43.290000,44.440000,43.200000,44.290000,12193717
2024-11-12,44.400000,44.970000,44.200000,44.330000,13725772
2024-11-13,44.470000,44.500000,43.220000,43.590000,9900430
2024-11-14,43.820000,43.995000,43.020000,43.450000,10061513
2024-11-15,43.360000,43.970000,42.860000,43.180000,9632621
2024-11-18,43.840000,43.940000,43.180000,43.490000,6955883
2024-11-19,42.720000,43.485000,42.660000,43.100000,8178352
2024-11-20,43.250000,43.650000,42.920000,43.530000,8329596
2024-11-21,43.850000,44.550000,43.640000,44.060000,11529016
2024-11-22,44.160000,44.700000,44.040000,44.230000,9015450
2024-11-25,44.630000,44.970000,43.620000,43.750000,14173172
2024-11-26,43.865000,43.890000,43.180000,43.480000,11192579
2024-11-27,43.600000,44.300000,43.490000,43.660000,8297153
2024-11-29,43.800000,44.075000,43.650000,43.940000,4143333
2024-12-02,43.830000,43.930000,43.040000,43.630000,8511384
2024-12-03,44.200000,44.230000,43.100000,43.650000,7429598
2024-12-04,43.350000,43.450000,42.320000,42.740000,10231072
2024-12-05,42.960000,43.150000,41.960000,42.020000,8466530
2024-12-06,41.750000,41.900000,40.840000,40.960000,15727493
2024-12-09,41.500000,41.740000,41.115000,41.170000,10657295
2024-12-10,41.110000,41.600000,40.470000,40.870000,10075785
2024-12-11,41.100000,41.785000,40.965000,41.560000,9958341
2024-12-12,41.530000,41.610000,41.010000,41.100000,7309784
2024-12-13,41.140000,41.160000,40.065000,40.220000,10763107
2024-12-16,40.100000,41.020000,39.770000,39.880000,14900670
2024-12-17,39.380000,39.600000,38.700000,38.930000,18705267
2024-12-18,38.970000,39.210000,37.280000,37.330000,15657397
2024-12-19,37.740000,37.860000,36.519200,36.910000,16162342
2024-12-20,36.830000,37.380000,36.620000,36.830000,36468332
2024-12-23,36.770000,37.380000,36.650000,37.260000,10833928
2024-12-24,37.280000,37.770000,36.891200,37.730000,4555397
2024-12-26,37.740000,37.870000,37.250000,37.730000,8145977
2024-12-27,37.640000,38.305000,37.500000,37.800000,9493692
2024-12-30,37.640000,37.930000,37.240000,37.810000,10994981
2024-12-31,37.870000,38.580000,37.845000,38.340000,7817097
2025-01-02,38.860000,39.430000,38.250000,38.400000,11559356
2025-01-03,38.680000,38.745000,38.035000,38.590000,10313694
2025-01-06,38.900000,39.530000,38.615000,38.760000,8366562
2025-01-07,39.190000,39.690000,38.760000,39.370000,9350070
2025-01-08,38.720000,39.125000,38.410000,38.810000,11319653
2025-01-10,39.570000,39.690000,38.505000,38.620000,15273648
2025-01-13,38.810000,40.035000,38.780000,39.850000,15963997
2025-01-14,39.580000,40.135000,39.220000,39.870000,12119720
2025-01-15,40.000000,40.910000,40.000000,40.640000,11877357
2025-01-16,40.450000,41.220000,40.330000,41.090000,16148813
2025-01-17,42.150000,44.495000,41.610000,43.580000,30731332
2025-01-21,43.950000,44.660000,43.345000,43.740000,22986855
2025-01-22,43.380000,43.450000,41.455000,41.630000,23719208
2025-01-23,42.130000,42.170000,41.585000,42.030000,19071455
2025-01-24,42.200000,42.615000,41.720000,42.250000,19431069
2025-01-27,42.190000,42.780000,42.000000,42.540000,15306162
2025-01-28,42.550000,42.780000,40.935000,41.320000,16077531
2025-01-29,41.320000,41.795000,40.670000,40.940000,12734801
2025-01-30,41.020000,41.380000,40.685000,41.020000,10171120
2025-01-31,41.180000,41.290000,39.850000,40.280000,13110779
2025-02-03,40.130000,40.920000,39.555000,40.160000,12507614
2025-02-04,39.740000,41.500000,39.626100,41.220000,12752012
2025-02-05,40.860000,41.130000,40.200000,40.810000,15186140
2025-02-06,41.090000,41.270000,39.715000,40.050000,13112679
2025-02-07,40.190000,40.675000,39.985000,40.160000,11776393
2025-02-10,40.600000,41.370000,40.600000,41.210000,9388096
2025-02-11,41.280000,42.190000,41.050000,41.780000,11266706
2025-02-12,41.530000,41.720000,41.155000,41.450000,14649395
2025-02-13,41.500000,42.260000,41.440000,42.080000,12098967
2025-02-14,42.255000,42.610000,41.700000,41.750000,12225052
2025-02-18,42.030000,43.060000,41.550000,42.650000,14315745
2025-02-19,42.450000,42.820000,42.050000,42.180000,12752504
2025-02-20,42.110000,42.915000,41.980000,42.600000,9999057
2025-02-21,42.300000,42.470000,41.600000,41.740000,13671578
2025-02-24,41.940000,42.000000,41.475000,41.530000,12990249
2025-02-25,41.440000,41.950000,40.625000,41.010000,14474061
2025-02-26,41.170000,41.240000,40.235000,40.600000,11607347
2025-02-27,40.860000,41.640000,40.485000,40.910000,15135941
2025-02-28,40.820000,41.710000,40.300000,41.660000,17747826
2025-03-03,41.980000,42.155000,39.480000,39.820000,18379034
2025-03-04,39.200000,39.730000,38.170000,39.080000,18236168
2025-03-05,38.700000,39.600000,38.280000,39.430000,13651450
2025-03-06,39.020000,39.965000,39.010000,39.760000,12348553
2025-03-07,39.940000,41.870000,39.860000,41.370000,19615791
2025-03-10,41.220000,42.170000,40.880000,41.140000,18761539
2025-03-11,41.390000,41.460000,40.020000,40.080000,16397374
2025-03-12,40.210000,40.630000,39.730000,40.050000,10562177
2025-03-13,40.080000,40.630000,39.621200,39.930000,13912845
2025-03-14,40.400000,41.430000,40.300000,41.100000,13049426
2025-03-17,41.100000,41.695000,41.030000,41.430000,11825555
2025-03-18,41.600000,41.760000,40.800000,41.130000,14406363
2025-03-19,41.370000,41.670000,40.942300,41.080000,19553862
2025-03-20,40.760000,41.780000,40.600000,41.280000,12753109
2025-03-21,40.980000,41.540000,40.760000,40.990000,73470363
2025-03-24,41.320000,41.800000,41.125000,41.700000,10438915
2025-03-25,42.000000,42.390000,41.910000,42.280000,12757827
2025-03-26,42.740000,43.350000,42.325000,42.420000,11753128
2025-03-27,42.380000,42.830000,41.930000,42.100000,23868456
2025-03-28,42.150000,42.550000,41.490000,41.880000,12888622
2025-03-31,41.360000,42.180000,41.270000,41.800000,13596472
2025-04-01,41.780000,42.450000,41.425000,42.200000,13547384
2025-04-02,41.620000,42.430000,41.200000,42.190000,16509291
2025-04-03,39.910000,40.300000,39.040000,39.210000,40728763
2025-04-04,37.410000,37.770000,34.043700,34.780000,49175034
2025-04-07,33.040000,35.120000,31.860000,33.140000,36020370
2025-04-08,34.430000,34.640000,31.520000,31.950000,31415997
2025-04-09,31.290000,36.480000,31.110000,35.980000,45400857
2025-04-10,34.780000,34.850000,31.880000,32.540000,37839006
2025-04-11,32.530000,34.010000,32.100000,33.960000,20884416
2025-04-14,34.700000,34.700000,33.450000,33.920000,15477083
2025-04-15,33.840000,34.370000,33.610000,33.760000,11618864
2025-04-16,34.000000,34.705000,33.790000,34.150000,13094248
2025-04-17,34.550000,35.460000,34.130000,35.110000,15923026
2025-04-21,34.720000,34.720000,34.000000,34.620000,10698698
2025-04-22,34.830000,34.965000,33.825000,34.610000,18894097
2025-04-23,35.130000,35.590000,33.800000,34.030000,17255860
2025-04-24,34.315000,35.090000,34.050000,34.930000,15197190
2025-04-25,34.290000,35.530000,33.625000,34.520000,23936451
2025-04-28,34.490000,34.660000,33.710000,34.100000,13252839
2025-04-29,33.790000,34.287500,33.250000,34.110000,14629830
2025-04-30,33.440000,33.620000,32.630000,33.250000,21855736
2025-05-01,33.200000,34.245000,33.110000,33.740000,18079864
2025-05-02,34.210000,34.760000,33.810000,34.730000,13305027
2025-05-05,33.905000,34.310000,33.720000,33.760000,17270680
2025-05-06,34.100000,34.315000,33.430000,33.580000,17481523
2025-05-07,33.560000,33.740000,33.230000,33.500000,12126086
2025-05-08,34.000000,34.985000,33.910000,34.320000,14025416
2025-05-09,34.760000,34.980000,34.355000,34.550000,7407363
2025-05-12,35.955000,36.870000,35.655000,35.850000,12104265
2025-05-13,36.060000,36.440000,35.755000,36.110000,9218242
2025-05-14,35.700000,36.335000,35.650000,36.010000,10519499
2025-05-15,35.470000,35.750000,34.990000,35.720000,11998591
2025-05-16,35.670000,35.810000,35.155000,35.770000,12627015
2025-05-19,35.380000,35.470000,34.780000,35.110000,10077256
2025-05-20,35.070000,35.070000,34.395000,34.570000,13192072
2025-05-21,34.330000,34.620000,33.850000,33.870000,12564523
2025-05-22,33.580000,33.955000,33.180000,33.750000,11507748
2025-05-23,33.120000,33.760000,33.100000,33.660000,10467825
2025-05-27,33.970000,34.105000,33.480000,33.930000,17574809
2025-05-28,34.320000,34.360000,33.470000,33.580000,11031951
2025-05-29,33.820000,33.880000,33.330000,33.680000,9902909
2025-05-30,33.400000,33.500000,32.840000,33.050000,20668670
2025-06-02,33.740000,33.830000,32.910000,33.340000,12681496
2025-06-03,33.400000,34.370000,32.830000,34.110000,16172259
2025-06-04,33.880000,34.210000,33.130000,33.240000,13545058
2025-06-05,33.455000,33.520000,33.040000,33.080000,11548462
2025-06-06,33.490000,34.055000,33.380000,33.870000,10410098
2025-06-09,34.120000,34.520000,33.910000,34.120000,12437707
2025-06-10,34.540000,35.780000,34.350000,35.520000,15648862
2025-06-11,35.650000,35.945000,35.150000,35.690000,14446029
2025-06-12,35.250000,35.695000,34.920000,35.630000,10046733
2025-06-13,36.210000,36.440000,35.570000,36.300000,15387426
2025-06-16,36.140000,36.410000,35.575000,35.910000,16121486
2025-06-17,36.220000,36.600000,35.850000,36.080000,16172890
2025-06-18,36.100000,36.440000,35.820000,35.850000,17588621
