d,o,h,l,c,v
2025-08-01,95.240000,95.520000,94.150000,94.990000,7496813
2025-08-04,95.120000,96.200000,95.020000,96.000000,5838373
2025-08-05,95.760000,96.420000,93.960000,94.390000,6033742
2025-08-06,94.720000,95.540000,94.172500,94.680000,3656368
2025-08-07,94.400000,95.570000,94.310000,95.350000,4162527
2025-08-08,95.570000,95.790000,94.470000,94.690000,4148254
2025-08-11,95.020000,95.340000,94.230000,94.570000,4313213
2025-08-12,94.650000,94.680000,93.280000,93.960000,7908624
2025-08-13,93.890000,94.855000,93.404200,94.790000,5478283
2025-08-14,94.700000,94.700000,93.750000,94.190000,5252565
2025-08-15,94.330000,94.760000,93.630000,94.070000,5698546
2025-08-18,93.580000,93.640000,92.770000,92.850000,5070536
2025-08-19,92.880000,94.220000,92.835000,94.180000,4691215
2025-08-20,94.500000,95.640000,94.325000,94.930000,5556630
2025-08-21,94.960000,95.175000,94.355000,94.620000,3294411
2025-08-22,95.060000,95.500000,94.075000,94.480000,3304940
2025-08-25,94.230000,94.490000,92.985000,93.130000,2559639
2025-08-26,93.150000,93.500000,92.490000,93.090000,3699643
2025-08-27,93.190000,93.460000,92.810000,93.280000,3090158
2025-08-28,93.040000,93.040000,92.070000,92.240000,2797437
2025-08-29,92.470000,92.810000,92.215000,92.300000,3227616
2025-09-02,92.240000,92.820000,91.630000,92.090000,3467461
2025-09-03,91.640000,91.969800,91.170000,91.660000,3481101
2025-09-04,92.240000,92.440000,91.430000,91.870000,3468707
2025-09-05,91.980000,92.380000,91.550000,91.780000,3166440
2025-09-08,91.430000,91.850000,90.594000,90.830000,3712021
2025-09-09,90.680000,91.495000,90.530000,91.210000,2889784
2025-09-10,91.100000,91.670000,90.720000,91.560000,4309826
2025-09-11,91.550000,92.140000,91.220300,92.130000,3701904
2025-09-12,91.880000,92.435000,91.720000,92.270000,4076346
2025-09-15,92.010000,92.400000,91.560000,92.280000,3922371
2025-09-16,92.100000,92.320000,91.350000,91.360000,6625697
2025-09-17,91.590000,92.057500,91.400000,91.630000,5065224
2025-09-18,90.770000,91.880000,90.710000,91.450000,6074244
2025-09-19,91.040000,92.300000,90.345000,91.800000,9381466
2025-09-22,91.880000,92.575000,91.625000,92.330000,5569684
2025-09-23,92.300000,93.720000,92.110000,93.720000,4413517
2025-09-24,93.610000,94.440000,93.160000,94.410000,4826482
2025-09-25,94.590000,95.060500,93.575000,93.690000,6968487
2025-09-26,94.080000,94.670000,93.830000,94.530000,5203418
2025-09-29,94.500000,94.530000,93.450000,93.910000,8002685
2025-09-30,93.830000,95.030000,93.640100,94.770000,7481606
2025-10-01,94.920000,95.380000,94.610000,94.800000,4625938
2025-10-02,94.180000,94.530000,93.525000,93.890000,4436213
2025-10-03,93.500000,94.850000,93.500000,94.540000,6022128
2025-10-06,94.430000,95.525000,94.400000,95.490000,4870172
2025-10-07,95.490000,96.770000,95.300000,96.420000,5607665
2025-10-08,96.790000,96.790000,95.495000,96.180000,3700746
2025-10-09,96.660000,96.660000,96.010000,96.130000,4113973
2025-10-10,96.660000,98.358400,96.450000,98.290000,5296781
2025-10-13,97.620000,98.420000,97.190000,98.080000,4262222
2025-10-14,98.700000,99.810000,98.460000,99.680000,5343034
2025-10-15,99.600000,100.240000,99.170000,99.720000,7287383
2025-10-16,100.120000,100.835000,98.380000,98.430000,4927361
2025-10-17,99.120000,99.150000,97.610000,97.800000,4916360
2025-10-20,98.400000,98.405000,97.340000,97.690000,5045062
2025-10-21,98.210000,98.285000,96.530000,97.000000,4582928
2025-10-22,96.980000,98.110000,96.435000,97.480000,3438254
2025-10-23,97.870000,98.000000,96.120000,96.150000,3194666
2025-10-24,96.260000,96.610000,95.835000,95.880000,4353320
2025-10-27,95.700000,95.700000,94.780000,95.400000,4019740
2025-10-28,95.100000,95.240000,93.320000,93.910000,6012811
2025-10-29,93.570000,94.390000,92.850000,93.510000,6431287
2025-10-30,93.060000,95.520000,93.060000,95.070000,7421398
2025-10-31,94.480000,94.680000,93.600000,94.040000,5432527
2025-11-03,93.570000,95.090000,92.180000,93.150000,14019362
2025-11-04,93.150000,93.510000,92.410000,92.730000,12289383
2025-11-05,91.320000,92.230000,90.500000,91.410000,12553167
2025-11-06,91.000000,92.050000,90.860000,90.900000,4916221
2025-11-07,91.160000,91.910000,90.860000,91.440000,4769726
2025-11-10,91.165000,91.350000,89.960000,90.760000,6177971
2025-11-11,90.910000,91.445000,90.550000,91.140000,3885434
2025-11-12,91.170000,92.020000,90.880000,91.890000,5588373
2025-11-13,92.000000,92.380000,91.080000,91.170000,5696456
