d,o,h,l,c,v
2024-07-25,83.090000,85.340000,82.920000,84.890000,2078275
2024-07-26,85.210000,85.890000,84.580000,85.290000,1509865
2024-07-29,85.170000,85.570000,84.590000,84.920000,1029351
2024-07-30,85.510000,86.250000,85.130000,85.700000,1177713
2024-07-31,85.770000,86.100000,84.910000,84.970000,1345728
2024-08-01,85.300000,85.490000,82.930000,83.630000,1359693
2024-08-02,82.610000,82.610000,80.250000,80.910000,1941255
2024-08-05,78.850000,79.500000,76.950000,77.110000,2669907
2024-08-06,76.910000,78.190000,76.850000,77.130000,2281451
2024-08-07,78.550000,79.750000,76.350000,76.480000,1955149
2024-08-08,76.980000,78.285000,76.980000,77.750000,1087293
2024-08-09,77.820000,78.320000,77.290000,78.210000,1217873
2024-08-12,78.200000,78.750000,77.205000,77.530000,1901371
2024-08-13,78.230000,79.150000,77.575000,78.800000,1798791
2024-08-14,79.090000,79.320000,78.370000,78.950000,1265505
2024-08-15,80.000000,80.870000,79.830000,80.550000,2541117
2024-08-16,80.650000,81.230000,80.260000,81.180000,1465963
2024-08-19,81.330000,81.600000,80.880000,81.010000,1383309
2024-08-20,80.800000,81.220000,80.180000,80.420000,1508509
2024-08-21,80.740000,80.910000,80.105000,80.800000,1830680
2024-08-22,80.820000,82.590000,80.790000,82.560000,1897938
2024-08-23,82.960000,84.370000,82.545000,84.040000,2364882
2024-08-26,84.480000,85.210000,84.160000,84.580000,1763600
2024-08-27,84.190000,85.785000,84.140000,85.480000,2203559
2024-08-28,85.210000,85.760000,84.290000,84.740000,2229579
2024-08-29,85.190000,86.400000,84.360000,85.900000,1547595
2024-08-30,86.080000,87.265000,85.930000,87.100000,1749063
2024-09-03,86.440000,87.160000,85.630000,85.980000,1795279
2024-09-04,86.450000,87.190000,85.230000,85.910000,2014936
2024-09-05,86.740000,86.740000,84.945000,85.190000,1867226
2024-09-06,85.160000,86.075000,82.835000,83.290000,2191583
2024-09-09,84.030000,84.830000,82.480000,83.660000,3230060
2024-09-10,83.790000,83.925000,82.070000,83.320000,1893005
2024-09-11,82.730000,82.830000,80.540000,82.590000,2333001
2024-09-12,82.640000,83.370000,81.860000,82.580000,1742961
2024-09-13,82.850000,84.370000,82.850000,83.280000,2262726
2024-09-16,83.800000,85.940000,83.610000,85.460000,3480071
2024-09-17,85.750000,87.130000,85.450000,86.690000,1654226
2024-09-18,86.880000,88.185000,86.580000,87.160000,2699399
2024-09-19,88.340000,89.415000,87.410000,89.310000,1914399
2024-09-20,88.780000,88.910000,87.600000,88.500000,3578184
2024-09-23,89.230000,89.490000,88.650000,89.130000,1680838
2024-09-24,88.940000,89.340000,88.500000,88.910000,1899760
2024-09-25,89.050000,89.175000,88.180000,88.500000,1881659
2024-09-26,88.710000,89.180000,87.920000,88.090000,2769074
2024-09-27,88.640000,89.370000,87.860000,88.200000,3154644
2024-09-30,87.990000,88.670000,87.300000,88.470000,2499729
2024-10-01,87.500000,87.635000,86.400000,86.650000,1957796
2024-10-02,86.710000,87.460000,85.700000,85.990000,1483565
2024-10-03,85.670000,86.040000,85.045000,85.960000,3022986
2024-10-04,86.990000,87.600000,86.760000,87.310000,1744059
2024-10-07,87.290000,87.870000,86.630000,87.470000,2146468
2024-10-08,87.560000,88.820000,87.240000,88.570000,1962162
2024-10-09,88.700000,89.205000,88.060000,88.860000,1996715
2024-10-10,88.850000,89.781700,88.650000,89.340000,1705350
2024-10-11,89.940000,90.800000,89.090000,89.830000,2793355
2024-10-14,89.710000,91.140100,89.625000,90.930000,2425374
2024-10-15,91.840000,94.600000,89.340000,91.820000,5898847
2024-10-16,93.060000,93.570000,92.000000,92.880000,2569715
2024-10-17,93.000000,93.365000,92.160000,92.550000,1923204
2024-10-18,92.830000,92.870000,91.210000,91.430000,2180871
2024-10-21,91.200000,91.360000,89.780000,90.190000,1637927
2024-10-22,89.860000,90.220000,89.350300,89.860000,1403459
2024-10-23,89.600000,91.570000,89.500000,91.430000,2457701
2024-10-24,91.990000,92.060000,91.315000,91.870000,1722328
2024-10-25,92.640000,92.640000,90.370000,90.380000,1553861
2024-10-28,91.230000,93.595000,90.820000,92.980000,2406165
2024-10-29,92.600000,93.710000,92.470000,92.820000,2104684
2024-10-30,92.740000,94.060000,92.690000,92.930000,1552260
2024-10-31,92.830000,93.630000,92.160000,92.800000,2673803
2024-11-01,93.010000,93.755000,92.710000,92.800000,2158886
2024-11-04,92.800000,92.960000,92.010000,92.260000,1363156
2024-11-05,92.250000,93.220000,92.030000,92.910000,1480396
2024-11-06,97.570000,98.450000,95.970000,96.810000,3076146
2024-11-07,96.390000,96.945000,95.070000,95.120000,1915629
2024-11-08,95.220000,95.550000,93.800000,94.780000,2723278
2024-11-11,95.690000,97.000000,95.570000,96.550000,1712803
2024-11-12,96.160000,96.740000,95.180000,95.190000,1938799
2024-11-13,95.300000,96.500000,95.130000,95.170000,1649632
2024-11-14,95.400000,95.790000,93.960000,94.180000,1377158
2024-11-15,94.290000,95.670000,94.180000,95.480000,2354445
2024-11-18,95.350000,96.300000,95.200100,96.120000,1528028
2024-11-19,95.070000,95.550000,94.615000,94.710000,1781929
2024-11-20,95.300000,95.410000,94.570000,95.300000,1351023
2024-11-21,95.880000,96.695000,95.420000,96.340000,1326896
2024-11-22,96.400000,97.710000,96.400000,97.500000,1513140
2024-11-25,97.970000,99.500000,97.854000,98.790000,2408339
2024-11-26,98.420000,99.045000,97.860000,98.810000,2184732
2024-11-27,98.810000,99.240000,98.390000,98.790000,1924062
2024-11-29,99.000000,99.460000,98.510000,98.510000,1155234
2024-12-02,99.200000,99.220000,97.670000,98.030000,1722323
2024-12-03,99.300000,99.500000,97.710000,97.770000,1891946
2024-12-04,97.490000,97.620000,96.690000,97.370000,3352284
2024-12-05,97.360000,99.755000,97.240000,98.600000,2116616
2024-12-06,98.890000,98.950000,97.355000,98.410000,1726253
2024-12-09,99.600000,100.350000,98.600000,99.430000,3504099
2024-12-10,99.400000,100.030000,98.160000,100.030000,2343025
2024-12-11,100.500000,101.910000,98.530000,99.270000,4546267
