d,o,h,l,c,v
2025-08-01,67.580000,67.900000,66.280000,67.530000,5023697
2025-08-04,67.950000,69.400000,67.730000,69.250000,3862718
2025-08-05,69.360000,70.210000,68.515000,69.990000,3712334
2025-08-06,70.070000,70.122600,69.220000,69.450000,3603648
2025-08-07,70.160000,70.270000,68.290000,68.450000,3466986
2025-08-08,69.160000,69.819900,68.570000,69.430000,2890415
2025-08-11,69.510000,69.890000,68.955000,69.600000,3765249
2025-08-12,70.000000,72.410000,69.870000,72.360000,4516576
2025-08-13,72.560000,72.830000,71.720000,72.590000,2760246
2025-08-14,72.150000,72.920000,71.570000,72.830000,2589838
2025-08-15,72.970000,73.000000,71.220000,71.490000,2841781
2025-08-18,71.260000,71.875400,70.910000,71.790000,2021645
2025-08-19,71.570000,72.535000,71.340000,71.590000,1919558
2025-08-20,71.270000,71.890000,69.930000,71.580000,2843885
2025-08-21,71.180000,71.490000,70.530000,71.230000,2161388
2025-08-22,71.790000,74.110000,71.610000,73.200000,3104524
2025-08-25,73.000000,74.190000,72.860000,74.000000,2960003
2025-08-26,73.800000,75.570000,73.590000,75.340000,4220891
2025-08-27,75.140000,76.151500,75.140000,75.760000,2967263
2025-08-28,76.040000,76.740000,75.865000,76.580000,2369479
2025-08-29,76.830000,77.150000,75.810000,76.340000,2404317
2025-09-02,74.980000,75.640000,73.860000,75.620000,3265007
2025-09-03,75.250000,75.998000,74.740000,75.490000,1966823
2025-09-04,75.900000,77.080000,75.500000,76.860000,2521020
2025-09-05,77.010000,77.410000,74.960000,75.610000,2149080
2025-09-08,75.780000,76.000000,74.530000,75.140000,2289395
2025-09-09,75.010000,76.280000,74.840000,76.070000,2150043
2025-09-10,76.000000,76.630000,73.900000,74.740000,5275381
2025-09-11,74.810000,76.225000,74.390000,76.010000,3164985
2025-09-12,75.890000,76.010000,75.250000,75.370000,1954382
2025-09-15,75.560000,77.060000,75.370000,76.280000,2661477
2025-09-16,76.070000,76.160000,73.710000,74.530000,4072920
2025-09-17,74.770000,76.600000,73.860000,74.820000,4332799
2025-09-18,75.480000,76.810000,75.085000,76.530000,2560815
2025-09-19,76.730000,77.190000,76.205000,76.590000,8186427
2025-09-22,75.620000,76.060000,75.100000,75.580000,3205181
2025-09-23,75.750000,76.700000,74.510000,74.740000,2459945
2025-09-24,75.250000,75.505000,73.870000,74.630000,2587737
2025-09-25,73.540000,74.400000,72.980000,74.280000,1910868
2025-09-26,74.710000,75.090000,73.940400,74.540000,1744745
2025-09-29,75.220000,75.270000,72.500000,73.320000,3016717
2025-09-30,73.680000,73.820000,69.280000,71.050000,5214768
2025-10-01,71.090000,71.545000,69.750000,69.840000,3233821
2025-10-02,69.960000,70.770000,69.075100,70.280000,3753595
2025-10-03,70.650000,71.915000,70.370000,71.230000,3305883
2025-10-06,71.850000,72.345000,70.000000,71.380000,3271453
2025-10-07,70.690000,71.470000,69.825000,70.900000,3030181
2025-10-08,71.400000,72.160000,70.160000,70.970000,4060707
2025-10-09,71.410000,72.120000,70.785000,70.990000,2828096
2025-10-10,72.120000,72.120000,68.000000,68.020000,4454879
2025-10-13,69.100000,70.290000,69.020000,70.140000,2905863
2025-10-14,69.290000,73.640000,69.150000,72.840000,5619870
2025-10-15,73.450000,75.035000,70.690000,72.320000,6225445
2025-10-16,72.230000,72.590000,69.740000,70.250000,5551937
2025-10-17,70.610000,72.880000,70.460000,71.510000,4670712
2025-10-20,72.000000,72.510000,71.460000,72.260000,3207910
2025-10-21,72.150000,74.210000,72.050000,74.000000,2403828
2025-10-22,74.000000,74.810000,72.530000,73.010000,2696346
2025-10-23,73.320000,73.980000,72.720000,73.240000,2363008
2025-10-24,74.160000,75.700000,74.140000,74.840000,2342196
2025-10-27,75.600000,75.720000,74.690000,74.960000,5008839
2025-10-28,75.000000,75.075000,74.250000,74.720000,2322085
2025-10-29,74.110000,74.840000,72.910000,73.210000,3200509
2025-10-30,73.070000,74.810000,73.000100,73.590000,2571724
2025-10-31,73.530000,74.990000,73.245000,74.380000,2986784
2025-11-03,74.020000,74.770000,73.520000,74.010000,3684769
2025-11-04,73.200000,74.390000,73.100000,73.300000,3353922
2025-11-05,72.910000,75.090000,71.850000,74.370000,3501461
2025-11-06,74.470000,75.240000,73.080000,73.550000,3940640
2025-11-07,73.060000,73.610000,72.050000,73.190000,3710556
2025-11-10,73.700000,74.785000,73.310000,74.700000,3134999
2025-11-11,74.580000,75.030000,73.890000,74.420000,2231083
2025-11-12,74.300000,76.105000,74.300000,75.490000,2756440
2025-11-13,74.730000,75.520000,73.710000,73.790000,3980833
2025-11-14,73.000000,73.935000,72.100000,73.090000,3144859
2025-11-17,72.800000,73.070000,69.890000,70.470000,3708580
2025-11-18,69.630000,72.130000,69.515000,71.220000,4652424
2025-11-19,71.610000,72.740000,71.480000,72.550000,5567692
2025-11-20,73.970000,75.280000,72.170000,72.250000,5452350
2025-11-21,72.780000,75.460000,72.510000,74.620000,4040325
2025-11-24,74.590000,75.210000,73.930000,74.520000,7559159
2025-11-25,74.980000,76.910000,74.735000,76.510000,2648592
2025-11-26,76.440000,77.550000,76.265000,76.950000,1938827
2025-11-28,77.340000,77.910000,76.900000,77.360000,923575
2025-12-01,76.960000,78.399000,76.150000,78.050000,3366164
2025-12-02,78.550000,79.180000,77.635000,78.880000,2381179
2025-12-03,78.770000,80.400000,78.710000,79.150000,3705220
2025-12-04,79.180000,80.650000,79.150000,80.400000,2121395
2025-12-05,79.380000,80.645000,79.220000,80.360000,2620735
2025-12-08,80.680000,80.980000,79.690000,79.780000,3920675
2025-12-09,79.790000,81.430000,79.390000,81.010000,3172563
2025-12-10,80.780000,84.912700,80.770000,84.550000,4143768
2025-12-11,84.740000,86.220000,84.140000,85.660000,2812478
2025-12-12,85.720000,86.125000,83.150000,84.220000,3797093
2025-12-15,84.420000,84.615000,82.950000,83.210000,3088495
2025-12-16,83.560000,84.060000,82.950000,83.390000,3835243
2025-12-17,83.930000,84.185000,82.890000,83.230000,2420079
2025-12-18,83.790000,84.890000,83.320000,83.680000,2292327
2025-12-19,83.230000,84.820000,83.000100,84.680000,10591212
2025-12-22,85.470000,86.220000,85.120000,85.850000,1836480
2025-12-23,85.760000,86.140000,85.130100,85.570000,1837167
2025-12-24,85.830000,86.479000,85.730000,86.060000,772368
2025-12-26,85.840000,86.120000,85.580000,86.010000,819294
2025-12-29,85.750000,85.990000,84.580000,84.740000,1733683
2025-12-30,84.750000,84.830000,84.120000,84.310000,1158767
2025-12-31,84.440000,84.450000,83.390000,83.430000,1794762
2026-01-02,83.710000,84.670000,83.280000,84.650000,1407287
2026-01-05,84.600000,87.505000,84.600000,86.740000,3230688
2026-01-06,86.790000,88.525000,86.050000,88.470000,3881252
2026-01-07,88.100000,88.290000,87.140000,87.430000,2215934
2026-01-08,87.140000,88.490000,86.630000,87.730000,2340508
2026-01-09,88.210000,88.770000,86.560000,86.890000,2570234
2026-01-12,79.260000,81.490000,78.683900,79.630000,9407881
2026-01-13,79.500000,80.010000,77.955000,78.060000,6405950
2026-01-14,77.410000,78.330000,74.950000,77.820000,6002765
2026-01-15,78.340000,79.020000,77.445000,77.700000,2781667
2026-01-16,79.200000,81.840000,79.200000,80.190000,5909880
2026-01-20,77.730000,78.780000,75.680000,76.080000,5632604
2026-01-21,75.940000,77.820000,75.370000,77.130000,3280271
2026-01-22,77.860000,79.520000,77.430000,78.100000,4384005
2026-01-23,77.050000,77.270000,75.720000,76.610000,6294140
2026-01-26,77.030000,77.575000,76.095000,77.510000,8463496
2026-01-27,76.390000,77.040000,72.110000,73.000000,10049091
2026-01-28,74.000000,74.950000,73.250000,73.420000,7180246
2026-01-29,73.900000,74.150000,72.940000,73.370000,5886694
2026-01-30,72.920000,73.620000,71.857500,72.630000,7036419
2026-02-02,72.225000,73.930000,72.225000,73.520000,3806135
