d,o,h,l,c,v
2024-07-25,339.490000,344.140000,326.870000,327.440000,1695437
2024-07-26,327.000000,334.070000,325.340000,331.670000,1679993
2024-07-29,332.260000,338.520000,330.080000,333.280000,1719243
2024-07-30,332.790000,336.080000,328.480000,330.220000,2427267
2024-07-31,330.500000,334.420000,320.000000,327.450000,3543201
2024-08-01,330.140000,335.900000,324.090000,333.170000,1630542
2024-08-02,333.000000,333.580000,324.010000,331.560000,1738648
2024-08-05,330.730000,330.730000,314.930000,315.940000,2403422
2024-08-06,317.810000,326.310000,316.010000,322.670000,2477818
2024-08-07,323.520000,324.435000,319.070000,319.600000,1350572
2024-08-08,320.940000,327.300000,320.780000,325.990000,1019290
2024-08-09,325.380000,328.490000,322.030000,327.830000,793813
2024-08-12,327.125000,327.570000,323.725000,325.200000,774070
2024-08-13,325.910000,330.100000,325.370000,328.990000,913934
2024-08-14,329.180000,332.920000,328.240000,332.680000,909806
2024-08-15,334.280000,337.450000,332.980000,334.170000,1257823
2024-08-16,334.250000,338.325000,333.255000,337.890000,838749
2024-08-19,336.930000,341.980000,336.930000,341.060000,1062158
2024-08-20,342.560000,344.020000,340.962900,342.930000,772068
2024-08-21,343.990000,345.440000,342.540000,345.320000,666809
2024-08-22,348.670000,350.930000,345.550000,350.720000,1143502
2024-08-23,351.450000,354.000000,350.140000,353.290000,966116
2024-08-26,353.540000,355.860000,352.925000,354.300000,884876
2024-08-27,354.800000,359.130000,354.270000,358.510000,1131383
2024-08-28,359.080000,359.098100,353.600000,356.150000,1504890
2024-08-29,358.290000,359.270000,355.900000,357.930000,1107810
2024-08-30,359.160000,360.820000,356.000000,360.420000,1307583
2024-09-03,360.040000,362.250000,357.790000,359.620000,860630
2024-09-04,360.110000,364.360000,356.790100,360.300000,806252
2024-09-05,359.240000,360.300000,354.180000,358.000000,1213820
2024-09-06,358.670000,361.060000,355.720000,358.920000,1001435
2024-09-09,361.220000,365.609900,360.860000,362.780000,1439231
2024-09-10,364.960000,365.960000,362.780000,365.050000,921021
2024-09-11,364.410000,366.690000,358.460100,366.350000,1143885
2024-09-12,366.200000,368.888200,364.705000,367.790000,1487355
2024-09-13,366.930000,374.240000,366.930000,370.250000,1114053
2024-09-16,373.000000,374.630000,370.010000,371.960000,910077
2024-09-17,371.190000,373.480000,360.830000,363.950000,1399115
2024-09-18,363.150000,365.840000,359.660000,361.360000,938932
2024-09-19,365.640000,366.700000,362.620000,365.050000,993995
2024-09-20,364.820000,366.590000,362.600000,364.810000,1751588
2024-09-23,366.610000,368.739900,365.560000,366.530000,723072
2024-09-24,365.570000,365.570000,359.365000,361.000000,1273676
2024-09-25,363.260000,363.810000,358.750000,359.500000,854946
2024-09-26,362.000000,363.500000,358.310100,361.350000,1431782
2024-09-27,362.990000,364.130000,359.770000,360.270000,814377
2024-09-30,358.730000,361.550000,356.840000,361.260000,790673
2024-10-01,361.690000,362.000000,355.360000,357.270000,738856
2024-10-02,354.960000,356.940000,351.300000,355.110000,830118
2024-10-03,354.930000,355.290000,350.720000,351.610000,850802
2024-10-04,352.390000,354.430000,347.810000,351.220000,676931
2024-10-07,349.910000,349.910000,343.950000,345.140000,1092031
2024-10-08,347.840000,351.715000,346.560000,350.790000,923168
2024-10-09,350.670000,354.490000,349.050000,353.960000,861434
2024-10-10,355.000000,356.000000,351.790000,353.370000,740946
2024-10-11,355.000000,358.870000,352.930000,355.600000,787931
2024-10-14,356.550000,360.910000,354.880000,359.710000,698582
2024-10-15,359.020000,365.020000,357.090000,358.980000,975965
2024-10-16,358.390000,362.350000,356.140000,361.310000,795954
2024-10-17,362.610000,364.530000,359.040000,359.730000,820712
2024-10-18,361.150000,371.170000,360.215000,369.560000,1589555
2024-10-21,367.450000,370.970000,366.210000,367.250000,906575
2024-10-22,366.380000,367.320000,363.085000,366.020000,893466
2024-10-23,364.720000,366.970000,360.830000,363.240000,1313379
2024-10-24,364.500000,366.237600,359.890000,359.900000,708143
2024-10-25,358.490000,361.600000,351.285700,352.820000,1244464
2024-10-28,355.870000,356.520000,354.150000,356.010000,967742
2024-10-29,354.000000,362.360000,353.450000,359.010000,2173842
2024-10-30,365.685000,373.730000,357.900000,363.430000,2242813
2024-10-31,360.730000,364.010000,355.560000,356.280000,1383928
2024-11-01,358.160000,367.760000,357.780000,367.150000,1860484
2024-11-04,368.000000,369.690000,364.125000,366.900000,730068
2024-11-05,366.240000,370.289000,363.050000,369.860000,1346698
2024-11-06,374.000000,376.040000,364.615000,369.020000,1366185
2024-11-07,370.340000,370.340000,366.120000,369.830000,867013
2024-11-08,371.110000,377.830000,370.830000,375.960000,1009226
2024-11-11,377.470000,381.540000,376.140000,378.860000,966242
2024-11-12,381.420000,388.120000,380.560000,387.110000,1634143
2024-11-13,386.670000,390.590000,385.340000,388.340000,1685887
2024-11-14,389.540000,392.700000,382.400000,383.280000,1811783
2024-11-15,381.990000,392.010000,380.210000,390.080000,2874077
2024-11-18,392.970000,398.200000,389.030000,389.400000,2054699
2024-11-19,386.930000,392.305000,385.890000,388.680000,1524168
2024-11-20,389.850000,390.000000,382.250000,385.680000,1098082
2024-11-21,387.190000,390.365000,384.570000,390.140000,1136399
2024-11-22,390.410000,391.070000,381.480000,384.850000,1069692
2024-11-25,386.290000,388.427600,379.500000,384.910000,2102840
2024-11-26,388.000000,389.950000,384.906200,389.710000,1014597
2024-11-27,389.160000,391.400000,387.820000,388.140000,1018008
2024-11-29,387.030000,393.300000,386.460000,392.150000,711206
2024-12-02,393.250000,394.140000,388.670000,389.630000,1216547
2024-12-03,389.490000,391.900000,386.460000,390.970000,923883
2024-12-04,390.750000,392.210000,387.960000,389.760000,707714
2024-12-05,387.180000,388.714000,379.820000,382.450000,1319513
2024-12-06,383.090000,389.990000,383.090000,385.020000,1049412
2024-12-09,384.800000,385.147300,378.750000,381.110000,924899
2024-12-10,384.120000,385.560000,381.090000,382.680000,1281748
2024-12-11,383.020000,386.630000,375.260000,376.160000,1214105
2024-12-12,377.000000,378.090000,374.620000,375.060000,846127
2024-12-13,375.620000,376.485000,373.150000,374.600000,755824
2024-12-16,375.000000,376.240000,372.445000,372.700000,1155610
2024-12-17,371.580000,374.570000,368.050000,370.810000,1540369
2024-12-18,371.000000,371.920000,358.490000,359.170000,1618165
2024-12-19,359.310000,363.060000,356.300000,357.140000,1713558
2024-12-20,356.230000,364.805000,356.000000,364.600000,3146693
2024-12-23,364.790000,367.260000,362.440000,366.490000,1461406
2024-12-24,368.280000,370.830000,366.559700,370.780000,431006
2024-12-26,368.240000,370.650000,367.480000,369.420000,840826
2024-12-27,367.230000,369.670000,364.790000,367.110000,705491
2024-12-30,362.900000,364.105000,358.670000,362.260000,814082
2024-12-31,361.900000,364.580000,358.240000,360.050000,821834
2025-01-02,362.480000,362.480000,356.820100,358.720000,858269
2025-01-03,360.970000,361.996000,358.300000,361.520000,805544
2025-01-06,360.960000,362.440000,358.020000,361.360000,1269910
2025-01-07,362.170000,362.470000,351.850000,355.180000,1931593
2025-01-08,361.305000,364.950000,354.725700,364.100000,1534717
2025-01-10,361.620000,368.820000,361.160000,365.660000,1313873
2025-01-13,363.650000,367.850000,360.760000,360.980000,1400835
2025-01-14,362.830000,363.610000,359.320000,362.800000,1175858
2025-01-15,364.530000,370.050000,363.660000,368.610000,1529224
2025-01-16,372.070000,381.820000,372.070000,381.790000,1515283
2025-01-17,385.000000,385.820000,379.000000,383.420000,1727128
2025-01-21,389.635000,396.210000,387.900000,395.850000,2102209
2025-01-22,394.160000,394.999900,388.890000,390.490000,1996570
2025-01-23,391.120000,394.590000,389.450000,393.500000,1389832
2025-01-24,390.050000,394.680000,389.815000,394.310000,1331817
2025-01-27,396.000000,400.340000,394.540000,399.900000,1582562
2025-01-28,400.610000,406.190000,394.590000,395.150000,1993675
2025-01-29,395.000000,396.710000,386.770000,391.070000,3322052
2025-01-30,394.150000,400.555000,389.300000,390.430000,1683562
2025-01-31,391.150000,397.560000,390.000000,391.290000,1549213
2025-02-03,389.440000,394.130000,387.000000,391.140000,999024
2025-02-04,389.330000,393.070000,388.240000,392.390000,1121598
2025-02-05,394.890000,399.849900,393.415000,399.090000,1011830
2025-02-06,398.400000,400.250000,395.910000,396.070000,1124078
2025-02-07,396.040000,397.227500,390.610000,391.400000,1025808
2025-02-10,392.790000,393.960000,390.370000,392.600000,1334553
2025-02-11,390.720000,393.445000,389.000000,390.480000,881874
2025-02-12,386.790000,389.730000,382.040000,385.630000,1161419
2025-02-13,386.240000,388.800000,383.440000,388.370000,916676
2025-02-14,390.030000,391.485000,384.500000,385.180000,1267884
2025-02-18,383.000000,385.710000,379.360000,385.610000,1338410
2025-02-19,384.580000,388.630000,384.260000,388.520000,827136
2025-02-20,387.670000,387.998500,383.300000,386.410000,930275
2025-02-21,382.870000,387.520000,380.100000,382.780000,1268475
2025-02-24,381.970000,390.280000,380.510000,387.920000,1317444
2025-02-25,388.250000,391.370000,385.070000,390.300000,1665069
2025-02-26,391.550000,396.670000,389.335000,391.740000,867818
2025-02-27,390.400000,393.840000,388.509500,388.900000,997257
2025-02-28,391.050000,393.820000,379.610000,386.190000,2855622
2025-03-03,390.400000,397.320000,388.350000,394.880000,1237657
2025-03-04,395.070000,396.440000,388.770000,389.920000,1687281
2025-03-05,387.750000,398.000000,387.010000,395.690000,1105201
2025-03-06,392.040000,393.470000,379.998500,382.310000,1263833
2025-03-07,379.940000,381.000000,367.450000,379.300000,1961830
2025-03-10,375.450000,377.090000,367.290000,370.120000,2162585
2025-03-11,369.520000,369.520000,363.100000,365.290000,1638849
2025-03-12,368.350000,371.110000,361.335000,363.840000,1559213
2025-03-13,365.140000,367.280000,361.030000,363.660000,1965867
2025-03-14,364.580000,371.760000,362.610000,369.530000,1798176
2025-03-17,368.090000,376.690000,368.000000,373.490000,1236099
2025-03-18,374.000000,376.720000,372.770000,375.910000,1774944
2025-03-19,376.880000,380.890000,374.610000,378.050000,1554972
2025-03-20,377.500000,378.263700,373.318700,374.220000,1509074
2025-03-21,371.330000,374.790000,366.490000,371.110000,2372481
2025-03-24,373.530000,377.230000,372.668100,374.270000,1124286
2025-03-25,375.740000,379.040000,370.220000,372.870000,865039
2025-03-26,371.430000,372.610000,359.990000,367.770000,1657559
2025-03-27,367.610000,370.000000,365.490000,367.540000,1138814
2025-03-28,365.510000,368.510000,363.275000,364.500000,1274328
2025-03-31,361.530000,374.200000,361.025000,372.250000,1924305
2025-04-01,369.290000,374.040000,366.610000,373.300000,1180876
2025-04-02,369.570000,378.350000,366.690000,377.460000,1801895
2025-04-03,367.970000,374.560000,361.590000,368.150000,3306171
2025-04-04,361.075000,362.070000,344.810000,345.800000,3956780
2025-04-07,335.250000,357.590000,329.160800,345.340000,4198899
2025-04-08,355.465000,357.470000,332.320000,337.370000,2052994
2025-04-09,335.000000,364.400000,330.000000,362.970000,3128870
2025-04-10,358.330000,359.460000,337.450000,348.390000,2669001
2025-04-11,351.150000,353.104600,341.740000,350.280000,1767163
2025-04-14,354.750000,358.000000,349.140000,353.420000,1317863
2025-04-15,354.850000,355.390000,345.990000,346.800000,1670401
2025-04-16,348.240000,352.580000,343.580000,346.670000,1302879
2025-04-17,346.170000,351.040000,343.190000,346.500000,1349941
2025-04-21,344.710000,345.635000,335.120000,339.590000,1312542
2025-04-22,342.120000,349.450000,341.510000,348.120000,1506943
2025-04-23,355.105000,368.365000,355.100000,357.110000,1521371
2025-04-24,358.650000,361.330000,354.470000,361.050000,1349886
2025-04-25,360.600000,366.235000,359.380100,365.060000,1462556
2025-04-28,366.990000,368.950000,363.910000,366.490000,1223267
2025-04-29,366.980000,372.320000,365.810000,370.920000,1108290
2025-04-30,370.000000,375.160000,366.560000,373.920000,2251828
2025-05-01,372.420000,376.180000,368.535000,373.990000,1634482
2025-05-02,373.890000,379.330000,363.080000,378.220000,3709100
2025-05-05,377.850000,383.990000,373.055000,381.360000,1619454
2025-05-06,379.130000,381.570000,373.980000,377.520000,2082846
2025-05-07,377.470000,384.575000,376.300000,384.060000,1196101
2025-05-08,383.960000,388.320000,382.360000,382.460000,926986
2025-05-09,382.200000,384.550000,380.280000,380.920000,758785
2025-05-12,389.070000,392.415000,386.500000,388.080000,1359363
2025-05-13,388.670000,390.460000,385.780000,387.530000,862583
2025-05-14,386.960000,388.015000,384.760000,386.320000,1107795
2025-05-15,388.500000,392.630000,384.580100,392.200000,1124429
2025-05-16,393.100000,394.490000,389.602500,394.210000,1113977
2025-05-19,392.350000,394.920000,390.000000,394.690000,1072302
2025-05-20,392.340000,393.320000,387.990000,389.550000,1047449
2025-05-21,387.550000,388.620000,379.160000,379.750000,1459720
2025-05-22,378.140000,380.620000,375.860000,378.280000,1049006
2025-05-23,375.550000,379.530000,371.265000,376.620000,1579806
2025-05-27,380.720000,385.400000,380.000000,383.780000,1099109
2025-05-28,381.960000,385.350000,379.730000,380.390000,1158247
2025-05-29,381.280000,384.660000,378.480000,382.350000,840283
2025-05-30,381.800000,384.160000,378.470000,382.640000,1993145
2025-06-02,379.560000,381.070000,375.550000,380.860000,852663
2025-06-03,378.940000,382.130000,377.610000,381.010000,1100352
2025-06-04,382.280000,383.830000,380.590000,382.550000,838129
2025-06-05,384.600000,384.600000,381.660000,383.100000,904813
2025-06-06,385.420000,388.690000,382.800000,383.890000,709048
2025-06-09,383.510000,384.031000,377.595000,382.280000,943524
2025-06-10,383.050000,386.290000,381.835000,385.050000,952233
2025-06-11,385.070000,385.420000,379.795000,381.080000,792353
2025-06-12,381.290000,381.590000,378.020000,380.490000,877928
2025-06-13,377.220000,382.350000,376.790000,377.300000,876067
2025-06-16,379.130000,381.615000,375.960000,377.120000,965108
2025-06-17,376.440000,376.994400,370.850000,373.370000,1338140
2025-06-18,374.070000,376.640000,372.050000,373.260000,854682
2025-06-20,374.890000,377.900000,373.775000,375.560000,2014463
2025-06-23,375.130000,379.490000,372.480000,379.160000,1281763
2025-06-24,381.800000,388.120000,377.640000,386.460000,1746009
2025-06-25,385.270000,393.260000,385.270000,392.230000,1916019
2025-06-26,393.000000,396.250000,388.855000,390.400000,1473338
2025-06-27,390.400000,396.150000,390.050000,393.550000,2216569
2025-06-30,393.770000,395.870000,390.710000,395.630000,1151594
2025-07-01,394.780000,399.740000,392.590000,396.740000,1200604
2025-07-02,394.750000,396.823100,388.210000,391.810000,1134097
2025-07-03,393.630000,395.500000,390.310000,395.280000,536295
2025-07-07,394.220000,395.268000,390.168900,392.510000,1310299
2025-07-08,390.000000,393.725000,388.595000,389.500000,1195349
2025-07-09,391.110000,392.790000,387.140000,392.050000,871886
2025-07-10,392.940000,397.460000,390.910000,394.770000,1167761
2025-07-11,392.100000,392.985000,387.435000,389.460000,825143
2025-07-14,387.920000,392.945000,386.040000,391.460000,1266802
2025-07-15,392.770000,392.770000,387.630000,390.590000,1432081
2025-07-16,391.380000,391.420000,385.930000,390.870000,1067838
2025-07-17,389.100000,392.049900,385.190000,388.900000,1039862
2025-07-18,391.170000,393.000000,387.860000,389.400000,1716294
2025-07-21,388.060000,391.560000,386.670000,387.320000,791729
2025-07-22,389.620000,395.700000,389.520000,395.150000,1016458
2025-07-23,399.400000,404.870000,393.190000,400.930000,1464452
2025-07-24,401.100000,402.629900,396.300000,396.660000,1711809
2025-07-25,397.830000,403.790000,396.400000,403.530000,963692
2025-07-28,402.590000,404.140000,399.250000,400.690000,888447
2025-07-29,402.000000,403.920000,399.310000,400.570000,970495
2025-07-30,398.750000,403.216000,398.000000,400.410000,1077448
2025-07-31,398.270000,401.990000,392.070000,392.730000,2343828
2025-08-01,372.320000,383.090000,372.320000,377.790000,3012335
2025-08-04,378.860000,384.460000,378.230200,381.490000,1354556
2025-08-05,381.830000,382.830000,379.130000,380.860000,1049948
2025-08-06,381.130000,381.240000,374.320000,374.940000,1478027
2025-08-07,377.000000,381.339300,373.720000,376.370000,1192084
2025-08-08,377.000000,379.810000,376.060000,377.580000,972539
2025-08-11,377.250000,379.290000,375.270000,376.670000,1129418
2025-08-12,377.490000,379.170000,374.680000,376.610000,960166
2025-08-13,378.460000,379.330000,374.530000,378.950000,1506690
2025-08-14,378.340000,379.440000,374.520000,378.520000,1622559
2025-08-15,380.760000,383.140000,378.700000,381.910000,1070794
2025-08-18,382.060000,382.985000,380.570000,381.610000,1102241
2025-08-19,380.920000,390.300000,380.240000,389.940000,1776558
2025-08-20,391.680000,395.370000,390.110000,391.870000,1388346
2025-08-21,389.950000,390.910000,384.580000,384.830000,1117305
2025-08-22,385.750000,395.230000,384.325000,394.220000,896076
2025-08-25,393.670000,395.350000,389.350000,390.880000,972936
2025-08-26,391.200000,394.960000,389.705000,394.330000,1059805
2025-08-27,394.340000,395.105000,391.670000,393.150000,648822
2025-08-28,390.650000,392.502100,387.920000,389.670000,1028605
2025-08-29,389.770000,391.990000,388.350000,391.410000,672519
2025-09-02,388.920000,390.900000,386.010000,389.940000,1141050
2025-09-03,389.880000,391.395000,384.250000,388.560000,897976
2025-09-04,389.120000,396.860000,386.810000,394.340000,1040250
2025-09-05,394.000000,396.370000,389.635000,392.310000,1094063
2025-09-08,390.980000,393.530000,388.155000,393.110000,854521
2025-09-09,392.900000,395.900000,390.390000,392.760000,1024687
2025-09-10,392.950000,392.950000,381.511300,382.970000,931717
2025-09-11,383.220000,389.365000,382.950000,388.790000,861278
2025-09-12,386.040000,387.800000,382.710000,383.340000,985308
2025-09-15,383.780000,386.520000,376.660000,377.110000,843119
2025-09-16,375.490000,378.590000,375.000000,376.620000,1251198
2025-09-17,376.600000,381.190000,374.770000,376.880000,949478
2025-09-18,374.690000,378.150000,373.270000,377.840000,1531778
2025-09-19,379.080000,380.400000,376.310000,376.830000,1924258
2025-09-22,375.650000,381.617400,374.120000,378.220000,2095282
2025-09-23,376.670000,378.690000,372.080000,373.520000,1865307
2025-09-24,372.810000,374.175000,369.400000,371.220000,1684740
2025-09-25,367.900000,369.380000,362.000000,368.570000,1752463
2025-09-26,370.390000,372.300000,368.570000,369.020000,964930
2025-09-29,368.650000,369.890000,365.040000,369.880000,1404864
2025-09-30,369.180000,371.250000,365.900000,369.670000,1673786
2025-10-01,370.090000,371.170000,352.645000,364.150000,3205862
2025-10-02,361.660000,366.800000,359.175000,366.400000,1641720
2025-10-03,367.300000,373.220000,366.810000,370.500000,1078522
2025-10-06,371.010000,373.500000,365.000000,366.280000,1721792
2025-10-07,367.090000,370.000000,364.930000,369.240000,1393321
2025-10-08,370.130000,375.810000,369.340000,375.290000,1834985
2025-10-09,375.910000,376.910000,369.810000,370.200000,1746238
2025-10-10,370.300000,371.798400,364.600000,364.600000,1261422
2025-10-13,363.960000,370.600000,363.370000,364.920000,1134903
2025-10-14,364.300000,372.950000,364.265000,370.000000,1288234
2025-10-15,369.570000,373.040000,367.320000,369.750000,1488980
2025-10-16,370.240000,372.880000,366.470000,369.250000,1126203
2025-10-17,369.510000,374.780000,368.310000,374.420000,1129687
2025-10-20,375.700000,382.720000,370.940000,381.220000,1417302
2025-10-21,381.220000,383.120000,377.240000,379.760000,1062118
2025-10-22,385.610000,392.550000,383.530000,388.350000,1789437
2025-10-23,387.000000,388.605000,378.720000,383.060000,1352757
2025-10-24,384.800000,384.805000,379.205000,381.790000,1143200
2025-10-27,382.860000,383.905600,379.540000,383.720000,1180069
2025-10-28,382.400000,383.055000,375.700000,375.930000,1325291
2025-10-29,375.280000,375.310000,367.570000,369.590000,1451528
2025-10-30,368.930000,372.395000,368.000000,368.980000,1768103
2025-10-31,363.695000,369.430000,355.730000,356.240000,2750315
2025-11-03,356.600000,360.650000,353.860000,358.160000,1877814
2025-11-04,358.300000,363.720000,355.100000,362.610000,1801590
2025-11-05,362.500000,364.918000,353.480000,357.670000,2110215
2025-11-06,354.320000,356.090000,349.160000,353.810000,2732201
2025-11-07,354.630000,357.500000,352.500000,356.030000,1523228
2025-11-10,354.400000,355.300000,351.240000,355.020000,1868921
2025-11-11,356.060000,364.065000,354.070000,363.700000,2228043
2025-11-12,364.100000,370.610000,362.800000,367.340000,1678280
2025-11-13,364.800000,375.990000,364.800000,373.420000,2589209
2025-11-14,371.820000,373.410000,362.150000,362.220000,1913282
2025-11-17,362.100000,363.660000,357.500000,360.130000,2018720
2025-11-18,360.130000,365.250000,357.460000,359.520000,1760825
2025-11-19,359.520000,364.640000,358.360000,364.230000,1696720
2025-11-20,365.970000,369.560000,360.010000,360.480000,1381453
2025-11-21,363.060000,371.000000,361.190000,368.270000,1460186
2025-11-24,368.410000,372.000000,367.390000,370.220000,1927603
2025-11-25,372.700000,376.615000,371.000000,375.080000,1374858
2025-11-26,376.450000,376.450000,370.400000,372.290000,2021120
2025-11-28,372.640000,373.600000,371.170000,371.180000,641331
2025-12-01,369.420000,374.100000,369.000100,372.320000,1637576
2025-12-02,372.430000,373.000000,364.490000,366.680000,1561126
2025-12-03,366.960000,369.220000,365.495000,365.950000,939836
2025-12-04,366.500000,367.619900,362.380000,364.350000,1628431
2025-12-05,365.515000,368.240000,361.950000,364.020000,1415618
