d,o,h,l,c,v
2024-07-25,415.810000,422.860000,413.690000,415.700000,480876
2024-07-26,420.000000,425.900000,415.910000,421.560000,335622
2024-07-29,422.200000,424.010000,421.010000,423.040000,314661
2024-07-30,424.740000,426.225000,421.510000,423.980000,218479
2024-07-31,424.500000,429.830000,420.910000,421.860000,316298
2024-08-01,422.420000,424.500000,414.650000,418.180000,222225
2024-08-02,415.240000,416.280000,407.830000,410.540000,328712
2024-08-05,404.040000,405.330000,397.780100,399.730000,296642
2024-08-06,400.220000,411.930000,399.060000,406.540000,340225
2024-08-07,408.310000,414.315000,403.780000,404.620000,183665
2024-08-08,404.750000,410.610000,404.450000,410.180000,153333
2024-08-09,409.860000,410.100000,405.380000,409.040000,137245
2024-08-12,409.270000,410.540000,404.750000,407.590000,170616
2024-08-13,408.360000,410.980000,406.355000,410.860000,159614
2024-08-14,410.770000,410.960000,406.420000,408.530000,131954
2024-08-15,411.630000,414.000000,409.060000,413.360000,132713
2024-08-16,413.360000,416.970000,412.800000,416.580000,144169
2024-08-19,416.430000,419.440000,415.970000,419.420000,124351
2024-08-20,419.450000,419.450000,415.020000,415.450000,142205
2024-08-21,417.270000,420.825000,415.780000,418.730000,230962
2024-08-22,418.970000,420.940000,417.230000,417.750000,122533
2024-08-23,420.000000,422.935000,418.560000,422.520000,104227
2024-08-26,424.000000,427.000000,421.780000,422.170000,80094
2024-08-27,422.170000,426.365000,421.670000,425.530000,97186
2024-08-28,426.290000,429.390000,424.300000,425.460000,138316
2024-08-29,427.440000,432.060000,425.295000,426.610000,170624
2024-08-30,428.120000,433.795000,424.725000,432.800000,296960
2024-09-03,431.780000,432.000000,419.250000,420.000000,209186
2024-09-04,420.700000,430.590000,420.700000,429.600000,329659
2024-09-05,430.200000,432.550000,427.470000,430.470000,255491
2024-09-06,429.290000,431.520000,421.270000,421.770000,235148
2024-09-09,424.610000,431.160000,422.180000,424.260000,262425
2024-09-10,425.300000,429.620000,422.910000,427.710000,175601
2024-09-11,425.470000,426.210000,416.000000,425.670000,144187
2024-09-12,424.650000,427.590000,418.910000,427.590000,181997
2024-09-13,428.380000,429.690000,426.730000,427.750000,141920
2024-09-16,429.660000,432.305000,427.763800,429.140000,135020
2024-09-17,429.140000,432.200000,426.270000,428.890000,170863
2024-09-18,429.500000,432.780000,425.960000,426.750000,161260
2024-09-19,432.000000,437.450000,427.240000,436.610000,251273
2024-09-20,434.450000,437.340000,428.760000,432.130000,625598
2024-09-23,432.480000,433.300000,430.000000,432.740000,169597
