d,o,h,l,c,v
2025-08-01,53.810000,55.080000,52.990000,54.890000,1771181
2025-08-04,54.420000,55.280000,53.705000,54.880000,1847280
2025-08-05,55.000000,55.230000,53.960000,54.640000,2616768
2025-08-06,53.160000,54.560000,47.655000,49.870000,6682413
2025-08-07,50.510000,50.850000,49.150000,50.150000,3135361
2025-08-08,50.380000,50.580000,49.560000,50.420000,1898101
2025-08-11,50.210000,51.360000,49.680000,50.150000,1965120
2025-08-12,50.150000,52.900000,50.040000,52.830000,2060013
2025-08-13,53.180000,54.830000,52.920100,54.710000,1667072
2025-08-14,53.860000,54.175000,53.220000,53.740000,1597109
2025-08-15,54.330000,54.380000,53.385000,53.600000,1305891
2025-08-18,53.440000,54.140000,53.070000,53.290000,1325582
2025-08-19,53.330000,54.920000,53.330000,54.870000,1617580
2025-08-20,54.680000,54.950000,53.990000,54.330000,1661448
2025-08-21,54.660000,54.935700,53.890000,54.000000,1872932
2025-08-22,54.890000,57.430000,54.305000,57.090000,1442496
2025-08-25,56.860000,56.940000,55.770000,56.710000,2317266
2025-08-26,56.640000,57.600000,56.105000,56.790000,1870483
2025-08-27,56.880000,57.371100,56.020100,56.220000,1813940
2025-08-28,56.230000,56.600000,52.930000,54.330000,4028766
2025-08-29,54.150000,55.250000,54.085000,54.630000,1720783
2025-09-02,54.170000,54.380000,52.310000,53.420000,1738974
2025-09-03,53.600000,54.040000,52.810000,53.340000,2340583
2025-09-04,53.190000,53.190000,51.615000,52.920000,2402255
2025-09-05,53.040000,54.480000,52.770000,54.410000,1745318
2025-09-08,54.050000,54.330000,53.285000,54.110000,2427814
2025-09-09,54.190000,54.540000,53.490000,54.200000,2229709
2025-09-10,53.900000,54.620000,50.870000,50.960000,3130403
2025-09-11,51.020000,53.400000,50.975000,53.210000,1846586
2025-09-12,52.960000,52.960000,50.760000,51.260000,1982067
2025-09-15,51.520000,51.870000,51.020000,51.620000,2006229
2025-09-16,51.520000,52.200000,50.960000,51.780000,3987733
2025-09-17,51.840000,53.750000,51.100000,51.520000,1820009
2025-09-18,52.030000,53.260000,51.800000,52.990000,1647167
2025-09-19,53.240000,53.430000,51.960000,53.150000,4477845
2025-09-22,53.010000,54.000000,52.500000,53.040000,2437815
2025-09-23,53.060000,54.570000,52.740000,52.920000,2392048
2025-09-24,52.920000,53.075000,50.880000,51.220000,2320548
2025-09-25,50.780000,51.380000,50.130000,50.480000,2461388
2025-09-26,50.560000,52.080000,50.520000,51.850000,1695672
2025-09-29,52.110000,52.460000,51.320000,52.230000,2974639
2025-09-30,52.230000,55.730000,51.745000,55.630000,3640590
2025-10-01,55.570000,60.170000,54.400000,59.920000,3836428
2025-10-02,60.130000,62.820000,59.560000,62.090000,7247117
2025-10-03,62.420000,63.870000,61.870000,62.950000,3492984
2025-10-06,62.950000,63.100000,61.500000,61.920000,2820148
2025-10-07,62.095000,63.280000,58.985000,59.190000,2549032
2025-10-08,59.170000,61.055000,58.855000,60.560000,2095185
