d,o,h,l,c,v
2025-08-01,104.375000,105.800000,102.415000,104.160000,4812509
2025-08-04,105.045000,105.850000,103.000000,105.720000,3635865
2025-08-05,106.160000,108.160000,104.550000,106.930000,7233609
2025-08-06,106.300000,107.100000,103.330000,104.880000,3358056
2025-08-07,107.035000,108.160000,105.250000,106.460000,2966300
2025-08-08,106.250000,108.390000,105.000000,107.470000,3185652
2025-08-11,107.570000,109.020000,104.580000,104.680000,3042766
2025-08-12,106.000000,111.910000,104.890000,111.630000,4248314
2025-08-13,112.380000,114.315000,110.650000,114.010000,5224068
2025-08-14,112.500000,113.741800,110.585000,111.820000,2430956
2025-08-15,111.650000,111.650000,109.370000,109.420000,3238494
2025-08-18,110.000000,111.098900,109.520000,110.410000,1980350
2025-08-19,110.370000,112.675000,109.500000,110.620000,3170991
2025-08-20,110.040000,111.190000,106.300000,109.520000,3571417
2025-08-21,108.330000,109.990000,107.820000,109.300000,2138381
2025-08-22,109.650000,117.170000,109.620000,115.300000,4134266
2025-08-25,114.985000,117.670000,114.500000,117.070000,3570468
2025-08-26,116.700000,119.820000,116.700000,118.605000,3563866
2025-08-27,118.710000,118.710000,116.960000,116.990000,3291300
2025-08-28,117.130000,118.730000,117.000000,117.890000,2760693
2025-08-29,119.430000,120.190000,117.430000,118.240000,4107764
2025-09-02,116.190000,121.040000,114.500100,120.610000,3627229
2025-09-03,120.770000,122.120000,118.385000,119.630000,3212759
2025-09-04,117.850000,120.020000,116.000000,119.390000,3137147
2025-09-05,120.060000,123.440000,119.370000,120.200000,3531827
2025-09-08,120.205000,121.260000,117.590000,118.900000,3738194
2025-09-09,119.000000,120.000000,114.650000,115.070000,4724469
2025-09-10,114.880000,118.120000,113.110000,117.820000,4412422
2025-09-11,117.820000,118.780000,114.430000,115.560000,4024080
2025-09-12,115.000000,115.180000,109.560000,112.240000,5904241
2025-09-15,112.250000,114.290000,110.910000,114.070000,3241587
2025-09-16,114.300000,115.610000,113.390000,113.930000,2871319
2025-09-17,113.750000,116.339700,112.810000,114.320000,2569331
2025-09-18,117.780000,119.530000,115.090000,118.820000,4876830
2025-09-19,119.500000,120.600000,117.540000,119.850000,9576511
2025-09-22,126.455000,135.480000,126.019900,135.180000,7137440
2025-09-23,136.000000,138.240000,133.180000,134.680000,4341182
2025-09-24,134.515000,134.670100,131.030000,133.210000,3688684
2025-09-25,131.360000,133.150000,128.585000,132.870000,2655264
2025-09-26,132.000000,135.940000,131.395000,135.310000,3276343
2025-09-29,137.110000,137.280000,133.552400,134.330000,2854181
2025-09-30,133.995000,138.130000,133.000000,137.640000,3013979
2025-10-01,135.920000,141.540000,135.790000,141.120000,3177077
2025-10-02,144.900000,145.350000,141.720000,144.525000,3307373
2025-10-03,146.470000,149.460000,144.820000,145.640000,2798266
2025-10-06,147.900000,150.710000,147.300000,147.870000,3706244
2025-10-07,149.070000,150.290000,139.800000,140.140000,3689417
2025-10-08,140.550000,144.878500,140.200000,144.600000,2601421
2025-10-09,144.600000,145.470000,141.800000,145.190000,2039693
2025-10-10,145.800000,148.000000,131.750000,132.080000,5757148
2025-10-13,138.700000,139.910000,136.600000,139.130000,3345101
2025-10-14,135.620000,138.900000,135.000000,136.970000,3043160
2025-10-15,140.190000,141.410000,137.690000,141.030000,2373729
2025-10-16,142.000000,143.060000,138.170000,139.300000,1783498
2025-10-17,137.060000,139.715000,136.780000,138.160000,1924291
2025-10-20,140.840000,141.460000,138.720000,139.190000,2346055
2025-10-21,138.900000,144.325000,138.800000,143.330000,2180177
2025-10-22,141.530000,142.780000,135.830000,138.840000,3918033
2025-10-23,138.570000,146.117100,138.000000,145.040000,2813802
2025-10-24,147.560000,149.000000,144.070000,144.280000,2079994
2025-10-27,148.100000,150.080000,146.700000,147.500000,3940935
2025-10-28,147.050000,147.620000,144.110000,144.380000,5016831
2025-10-29,170.010000,177.240000,162.160000,173.940000,12203768
2025-10-30,172.750000,179.210000,171.700000,176.880000,5268410
2025-10-31,180.000000,185.910000,178.000000,181.760000,4540022
2025-11-03,182.790000,184.573300,180.190000,183.070000,3309866
2025-11-04,176.260000,182.318800,175.100000,175.650000,3216474
2025-11-05,177.050000,188.940000,176.500000,187.590000,4135349
2025-11-06,187.750000,191.563100,182.850000,185.020000,4504181
2025-11-07,180.540000,182.499900,174.850000,182.280000,3627381
