d,o,h,l,c,v
2025-08-01,461.030000,464.100000,451.450000,463.040000,2756984
2025-08-04,460.100000,467.765000,456.540000,466.570000,2092864
2025-08-05,466.980000,469.870000,464.840000,466.420000,1992305
2025-08-06,465.230000,466.500000,446.280000,448.940000,2539468
2025-08-07,454.860000,457.090000,451.170000,454.740000,1490175
2025-08-08,453.490000,461.720000,451.435000,460.720000,1689920
2025-08-11,461.790000,467.695000,459.330000,462.390000,1706673
2025-08-12,460.910000,478.190000,460.910000,477.410000,2104911
2025-08-13,480.440000,486.980000,478.715000,484.790000,2054842
2025-08-14,480.740000,485.900000,479.240000,485.040000,1955358
2025-08-15,486.730000,491.545000,486.000000,489.010000,2462473
2025-08-18,490.130000,493.240000,487.140000,487.540000,2211081
2025-08-19,490.920000,500.930000,489.890000,498.290000,2578596
2025-08-20,498.770000,500.370000,492.755000,494.810000,2351548
2025-08-21,492.440000,494.780000,482.810000,483.760000,1360656
2025-08-22,487.530000,502.390000,486.885000,499.990000,1778473
2025-08-25,499.250000,499.580000,489.180000,490.750000,1044386
2025-08-26,490.090000,491.520000,486.730000,488.480000,1341639
2025-08-27,486.630000,490.980000,482.980000,488.120000,1294965
2025-08-28,487.650000,491.140000,483.390000,489.740000,1407703
2025-08-29,489.940000,494.280000,485.920000,492.720000,1228199
2025-09-02,489.310000,492.700000,479.030000,487.530000,1303859
2025-09-03,487.030000,489.540000,481.530000,484.550000,1219059
2025-09-04,482.080000,490.260000,471.610000,489.490000,1404250
2025-09-05,490.000000,502.000000,489.120000,492.600000,1442586
2025-09-08,487.770000,490.065000,480.950000,487.650000,2223666
2025-09-09,486.480000,489.990000,481.520000,482.410000,1505981
2025-09-10,481.120000,485.819900,475.635000,476.540000,1442740
2025-09-11,480.575000,492.000000,480.357500,491.410000,1509910
2025-09-12,488.610000,491.260000,479.460000,479.460000,1543243
2025-09-15,478.780000,482.940000,470.740000,474.460000,1663510
2025-09-16,470.270000,484.590000,470.050000,480.740000,1799910
2025-09-17,482.960000,486.570000,469.140000,472.640000,1947751
2025-09-18,477.150000,482.255000,473.030000,481.100000,1576449
2025-09-19,483.290000,487.990000,478.020100,479.580000,4244050
2025-09-22,475.480000,481.735000,470.740000,474.990000,2352303
2025-09-23,471.120000,475.570000,467.280000,469.750000,3244956
2025-09-24,467.900000,471.330000,462.930000,468.000000,2409608
2025-09-25,467.010000,468.760000,457.405000,459.220000,3229323
2025-09-26,461.060000,465.740000,460.310000,464.240000,1886379
2025-09-29,466.840000,467.350000,456.670000,462.040000,3018351
2025-09-30,464.120000,486.250000,460.000000,485.020000,4363938
2025-10-01,486.995000,534.900000,486.940000,530.730000,6092757
2025-10-02,525.710000,539.900000,523.000100,524.960000,3262000
2025-10-03,525.360000,545.440000,525.360000,543.320000,3048558
2025-10-06,540.000000,545.860000,536.459800,543.950000,2560057
2025-10-07,542.680000,549.440000,538.340000,539.170000,1870792
2025-10-08,538.130000,549.259300,535.630100,536.190000,2153227
2025-10-09,533.740000,537.565000,528.835000,534.680000,1830979
2025-10-10,534.830000,537.930000,523.650000,524.800000,1415942
2025-10-13,527.530000,530.825000,523.890000,524.580000,1686657
2025-10-14,521.740000,529.850000,519.450000,525.830000,1600989
2025-10-15,524.910000,532.409900,522.420000,527.870000,1430396
2025-10-16,544.360000,544.600000,534.163000,536.780000,2115988
2025-10-17,534.160000,540.870000,532.000000,538.920000,2010235
2025-10-20,541.000000,550.460000,540.000000,543.840000,1665210
2025-10-21,559.075000,568.390000,553.740000,557.990000,3932375
2025-10-22,555.500000,571.290000,550.880000,567.200000,3461218
2025-10-23,567.900000,578.240000,562.379500,571.910000,1979317
2025-10-24,574.150000,575.820000,569.790000,572.500000,1655698
2025-10-27,572.090000,572.665000,561.040000,563.780000,1563612
2025-10-28,564.130000,565.650000,555.570000,557.630000,992737
2025-10-29,558.310000,571.565000,555.060000,558.310000,1953740
2025-10-30,551.600000,565.630000,551.600000,556.220000,1315132
2025-10-31,551.920000,569.920000,551.870000,567.390000,1872224
2025-11-03,563.660000,565.700000,554.200000,564.880000,1835007
2025-11-04,558.410000,569.300000,557.000500,565.240000,1636085
2025-11-05,560.350000,570.160000,554.200000,567.640000,1682938
2025-11-06,562.870000,570.860000,559.345000,565.980000,1277875
2025-11-07,566.870000,577.350000,563.300100,572.410000,2264009
2025-11-10,572.370000,583.660000,568.357400,576.350000,1380264
2025-11-11,575.950000,587.590000,574.820000,586.490000,1377699
2025-11-12,584.290000,591.170000,582.000000,588.020000,1504274
2025-11-13,586.100000,598.515000,578.250000,580.130000,2745429
2025-11-14,578.185000,584.330000,573.000000,578.710000,1317958
2025-11-17,575.650000,579.790000,566.590000,567.160000,1624479
2025-11-18,562.850000,578.220000,556.460000,576.030000,1915986
2025-11-19,574.620000,574.620000,567.210000,573.790000,1247990
2025-11-20,573.350000,580.450000,568.460000,572.740000,1167866
2025-11-21,573.000000,589.850000,569.550000,587.480000,1933565
2025-11-24,586.450000,587.920000,579.100000,586.070000,1803097
2025-11-25,582.200000,602.320000,581.800000,597.780000,1803561
2025-11-26,593.430000,596.549900,587.185000,593.250000,2060021
2025-11-28,589.190000,594.000000,587.950000,590.830000,745957
2025-12-01,594.850000,597.680000,582.750000,585.150000,1754359
2025-12-02,581.940000,584.450000,577.960000,580.370000,1918180
2025-12-03,581.290000,588.110000,580.010000,580.450000,1186616
2025-12-04,579.030000,580.450000,560.160000,575.240000,1961858
2025-12-05,578.000000,579.090000,569.620000,572.770000,1873706
2025-12-08,570.800000,574.535000,566.010000,568.210000,1412168
2025-12-09,574.000000,575.245000,561.910000,563.070000,1416016
2025-12-10,563.000000,574.460000,563.000000,573.810000,1275600
2025-12-11,576.620000,579.080000,570.844000,578.900000,1226447
2025-12-12,577.850000,579.060000,570.190000,572.280000,1576512
2025-12-15,574.230000,576.340000,565.670000,575.910000,1702290
2025-12-16,570.840000,574.855000,561.000000,570.160000,2015283
2025-12-17,567.540000,572.990000,561.490000,562.560000,2301754
2025-12-18,562.450000,569.410000,554.530000,562.390000,2287276
2025-12-19,561.680000,569.870000,558.930500,567.830000,3862646
2025-12-22,568.830000,576.150000,565.750000,575.700000,1108444
2025-12-23,575.390000,580.560000,573.695000,579.940000,732033
2025-12-24,578.620000,579.810000,576.330000,579.120000,401025
2025-12-26,578.800000,581.170000,576.855000,580.740000,466137
2025-12-29,580.120000,585.300000,580.120000,585.070000,1042775
2025-12-30,582.250000,584.450000,579.840000,583.450000,665011
2025-12-31,583.710000,585.610000,579.000000,579.450000,739319
2026-01-02,579.500000,593.710000,577.000000,592.510000,2052392
2026-01-05,593.770000,611.450000,592.510000,611.200000,2488168
2026-01-06,606.060000,628.080000,606.060000,620.720000,2554872
2026-01-07,618.700000,626.770000,614.715000,617.150000,2404599
2026-01-08,612.860000,623.360000,603.990000,606.500000,3147727
2026-01-09,608.610000,622.400000,604.550000,618.860000,2286520
2026-01-12,620.980000,624.790000,606.610000,615.450000,3184763
2026-01-13,613.320000,620.220000,594.300000,607.080000,2847779
