d,o,h,l,c,v
2025-08-01,163.670000,165.460000,160.580000,162.920000,1760898
2025-08-04,163.520000,166.110000,163.520000,164.820000,1240615
2025-08-05,165.250000,165.250000,160.550000,163.630000,2049369
2025-08-06,165.400000,166.000000,162.860000,163.050000,1696796
2025-08-07,166.340000,169.490000,163.540000,166.890000,2036611
2025-08-08,168.380000,170.620000,164.370000,165.090000,2023121
2025-08-11,165.110000,168.605000,164.480000,166.110000,1879577
2025-08-12,165.610000,168.640000,164.530000,168.040000,1597732
2025-08-13,167.880000,168.600000,163.470000,166.740000,1787749
2025-08-14,166.980000,167.310000,163.170000,165.510000,1439103
2025-08-15,166.030000,166.580000,163.120000,163.190000,1525059
2025-08-18,162.210000,162.570000,160.510000,161.050000,1079958
2025-08-19,160.280000,162.570000,159.090000,160.770000,1606222
2025-08-20,160.750000,163.310000,159.360000,162.870000,1722291
2025-08-21,162.550000,163.800000,161.765000,162.100000,1578659
2025-08-22,162.610000,164.960000,161.760000,163.260000,1000396
2025-08-25,162.410000,164.000000,160.580000,161.180000,921453
2025-08-26,161.470000,163.130000,160.950000,163.080000,1918939
2025-08-27,161.810000,166.480000,160.870000,165.170000,1276842
2025-08-28,165.840000,167.170000,164.240000,166.960000,1018490
2025-08-29,167.020000,168.790000,166.835000,167.760000,986228
2025-09-02,166.760000,167.670000,165.110700,166.720000,1221848
2025-09-03,166.010000,166.740000,162.776600,163.550000,1111582
2025-09-04,163.970000,166.755000,163.020000,166.540000,1139775
2025-09-05,165.600000,165.840000,157.800000,162.350000,1636791
2025-09-08,163.520000,164.440000,159.095000,160.520000,1783670
2025-09-09,161.440000,162.960000,160.695000,161.280000,1223981
2025-09-10,161.370000,165.320000,160.860000,163.410000,1230939
2025-09-11,162.500000,165.810000,161.820000,165.240000,953945
2025-09-12,165.870000,168.065000,164.990000,166.380000,1008956
2025-09-15,166.950000,168.140000,163.065000,163.330000,1075139
2025-09-16,164.290000,164.670000,162.295000,162.940000,1463017
2025-09-17,162.730000,168.210000,162.730000,166.520000,1856044
2025-09-18,168.290000,171.210000,167.180100,170.120000,2164672
2025-09-19,170.150000,170.485000,163.720000,164.430000,3499318
2025-09-22,162.960000,167.910000,161.540000,165.220000,1586671
2025-09-23,165.580000,172.610000,165.580000,170.140000,1721871
2025-09-24,170.280000,174.130000,170.192500,172.190000,1164107
2025-09-25,171.420000,172.460000,169.780000,171.740000,1011956
2025-09-26,172.550000,175.780000,172.550000,174.190000,1023342
2025-09-29,173.160000,173.235000,166.740000,169.090000,1194384
2025-09-30,167.390000,172.210000,165.915000,167.540000,1670204
2025-10-01,165.780000,171.419900,165.290000,168.070000,1711848
2025-10-02,167.380000,170.400000,162.380000,162.650000,1628220
2025-10-03,163.250000,164.470000,161.260000,162.300000,1221017
2025-10-06,163.600000,163.970000,160.770000,162.600000,1233477
2025-10-07,163.470000,166.650000,162.730000,166.440000,1821097
2025-10-08,166.190000,169.300000,162.265000,168.490000,2009863
2025-10-09,168.350000,169.530000,160.020000,161.300000,1370984
2025-10-10,159.500000,161.002100,152.330000,152.410000,1870207
2025-10-13,153.940000,154.960000,151.610000,151.770000,1129025
2025-10-14,148.970000,151.630000,147.310000,150.380000,1697731
2025-10-15,151.670000,153.745000,149.295000,151.060000,1255033
2025-10-16,151.870000,152.760000,145.860000,146.300000,1797149
2025-10-17,145.950000,148.690000,144.140000,148.670000,1787167
2025-10-20,150.100000,151.550000,149.010000,150.940000,1057711
2025-10-21,151.740000,152.050000,149.211000,151.410000,1100552
2025-10-22,152.970000,155.720000,151.770000,154.460000,1582263
2025-10-23,157.620000,157.960000,154.420000,156.800000,1435742
2025-10-24,157.500000,158.415000,152.750000,153.770000,1210239
2025-10-27,154.890000,155.160200,153.090000,153.980000,1218538
2025-10-28,152.950000,153.565000,150.300000,152.540000,978823
2025-10-29,152.370000,153.040000,150.010000,151.380000,1170626
2025-10-30,150.970000,154.070000,150.000000,151.520000,1269253
2025-10-31,151.500000,155.280000,151.235000,154.040000,1988888
2025-11-03,154.480000,156.190000,151.780100,156.090000,2327411
2025-11-04,153.190000,155.865000,152.220000,154.570000,2508710
2025-11-05,156.260000,166.250000,156.260000,162.690000,2817870
2025-11-06,164.070000,172.750000,163.780000,169.880000,2563929
2025-11-07,169.190000,173.260000,167.220000,172.060000,2151539
2025-11-10,173.450000,174.280000,168.496300,169.480000,1593148
2025-11-11,170.910000,173.900000,170.035000,173.230000,1273821
2025-11-12,172.210000,174.620000,170.160000,170.580000,1381617
2025-11-13,171.620000,171.910000,168.610000,169.710000,1345829
2025-11-14,170.110000,174.230000,168.840000,173.100000,1801550
2025-11-17,172.290000,172.790000,167.750000,168.320000,1502216
2025-11-18,169.050000,171.530000,168.300000,169.580000,1298888
2025-11-19,167.310000,170.880000,166.177400,170.160000,967952
2025-11-20,171.800000,174.860000,168.470000,170.200000,2246776
2025-11-21,169.930000,171.850000,167.400000,170.540000,1546501
2025-11-24,169.730000,170.350000,167.365200,169.860000,2087306
2025-11-25,168.790000,171.100000,167.120000,171.060000,1349118
2025-11-26,171.890000,174.530000,171.530000,173.130000,674916
2025-11-28,173.500000,176.535000,173.490000,175.310000,558363
2025-12-01,175.310000,179.640000,174.260000,176.680000,1425241
2025-12-02,176.340000,176.340000,171.690000,171.800000,1481802
2025-12-03,173.680000,177.330000,173.165000,175.720000,1570813
2025-12-04,175.780000,180.370000,174.970200,180.020000,1331845
2025-12-05,180.310000,182.610000,180.250000,180.740000,1494433
2025-12-08,179.410000,180.680000,176.530000,179.100000,1840496
2025-12-09,179.260000,185.830000,178.775000,183.690000,2574297
2025-12-10,184.180000,184.940000,180.530000,183.480000,1803413
2025-12-11,181.700000,186.180000,181.700000,185.730000,1814123
2025-12-12,186.200000,187.530000,181.130000,183.190000,1369740
2025-12-15,183.590000,183.590000,179.470000,182.310000,1628240
2025-12-16,181.830000,181.925000,176.180000,176.410000,1936446
2025-12-17,177.530000,182.440000,177.265000,182.370000,2037160
