d,o,h,l,c,v
2025-08-01,82.490000,82.740000,80.230000,82.640000,2156382
2025-08-04,83.260000,84.370000,82.485000,84.250000,1876391
2025-08-05,84.250000,84.290000,82.110000,82.700000,2127689
2025-08-06,86.165000,87.500000,81.420000,84.130000,3352384
2025-08-07,85.040000,85.420000,81.845000,82.520000,2236698
2025-08-08,83.190000,84.650800,82.290000,83.770000,2390756
2025-08-11,83.770000,84.640000,82.370000,82.590000,1728570
2025-08-12,82.930000,83.650000,82.060000,83.610000,1554669
2025-08-13,83.870000,84.545000,83.440000,84.470000,1569705
2025-08-14,84.120000,84.120000,83.235000,83.670000,1283877
2025-08-15,83.740000,83.740000,81.890000,82.240000,2024644
2025-08-18,81.710000,82.850000,81.221000,82.800000,1445201
2025-08-19,82.880000,83.660000,80.920000,81.120000,2139508
2025-08-20,81.120000,81.120000,78.785000,80.200000,1449333
2025-08-21,79.840000,80.480000,79.455000,80.270000,1032895
2025-08-22,80.910000,83.030000,80.550000,82.580000,880384
2025-08-25,82.440000,82.940000,81.380000,81.430000,949087
2025-08-26,81.380000,81.630000,80.570000,81.440000,3727628
2025-08-27,81.550000,82.310000,81.450000,82.180000,1245055
2025-08-28,82.410000,82.810000,82.160000,82.210000,957261
2025-08-29,82.160000,82.190000,80.630000,80.820000,1210115
2025-09-02,79.640000,80.250000,78.220000,78.570000,1938160
2025-09-03,78.180000,78.640000,77.880000,78.600000,1513869
2025-09-04,78.950000,79.735000,78.370000,79.710000,1217064
2025-09-05,80.020000,80.960000,79.510000,80.740000,1332332
2025-09-08,81.050000,81.360000,80.300000,81.290000,1131689
2025-09-09,81.310000,81.490000,79.780000,80.060000,1086686
2025-09-10,80.060000,81.140000,79.700000,80.160000,1428086
2025-09-11,80.760000,83.680000,80.440000,82.850000,1773942
2025-09-12,82.690000,82.690000,80.460000,80.880000,1027635
2025-09-15,80.880000,82.035000,80.560000,81.010000,981541
2025-09-16,80.900000,81.257600,80.460000,80.890000,1191067
2025-09-17,80.990000,81.290000,78.771600,79.640000,1146085
2025-09-18,80.110000,81.844400,80.030000,81.660000,1363549
2025-09-19,82.470000,83.180000,81.510000,82.780000,2726713
2025-09-22,82.610000,82.615000,80.780000,82.150000,1167924
2025-09-23,82.280000,82.720200,81.210000,82.040000,1187549
2025-09-24,82.080000,82.080000,79.710000,79.880000,1462778
2025-09-25,79.070000,80.090000,78.280000,79.980000,1287557
2025-09-26,80.300000,81.340000,79.810000,81.240000,1043864
2025-09-29,82.000000,82.480000,81.550000,81.950000,2092999
2025-09-30,81.800000,82.280000,80.720000,81.650000,1224902
2025-10-01,81.060000,81.090000,78.810000,79.410000,2293822
2025-10-02,79.640000,80.360000,79.270000,80.210000,1488143
2025-10-03,80.650000,81.329900,80.325000,80.720000,1158780
2025-10-06,80.990000,81.540000,80.330000,80.810000,890739
2025-10-07,81.380000,81.380000,79.045000,79.300000,1126668
2025-10-08,79.730000,81.050000,79.425000,80.470000,1003144
2025-10-09,80.400000,80.550000,78.670000,79.190000,931656
2025-10-10,79.370000,79.540000,75.470000,75.630000,955948
2025-10-13,76.650000,77.400000,76.280000,77.060000,759285
2025-10-14,75.650000,78.645000,75.400000,78.040000,1073764
2025-10-15,79.240000,79.660000,77.640000,78.720000,875988
2025-10-16,78.960000,79.105000,77.425000,77.870000,978378
2025-10-17,77.900000,78.250000,76.800000,77.400000,818039
2025-10-20,78.140000,79.030000,77.550000,78.580000,1398725
2025-10-21,78.580000,80.010000,78.280000,79.650000,811032
2025-10-22,79.440000,80.315000,78.585000,79.100000,1614230
2025-10-23,79.220000,81.150000,78.500000,80.700000,1717350
2025-10-24,81.980000,82.190000,81.110000,81.420000,1003271
2025-10-27,82.220000,82.465000,80.500000,81.120000,1087257
2025-10-28,81.120000,81.620000,80.345000,80.500000,1496039
2025-10-29,80.250000,80.940000,78.820000,79.390000,1523342
2025-10-30,79.290000,80.445000,78.640000,78.870000,1180168
2025-10-31,78.910000,80.510000,78.820000,79.750000,1375996
2025-11-03,79.800000,79.940000,78.620000,79.570000,1547160
2025-11-04,78.880000,79.270000,77.900000,78.600000,1831031
2025-11-05,76.330000,81.530000,75.000100,80.570000,2161753
2025-11-06,81.000000,81.210000,78.105300,78.820000,1573017
2025-11-07,78.570000,79.390000,77.830000,78.900000,1096692
2025-11-10,79.540000,80.330000,79.090000,79.700000,1302791
2025-11-11,79.500000,80.190000,79.170000,79.580000,840027
2025-11-12,79.980000,82.600000,79.740000,82.190000,1717027
2025-11-13,81.500000,82.550000,76.830000,77.020000,1488079
2025-11-14,76.550000,78.085000,75.580000,77.560000,1189970
2025-11-17,76.830000,77.370000,75.280000,75.550000,1263528
2025-11-18,75.230000,76.075000,74.770000,75.420000,1232248
2025-11-19,75.350000,76.520000,75.255000,75.760000,898683
2025-11-20,77.630000,78.000000,74.660000,74.820000,993955
2025-11-21,74.940000,77.379900,74.500000,77.030000,1255079
2025-11-24,77.190000,79.435000,77.120000,79.055000,2446148
2025-11-25,79.500000,81.660000,79.390000,80.850000,1168086
2025-11-26,80.870000,82.070000,80.620000,81.270000,1024147
2025-11-28,81.800000,81.990000,81.170000,81.420000,445973
2025-12-01,80.520000,82.279900,79.970000,81.670000,1150147
2025-12-02,81.970000,82.720000,81.270000,82.230000,1105525
2025-12-03,82.280000,82.945000,81.425000,82.335000,1305255
2025-12-04,82.190000,83.310000,82.030000,82.300000,1410967
2025-12-05,83.820000,84.420000,82.880000,83.520000,1204224
2025-12-08,83.420000,83.910000,81.340000,81.770000,1388958
2025-12-09,81.390000,82.400000,81.310000,81.440000,1033290
2025-12-10,81.050000,82.930000,80.992500,82.460000,1029804
2025-12-11,81.940000,83.370000,81.410000,83.340000,961615
2025-12-12,83.490000,83.650000,80.040000,80.260000,1268073
2025-12-15,80.730000,81.310000,80.010000,80.170000,1243087
2025-12-16,80.450000,81.340000,79.840000,80.500000,1175659
2025-12-17,80.450000,80.880000,78.375000,78.890000,1568768
2025-12-18,79.830000,80.685000,79.380000,79.910000,1611771
2025-12-19,79.680000,81.380000,79.680000,80.880000,3079769
2025-12-22,81.090000,82.290000,80.965000,81.950000,924965
2025-12-23,81.750000,82.170000,80.470000,80.500000,1598809
2025-12-24,80.660000,80.710000,79.920000,80.010000,513218
2025-12-26,79.900000,80.440000,79.680000,80.200000,603047
2025-12-29,79.960000,80.479900,79.590000,79.990000,872289
2025-12-30,79.740000,79.960000,79.470000,79.560000,804992
2025-12-31,79.450000,79.690000,78.340000,78.350000,1064602
