d,o,h,l,c,v
2025-08-01,260.160000,260.840000,256.055000,258.320000,1076945
2025-08-04,260.350000,263.045000,258.710000,263.000000,946007
2025-08-05,263.850000,266.590000,263.500000,265.170000,1198319
2025-08-06,266.720000,268.210000,265.170100,267.580000,1112735
2025-08-07,267.650000,268.570000,262.830000,265.360000,977297
2025-08-08,266.610000,267.590600,263.030000,264.870000,920505
2025-08-11,265.180000,267.550000,263.280000,264.260000,938089
2025-08-12,264.260000,265.790000,262.960000,263.930000,1198015
2025-08-13,265.930000,270.280000,265.424000,269.300000,1409508
2025-08-14,269.480000,269.910000,266.380000,268.590000,1506217
2025-08-15,270.800000,270.800000,265.300000,265.590000,1295670
2025-08-18,264.520000,265.780000,263.370000,264.920000,968449
2025-08-19,265.230000,268.890000,265.150000,268.870000,1364196
2025-08-20,270.040000,275.340000,268.940000,274.390000,1368197
2025-08-21,272.530000,276.420000,272.460000,274.920000,1217213
2025-08-22,277.000000,279.040000,275.760000,276.290000,1457580
2025-08-25,275.300000,276.110000,272.150000,272.340000,1068679
2025-08-26,271.380000,272.335000,270.440000,270.890000,2039576
2025-08-27,270.570000,274.040000,270.239300,272.210000,808000
2025-08-28,271.830000,272.420000,269.140000,270.280000,827881
2025-08-29,270.400000,272.411000,269.910000,271.510000,681011
2025-09-02,271.260000,273.610000,268.850000,273.350000,1408914
2025-09-03,272.110000,276.630000,270.640000,276.550000,1615660
2025-09-04,278.560000,280.700000,276.660000,279.430000,1239876
2025-09-05,279.040000,280.370000,273.955000,275.220000,970773
2025-09-08,275.460000,275.460000,271.340000,274.480000,843811
2025-09-09,273.860000,275.550000,272.270000,273.550000,1046693
2025-09-10,270.390000,272.420000,269.200000,272.330000,844350
2025-09-11,272.540000,279.750000,272.060000,279.430000,1089149
2025-09-12,278.630000,279.995000,277.885000,278.930000,852110
2025-09-15,278.190000,279.700000,276.100000,276.300000,805433
2025-09-16,274.880000,274.880000,270.680000,271.950000,2475085
2025-09-17,272.530000,276.795000,272.130000,275.030000,982389
2025-09-18,273.290000,278.870000,272.500000,277.900000,965908
2025-09-19,278.790000,278.790000,275.320000,277.000000,2499830
2025-09-22,276.030000,276.995000,274.270000,276.110000,693417
2025-09-23,275.560000,279.080000,274.240000,276.260000,853648
2025-09-24,275.800000,277.260000,274.840000,276.660000,734372
2025-09-25,278.690000,278.760000,274.030000,274.220000,876826
2025-09-26,276.330000,278.338700,274.598300,277.760000,756231
2025-09-29,277.790000,277.790000,274.840000,276.500000,951212
2025-09-30,276.520000,280.060000,276.520000,279.220000,789033
2025-10-01,277.640000,279.620000,276.760000,277.240000,764471
2025-10-02,276.210000,280.275000,275.520000,280.040000,839433
2025-10-03,279.880000,286.170000,279.500000,284.560000,992735
2025-10-06,285.010000,285.690000,281.825000,282.730000,1103994
2025-10-07,282.790000,286.890000,282.790000,284.970000,770157
2025-10-08,287.950000,287.950000,281.860000,282.760000,904987
2025-10-09,283.060000,284.820000,273.880000,274.410000,1403009
2025-10-10,275.860000,276.160000,269.330000,270.120000,1199391
2025-10-13,268.530000,272.345000,266.470000,270.380000,854339
2025-10-14,270.315000,275.860000,270.315000,275.640000,909211
2025-10-15,271.820000,274.110000,266.780000,269.450000,2058470
2025-10-16,252.600000,265.590000,252.260000,261.570000,2404934
2025-10-17,262.670000,266.790000,261.870000,262.010000,2276023
2025-10-20,264.400000,265.775000,262.895000,265.250000,1054643
2025-10-21,265.980000,270.530000,264.880000,269.340000,1146770
2025-10-22,270.340000,271.740000,267.145000,268.490000,999919
2025-10-23,269.560000,269.940000,267.430000,269.100000,1173024
2025-10-24,270.010000,270.600000,269.090000,269.890000,917278
2025-10-27,269.640000,270.590000,268.490000,270.340000,1108154
2025-10-28,269.450000,272.315000,267.525000,268.130000,1341335
2025-10-29,265.280000,269.325000,265.240000,267.910000,1263092
2025-10-30,269.060000,274.540000,267.900000,271.010000,1473468
2025-10-31,268.320000,271.100000,267.745000,268.620000,1900861
2025-11-03,267.380000,268.530000,264.250000,267.660000,1981841
2025-11-04,269.080000,277.360000,268.375000,277.280000,1769841
2025-11-05,277.970000,279.590000,276.480000,276.650000,1158405
2025-11-06,277.330000,279.130000,275.690000,276.260000,856898
2025-11-07,277.410000,280.700000,276.000000,279.810000,931150
2025-11-10,278.490000,282.860000,277.410000,282.390000,1503758
2025-11-11,283.780000,286.730000,282.000000,286.020000,1452961
2025-11-12,286.000000,288.950000,285.590000,286.130000,1483213
2025-11-13,286.240000,290.615000,284.800000,287.420000,1595140
2025-11-14,288.540000,290.360000,284.830000,287.290000,1437372
2025-11-17,288.250000,289.590000,284.030000,284.510000,1343223
2025-11-18,284.260000,289.290000,283.590000,286.850000,1199896
2025-11-19,286.570000,288.190000,283.460000,285.470000,1116145
2025-11-20,286.740000,289.870000,286.020000,287.850000,1296192
2025-11-21,289.640000,292.500000,288.400000,290.070000,1781335
2025-11-24,290.000000,293.000000,287.990000,290.840000,1825711
2025-11-25,293.010000,296.850000,291.370000,293.700000,1708564
2025-11-26,294.070000,296.070000,293.770000,294.520000,1094702
2025-11-28,295.710000,296.540000,292.690000,292.860000,566816
2025-12-01,292.520000,294.350000,290.020000,290.500000,1019382
2025-12-02,290.410000,290.945000,287.500000,288.520000,1314368
2025-12-03,289.570000,290.250000,283.315000,284.270000,1813939
2025-12-04,283.950000,285.820000,282.470000,282.850000,1282770
2025-12-05,282.070000,282.929000,279.640000,280.890000,1287322
2025-12-08,280.020000,281.460000,277.520000,279.870000,1450725
2025-12-09,281.120000,283.640000,279.040000,279.160000,1831817
2025-12-10,278.550000,281.050000,277.400100,278.350000,1417151
2025-12-11,279.500000,284.600000,278.770000,282.880000,2090095
2025-12-12,284.530000,285.480000,283.335000,285.310000,1617353
2025-12-15,286.460000,290.890000,285.830000,290.590000,2075196
2025-12-16,291.560000,292.530000,288.560000,289.610000,1725594
2025-12-17,289.390000,291.390000,287.780000,291.270000,1798013
2025-12-18,290.610000,294.340000,288.850000,293.650000,1342382
2025-12-19,293.650000,295.100000,291.400000,292.920000,2781224
2025-12-22,291.770000,293.540000,290.850000,291.640000,1158058
2025-12-23,291.790000,293.970000,290.940000,292.460000,989513
