d,o,h,l,c,v
2025-08-01,84.000000,86.360000,81.870100,86.080000,9977444
2025-08-04,87.030000,89.810000,86.760000,89.760000,8305672
2025-08-05,89.740000,90.500000,87.120100,87.700000,8530223
2025-08-06,88.160000,90.660000,88.125000,89.580000,8653759
2025-08-07,90.750000,91.450000,87.440000,88.330000,21958031
2025-08-08,56.640000,57.000000,53.180000,54.230000,105358411
2025-08-11,53.800000,56.770000,52.790000,53.175000,37670355
2025-08-12,53.500000,54.450000,52.175000,53.270000,25085461
2025-08-13,53.500000,54.525000,52.515000,54.360000,19490826
2025-08-14,53.300000,53.490000,50.210000,50.760000,34083970
2025-08-15,51.030000,53.060000,50.470000,52.120000,17870816
2025-08-18,52.125000,55.400000,52.000000,54.950000,16702742
2025-08-19,55.150000,55.170000,52.300000,52.530000,13601648
2025-08-20,52.565000,52.815000,51.290000,52.530000,9001123
2025-08-21,52.570000,52.700000,51.720000,52.300000,6558132
2025-08-22,52.190000,54.190000,52.020000,53.200000,10237163
2025-08-25,53.190000,53.620000,52.370000,52.370000,7639109
2025-08-26,52.570000,53.000000,52.050000,52.220000,7241575
2025-08-27,52.210000,53.025000,51.930000,52.650000,7614424
2025-08-28,52.840000,55.560000,52.674300,55.360000,12371373
2025-08-29,54.920000,55.530000,54.360000,54.660000,8738500
2025-09-02,53.450000,54.250000,52.697500,54.180000,7788313
2025-09-03,53.890000,54.300000,53.210000,53.770000,7132746
2025-09-04,53.880000,54.075000,51.730000,51.920000,11413447
2025-09-05,52.000000,52.570000,51.010000,52.070000,11342786
2025-09-08,52.310000,52.480000,50.640000,52.030000,10656929
2025-09-09,51.780000,52.830000,51.520000,52.400000,7883399
2025-09-10,51.550000,51.560000,45.310000,46.140000,48170673
2025-09-11,46.300000,46.790000,45.220000,45.240000,26904031
2025-09-12,45.400000,46.180000,45.050000,45.150000,19764787
2025-09-15,45.280000,46.270000,45.200000,45.540000,15374346
2025-09-16,44.000000,46.335000,43.510000,44.895000,24134802
2025-09-17,44.900000,46.280000,44.350000,45.370000,17544211
2025-09-18,45.375000,45.680000,43.890000,43.930000,22314353
2025-09-19,43.870000,44.575000,43.100000,44.470000,52978352
2025-09-22,43.880000,46.675000,43.660000,46.150000,23599830
2025-09-23,46.205000,47.590000,45.880000,46.860000,20024046
2025-09-24,47.095000,47.750000,46.430000,46.870000,15392153
2025-09-25,45.960000,47.290000,45.470000,46.760000,14285874
2025-09-26,46.670000,47.200000,46.025000,47.140000,9250468
2025-09-29,47.580000,50.539900,47.220000,49.640000,21147081
2025-09-30,50.000000,50.740000,48.520000,49.010000,26414927
2025-10-01,48.820000,49.690000,48.135000,49.320000,13061036
2025-10-02,49.750000,51.140000,48.700000,50.880000,15268057
2025-10-03,51.045000,51.690000,50.650000,51.550000,11935934
2025-10-06,52.390000,53.740000,50.890000,53.140000,12580026
2025-10-07,54.705000,56.390000,52.800000,53.490000,17831481
2025-10-08,53.690000,54.974300,52.597000,54.070000,10859154
2025-10-09,54.080000,54.260000,52.890000,54.090000,9949080
2025-10-10,54.190000,54.990000,51.414000,52.360000,12452871
2025-10-13,52.595000,53.410000,50.940000,51.275000,10294648
2025-10-14,50.300000,51.260000,49.450000,50.730000,8133825
2025-10-15,51.165000,51.670000,50.210000,51.100000,7470317
2025-10-16,51.110000,51.880000,49.600000,49.900000,8541309
2025-10-17,49.170000,50.820000,48.480000,49.980000,9224197
2025-10-20,50.370000,53.080000,50.300000,52.495000,8558789
2025-10-21,52.880000,54.705000,52.450000,53.920000,13123216
2025-10-22,53.460000,54.260000,52.650000,53.890000,7354479
2025-10-23,53.790000,54.630000,53.270000,54.130000,5152528
2025-10-24,54.790000,55.110000,51.120000,52.000000,12294513
2025-10-27,52.690000,54.045000,52.045000,53.610000,10851135
2025-10-28,53.600000,53.940000,51.410000,51.670000,6958318
2025-10-29,51.620000,51.620000,49.230000,49.960000,11888286
2025-10-30,49.555000,50.570000,48.780000,48.970000,7389735
2025-10-31,49.080000,50.790000,48.870000,50.280000,10012715
2025-11-03,49.920000,50.055000,48.050000,49.120000,9623239
2025-11-04,48.375000,48.465000,47.090000,47.240000,8540863
2025-11-05,47.010000,48.300000,47.010000,47.700000,9982253
2025-11-06,47.720000,47.960000,45.595000,45.900000,24102066
2025-11-07,46.000000,46.000000,41.773300,43.000000,34336157
2025-11-10,44.050000,44.870000,42.010000,43.260000,23444557
2025-11-11,43.310000,44.490000,43.050000,44.200000,13144600
2025-11-12,44.890000,45.500000,43.530000,43.790000,10335762
2025-11-13,43.500000,43.860000,42.490000,42.870000,9301208
2025-11-14,42.145000,42.690000,41.500000,41.930000,11493454
2025-11-17,41.910000,41.910000,39.750000,40.210000,14631430
2025-11-18,39.765000,41.191000,39.690000,40.470000,10171599
2025-11-19,40.600000,41.160000,39.795000,40.190000,11633326
2025-11-20,40.735000,41.145900,38.280000,38.350000,14808864
2025-11-21,38.360000,40.010000,38.225000,39.650000,15475416
2025-11-24,39.720000,39.750000,38.500000,39.060000,15322413
2025-11-25,38.945000,39.390000,38.460000,39.090000,13823551
2025-11-26,39.175000,39.540000,38.750000,39.110000,12017418
2025-11-28,39.230000,40.005000,39.030000,39.560000,5248855
2025-12-01,38.975000,40.180500,38.580000,39.580000,11119213
2025-12-02,39.910000,40.710500,39.825000,39.950000,9365658
2025-12-03,39.715000,40.080000,38.560000,38.610000,12875820
2025-12-04,38.980000,39.465000,38.250000,39.350000,13044921
2025-12-05,39.640000,41.005000,39.570000,40.050000,11322773
2025-12-08,40.200000,40.290000,39.320000,39.350000,10925343
2025-12-09,39.205000,39.850000,38.810000,39.400000,8764751
2025-12-10,39.260000,39.800000,38.780000,39.220000,9120588
2025-12-11,38.415000,38.487200,36.780000,37.020000,21472799
2025-12-12,37.190000,37.836300,36.510000,36.650000,13651046
2025-12-15,36.695000,36.700000,35.650000,36.190000,17389380
2025-12-16,36.100000,36.770000,35.720000,36.640000,13116376
2025-12-17,36.570000,37.960000,36.360000,37.170000,14206298
2025-12-18,37.630000,37.730000,36.890000,37.290000,10653490
2025-12-19,37.150000,37.605000,36.810000,37.260000,63754501
2025-12-22,37.530000,38.000000,37.050000,37.290000,11795019
2025-12-23,37.130000,37.615600,36.790100,37.440000,9550176
