d,o,h,l,c,v
2025-07-01,311.970000,326.550000,311.080100,326.140000,17865491
2025-07-02,320.735000,322.420000,306.430100,307.560000,18177190
2025-07-03,309.840000,312.250000,308.230000,308.550000,6161145
2025-07-07,308.000000,308.605000,301.200000,303.710000,9031224
2025-07-08,304.225000,308.299900,303.800000,307.700000,9613844
2025-07-09,303.190000,303.600000,298.750000,302.910000,12816658
2025-07-10,303.060000,304.930000,296.600000,299.510000,11355625
2025-07-11,300.020000,304.120000,298.000000,304.100000,9808227
2025-07-14,301.640000,304.040000,299.000000,300.580000,10681441
2025-07-15,299.710000,300.680000,291.030000,291.710000,16019016
2025-07-16,292.550000,295.990000,290.750000,292.490000,9713979
2025-07-17,292.330000,293.000000,283.830000,288.070000,14792734
2025-07-18,287.890000,288.070000,280.810000,282.650000,14979714
2025-07-21,284.640000,286.500000,281.200000,282.140000,10319211
2025-07-22,282.630000,287.110000,282.000000,285.130000,14600338
2025-07-23,287.500000,292.640000,284.950000,292.510000,13111099
2025-07-24,283.100000,289.210000,278.220000,278.580000,22585190
2025-07-25,281.000000,286.140000,279.940000,281.060000,16486616
2025-07-28,283.500000,285.000000,279.690000,282.120000,15779352
2025-07-29,265.700000,272.910000,260.550000,261.070000,41706034
2025-07-30,264.800000,266.630000,258.121300,266.040000,22371770
2025-07-31,261.400000,261.400000,247.750000,249.560000,29606864
2025-08-01,250.610000,251.490000,234.600000,237.770000,39989180
2025-08-04,238.240000,242.250000,236.952600,240.980000,17427931
2025-08-05,241.160000,252.069900,240.050000,251.000000,23795862
2025-08-06,250.640000,253.159900,245.310000,245.780000,12946447
2025-08-07,246.420000,248.745700,239.500000,244.670000,11369901
2025-08-08,244.790000,251.080000,244.370000,250.890000,10185749
2025-08-11,253.870000,258.400000,252.140000,252.370000,11779538
2025-08-12,254.020000,262.880000,253.666100,261.570000,12207661
2025-08-13,264.390000,272.187500,262.890000,271.810000,19480262
2025-08-14,272.095000,273.850000,267.000000,271.490000,25011098
2025-08-15,301.710000,310.300000,294.710000,304.010000,68198475
2025-08-18,313.175000,316.399900,307.420000,308.490000,39600508
2025-08-19,308.900000,310.500000,299.210000,304.240000,22348565
2025-08-20,306.395000,307.200000,295.700000,299.840000,16678985
2025-08-21,302.290000,306.566400,297.800000,303.350000,13358957
2025-08-22,306.100000,310.680000,304.580000,307.420000,14930045
2025-08-25,308.490000,308.870000,302.730000,304.860000,8917077
2025-08-26,304.310000,308.960000,294.200100,300.430000,16303186
2025-08-27,300.540000,305.970000,300.500000,303.880000,9982781
2025-08-28,304.250000,304.470000,299.400000,302.290000,11234953
2025-08-29,302.300000,310.000000,300.910000,309.870000,12065367
2025-09-02,308.305000,312.890000,307.300000,308.800000,10957136
2025-09-03,308.110000,309.590000,303.700000,307.880000,9654569
2025-09-04,306.100000,311.914000,304.100000,310.380000,7725742
2025-09-05,310.440000,317.940000,308.200000,315.390000,14126705
2025-09-08,319.710000,321.650000,313.800100,320.250000,18438640
2025-09-09,332.500000,351.709900,327.160000,347.920000,46408865
2025-09-10,345.560000,348.570000,341.400000,346.780000,17804298
2025-09-11,349.000000,360.980000,345.840000,353.610000,18943509
2025-09-12,355.900000,362.310000,352.460000,352.510000,14016240
2025-09-15,351.255000,351.710000,342.530000,347.890000,11035852
2025-09-16,347.500000,349.035800,338.320000,339.780000,12695815
2025-09-17,337.690000,343.000000,337.690000,341.610000,8467682
2025-09-18,343.530000,344.930000,334.120000,334.820000,11255561
2025-09-19,336.500000,340.959000,333.840000,336.690000,13656837
2025-09-22,334.460000,342.480000,332.600000,341.300000,8903744
2025-09-23,341.000000,352.700000,339.961100,347.690000,12504059
2025-09-24,350.200000,354.500000,347.840000,351.810000,9016256
2025-09-25,348.900000,350.190000,343.600000,345.560000,8104859
2025-09-26,347.930000,349.970000,341.300000,344.080000,6774710
2025-09-29,343.980000,345.549900,341.450000,345.180000,6878937
2025-09-30,343.750000,349.320000,342.330000,345.300000,7429653
