d,o,h,l,c,v
2025-08-01,85.735000,86.539900,84.280000,84.500000,11276632
2025-08-04,85.400000,86.110000,84.770000,85.020000,8579543
2025-08-05,85.020000,87.060000,84.890000,86.780000,9513405
2025-08-06,86.800000,86.980000,85.726000,86.250000,6331573
2025-08-07,86.825000,87.669500,86.440000,86.490000,6839182
2025-08-08,86.500000,87.050000,85.750000,86.670000,6285061
2025-08-11,87.150000,88.240000,85.730000,86.310000,8701380
2025-08-12,86.630000,88.280000,86.500000,87.430000,7323821
2025-08-13,88.110000,88.295000,86.390000,88.180000,13633169
2025-08-14,87.010000,89.305000,86.660000,88.550000,12487283
2025-08-15,88.575000,89.410000,88.180000,88.480000,8897393
2025-08-18,87.000000,87.435000,86.390000,86.510000,9385621
2025-08-19,86.850000,88.310000,86.650000,87.800000,7227577
2025-08-20,87.155000,88.440000,86.880000,86.940000,7076352
2025-08-21,86.850000,86.920000,85.980000,86.150000,6193172
2025-08-22,86.450000,89.300000,86.380000,88.820000,10230694
2025-08-25,88.550000,88.660000,87.478400,87.740000,6029875
2025-08-26,87.600000,88.265000,87.040000,87.460000,5478032
2025-08-27,87.610000,88.050000,87.145000,87.860000,5482239
2025-08-28,88.200000,88.240000,86.460000,87.270000,8618515
2025-08-29,87.215000,88.540000,87.010000,87.440000,6838522
2025-09-02,86.620000,86.850000,84.810000,85.230000,10058846
2025-09-03,85.370000,85.880000,84.780000,85.290000,7430902
2025-09-04,85.640000,85.690000,83.670000,84.480000,10741521
2025-09-05,84.610000,86.340000,84.190000,85.040000,8585440
2025-09-08,85.050000,85.050000,83.050000,84.320000,11783708
2025-09-09,84.230000,84.930000,84.050000,84.400000,7889670
2025-09-10,84.350000,85.170000,83.715000,83.850000,6684575
2025-09-11,82.430000,84.865000,82.000000,84.650000,10453460
2025-09-12,84.790000,85.023100,83.870000,84.350000,5545458
2025-09-15,84.870000,85.170000,83.910000,84.020000,6388968
2025-09-16,84.430000,85.350000,84.310000,85.200000,6185459
2025-09-17,85.070000,86.370000,83.730000,84.180000,9006963
2025-09-18,84.670000,85.090000,84.000000,85.050000,8067257
2025-09-19,85.110000,85.610000,84.010000,84.060000,18120211
2025-09-22,83.800000,85.700000,83.130000,84.230000,10224286
2025-09-23,84.470000,85.730000,84.121000,84.410000,7486338
2025-09-24,84.310000,85.020000,83.710000,83.900000,6988374
2025-09-25,83.800000,83.990000,82.360000,82.580000,9021074
2025-09-26,82.740000,83.880000,82.640000,83.720000,6845805
2025-09-29,83.930000,84.515000,83.460000,84.500000,7275334
2025-09-30,84.500000,84.550000,82.640000,83.530000,9876243
2025-10-01,83.390000,84.600000,83.320000,84.380000,7074822
2025-10-02,84.670000,87.110000,84.540000,85.570000,9815512
2025-10-03,85.700000,87.330000,85.420000,86.780000,7098926
2025-10-06,86.860000,87.050000,85.780000,86.620000,6987032
