d,o,h,l,c,v
2025-08-01,44.320000,44.545000,43.460000,43.940000,9632984
2025-08-04,44.070000,44.495000,43.985000,44.420000,6515792
2025-08-05,44.600000,44.705000,43.830000,44.560000,8020591
2025-08-06,44.700000,44.760000,44.410000,44.440000,5854668
2025-08-07,44.870000,44.880000,43.955000,44.090000,5412578
2025-08-08,44.500000,44.940000,44.145000,44.860000,6066978
2025-08-11,44.830000,45.070000,44.340000,44.560000,7201919
2025-08-12,44.980000,45.800000,44.860000,45.770000,8836797
2025-08-13,45.810000,46.695000,45.620000,46.610000,10438168
2025-08-14,46.270000,46.870000,45.980000,46.830000,6181108
2025-08-15,46.960000,47.090000,45.930000,45.930000,8995800
2025-08-18,45.810000,46.155000,45.722500,46.110000,5893264
2025-08-19,46.050000,46.570000,45.910000,46.210000,5597386
2025-08-20,46.300000,46.530000,45.955000,46.410000,7720220
2025-08-21,46.220000,46.385000,45.860000,46.170000,4976019
2025-08-22,46.500000,48.360000,46.390000,48.280000,12679315
2025-08-25,48.100000,48.265000,47.980000,48.160000,7520786
2025-08-26,47.940000,48.620000,47.940000,48.570000,9280612
2025-08-27,48.500000,48.995000,48.380000,48.760000,9492920
2025-08-28,48.970000,48.980000,48.380000,48.670000,10464796
2025-08-29,48.720000,49.060000,48.580000,48.830000,12070033
2025-09-02,48.340000,48.545000,47.950000,48.520000,7053963
2025-09-03,48.480000,48.940000,48.020000,48.540000,8335475
2025-09-04,48.760000,49.200000,48.420000,49.170000,5564609
2025-09-05,49.350000,49.490000,48.360000,48.800000,8041191
2025-09-08,48.840000,48.840000,48.030000,48.650000,8543629
2025-09-09,48.660000,49.990000,48.560000,49.370000,17261764
2025-09-10,49.510000,49.740000,48.925000,49.200000,9988869
2025-09-11,49.300000,49.540000,49.045000,49.320000,8636525
2025-09-12,49.350000,49.380100,48.800000,49.130000,8103568
2025-09-15,49.160000,49.565000,49.010000,49.290000,7730091
2025-09-16,49.470000,49.470000,48.030000,48.390000,13158796
2025-09-17,48.600000,50.170000,48.570000,49.610000,12828120
2025-09-18,49.670000,50.355000,49.410000,50.210000,12345929
2025-09-19,50.440000,50.520000,50.025000,50.410000,20595316
2025-09-22,49.940000,50.070000,49.235000,49.490000,7669987
2025-09-23,49.460000,50.220000,49.100000,49.350000,9971169
2025-09-24,49.280000,49.625000,48.915000,49.180000,6621485
2025-09-25,49.040000,49.330000,48.805000,49.030000,7198991
2025-09-26,49.400000,49.720000,49.070000,49.440000,8309467
2025-09-29,49.420000,49.512800,48.515000,48.990000,9379527
2025-09-30,48.520000,48.719600,47.465000,48.330000,10181237
2025-10-01,48.180000,48.350000,47.820000,47.880000,9420002
2025-10-02,47.860000,48.115000,47.611800,47.910000,8468607
2025-10-03,48.030000,48.450000,47.845000,48.070000,9291494
2025-10-06,48.310000,48.995000,47.475000,47.720000,8426854
2025-10-07,48.040000,48.230000,47.451500,47.500000,6618995
2025-10-08,47.730000,47.749900,46.875000,46.990000,5315695
2025-10-09,47.180000,47.400000,46.755000,47.100000,7011532
2025-10-10,47.340000,47.400000,45.225000,45.280000,12468398
2025-10-13,45.890000,46.320000,45.590000,46.160000,6896732
2025-10-14,45.990000,47.360700,45.925000,47.090000,8844949
2025-10-15,47.360000,47.420000,46.165000,46.450000,11325217
2025-10-16,47.240000,47.780000,45.390000,45.650000,21622944
2025-10-17,46.290000,46.495000,45.505000,45.690000,14032370
2025-10-20,45.970000,47.190000,45.910000,47.100000,9439099
2025-10-21,47.030000,47.830000,46.950000,47.610000,11278308
2025-10-22,47.650000,47.840000,47.070000,47.330000,8497429
2025-10-23,47.660000,47.875000,47.094500,47.820000,12065725
