d,o,h,l,c,v
2025-08-01,280.000000,283.530000,278.000000,281.350000,997739
2025-08-04,284.830000,285.740000,282.020000,285.280000,1037912
2025-08-05,285.760000,287.194000,281.370000,281.460000,1012254
2025-08-06,281.050000,282.930000,278.360000,282.650000,778645
2025-08-07,284.515000,286.819900,272.770000,279.760000,1300821
2025-08-08,282.170000,282.710000,279.020000,282.130000,846413
2025-08-11,280.930000,283.460000,276.830000,276.960000,780799
2025-08-12,278.220000,279.740000,273.000000,275.430000,1268004
2025-08-13,276.770000,279.330000,273.875000,279.180000,910138
2025-08-14,276.240000,276.955000,273.000000,274.980000,681951
2025-08-15,275.550000,281.220000,274.000000,280.610000,815688
2025-08-18,280.640000,285.520000,278.100000,282.100000,1230167
2025-08-19,282.200000,286.070000,281.500000,284.350000,1030871
2025-08-20,283.450000,285.190000,280.000000,284.020000,952667
2025-08-21,281.980000,284.580000,280.790000,282.280000,1063527
2025-08-22,282.520000,291.260000,280.966200,290.860000,961496
2025-08-25,291.160000,292.420000,285.000000,285.180000,1270221
2025-08-26,288.030000,290.035000,285.000000,286.540000,1340744
2025-08-27,289.700000,296.020000,288.150000,293.590000,2672020
2025-08-28,285.340000,286.690000,271.830000,272.330000,4469598
2025-08-29,272.560000,275.160000,266.327300,269.200000,1999864
2025-09-02,265.260000,270.960000,264.500000,269.980000,1496121
2025-09-03,271.320000,271.910000,268.000000,270.950000,1316568
2025-09-04,268.300000,271.060000,262.850000,270.060000,1266629
2025-09-05,271.590000,274.010000,270.380000,272.930000,1440201
2025-09-08,279.000000,283.260000,275.420000,282.780000,2253436
2025-09-09,282.345000,283.290000,276.770000,282.680000,1046569
2025-09-10,282.270000,282.910000,273.260000,274.600000,1528051
2025-09-11,276.810000,282.125000,276.000000,279.470000,1432359
2025-09-12,277.380000,280.650000,273.490000,276.430000,935782
2025-09-15,276.940000,279.960000,275.020000,276.270000,994975
2025-09-16,275.820000,276.260000,272.254400,273.880000,925197
2025-09-17,274.280000,275.590000,272.200000,274.580000,1248779
2025-09-18,276.040000,279.620000,274.910000,279.080000,956057
