d,o,h,l,c,v
2024-07-25,251.450000,259.640000,251.120000,253.770000,825155
2024-07-26,257.230000,262.850000,256.000000,261.710000,673485
2024-07-29,262.210000,265.245000,260.940000,264.530000,586815
2024-07-30,268.830000,273.325000,267.640000,270.000000,1205094
2024-07-31,271.800000,278.790000,268.520000,274.510000,1458874
2024-08-01,273.940000,274.980000,269.960000,271.130000,1316744
2024-08-02,268.360000,268.360000,260.120000,266.340000,986570
2024-08-05,260.000000,262.410000,252.930000,257.430000,1355133
2024-08-06,245.610000,251.710000,238.890000,246.140000,2294967
2024-08-07,248.490000,251.720000,241.220000,241.220000,1376834
2024-08-08,242.670000,250.770000,242.321400,246.330000,1196298
2024-08-09,246.180000,249.130000,243.360000,244.340000,887968
2024-08-12,244.230000,244.790000,239.910000,241.900000,869250
2024-08-13,244.060000,245.920000,241.790000,243.840000,706027
2024-08-14,245.090000,246.300000,242.070000,242.500000,876714
2024-08-15,245.870000,247.090000,242.340000,246.570000,1028898
2024-08-16,247.060000,247.062200,243.595000,244.430000,490890
2024-08-19,244.610000,245.615000,242.180000,244.290000,660452
2024-08-20,244.230000,246.790000,244.230000,245.600000,533967
2024-08-21,247.230000,249.880000,246.790000,247.840000,920689
2024-08-22,248.750000,250.235000,246.665000,247.980000,680587
2024-08-23,250.260000,257.420000,249.655000,254.890000,1252331
2024-08-26,256.330000,257.540000,250.230000,250.680000,447624
2024-08-27,249.020000,250.001600,237.170000,240.410000,1007336
2024-08-28,241.810000,242.390000,235.090000,235.770000,1835059
2024-08-29,237.520000,243.414900,236.852100,241.280000,866649
2024-08-30,242.290000,245.870000,241.370000,245.210000,844615
2024-09-03,241.650000,244.000000,237.680000,239.020000,933447
2024-09-04,239.090000,240.010000,232.690000,234.830000,1009418
2024-09-05,234.110000,235.040000,230.720000,232.160000,727644
2024-09-06,234.030000,236.030000,231.560000,231.970000,1161464
2024-09-09,232.900000,234.660000,230.950000,231.830000,1757148
2024-09-10,233.730000,233.820000,231.030000,232.950000,1076936
2024-09-11,231.500000,233.369000,225.360000,232.950000,1552979
2024-09-12,233.520000,237.330000,233.520000,236.270000,680084
2024-09-13,236.000000,239.635000,235.460000,237.470000,726323
2024-09-16,238.050000,243.330000,237.000000,242.870000,894659
2024-09-17,243.360000,247.000000,242.043900,245.120000,757555
2024-09-18,245.710000,249.580000,244.265000,244.400000,679414
2024-09-19,250.000000,254.010000,246.440000,253.670000,1015200
2024-09-20,258.180000,258.180000,250.740000,252.050000,1697639
2024-09-23,252.600000,253.800000,250.325000,252.330000,728538
2024-09-24,253.090000,253.830000,247.390000,249.870000,1079706
2024-09-25,251.940000,251.940000,249.340000,249.630000,922058
2024-09-26,254.080000,257.010000,249.630000,250.580000,887806
2024-09-27,251.170000,252.365000,248.200000,250.240000,777653
2024-09-30,249.250000,250.910000,246.020000,250.430000,795260
2024-10-01,249.780000,251.730000,244.420000,247.490000,667502
2024-10-02,244.440000,245.985000,239.970000,240.460000,930752
2024-10-03,240.230000,242.940000,238.600000,241.100000,524829
2024-10-04,243.180000,243.200000,239.410000,241.430000,532627
2024-10-07,238.610000,240.302500,237.330000,238.030000,971091
2024-10-08,238.200000,239.590000,236.630000,238.190000,853259
2024-10-09,238.190000,243.345000,236.550000,241.640000,869784
2024-10-10,239.360000,245.540000,238.700000,243.900000,909639
2024-10-11,243.940000,248.530000,243.940000,247.510000,607511
2024-10-14,247.910000,249.440000,244.630000,248.700000,1387341
2024-10-15,250.000000,257.800000,249.685000,252.790000,972912
2024-10-16,253.010000,256.785000,251.820000,256.480000,462226
2024-10-17,257.940000,259.775000,256.390000,258.640000,746690
2024-10-18,258.630000,262.799900,255.500000,261.720000,829144
2024-10-21,261.580000,261.580000,257.220000,259.940000,902643
2024-10-22,258.950000,259.100000,253.670000,253.720000,653588
2024-10-23,253.490000,254.990000,250.760000,253.570000,545480
2024-10-24,253.730000,256.540000,252.380000,256.140000,1281182
2024-10-25,258.340000,259.310000,255.630000,256.540000,742336
2024-10-28,258.440000,260.160000,257.190000,258.500000,1437464
2024-10-29,256.900000,260.870000,254.470000,259.550000,1183042
2024-10-30,270.000000,279.470000,267.880000,276.230000,1952067
2024-10-31,273.850000,278.465000,273.105000,273.930000,1429290
2024-11-01,275.300000,275.400000,270.260000,270.390000,986524
2024-11-04,270.130000,272.710000,268.200000,268.860000,1124157
2024-11-05,267.910000,272.890000,267.690000,272.670000,689408
2024-11-06,288.030000,298.310000,287.600100,290.450000,2679074
