d,o,h,l,c,v
2024-07-25,175.640000,177.710000,174.555000,176.740000,1494244
2024-07-26,176.320000,184.220000,174.600000,184.100000,1328546
2024-07-29,184.720000,191.240000,182.915000,186.650000,1171713
2024-07-30,186.420000,189.470000,186.420000,186.960000,734057
2024-07-31,186.990000,188.348100,185.850000,187.010000,679603
2024-08-01,187.830000,190.490000,186.025000,188.370000,879412
2024-08-02,188.580000,189.630000,186.810000,187.710000,787618
2024-08-05,186.130000,186.630000,177.030000,178.620000,1403174
2024-08-06,178.970000,181.840000,176.810000,177.160000,720831
2024-08-07,178.370000,181.680000,175.070000,175.220000,1123498
2024-08-08,175.340000,177.960000,175.090000,177.270000,541047
2024-08-09,177.500000,177.500000,174.465000,175.010000,462182
2024-08-12,174.850000,175.360000,173.690000,174.850000,552142
2024-08-13,174.800000,175.560000,173.700000,174.740000,686630
2024-08-14,173.980000,175.425000,172.490000,174.930000,695010
2024-08-15,176.390000,179.180000,175.700100,177.770000,708059
2024-08-16,177.560000,180.380000,176.870000,179.860000,640302
2024-08-19,180.500000,182.910000,180.000000,182.810000,859119
2024-08-20,184.020000,184.020000,178.305000,178.830000,686070
2024-08-21,178.910000,182.210000,178.770000,180.420000,519831
2024-08-22,180.310000,181.645000,178.970000,180.070000,448158
2024-08-23,180.180000,181.228000,178.470000,179.320000,363290
2024-08-26,179.800000,182.500000,179.800000,181.500000,582980
2024-08-27,181.500000,181.890000,179.810000,181.740000,470165
2024-08-28,181.370000,182.740000,180.005000,181.190000,395083
2024-08-29,182.010000,183.680000,180.980000,182.000000,255209
2024-08-30,182.380000,184.530000,182.380000,183.900000,661519
2024-09-03,183.730000,187.300000,181.800000,184.910000,736820
2024-09-04,185.030000,185.585000,183.161900,184.890000,468938
2024-09-05,184.960000,185.220000,181.825000,183.440000,415075
2024-09-06,183.900000,184.550000,181.100000,181.840000,528719
2024-09-09,181.650000,183.830000,180.860000,181.960000,927381
2024-09-10,182.750000,183.000000,180.360000,181.120000,584939
2024-09-11,181.050000,182.220000,177.910000,182.060000,650629
2024-09-12,182.040000,182.040000,178.090000,179.970000,1034157
2024-09-13,180.380000,183.195000,178.920000,182.810000,570140
2024-09-16,184.130000,187.340000,182.255000,182.460000,712914
2024-09-17,182.450000,183.760000,182.290000,182.860000,444849
2024-09-18,182.640000,183.080000,179.100000,179.270000,547248
2024-09-19,180.780000,184.380000,180.670000,182.420000,652109
2024-09-20,181.680000,182.980000,179.780000,181.220000,1828336
2024-09-23,181.670000,183.620000,180.875000,182.550000,491441
2024-09-24,183.740000,185.440000,182.580000,183.880000,514084
2024-09-25,183.880000,183.880000,182.200000,182.440000,683950
2024-09-26,182.780000,186.510000,182.780000,186.190000,707343
2024-09-27,186.740000,190.790000,186.740000,190.640000,586568
2024-09-30,190.360000,191.530000,188.900000,189.960000,572970
2024-10-01,188.200000,188.810000,185.445000,187.140000,539633
2024-10-02,186.450000,188.380000,185.760000,187.760000,428699
2024-10-03,186.720000,186.720000,184.530000,186.400000,406152
2024-10-04,187.540000,187.720000,185.495000,186.900000,356039
2024-10-07,186.880000,187.160000,184.290000,184.370000,545294
2024-10-08,184.850000,185.830000,183.870000,185.390000,387641
2024-10-09,185.390000,186.630000,185.010000,186.010000,429281
2024-10-10,185.820000,187.235000,184.730000,186.860000,441071
2024-10-11,187.340000,188.440000,185.990000,188.100000,532942
2024-10-14,188.540000,189.460000,187.625000,188.390000,440036
2024-10-15,188.050000,191.080000,187.870000,188.070000,461319
2024-10-16,188.100000,188.635000,185.750000,187.060000,418525
2024-10-17,186.650000,187.040000,184.430000,185.880000,1294314
2024-10-18,185.900000,188.240000,185.865000,187.720000,420744
2024-10-21,187.040000,187.480000,185.460000,187.170000,454937
2024-10-22,186.340000,187.250000,185.155300,186.890000,527979
2024-10-23,186.580000,187.220000,185.480000,185.750000,556835
2024-10-24,185.810000,186.940000,184.710000,185.120000,677897
2024-10-25,187.000000,191.790000,180.580000,181.260000,951077
