d,o,h,l,c,v
2025-08-01,137.280000,143.140000,136.000000,141.590000,11014995
2025-08-04,144.265000,144.265000,139.550000,140.200000,6744805
2025-08-05,140.830000,141.400000,135.353500,138.760000,5091083
2025-08-06,137.590000,140.210000,136.250000,139.750000,4079323
2025-08-07,141.000000,141.040000,137.420100,139.390000,5302536
2025-08-08,141.180000,141.580000,138.400000,139.930000,3733998
2025-08-11,139.170000,141.440000,138.500000,139.830000,4109541
2025-08-12,141.300000,145.600000,139.800000,143.720000,6225573
2025-08-13,145.000000,145.120000,133.950000,137.400000,9976037
2025-08-14,134.210000,135.930000,131.530000,132.520000,8129177
2025-08-15,132.520000,133.350000,129.220000,133.070000,6207691
2025-08-18,132.370000,135.780000,132.250000,135.690000,3251361
2025-08-19,133.010000,133.970000,127.340000,129.050000,7307704
2025-08-20,126.430000,127.640000,121.410100,127.540000,8282295
2025-08-21,127.770000,128.630000,125.785000,126.580000,3744317
2025-08-22,127.000000,131.239000,125.720000,125.970000,5622135
2025-08-25,126.460000,126.850000,123.930000,125.020000,4610783
2025-08-26,125.510000,129.275000,124.910000,127.930000,5947545
2025-08-27,127.430000,131.170000,126.563400,129.310000,6412823
2025-08-28,133.010000,134.932500,131.170000,134.230000,6817490
2025-08-29,133.130000,133.340000,126.230000,127.550000,6367586
2025-09-02,123.700000,124.490000,119.665000,124.010000,8130491
2025-09-03,124.800000,125.735000,123.070000,125.590000,4081872
2025-09-04,125.900000,127.090000,124.470000,125.700000,4607288
2025-09-05,127.810000,128.577200,118.700000,124.000000,7719641
2025-09-08,125.710000,125.720000,120.970000,121.820000,10222668
2025-09-09,124.080000,125.980000,120.830000,125.580000,7608500
2025-09-10,134.240000,141.220000,134.240000,136.740000,12971116
2025-09-11,138.420000,138.420000,133.950000,135.710000,6779747
2025-09-12,135.500000,137.092400,133.560000,134.840000,4065365
2025-09-15,135.920000,142.060000,134.400000,138.260000,7643918
2025-09-16,140.250000,141.215000,135.130000,136.650000,5449884
2025-09-17,135.640000,137.565000,132.685000,136.830000,5123266
2025-09-18,139.000000,142.620000,136.970000,141.960000,5294975
2025-09-19,142.630000,144.490000,139.380000,143.600000,6682817
2025-09-22,143.050000,152.450000,142.250000,151.960000,8731683
2025-09-23,151.320000,152.100000,139.150000,142.610000,16541269
2025-09-24,143.480000,146.100000,140.850000,141.620000,5978086
2025-09-25,137.010000,141.185000,133.850000,139.770000,6197612
2025-09-26,139.000000,140.980000,137.080000,138.620000,3607596
2025-09-29,142.000000,145.610000,141.400000,143.310000,5876652
2025-09-30,144.000000,150.930000,144.000000,150.860000,6822349
2025-10-01,149.120000,162.225000,147.350000,161.590000,12843988
2025-10-02,164.300000,168.990000,157.310100,161.640000,8936068
2025-10-03,161.640000,163.880000,157.830000,160.200000,5728509
2025-10-06,168.845000,169.830000,162.340000,162.800000,7203318
2025-10-07,164.750000,165.000000,154.770000,158.870000,6899058
2025-10-08,160.525000,167.550000,159.272200,167.380000,4889887
2025-10-09,168.380000,170.889000,164.750000,168.880000,4972755
2025-10-10,178.430000,183.105000,168.650000,169.010000,16066576
2025-10-13,175.010000,184.440000,172.000100,179.000000,11056210
