d,o,h,l,c,v
2024-07-25,53.600000,54.020000,53.045000,53.190000,1192459
2024-07-26,53.590000,53.980000,53.090000,53.750000,1370416
2024-07-29,53.860000,54.260000,53.420000,54.190000,1054676
2024-07-30,54.660000,55.150000,54.460000,54.860000,2274738
2024-07-31,54.690000,55.205000,54.275000,54.440000,3232993
2024-08-01,54.960000,55.540000,54.680000,55.300000,2665515
2024-08-02,55.460000,57.110000,55.275000,56.400000,3581050
2024-08-05,55.420000,57.160000,55.240000,55.670000,3182311
2024-08-06,55.790000,57.705000,55.670000,57.170000,3753487
2024-08-07,57.230000,58.960000,57.040000,57.800000,4248556
2024-08-08,57.720000,59.150000,57.720000,58.990000,3824050
2024-08-09,59.290000,59.500000,58.465000,59.370000,3422540
2024-08-12,59.120000,59.410000,58.410000,58.980000,2516703
2024-08-13,59.290000,59.820000,59.090000,59.280000,2865710
2024-08-14,59.220000,59.410000,58.370000,58.520000,2427773
2024-08-15,58.330000,58.890000,57.600000,58.040000,2136870
2024-08-16,58.030000,58.450000,57.571000,58.420000,1913382
2024-08-19,58.410000,58.830000,58.300000,58.410000,1218026
2024-08-20,58.520000,59.000000,58.340000,58.930000,1444260
2024-08-21,59.050000,59.100000,58.460000,58.790000,1202836
2024-08-22,58.800000,59.250000,58.550000,59.240000,1192087
2024-08-23,59.240000,59.855000,59.150000,59.580000,1879828
2024-08-26,59.830000,60.070000,59.540000,59.860000,1585377
2024-08-27,59.440000,60.310000,59.220000,60.280000,2618512
2024-08-28,60.320000,61.345000,60.130000,61.170000,2453057
2024-08-29,60.980000,61.310000,60.495000,61.120000,2476311
2024-08-30,61.400000,62.310000,61.285000,62.110000,3557201
2024-09-03,61.760000,62.470000,61.500000,62.440000,4489903
2024-09-04,62.490000,63.202700,62.130000,62.550000,3132955
2024-09-05,63.180000,63.460000,62.490000,62.820000,2506448
2024-09-06,62.820000,63.140000,62.240000,62.860000,2490244
2024-09-09,62.870000,64.436000,62.860000,64.160000,4992256
2024-09-10,64.330000,65.040000,63.900000,64.970000,2393491
2024-09-11,64.420000,65.440000,64.350000,65.330000,2506967
2024-09-12,65.170000,65.540000,64.490000,65.000000,1925935
2024-09-13,65.340000,65.645000,64.760000,65.060000,2031576
2024-09-16,65.400000,65.470000,64.092100,64.700000,2601072
2024-09-17,64.860000,65.090000,63.950000,64.430000,3873026
2024-09-18,64.600000,64.935000,63.910000,64.210000,2490535
2024-09-19,64.230000,64.310000,62.030000,62.200000,5167366
2024-09-20,62.330000,62.970000,61.990000,62.170000,7075908
2024-09-23,62.640000,64.230000,62.610000,64.210000,2767154
2024-09-24,63.440000,64.469700,63.320000,63.960000,3194675
2024-09-25,64.250000,64.930000,64.140000,64.890000,1628546
2024-09-26,64.670000,64.670000,63.230000,63.830000,4166925
2024-09-27,64.230000,64.390000,63.720000,63.840000,3311875
2024-09-30,63.460000,64.460000,63.360000,64.130000,4141507
2024-10-01,64.150000,64.170000,63.375000,63.890000,2692259
2024-10-02,63.400000,63.825000,63.090000,63.240000,1991731
2024-10-03,63.090000,63.750000,62.540000,62.570000,3061134
2024-10-04,62.130000,62.600000,61.720000,62.530000,2446606
2024-10-07,62.140000,63.130000,61.930000,62.620000,2543456
2024-10-08,63.020000,63.030000,62.160000,62.380000,1692712
2024-10-09,62.380000,62.790000,61.890000,62.700000,1557392
2024-10-10,62.610000,62.730000,61.360000,61.570000,2160092
2024-10-11,62.170000,63.015000,61.960000,62.950000,1476964
2024-10-14,62.880000,64.130000,62.630000,63.930000,1702150
2024-10-15,64.340000,65.150000,64.160000,64.290000,3291751
2024-10-16,64.370000,64.910000,64.225000,64.660000,1633450
