d,o,h,l,c,v
2025-08-01,43.290000,43.470000,42.620000,42.880000,20841307
2025-08-04,42.800000,43.030000,42.530000,42.950000,13629864
2025-08-05,42.950000,43.100000,42.670000,42.670000,14863697
2025-08-06,42.800000,42.800000,42.310000,42.350000,17812000
2025-08-07,42.500000,43.030000,42.170000,42.950000,15543437
2025-08-08,43.100000,43.355000,43.030000,43.150000,13057027
2025-08-11,43.230000,43.530000,42.990000,43.180000,12914940
2025-08-12,43.340000,43.650000,43.205000,43.250000,12483569
2025-08-13,43.200000,43.835000,43.000000,43.710000,14327748
2025-08-14,43.760000,43.785000,43.330000,43.500000,10582825
2025-08-15,43.570000,44.440000,43.425000,44.240000,21239234
2025-08-18,44.350000,44.600000,44.220000,44.390000,12692126
2025-08-19,44.510000,45.065000,44.470000,44.940000,17944202
2025-08-20,45.080000,45.750000,44.950000,45.060000,20982065
2025-08-21,44.980000,45.205100,44.865000,45.030000,11866792
2025-08-22,45.150000,45.430000,44.245000,44.440000,19123748
2025-08-25,44.440000,44.480000,43.960000,44.230000,16021218
2025-08-26,44.110000,44.420000,43.750000,43.960000,17328229
2025-08-27,44.020000,44.280000,43.880000,44.270000,12046589
2025-08-28,44.100000,44.190000,43.690000,43.930000,15842822
2025-08-29,43.970000,44.290000,43.925000,44.230000,14792708
2025-09-02,44.160000,44.480000,43.513500,43.800000,21123691
2025-09-03,43.500000,43.740000,42.880000,43.740000,21828544
2025-09-04,44.070000,44.420000,43.930000,44.180000,14480479
2025-09-05,44.100000,44.470000,44.024200,44.380000,13406698
2025-09-08,42.975000,43.617200,42.940000,43.320000,30273878
2025-09-09,43.360000,43.740000,43.350000,43.570000,15595515
2025-09-10,43.490000,43.670000,43.010000,43.490000,14807828
2025-09-11,43.610000,44.150000,43.510000,44.140000,15510569
2025-09-12,44.005000,44.085000,43.765000,43.970000,13723465
2025-09-15,44.050000,44.250000,43.770000,43.870000,15034712
2025-09-16,43.870000,43.945000,43.300000,43.740000,16173593
2025-09-17,43.870000,44.410000,43.855000,44.210000,14413989
2025-09-18,43.880000,43.952500,43.580000,43.670000,16507265
2025-09-19,43.785000,43.785000,43.460000,43.480000,29164228
2025-09-22,43.380000,43.520000,42.980000,43.160000,18507717
2025-09-23,43.160000,43.380000,42.960000,43.350000,16796402
2025-09-24,43.200000,43.385100,42.960000,43.180000,21162384
2025-09-25,43.240000,43.765000,43.240000,43.350000,19012228
2025-09-26,43.650000,43.710000,43.450000,43.610000,12456193
2025-09-29,43.600000,43.652700,43.090000,43.250000,15854456
2025-09-30,43.240000,43.970000,43.190000,43.950000,24399131
2025-10-01,43.915000,44.090000,43.450000,43.830000,19921919
2025-10-02,43.580000,43.720000,43.220000,43.400000,21550101
2025-10-03,43.440000,43.925100,43.400000,43.670000,18016024
2025-10-06,43.250000,43.380000,41.350000,41.440000,75944202
2025-10-07,41.610000,41.860000,41.340000,41.400000,34001255
2025-10-08,41.540000,41.540000,41.060000,41.320000,35601012
2025-10-09,41.350000,41.360000,40.730000,40.830000,34868202
2025-10-10,40.250000,40.605600,39.815000,39.850000,38107731
2025-10-13,39.750000,40.155000,39.405000,39.750000,26453704
2025-10-14,39.800000,40.580000,39.760000,40.550000,22346065
2025-10-15,40.420000,40.555000,40.240000,40.380000,18233202
2025-10-16,40.415000,40.570000,40.180000,40.360000,16751223
2025-10-17,40.500000,40.655000,40.210000,40.550000,20523461
2025-10-20,40.700000,40.870000,40.350000,40.800000,28079204
2025-10-21,40.630000,40.780000,40.130000,40.300000,29881679
2025-10-22,39.570000,40.210000,38.920000,39.800000,31009461
2025-10-23,39.785000,39.860000,38.390000,38.400000,52663607
2025-10-24,38.595000,38.920000,38.540000,38.820000,27485693
2025-10-27,38.805000,39.285000,38.765000,39.230000,27487203
2025-10-28,39.150000,39.520000,38.950000,39.320000,30719193
2025-10-29,40.930000,41.320000,39.670000,40.210000,53730194
2025-10-30,40.020000,40.193200,38.770000,38.960000,47371044
2025-10-31,38.980000,39.960000,38.780200,39.740000,52181776
2025-11-03,39.510000,39.610000,38.835000,39.470000,39851076
2025-11-04,39.565000,39.670000,39.174500,39.320000,33632757
2025-11-05,39.330000,39.770000,39.260000,39.690000,22947108
2025-11-06,39.515000,39.890000,39.380000,39.820000,30949713
2025-11-07,39.940000,40.320000,39.660000,40.030000,28389494
2025-11-10,39.900000,40.150000,39.570000,39.850000,22414386
2025-11-11,40.050000,40.780000,40.040000,40.700000,25360936
2025-11-12,40.780000,40.960000,40.740000,40.800000,17834024
2025-11-13,40.840000,41.730000,40.740000,41.110000,30487409
2025-11-14,41.320000,41.420000,40.650800,41.060000,29368507
2025-11-17,41.060000,41.280000,40.875000,41.010000,21620791
2025-11-18,41.030000,41.500000,40.990000,41.480000,24067529
