d,o,h,l,c,v
2024-07-25,224.000000,232.870000,223.550000,227.080000,2264017
2024-07-26,228.340000,231.210000,227.980000,228.640000,1003283
2024-07-29,228.630000,229.990000,226.340000,227.130000,1026158
2024-07-30,228.000000,229.520000,224.910000,226.480000,1470118
2024-07-31,229.650000,231.240000,225.890000,227.120000,1556922
2024-08-01,227.330000,228.410000,220.390100,222.580000,1349094
2024-08-02,218.480000,220.000000,212.130000,214.860000,2456516
2024-08-05,199.990000,212.000000,199.810000,207.750000,3104043
2024-08-06,209.390000,214.040000,207.720000,211.250000,2431836
2024-08-07,213.340000,220.050000,210.070000,210.210000,1918228
2024-08-08,212.680000,214.108700,210.680000,212.180000,2014413
2024-08-09,212.500000,213.460000,211.400000,211.950000,2072777
2024-08-12,211.950000,213.400000,209.880000,210.570000,2238982
2024-08-13,210.490000,217.450000,209.730000,216.390000,1819172
2024-08-14,216.290000,223.625000,216.160000,222.840000,2347225
2024-08-15,225.850000,232.710000,225.300000,231.560000,2753667
2024-08-16,232.090000,232.970000,230.320000,231.740000,1580288
2024-08-19,229.940000,232.700000,229.505000,232.630000,2108079
2024-08-20,232.630000,234.440000,231.030000,232.460000,1546961
2024-08-21,233.000000,234.535000,232.290000,233.510000,2209926
2024-08-22,234.650000,236.740000,230.540000,231.080000,5122954
2024-08-23,264.990000,265.700000,254.510000,259.950000,9701850
2024-08-26,260.000000,262.500000,257.450100,260.370000,3196908
2024-08-27,260.000000,266.820000,259.430000,264.680000,2588143
2024-08-28,263.980000,264.780000,257.950000,260.300000,1851490
2024-08-29,262.400000,265.340000,261.110000,262.360000,1435117
2024-08-30,262.410000,264.449900,260.350000,263.190000,1707434
2024-09-03,262.990000,265.565100,258.815000,260.320000,1584664
2024-09-04,258.900000,260.100000,257.071400,258.600000,1172689
2024-09-05,255.750000,257.280000,253.200000,255.790000,1446906
2024-09-06,257.930000,259.620000,251.250000,254.600000,2252079
2024-09-09,248.705000,255.830000,248.390100,253.520000,2741758
2024-09-10,256.180000,256.180000,252.320000,255.580000,1801787
2024-09-11,256.000000,256.000000,247.840000,255.620000,1912873
2024-09-12,256.380000,256.750000,250.680000,251.190000,1888194
2024-09-13,251.130000,253.269900,249.760000,250.050000,1506818
2024-09-16,250.220000,253.390000,247.440000,249.210000,1658361
2024-09-17,251.100000,253.500000,247.220000,248.120000,1696949
2024-09-18,248.090000,251.440000,243.490000,248.470000,2771314
2024-09-19,256.500000,257.210000,247.030000,247.430000,2769024
2024-09-20,246.490000,249.170000,246.180000,248.290000,3902043
2024-09-23,248.920000,249.170000,244.060000,245.030000,1387729
2024-09-24,245.060000,249.307600,244.580000,246.950000,1350888
2024-09-25,245.260000,246.120000,242.500000,243.370000,1262927
2024-09-26,244.990000,245.790000,241.590000,245.430000,1516974
2024-09-27,245.430000,245.620000,242.540000,243.620000,1237880
2024-09-30,243.160000,245.410000,241.540000,244.410000,1188852
2024-10-01,243.940000,244.500000,237.535300,240.660000,2631614
2024-10-02,240.600000,240.600000,233.330000,237.150000,2238787
2024-10-03,235.360000,242.480000,235.000000,240.940000,1682528
2024-10-04,244.900000,246.910000,241.560000,242.350000,1621609
2024-10-07,240.030000,241.620000,235.000000,235.470000,2084284
2024-10-08,235.950000,239.650000,234.490000,239.470000,1529863
2024-10-09,239.650000,241.500000,238.690000,240.770000,1237169
2024-10-10,238.810000,246.649000,238.810000,245.160000,1805180
2024-10-11,242.750000,244.474400,240.060000,240.900000,1713210
2024-10-14,242.370000,242.968500,240.120000,242.470000,1155691
2024-10-15,242.560000,247.720000,242.060100,244.830000,2187220
2024-10-16,244.840000,245.990000,239.490000,240.220000,1299811
2024-10-17,240.500000,244.580000,240.460000,243.265000,1494198
2024-10-18,243.270000,245.760000,242.180000,244.480000,955750
2024-10-21,243.260000,244.710000,242.260000,243.750000,898387
2024-10-22,244.080000,247.090000,243.320000,246.760000,1647408
2024-10-23,246.870000,247.000000,241.530000,242.040000,1875325
2024-10-24,244.390000,244.580000,235.480000,236.820000,1553313
2024-10-25,239.570000,243.380000,237.590000,237.710000,1339903
2024-10-28,239.830000,239.910000,234.640000,234.950000,1259502
2024-10-29,235.520000,239.830000,234.000000,238.630000,1110040
2024-10-30,236.930000,240.500000,236.510100,238.280000,952657
2024-10-31,238.040000,238.040000,233.750000,233.850000,1415823
2024-11-01,233.165000,239.570000,231.740000,239.120000,1804154
2024-11-04,237.770000,242.580000,237.770000,241.140000,1203039
2024-11-05,241.250000,242.780000,239.800000,241.250000,889096
2024-11-06,244.440000,252.350000,242.500000,251.800000,2016886
2024-11-07,252.130000,258.880000,251.515000,257.980000,2028958
2024-11-08,258.680000,258.880000,253.920000,256.540000,1729654
2024-11-11,257.270000,264.561000,255.010000,264.150000,2077190
2024-11-12,262.340000,271.970000,262.340000,270.320000,2669361
2024-11-13,270.420000,278.980000,270.000000,276.510000,2747058
2024-11-14,274.590000,276.480000,270.890000,271.490000,1681884
2024-11-15,266.770000,269.360000,258.600000,259.410000,2036260
2024-11-18,261.030000,261.140000,257.220000,259.360000,1237350
2024-11-19,258.130000,260.005000,256.130000,259.900000,1073586
2024-11-20,261.020000,261.305000,256.790000,259.440000,1296731
2024-11-21,263.410000,269.825000,261.550000,268.070000,2190055
2024-11-22,270.320000,271.500000,266.060000,267.750000,1997732
2024-11-25,272.500000,276.000000,267.380000,267.690000,3352895
2024-11-26,268.900000,271.287800,267.020000,270.190000,4189936
2024-11-27,237.500000,260.010000,237.182100,253.400000,13910270
2024-11-29,254.060000,255.322400,247.800000,249.990000,2733696
2024-12-02,246.450000,253.290000,246.270000,251.460000,2673298
2024-12-03,250.860000,258.180000,250.755000,257.060000,2699554
2024-12-04,260.390000,272.605000,260.000000,268.870000,3636742
2024-12-05,266.140000,268.500000,262.450000,262.700000,2203599
2024-12-06,264.820000,269.075000,263.600000,266.420000,3269670
2024-12-09,291.600000,294.000000,278.480000,279.910000,11581031
2024-12-10,278.290000,279.175000,268.560000,270.880000,5642996
2024-12-11,273.610000,276.740000,271.220000,272.360000,3849395
2024-12-12,270.810000,276.960000,269.890000,274.820000,2480832
2024-12-13,273.330000,275.300000,270.560000,273.670000,2889102
2024-12-16,271.870000,278.910000,269.710000,278.350000,4197746
2024-12-17,277.240000,283.050000,275.310000,278.010000,4000493
2024-12-18,277.900000,280.180000,268.645000,268.930000,3996799
2024-12-19,271.430000,274.200000,264.880000,266.830000,4828871
2024-12-20,263.840000,277.120000,262.660000,273.040000,46874113
2024-12-23,270.110000,272.000000,263.862500,265.390000,3676099
2024-12-24,266.300000,269.090000,264.750000,269.040000,850470
2024-12-26,266.400000,270.140000,265.500000,269.380000,1244164
2024-12-27,267.600000,268.355000,263.270000,266.240000,1602828
2024-12-30,263.570000,264.520000,259.325000,262.000000,1755584
2024-12-31,262.240000,263.340000,256.190000,258.030000,1587711
2025-01-02,260.680000,260.980000,250.090000,251.840000,2118795
2025-01-03,254.330000,255.390000,251.475000,252.840000,1423015
2025-01-06,254.140000,257.505000,252.120000,254.140000,1849075
2025-01-07,252.000000,253.190000,246.850000,249.680000,2226060
2025-01-08,250.940000,256.790000,250.550000,254.690000,2242619
2025-01-10,251.100000,254.420000,249.500000,249.710000,2011463
2025-01-13,248.240000,248.660000,244.880000,246.000000,2253385
2025-01-14,246.680000,248.350000,245.325000,246.030000,2210644
2025-01-15,251.200000,251.200000,245.260000,248.570000,3172814
2025-01-16,249.630000,252.180000,248.490000,250.700000,1683688
2025-01-17,256.320000,256.320000,248.807900,249.640000,1578270
2025-01-21,250.460000,252.080000,247.460000,250.720000,1666439
2025-01-22,254.350000,257.660000,250.627500,253.480000,2012765
2025-01-23,252.730000,255.390000,249.230000,255.300000,2179881
2025-01-24,255.820000,260.205000,255.560000,258.280000,1789184
2025-01-27,255.220000,268.936500,255.220000,264.200000,2597687
2025-01-28,265.300000,274.500000,262.490000,270.430000,2533043
2025-01-29,270.910000,271.970000,264.215000,265.400000,1166534
2025-01-30,262.480000,264.937500,257.010000,260.070000,1364802
2025-01-31,263.820000,267.020000,260.890000,262.060000,1668001
