d,o,h,l,c,v
2024-07-25,84.270000,85.460000,82.900000,83.320000,2609506
2024-07-26,83.470000,83.970000,83.250000,83.730000,1595048
2024-07-29,83.880000,84.290000,83.130000,84.100000,1248126
2024-07-30,83.820000,85.730000,83.820000,85.600000,3406492
2024-07-31,85.600000,86.365000,84.350000,86.060000,4553255
2024-08-01,86.770000,88.790000,86.090000,88.720000,3836919
2024-08-02,90.110000,92.230000,88.950000,90.160000,5997032
2024-08-05,91.340000,91.710000,88.140000,88.190000,4440785
2024-08-06,88.420000,89.430000,88.000000,88.470000,2238771
2024-08-07,88.520000,89.300000,88.240000,88.950000,3037191
2024-08-08,88.170000,89.030000,87.585000,87.810000,2120086
2024-08-09,87.810000,88.150000,86.760000,87.980000,1838530
2024-08-12,88.020000,89.360000,87.710000,89.240000,3072014
2024-08-13,89.240000,89.640000,88.375000,89.440000,3360526
2024-08-14,88.330000,90.260000,88.135000,89.640000,2956052
2024-08-15,89.020000,89.600000,88.530000,89.290000,2425679
2024-08-16,89.620000,90.002500,89.180000,89.530000,2288483
2024-08-19,89.370000,90.420000,89.370000,90.140000,1622156
2024-08-20,90.210000,91.080000,90.195000,90.570000,2096784
2024-08-21,90.730000,91.820000,90.610000,91.750000,2594926
2024-08-22,91.750000,93.080000,91.720000,92.960000,3124783
2024-08-23,93.050000,93.275000,92.280000,92.660000,1450470
2024-08-26,93.000000,93.560000,92.780000,93.010000,1266572
2024-08-27,92.930000,93.260000,92.440000,92.610000,1134140
2024-08-28,92.970000,93.780000,92.490000,92.790000,1995102
2024-08-29,92.720000,92.900000,91.890000,92.770000,1449147
2024-08-30,92.700000,93.350000,92.700000,93.030000,2336820
2024-09-03,93.030000,94.210000,92.910000,93.630000,1998098
2024-09-04,93.840000,94.990000,93.640000,94.540000,1471306
2024-09-05,95.000000,95.410000,94.430000,94.680000,2515758
2024-09-06,94.850000,95.080000,93.650000,93.650000,1591733
2024-09-09,93.770000,94.950000,93.635000,94.860000,1827530
2024-09-10,94.940000,96.153600,94.860000,95.550000,2167463
2024-09-11,95.290000,95.395000,94.340000,95.210000,1988418
2024-09-12,95.150000,95.610000,94.130000,95.010000,1607458
2024-09-13,95.240000,95.870000,94.740000,95.850000,1841901
2024-09-16,96.200000,96.650000,95.880000,96.140000,1671590
2024-09-17,96.020000,96.285000,95.350000,95.740000,1946665
2024-09-18,95.550000,95.930000,94.670000,95.240000,1575082
2024-09-19,94.490000,94.843900,93.470000,93.780000,2141566
2024-09-20,94.210000,94.850000,93.780000,94.720000,3283283
2024-09-23,94.970000,95.500000,94.716000,95.180000,1531697
2024-09-24,94.580000,95.690000,94.164200,94.540000,3039854
2024-09-25,95.180000,95.315000,93.950000,94.600000,1283871
2024-09-26,93.970000,95.340000,93.970000,94.610000,1973034
2024-09-27,94.900000,95.680000,94.570000,95.260000,1308059
2024-09-30,95.730000,96.380000,94.760000,96.180000,2119656
2024-10-01,96.400000,97.080000,95.690000,96.750000,2384236
2024-10-02,95.900000,96.570000,95.600000,96.260000,2538138
2024-10-03,96.550000,96.550000,95.900000,96.310000,1417377
2024-10-04,95.250000,95.710000,94.825000,95.480000,1460839
2024-10-07,95.160000,95.165000,93.710000,94.140000,1804985
2024-10-08,94.820000,95.230000,94.040000,94.350000,1577881
2024-10-09,94.350000,95.010000,93.900000,94.310000,3126015
2024-10-10,94.610000,94.970000,93.890000,93.950000,3258014
2024-10-11,94.360000,95.570000,94.000000,95.450000,1766585
2024-10-14,95.680000,96.370000,95.290000,96.300000,1401746
2024-10-15,97.060000,98.040000,96.830000,97.220000,2376210
2024-10-16,97.630000,98.930000,97.260000,98.750000,2533504
2024-10-17,99.050000,99.330000,98.240000,99.140000,2100783
2024-10-18,99.450000,99.990000,98.675000,99.850000,2059714
