d,o,h,l,c,v
2025-08-01,59.680000,60.710000,59.050000,60.270000,7834861
2025-08-04,60.590000,61.130000,60.185000,60.260000,8081559
2025-08-05,59.350000,60.010000,56.991000,59.000000,14876073
2025-08-06,58.740000,58.970000,57.600000,58.640000,7834547
2025-08-07,58.850000,59.340000,57.695000,57.890000,7541142
2025-08-08,58.290000,58.490000,57.310000,57.890000,5384641
2025-08-11,57.970000,58.660000,57.800000,58.060000,4764408
2025-08-12,58.000000,58.130000,56.855000,57.760000,6565419
2025-08-13,57.870000,58.250000,56.914700,57.860000,5834404
2025-08-14,58.080000,58.090000,57.140000,57.340000,9163808
2025-08-15,57.770000,58.440000,57.340000,57.460000,7538874
2025-08-18,57.140000,57.195000,56.300000,56.520000,5812908
2025-08-19,56.160000,56.620000,55.820000,56.570000,5303228
2025-08-20,56.990000,57.575000,56.540000,57.220000,6270296
2025-08-21,57.150000,58.080000,57.105000,57.800000,4384032
2025-08-22,57.850000,58.005000,56.925000,57.070000,4663356
2025-08-25,56.990000,57.530000,56.560000,56.830000,4104776
2025-08-26,57.010000,57.230000,56.470000,57.130000,9560788
2025-08-27,56.970000,57.645000,56.900000,57.490000,5910107
2025-08-28,57.490000,58.090000,56.910000,58.000000,5366626
2025-08-29,57.970000,58.015000,57.500000,57.880000,4093766
2025-09-02,57.510000,57.940000,56.785000,57.380000,7833731
2025-09-03,57.360000,57.990000,56.950000,57.730000,6213368
2025-09-04,58.000000,58.590000,57.170000,57.580000,5554755
2025-09-05,57.490000,57.825000,56.085000,57.200000,8344825
2025-09-08,57.300000,57.680000,56.460000,56.850000,4669389
2025-09-09,57.190000,57.970000,56.965000,57.570000,4490415
2025-09-10,57.760000,59.290000,57.751100,58.760000,5960063
2025-09-11,58.610000,59.350000,58.355000,59.330000,5397608
2025-09-12,58.850000,59.330000,58.590000,58.810000,5630413
2025-09-15,58.890000,59.110000,58.400000,58.400000,3210473
2025-09-16,58.530000,58.629900,57.660000,57.950000,6820067
2025-09-17,58.060000,59.180000,58.050000,59.020000,6084872
2025-09-18,59.350000,60.810000,59.180000,60.380000,8882597
2025-09-19,61.140000,61.280000,60.010000,60.110000,14759611
