d,o,h,l,c,v
2024-07-25,80.690000,81.640000,80.110000,80.520000,2425959
2024-07-26,81.420000,81.670000,80.020000,81.610000,1925544
2024-07-29,81.700000,82.770000,80.760000,82.500000,1466196
2024-07-30,82.240000,82.887100,81.830300,82.510000,1442282
2024-07-31,82.800000,83.970000,82.610000,82.820000,1997521
2024-08-01,82.330000,82.620000,78.205000,78.710000,4292507
2024-08-02,77.480000,77.890000,75.500000,76.800000,4142525
2024-08-05,71.910000,74.629900,71.630000,73.550000,4677760
2024-08-06,73.940000,76.950000,73.920000,76.290000,5052088
2024-08-07,78.500000,79.050000,74.070000,74.850000,5081701
2024-08-08,75.620000,77.220000,75.500000,76.650000,2654779
2024-08-09,77.150000,77.229900,74.450000,74.630000,2417886
2024-08-12,74.000000,75.070000,73.420000,73.930000,2583964
2024-08-13,73.940000,74.840000,73.250000,74.200000,2371157
2024-08-14,74.260000,74.806500,73.260000,74.040000,2381363
2024-08-15,75.030000,76.900000,75.030000,76.140000,2778718
2024-08-16,75.800000,77.280000,75.800000,76.290000,1822838
2024-08-19,76.150000,77.220000,76.050000,76.600000,3310540
2024-08-20,76.180000,76.690000,75.910000,76.020000,1839308
2024-08-21,76.550000,77.840000,76.425000,77.360000,2302366
2024-08-22,77.360000,77.635000,76.760000,77.090000,1133718
2024-08-23,76.770000,77.410000,76.070000,77.370000,1479914
2024-08-26,77.650000,77.910000,76.790100,77.240000,1315463
2024-08-27,77.050000,77.210000,76.600000,77.040000,1135534
2024-08-28,76.500000,76.550000,74.210000,75.300000,3012714
2024-08-29,75.300000,76.460000,75.090000,75.540000,1672484
2024-08-30,75.940000,77.050000,75.220000,76.880000,3939503
2024-09-03,76.920000,77.200000,75.711000,75.810000,2036024
2024-09-04,75.880000,78.050000,75.800000,77.040000,2184779
2024-09-05,77.100000,77.865000,76.300000,77.120000,1600610
2024-09-06,77.330000,78.250000,76.680000,76.720000,1924768
2024-09-09,76.700000,77.640000,76.380000,76.910000,1606881
2024-09-10,77.030000,77.090800,74.810000,75.350000,1967431
2024-09-11,75.350000,75.920000,74.455000,75.770000,1324385
2024-09-12,76.210000,76.520000,74.895000,76.260000,1392148
2024-09-13,76.790000,79.340000,76.550000,78.460000,2235275
2024-09-16,78.650000,79.562700,78.300000,78.950000,1657601
2024-09-17,79.680000,81.020000,79.585000,80.000000,2464968
2024-09-18,79.990000,80.035000,78.350000,78.780000,2107575
2024-09-19,80.310000,81.100000,79.790000,80.180000,2273629
2024-09-20,79.930000,79.993000,78.490000,79.710000,2394989
2024-09-23,79.890000,80.790000,79.515000,80.205000,1646686
2024-09-24,83.555000,86.200000,82.985000,84.160000,4888065
2024-09-25,83.760000,84.870000,82.880000,84.130000,2244054
2024-09-26,89.860000,91.600000,88.690000,91.030000,8289506
2024-09-27,92.660000,97.820000,92.660000,97.620000,11253062
2024-09-30,97.450000,98.170000,95.590000,95.880000,6226504
2024-10-01,96.030000,99.765000,96.030000,99.450000,4771192
2024-10-02,99.530000,102.260000,99.310000,102.040000,4512291
2024-10-03,99.970000,103.190000,98.870000,103.080000,3880658
2024-10-04,104.250000,106.590000,103.445000,105.450000,4240042
2024-10-07,107.500000,107.810000,105.290000,106.410000,3330707
2024-10-08,102.500000,104.840000,100.060000,102.880000,4473522
2024-10-09,102.840000,104.860000,102.290000,104.150000,3199165
2024-10-10,103.520000,104.959100,102.820000,103.700000,2181770
2024-10-11,104.270000,106.400000,103.710100,104.750000,2537968
2024-10-14,103.410000,105.055000,102.349100,103.950000,2160790
2024-10-15,102.500000,102.705000,98.990000,99.220000,4169198
2024-10-16,99.890000,101.600000,99.625000,100.240000,1697732
2024-10-17,99.190000,99.399900,96.970000,97.990000,2933275
2024-10-18,99.610000,101.320000,99.170000,99.440000,2269831
2024-10-21,98.580000,98.870000,97.630000,98.370000,1674112
2024-10-22,98.280000,99.705000,97.918700,99.400000,1403652
2024-10-23,98.590000,99.040000,97.430000,97.680000,1683107
2024-10-24,98.990000,99.470000,97.010000,97.900000,1898418
2024-10-25,98.020000,99.435700,97.885000,97.990000,1098826
2024-10-28,98.450000,99.420000,98.280000,98.620000,1062315
2024-10-29,99.360000,100.913900,98.870000,99.000000,1890256
2024-10-30,98.240000,99.095000,97.900000,98.490000,1337113
2024-10-31,97.970000,98.000000,95.940000,96.020000,1897266
2024-11-01,97.070000,97.530000,95.430000,95.680000,1737673
2024-11-04,95.780000,96.679400,95.430000,95.650000,2238725
2024-11-05,91.580000,93.000000,86.020000,86.720000,10733542
2024-11-06,86.650000,87.600000,85.030000,85.320000,4784280
2024-11-07,86.880000,89.100000,86.050000,87.170000,2957852
2024-11-08,85.560000,86.250000,83.900000,84.300000,4116487
2024-11-11,84.990000,88.115000,84.990000,86.480000,2509146
2024-11-12,85.800000,86.253000,84.535000,85.500000,3892918
2024-11-13,85.520000,85.800000,84.690000,85.800000,2433339
2024-11-14,87.400000,95.200000,86.830000,93.220000,9577317
2024-11-15,93.170000,93.599900,89.660000,90.740000,3816948
2024-11-18,90.460000,91.500000,89.860000,90.460000,1772019
2024-11-19,89.520000,91.290000,88.740000,91.250000,2014843
2024-11-20,91.040000,92.070000,90.420000,91.220000,1816349
2024-11-21,91.010000,91.910000,89.690000,91.740000,1612685
2024-11-22,91.660000,92.500000,91.240000,91.290000,1620010
2024-11-25,91.550000,93.920000,91.550000,93.450000,3055006
2024-11-26,93.070000,93.070000,91.630000,91.860000,1807470
2024-11-27,92.160000,94.190000,91.545000,91.670000,1436753
2024-11-29,91.290000,95.050000,91.260000,94.380000,1402470
2024-12-02,95.500000,97.500000,94.900000,96.160000,2945246
2024-12-03,95.130000,95.550000,93.230000,93.760000,3045301
2024-12-04,93.640000,95.285000,93.030000,94.790000,1958400
2024-12-05,94.870000,95.850000,94.350000,94.400000,1357894
2024-12-06,95.360000,95.891000,94.300000,94.370000,1026539
2024-12-09,97.000000,99.620000,95.750000,95.940000,2691027
2024-12-10,94.700000,96.395000,93.700000,94.950000,1426951
2024-12-11,95.250000,95.630000,94.180000,95.210000,1325673
2024-12-12,94.570000,95.370000,93.390000,93.470000,1575689
2024-12-13,92.880000,95.420000,92.650000,94.530000,1778040
2024-12-16,93.250000,93.766300,89.480000,89.680000,3104256
2024-12-17,89.680000,92.630000,89.440000,91.960000,2046374
2024-12-18,91.960000,92.950000,88.220000,88.700000,2096048
2024-12-19,90.620000,90.620000,87.360000,88.310000,1736900
2024-12-20,88.100000,90.140000,88.050000,88.950000,2663406
2024-12-23,88.960000,89.420000,87.760000,88.110000,1312445
2024-12-24,88.130000,89.220000,87.380000,88.780000,692769
2024-12-26,89.010000,89.890000,88.419800,89.310000,1218963
2024-12-27,88.660000,89.288000,88.020000,88.680000,1086693
2024-12-30,87.400000,87.400000,85.240000,85.830000,2180149
2024-12-31,85.930000,86.750000,85.870000,86.160000,1612598
2025-01-02,86.330000,87.380000,83.725100,83.800000,2002844
2025-01-03,84.500000,86.010000,82.845000,83.320000,2807333
2025-01-06,84.250000,86.270000,84.135000,84.610000,2923757
2025-01-07,84.610000,85.560000,81.940000,82.450000,2195291
2025-01-08,82.000000,82.390000,80.700000,81.170000,1862280
2025-01-10,80.120000,83.080000,80.120000,81.150000,2655945
2025-01-13,80.780000,82.600000,80.750000,81.330000,1850548
2025-01-14,81.580000,81.880000,79.900000,81.800000,2773942
2025-01-15,82.530000,83.590000,82.200000,82.410000,2264240
2025-01-16,82.780000,83.230000,81.755000,82.500000,1844813
2025-01-17,83.250000,85.200000,83.000000,84.670000,3339727
2025-01-21,85.240000,86.720000,85.190000,86.260000,2617218
2025-01-22,85.750000,87.300000,84.315000,85.160000,2862574
2025-01-23,85.000000,85.870000,84.380000,85.080000,1746467
2025-01-24,85.020000,85.650000,84.363800,84.990000,1418351
2025-01-27,84.390000,85.510000,84.060000,84.770000,2268238
2025-01-28,84.480000,84.950000,82.800000,84.330000,1919318
2025-01-29,84.780000,85.570000,84.030000,84.110000,1559783
2025-01-30,87.150000,89.750000,86.720000,89.600000,2790027
2025-01-31,89.595000,89.610000,85.820000,86.850000,3614883
2025-02-03,84.320000,84.740000,83.100000,83.560000,2721062
2025-02-04,83.130000,84.465900,83.080000,83.190000,2555356
2025-02-05,82.400000,82.600000,81.220000,81.660000,3798790
2025-02-06,82.410000,82.700000,80.270000,80.650000,2458530
2025-02-07,80.740000,82.220000,80.280000,80.580000,2255258
2025-02-10,80.610000,81.080000,78.710000,78.970000,2620381
2025-02-11,78.150000,78.430000,76.960000,77.000000,2137596
2025-02-12,76.870000,78.410000,76.750000,78.370000,2801838
2025-02-13,80.850000,81.950000,79.694900,80.470000,7598754
2025-02-14,84.635000,89.450000,83.525000,88.820000,9031564
2025-02-18,90.760000,92.970000,88.960000,91.210000,5199210
2025-02-19,91.430000,92.560000,90.124300,92.260000,2493468
2025-02-20,92.200000,94.200000,91.970000,93.470000,3407675
2025-02-21,94.000000,94.290000,89.830000,90.760000,2962224
2025-02-24,90.510000,90.745000,88.750000,90.150000,2160582
2025-02-25,90.110000,91.960000,89.270000,91.030000,2079781
2025-02-26,91.830000,93.471700,90.660000,91.100000,2241918
2025-02-27,90.230000,91.760000,87.460000,88.190000,2245083
2025-02-28,87.860000,90.070000,87.550000,89.320000,1468340
2025-03-03,92.250000,93.520000,88.550000,88.930000,2123231
2025-03-04,88.000000,89.000000,85.640000,87.100000,2272693
2025-03-05,87.750000,90.740000,87.361200,90.670000,2449278
2025-03-06,90.220000,90.890000,88.090000,88.190000,1797187
2025-03-07,88.000000,89.050000,85.850000,88.720000,1889580
2025-03-10,87.190000,89.250000,86.195000,88.420000,2774541
2025-03-11,89.200000,89.220000,85.850000,87.380000,1424193
2025-03-12,87.030000,87.850000,83.420000,85.670000,2047143
2025-03-13,84.940000,85.922600,83.030000,83.230000,1739717
2025-03-14,84.410000,86.720000,84.410000,86.180000,1797340
2025-03-17,86.270000,87.500000,85.650000,86.420000,1606398
2025-03-18,86.410000,86.800000,84.840000,85.430000,1186175
2025-03-19,85.000000,85.850000,84.550000,85.045000,1533748
2025-03-20,83.990000,84.990000,82.980000,83.070000,1805361
2025-03-21,82.310000,82.800000,80.229300,82.630000,4329596
2025-03-24,83.850000,85.310000,83.620000,84.870000,2448042
2025-03-25,86.330000,89.325000,85.340000,86.030000,4498937
2025-03-26,86.050000,86.810000,85.070000,85.830000,1425713
2025-03-27,85.520000,87.630000,85.400000,86.150000,1388312
2025-03-28,85.525000,85.900000,81.690000,82.330000,2486970
2025-03-31,80.640000,83.780000,80.160100,83.500000,2115232
2025-04-01,83.350000,83.990000,81.550000,82.730000,1500094
2025-04-02,81.500000,83.320000,81.350000,81.540000,2539942
2025-04-03,78.500000,78.630000,72.500000,72.880000,5509116
2025-04-04,68.610000,71.270000,66.200000,70.090000,8307728
2025-04-07,67.980000,72.490000,66.600000,67.930000,4359345
2025-04-08,70.240000,71.130000,65.250000,66.100000,4088411
2025-04-09,65.930000,76.739900,65.720000,75.830000,7589077
2025-04-10,74.650000,74.790600,69.440000,72.300000,3009222
2025-04-11,72.560000,74.110000,70.730000,73.190000,2710540
2025-04-14,74.410000,74.970000,71.770000,73.540000,2603604
2025-04-15,73.280000,75.600000,73.000000,74.900000,2027604
2025-04-16,74.130000,74.669900,72.650000,73.730000,1827117
2025-04-17,74.310000,75.190000,73.620000,74.770000,1559531
2025-04-21,74.770000,75.770000,73.800000,74.960000,2526006
2025-04-22,75.250000,77.480000,75.250000,76.970000,2560306
2025-04-23,79.150000,81.480000,78.060000,79.110000,2810488
2025-04-24,79.380000,81.855000,79.100000,81.580000,1937159
2025-04-25,81.500000,82.300000,81.100000,82.110000,1467686
2025-04-28,82.090000,83.310000,81.634400,82.200000,1443270
2025-04-29,81.880000,82.399100,80.950000,81.550000,1463884
2025-04-30,79.500000,80.460000,78.780300,80.310000,1922696
2025-05-01,80.440000,82.000000,79.920000,80.040000,1771961
2025-05-02,80.860000,83.080000,80.860000,82.490000,1597354
2025-05-05,82.140000,84.830000,81.660100,82.980000,2105158
2025-05-06,82.790000,84.410000,82.100000,83.520000,3011502
2025-05-07,86.200000,87.135000,82.200000,84.120000,3847932
2025-05-08,84.850000,87.780000,83.790000,86.590000,3041478
2025-05-09,87.310000,88.230000,87.050000,87.930000,3216489
2025-05-12,92.300000,95.519900,91.980100,95.160000,4639872
2025-05-13,94.700000,97.160000,94.269000,96.790000,2520570
2025-05-14,96.790000,97.510000,95.940000,97.490000,3053010
2025-05-15,96.590000,98.710000,96.385000,97.750000,3133038
2025-05-16,97.490000,97.820000,96.430000,96.760000,2200178
2025-05-19,95.020000,96.950000,94.600000,96.550000,1622112
2025-05-20,96.340000,96.340000,93.220000,93.770000,2068747
2025-05-21,92.890000,93.370000,91.085000,91.500000,2157515
2025-05-22,91.120000,91.510000,89.510000,90.910000,1987798
2025-05-23,89.405000,90.990000,89.060000,90.470000,1335792
2025-05-27,91.530000,93.155000,91.420000,92.540000,1813710
2025-05-28,92.560000,92.600000,90.740000,90.940000,1405612
2025-05-29,92.310000,92.580000,90.370000,90.730000,2208463
2025-05-30,89.750000,90.740000,88.930000,90.540000,6827922
2025-06-02,91.408000,91.735000,87.250000,87.800000,3285663
2025-06-03,87.550000,88.220000,85.490000,87.750000,2925273
2025-06-04,87.395000,87.700000,85.730000,86.140000,1951609
2025-06-05,86.315000,86.315000,82.627000,83.240000,3426097
2025-06-06,84.660000,84.660000,82.640000,83.300000,3151921
2025-06-09,84.010000,85.080000,84.010000,84.700000,2134195
2025-06-10,85.060000,87.100000,85.060000,86.670000,1610189
2025-06-11,87.620000,88.175000,86.570000,87.520000,2010762
